A/P,group,Scientific Name,Body Mass (g),Max. Indiv. Dispersal Distance (m),logmass,logdist
P,Plant,Geranium carolinianum,3.50E-03,4.25,-2.456,0.62838893
P,Plant,Geranium maculatum,7.20E-03,4.55,-2.143,0.658011397
P,Plant,Geranium molle,1.15E-03,2.8,-2.939,0.447158031
P,Plant,Geranium purpureum,5.35E-03,1.6,-2.272,0.204119983
P,Plant,Geum reptans,2.22E-03,4,-2.654,0.602059991
A,Fish,Ginglymostoma cirratum,6.34E+04,5.41E+05,4.802,5.733197265
A,Reptile,Gloydius shedaoensis,3.00E+02,1.00E+02,2.477,2
A,Reptile,Gopherus polyphemus,4.00E+03,7.40E+02,3.602,2.86923172
A,Reptile,Graptemys pseudogeographica,1.60E+03,1.13E+03,3.204,3.05422991
P,Protista,Gromiidae,1.70E-06,4.00E+02,-5.77,2.602059991
A,Mammals,Gulo gulo,1.44E+04,3.00E+05,4.158,5.477121255
P,Insect,Gumaga griseola,5.50E-03,4.36E+02,-2.26,2.639486489
A,Birds,Gymnorhinus cyanocephalus,1.03E+02,6.40E+05,2.013,5.806179974
A,Amphib,Gyrinophilus porphyriticus,1.68E+01,4.90E+02,1.225,2.69019608
A,Fish,Haploblepharus fuscus,1.14E+03,8.00E+03,3.058,3.903089987
P,Protista,Hartmannellidae,2.00E-09,4.00E+02,-8.699,2.602059991
A,Amphib,Heleioporus australiacus,6.40E+01,4.63E+02,1.806,2.665580991
P,Mollusca,Helisoma trivolvis,2.50E-03,1.00E+04,-2.602,4
A,Mammals,Helogale parvula,3.50E+02,5.00E+03,2.544,3.698970004
A,Crustacean,Hemilepistus reaumuri,2.00E-01,1.10E+03,-0.699,3.041392685
A,Reptile,Heterodon nasicus,2.15E+02,1.55E+02,2.332,2.190331698
A,Reptile,Heterodon platirhinos,3.49E+01,2.44E+02,1.543,2.387389826
A,Fish,Heterodontus francisci,9.54E+02,1.90E+04,2.98,4.278753601
A,Fish,Heterodontus portus jacksoni,2.77E+03,8.50E+05,3.443,5.929418926
A,Insect,Hexagenia spp.,6.47E-02,5.00E+03,-1.189,3.698970004
P,Plant,Hieracium murorum,1.66E-03,10,-2.78,1
P,Plant,Hieracium staticifolium,1.66E-03,75,-2.78,1.875061263
P,Plant,Hieracium umbellatum,1.66E-03,3.03,-2.78,0.481442629
A,Birds,Hirundo fulva,2.00E+01,3.00E+04,1.301,4.477121255
A,Birds,Hirundo rustica,1.90E+02,7.09E+04,2.279,4.850646235
P,Plant,Holcus lanatus,3.20E-04,340,-3.495,2.531478917
A,Reptile,Hoplocephalus bungaroides,5.10E+01,9.00E+02,1.708,2.954242509
P,Plant,Hura crepitans,1.02E+00,45,0.009,1.653212514
A,Amphib,Hyla arborea,1.10E+01,1.26E+04,1.043,4.100370545
A,Amphib,Pseuacris regilla,2.27E+00,1.90E+03,0.356,3.278753601
A,Amphib,Dryophytes versicolor,6.27E+00,1.25E+02,0.797,2.096910013
A,Birds,Hylocichla mustelina,5.00E+01,4.68E+03,1.699,3.670245853
A,Amphib,Hynobius nebulosus tokyoensis,2.31E+01,9.00E+01,1.364,1.954242509
P,Plant,Hypericum gentianoides,4.16E-04,0.5,-3.381,-0.301029996
P,Plant,Hypochaeris radicata,1.04E-03,1900,-2.983,3.278753601
A,Reptile,Iguana iguana,7.00E+03,1.41E+03,3.845,3.149219113
P,Plant,Impatiens capensis,1.00E-02,3.5,-2,0.544068044
A,Birds,Tachycineta bicolor,2.00E+01,6.40E+03,1.301,3.806179974
A,Fish,Isurus oxyrinchus,1.29E+05,4.54E+06,5.112,6.657342737
A,Fish,Isurus paucus,9.54E+04,3.43E+06,4.98,6.53529412
P,Plant,Jacaranda copaia,6.50E-03,538,-2.187,2.730782276
P,Plant,Juglans cinerea,1.51E+01,50,1.18,1.698970004
P,Plant,Juglans nigra,1.13E+01,151,1.055,2.178976947
P,Plant,Juncus bufonius,2.00E-05,100,-4.699,2
P,Plant,Juniperus virginiana,9.86E-06,1200,-5.006,3.079181246
A,Reptile,Kinosternon baurii,1.35E+02,4.90E+01,2.13,1.69019608
A,Reptile,Kinosternon flavescens,2.71E+02,4.50E+02,2.433,2.653212514
A,Reptile,Kinosternon leucostomum,2.32E+02,6.00E+02,2.366,2.77815125
A,Reptile,Kinosternon subrubrum,1.33E+02,6.00E+02,2.124,2.77815125
P,Protista,Kirchneriella,1.00E-09,6.40E+01,-9,1.806179974
A,Reptile,Lacerta agilis,2.00E+01,5.63E+01,1.301,1.750508395
A,Reptile,Zootoca vivipara,1.31E+00,1.00E+02,0.117,2
P,Plant,Lafoensia punicifolia,3.80E-02,192,-1.42,2.283301229
A,Mammals,Lagenorhynchus obscurus,1.00E+05,7.50E+05,5,5.875061263
A,Birds,Lagopus lagopus,5.16E+02,7.50E+03,2.713,3.875061263
A,Birds,Lagopus leucura,5.16E+02,2.90E+04,2.713,4.462397998
A,Fish,Lamna ditropis,1.25E+05,3.27E+06,5.097,6.514680544
A,Fish,Lamna nasus,7.32E+04,4.26E+06,4.864,6.629409599
A,Reptile,Lampropeltis triangulum,2.03E+02,5.00E+02,2.307,2.698970004
A,Birds,Lanius ludovicianus,4.70E+01,7.97E+04,1.672,4.901458321
P,Plant,Larix laricina,1.58E-03,80,-2.801,1.903089987
A,Birds,Larus canus,4.32E+02,8.44E+04,2.635,4.926342447
A,Birds,Larus delawarensis,5.70E+02,7.00E+05,2.756,5.84509804
A,Birds,Larus fuscus,7.68E+02,2.02E+05,2.885,5.305351369
A,Birds,Larus glaucescens,1.01E+03,4.00E+05,3.004,5.602059991
A,Birds,Chroicocephalus ridibundus,2.84E+02,1.90E+05,2.453,5.277609214
P,Rotifer,Lecane,1.00E-04,3.20E+01,-4,1.505149978
P,Rotifer,Lecane closterocerca,1.00E-04,1.50E+02,-4,2.176091259
P,Rotifer,Lecane copeis,1.00E-04,1.50E+02,-4,2.176091259
A,Amphib,Leiopelma hochstetteri,1.43E+00,1.27E+01,0.155,1.102090526
P,Plant,Leontodon autumnalis,7.00E-04,610,-3.155,2.785329835
P,Rotifer,Lepadella,1.00E-09,6.40E+01,-9,1.806179974
A,Insect,Leptinotarsa decemlineata,1.50E-01,1.40E+03,-0.824,3.146128036
A,Mammals,Lepus americanus,1.43E+03,2.01E+04,3.155,4.303196057
A,Mammals,Lepus californicus,2.20E+03,4.50E+04,3.342,4.653212514
A,Mammals,Lepus europaeus,4.50E+03,9.00E+03,3.653,3.954242509
A,Mammals,Lepus timidus,2.75E+03,2.00E+05,3.439,5.301029996
A,Insect,Leuctra ferruginea,2.50E-01,7.30E+02,-0.602,2.86332286
A,Reptile,Liasis fuscus,5.00E+03,1.20E+04,3.699,4.079181246
P,Plant,Liatris aspera,3.33E-03,9.5,-2.478,0.977723605
P,Plant,Liatris cylindrica,3.33E-03,9,-2.478,0.954242509
A,Fish,Limanda ferruginea,1.04E+03,2.26E+05,3.018,5.354300562
P,Plant,Linaria alpina,2.22E-04,12,-3.654,1.079181246
P,Plant,Liriodendron tulipifera,3.24E-02,111.9,-1.489,2.048830087
P,Plant,Lithospermum caroliniense,5.66E-03,199,-2.247,2.298853076
P,Plant,Lonchocarpus pentaphyllus,1.43E-01,93,-0.845,1.968482949
P,Plant,Lonchocarpus pentaphylius,5.10E-02,62,-1.292,1.792391689
P,Plant,Lonchocarpus velutinus,1.27E-01,239,-0.896,2.378397901
A,Birds,Lophodytes cucullatus,6.80E+02,5.60E+03,2.833,3.748188027
A,Protista,Loxodes,7.00E-06,7.00E+00,-5.155,0.84509804
A,Fish,Loxodon macrorhinus,1.70E+03,5.75E+05,3.231,5.759667845
P,Plant,Luehea seemannii,2.10E-03,350,-2.678,2.544068044
P,Plant,Luehea speciosa,4.95E-03,181,-2.305,2.257678575
A,Annelid,Lumbricus rubellus,7.10E-02,1.30E+01,-1.149,1.113943352
A,Annelid,Lumbricus terrestris,7.10E-02,1.90E+01,-1.149,1.278753601
A,Mammals,Lontra canadensis,9.07E+03,4.20E+04,3.958,4.62324929
P,Protista,Lyngbya,1.00E-09,4.00E+02,-9,2.602059991
P,Mollusca,Lymnaea stagnalis,2.50E-03,1.00E+04,-2.602,4
A,Mammals,Lynx lynx,1.02E+04,9.70E+03,4.006,3.986771734
A,Mammals,Lynx rufus,9.60E+03,1.82E+05,3.982,5.260071388
A,Fish,Macquaria ambigua,5.21E+02,7.48E+03,2.717,3.873901598
A,Reptile,Macroclemys temminickii,3.88E+02,2.20E+01,2.589,1.342422681
P,Plant,Macrocnemum glabrescens,1.94E-05,340,-4.712,2.531478917
A,Birds,Malurus splendens,1.00E+01,2.40E+03,1,3.380211242
A,Mammals,Marmota flaviventris,5.45E+03,1.40E+03,3.736,3.146128036
A,Mammals,Marmota monax,3.49E+03,7.68E+02,3.542,2.88536122
A,Mammals,Martes americana,1.04E+03,6.10E+04,3.017,4.785329835
A,Mammals,Pekania pennanti,3.70E+03,2.30E+04,3.568,4.361727836
A,Reptile,Masticophis taeniatus,2.10E+03,4.00E+03,3.322,3.602059991
A,Birds,Meleagris gallopavo,7.40E+03,4.80E+04,3.869,4.681241237
A,Mammals,Meles meles,1.16E+04,8.30E+03,4.064,3.919078092
A,Birds,Melospiza melodia,2.10E+01,1.32E+04,1.322,4.120573931
A,Mammals,Mephitis mephitis,2.64E+03,2.17E+04,3.422,4.336459734
A,Mammals,Microtus agrestis,2.30E+01,1.93E+02,1.362,2.285557309
A,Mammals,Microtus arvalis,2.20E+01,2.00E+02,1.342,2.301029996
A,Mammals,Microtus ochrogaster,2.80E+01,1.36E+02,1.447,2.133538908
A,Mammals,Microtus oeconomus,3.20E+01,1.00E+03,1.505,3
A,Mammals,Microtus pennsylvanicus,4.00E+01,2.45E+02,1.602,2.389166084
A,Mammals,Microtus townsendii,3.20E+01,6.80E+01,1.505,1.832508913
A,Mammals,Microtus xanthognathus,1.42E+02,8.00E+02,2.151,2.903089987
P,Plant,Mimulus guttatus,4.35E-05,400,-4.362,2.602059991
P,Plant,Mirabilis hirsuta,6.66E-02,2,-1.177,0.301029996
A,Amphib,Mixophyes fleayi,7.30E+01,1.97E+02,1.863,2.29380436
A,Amphib,Mixophyes iteratus,9.44E-02,2.68E+02,-1.025,2.428134794
A,Birds,Molothrus ater,5.00E+01,4.00E+04,1.699,4.602059991
P,Protista,Monas,2.00E-09,6.40E+01,-8.699,1.806179974
P,Rotifer,Monostyla,1.00E-09,1.60E+01,-9,1.204119983
A,Birds,Motacilla alba,2.40E+02,1.00E+05,2.38,5
A,Birds,Motacilla cinerea,2.10E+01,8.56E+04,1.322,4.932473765
A,Birds,Motacilla flava,1.76E+01,3.55E+04,1.246,4.550228353
A,Birds,Muscicapa striata,1.46E+01,4.80E+04,1.164,4.681241237
A,Mammals,Mus musculus,1.65E+01,1.50E+03,1.217,3.176091259
A,Mammals,Mustela erminea,8.00E+01,5.60E+03,1.903,3.748188027
A,Mammals,Mus telafuro,6.75E+02,4.50E+04,2.829,4.653212514
A,Mammals,Mustela vison,1.23E+03,4.51E+04,3.088,4.654176542
A,Fish,Mustelus canis,2.17E+03,4.02E+05,3.337,5.604226053
A,Fish,Mustelus lenticulatus,1.97E+03,1.16E+06,3.294,6.064083436
A,Fish,Mustelus mosis,2.05E+03,2.28E+05,3.312,5.357934847
A,Fish,Mustelus palumbes,2.44E+03,2.10E+05,3.386,5.322219295
A,Fish,Mustelus punctulatus,4.21E+02,1.41E+06,2.624,6.148294097
A,Mammals,Myotis bechsteinii,1.00E+01,6.00E+04,1,4.77815125
A,Mammals,Myotis lucifugus,8.00E+00,4.32E+05,0.903,5.635483747
A,Mammals,Myotis nattereri,9.25E+00,6.30E+04,0.966,4.799340549
P,Plant,Myroxylon balsamum,7.49E-01,159,-0.126,2.201397124
P,Protista,Nannochloris,1.00E-09,6.40E+01,-9,1.806179974
A,Reptile,Natrix natrix,1.44E+02,1.14E+02,2.158,2.056904851
A,Fish,Nebrius ferrugineus,8.61E+04,4.30E+04,4.935,4.633468456
A,Amphib,Necturus beyeri,2.99E+01,6.50E+01,1.476,1.812913357
A,Amphib,Necturus maculosus,1.94E+02,2.56E+02,2.287,2.408239965
A,Fish,Negaprion acutidens,2.04E+05,5.00E+03,5.31,3.698970004
A,Fish,Negaprion brevirostris,7.94E+04,4.26E+05,4.9,5.629409599
A,Mammals,Neotoma cinerea,4.20E+02,2.20E+03,2.623,3.342422681
A,Reptile,Nerodia erythrogaster,2.62E+02,1.00E+03,2.419,3
A,Reptile,Nerodia harteri,4.45E+02,1.50E+01,2.649,1.176091259
A,Reptile,Nerodia rhombifer,2.26E+02,2.50E+02,2.354,2.397940009
A,Reptile,Nerodia sipedon,1.71E+02,6.00E+00,2.233,0.77815125
A,Reptile,Niveoscincus microlepidotus,5.00E+00,5.24E+01,0.699,1.719331287
P,Protista,Non chaos amoebae,5.00E-06,4.00E+02,-5.301,2.602059991
A,Amphib,Notophthalmus perstriatus ,5.91E-01,7.09E+02,-0.228,2.850646235
A,Amphib,Notophthalmus viridescens ,3.05E+00,1.00E+03,0.484,3
A,Birds,Numenius phaeopus,4.00E+02,1.63E+03,2.602,3.212187604
P,Plant,Nyssa aquatica,1.01E+00,600,0.004,2.77815125
P,Plant,Nyssa sylvatica,5.80E-01,12.166,-0.237,1.085130858
A,Mammals,Ochotona princeps,1.47E+02,3.96E+02,2.166,2.597695186
P,Plant,Ochroma pyramidale,1.48E-02,228,-1.83,2.357934847
A,Mammals,Odocoileus hemionus columbianus,6.46E+04,1.52E+04,4.81,4.181843588
A,Mammals,Odocoileus hemionus hemionus,5.18E+04,8.22E+03,4.714,3.914871818
A,Mammals,Odocoileus virginianus,1.07E+05,4.06E+04,5.029,4.608526034
A,Birds,Oenanthe oenanthe,2.40E+01,9.56E+04,1.38,4.980457892
P,Plant,Oenothera biennis,2.90E-04,1.83,-3.538,0.26245109
P,Protista,Oikomonadidae,2.00E-09,6.40E+01,-8.699,1.806179974
A,Mammals,Ondatra zibethicus,1.05E+03,3.37E+03,3.02,3.527629901
A,Mammals,Onychomys torridus,2.68E+01,3.29E+02,1.428,2.517195898
A,Reptile,Opheodrys aestivus,3.29E+01,2.60E+01,1.517,1.414973348
A,Birds,Otus asio,1.94E+02,1.59E+05,2.288,5.200029267
A,Reptile,Oxybelis aeneus,1.40E+02,4.20E+01,2.146,1.62324929
P,Protista,Oxytrichidae,1.00E-06,6.40E+01,-6,1.806179974
P,Protista,Palmellococcus,1.00E-09,4.00E+02,-9,2.602059991
P,Plant,Panicum maximum,3.33E-03,7.95,-2.478,0.900367129
P,Plant,Panicum miliaceum,3.33E-03,3,-2.478,0.477121255
A,Birds,Parabuteo unicinctus,9.90E+02,1.60E+05,2.996,5.204119983
P,Protista,Paramecium,2.00E-06,6.40E+01,-5.699,1.806179974
A,Fish,Parmaturus sp.,1.82E+03,1.01E+06,3.259,6.004321374
A,Birds,Periparus ater,9.10E+00,3.10E+04,0.959,4.491361694
A,Birds,Poecile atricapillus,1.10E+01,1.12E+04,1.041,4.049218023
A,Birds,Parus montanus,1.02E+01,1.52E+04,1.009,4.181843588
A,Birds,Cyanistes caeruleus,1.10E+01,3.57E+04,1.041,4.552668216
A,Birds,Parus major,2.00E+01,4.11E+04,1.301,4.613841822
A,Birds,Passerculus sandwichensis,1.90E+01,1.60E+03,1.279,3.204119983
A,Birds,Passer domesticus,2.80E+01,4.67E+04,1.447,4.669316881
A,Birds,Passerina cyanea,1.08E+02,4.70E+05,2.033,5.672097858
A,Birds,Passer montanus,2.20E+01,5.16E+04,1.342,4.712649702
A,Amphib,Pelobates fuscus,5.06E+01,5.00E+02,1.704,2.698970004
A,Birds,Perisoreus canadensis,7.10E+01,1.13E+04,1.851,4.053078443
A,Mammals,Chaetodipus formosus,2.30E+01,8.53E+02,1.362,2.930949031
A,Mammals,Peromyscus californicus,1.80E+01,7.91E+02,1.255,2.898176483
A,Mammals,Peromyscus longicaudus,8.00E+00,2.35E+02,0.903,2.371067862
A,Mammals,Peromyscus maniculatus,2.65E+01,1.32E+03,1.423,3.120573931
A,Birds,Phalacrocorax pelagicus,2.03E+03,1.50E+05,3.307,5.176091259
A,Mammals,Phascogale tapoatafa,1.99E+02,6.80E+03,2.299,3.832508913
P,Plant,Phlox drummondii,4.71E-04,1.5,-3.327,0.176091259
P,Plant,Phlox pilosa,4.71E-04,3.6,-3.327,0.556302501
A,Mammals,Phoca vitulina,1.15E+05,5.00E+05,5.061,5.698970004
A,Birds,Phoenicurus phoenicurus,1.47E+01,3.60E+04,1.167,4.556302501
P,Protista,Phormidium,1.00E-09,6.40E+01,-9,1.806179974
P,Plant,Phragmite ssp,1.20E-04,2500,-3.921,3.397940009
A,Amphib,Phyllomedusa bicolor,9.44E-02,4.66E+01,-1.025,1.668385917
A,Birds,Phylloscopus trochilus,8.70E+00,1.12E+05,0.94,5.050766311
A,Amphib,Engystomops pustulosus,1.33E+00,8.20E+02,0.123,2.913813852
P,Plant,Physalis longifolia,1.35E-03,1.47,-2.87,0.167317335
A,Mammals,Physeter macrocephalus,2.63E+07,4.00E+06,7.42,6.602059991
P,Plant,Phytolacca americana,7.42E-03,33,-2.13,1.51851394
A,Insect,Phytometra biloba,2.00E-01,5.60E+06,-0.699,6.748188027
A,Birds,Pica pica,1.89E+02,4.43E+04,2.276,4.646403726
P,Plant,Picea engelmannii,6.66E-03,200,-2.177,2.301029996
P,Plant,Picea glauca,6.66E-03,475,-2.177,2.67669361
A,Birds,Picoides borealis,4.40E+01,9.00E+04,1.643,4.954242509
A,Birds,Picus viridis,1.76E+02,2.78E+04,2.246,4.444044796
A,Fungi,Pilobolus,1.00E-09,3.00E+00,-9,0.477121255
P,Plant,Pinus albicaulis,1.26E-01,3500,-0.9,3.544068044
P,Plant,Pinus contorta,4.83E-03,40,-2.316,1.602059991
P,Plant,Pinus edulis,1.94E-01,22000,-0.711,4.342422681
P,Plant,Pinus jeffreyi,1.95E-01,74.1,-0.709,1.869818208
P,Plant,Pinus lambertiana,2.33E-01,57.1,-0.633,1.756636108
P,Plant,Pinus ponderosa,6.87E-02,58,-1.163,1.763427994
P,Plant,Pinus resinosa,8.70E-03,475,-2.06,2.67669361
P,Plant,Pinus rigida,7.30E-03,4.472,-2.137,0.650514998
P,Plant,Pinus strobus,1.68E-02,475,-1.775,2.67669361
P,Plant,Piper amalago,4.00E-06,700,-5.398,2.84509804
A,Reptile,Pituophis melanoleucus,3.97E+01,3.07E+02,1.598,2.487138375
P,Plant,Plantago aristata,2.00E-04,18,-3.699,1.255272505
P,Plant,Plantago major,2.00E-04,38,-3.699,1.579783597
P,Plant,Platanus occidentalis,2.36E-03,62.8,-2.627,1.797959644
P,Plant,Platymiscium pinnatum,4.62E-01,191,-0.335,2.281033367
P,Plant,Platypodium elegans,1.64E+00,137,0.215,2.136720567
A,Mammals,Corynorhinus townsendii,1.00E+01,4.50E+04,1,4.653212514
A,Amphib,Plethodon cinereus,2.35E+00,9.00E+01,0.372,1.954242509
A,Amphib,Plethodon glutinosus,1.57E+01,9.15E+01,1.196,1.961421094
A,Amphib,Plethodon jordani,4.43E+00,3.00E+02,0.646,2.477121255
A,Amphib,Plethodon kentucki,7.90E+00,1.40E+01,0.898,1.144574208
A,Amphib,Plethodon vehiculum,2.10E+00,8.50E+00,0.321,0.929418926
P,Plant,Poa alpina,4.00E-03,1,-2.398,0
P,Plant,Poa annua,2.60E-04,180,-3.585,2.255272505
P,Plant,Poa nemoralis,2.00E-04,50,-3.699,1.698970004
P,Plant,Poa pratensis,2.50E-04,25,-3.602,1.397940009
A,Reptile,Podocnemis unifilis,4.50E+03,8.00E+01,3.653,1.903089987
A,Fungi,Podospora fimicola,1.00E-09,3.00E-02,-9,-1.522878745
P,Plant,pollen (various tree sp),5.23E-09,19000,-8.281,4.278753601
P,Plant,pollen Quercus,5.23E-09,7500,-8.281,3.875061263
P,Plant,pollen various trees,5.23E-09,380000,-8.281,5.579783597
P,Plant,Populus deltoides,9.70E-04,100,-3.013,2
P,Plant,Populus grandidentata,1.50E-04,25,-3.824,1.397940009
P,Plant,Populus sp,1.18E-04,3900,-3.928,3.591064607
A,Fish,Poroderma africanum,1.45E+03,1.96E+06,3.163,6.293141483
A,Fish,Prionace glauca,4.63E+04,7.87E+06,4.666,6.896029912
A,Mammals,Procyon lotor,8.10E+03,2.66E+05,3.908,5.424064525
A,Birds,Progne subis,4.90E+01,3.36E+05,1.69,5.526339277
A,Birds,Prunella modularis,1.97E+01,1.80E+04,1.294,4.255272505
P,Plant,Prunus serotina,9.45E-02,50,-1.025,1.698970004
A,Amphib,Pseudacris maculata,1.79E+00,6.86E+02,0.252,2.836197481
A,Amphib,Pseudacris triseriata,1.79E+00,2.13E+02,0.252,2.328379603
A,Insect,Pseudacteon tricuspis,1.00E+00,4.00E+03,0,3.602059991
A,Insect,Pseudaletia separata,2.00E-01,1.40E+06,-0.699,6.146128036
A,Reptile,Pseudemys floridana,3.92E+03,2.86E+02,3.593,2.456366033
A,Reptile,Pseudemys rubriventris,3.48E+03,2.50E+02,3.541,2.397940009
P,Plant,Pseudobombax septenatum,8.69E-02,139,-1.061,2.1430148
P,Monera,Pseudomonas rhizobium,2.00E-09,2.00E-02,-8.699,-1.698970004
P,Plant,Pseudotsuga menziesii,1.08E-02,800,-1.967,2.903089987
P,Plant,Pterocarpus rohrii,3.37E-01,268,-0.472,2.428134794
A,Mammals,Pteromys volans,1.06E+02,9.00E+03,2.025,3.954242509
A,Birds,Pyrrhula pyrrhula,2.18E+01,2.42E+04,1.338,4.383815366
P,Plant,Quercus alba,3.02E+00,151,0.481,2.178976947
P,Plant,Quercus macrocarpa,6.05E+00,151,0.782,2.178976947
P,Plant,Quercus muehlenbergii,1.13E+00,45.3,0.055,1.656098202
P,Plant,Quercus palustris,1.11E+00,1900,0.044,3.278753601
P,Plant,Quercus rubra,2.59E+00,151,0.413,2.178976947
P,Plant,Quercus serrata,1.46E+00,28,0.164,1.447158031
P,Plant,Quercus velutina,3.09E+00,75,0.49,1.875061263
A,Birds,Quiscalus major,2.10E+02,3.50E+04,2.322,4.544068044
A,Amphib,Rana arvalis,8.13E+00,7.60E+03,0.91,3.880813592
A,Amphib,Rana aurora aurora,6.46E+00,2.40E+04,0.81,4.380211242
A,Amphib,Rana aurora draytonni,9.45E+01,3.60E+03,1.975,3.556302501
A,Amphib,Lithobates berlandieri,6.64E+01,1.60E+04,1.822,4.204119983
A,Amphib,Lithobates catesbeianus,1.76E+02,1.60E+03,2.245,3.204174266
A,Amphib,Lithobates clamitans,4.86E+01,4.80E+03,1.686,3.681241237
A,Amphib,Rana dalmatina,4.11E+01,3.00E+02,1.613,2.477121255
A,Amphib,Pelophylax lessonae,2.52E+01,1.50E+04,1.401,4.176091259
A,Amphib,Rana luteiventris,2.85E+01,6.50E+03,1.455,3.812913357
A,Amphib,Rana muscosa,2.52E+01,1.02E+03,1.401,3.008600172
A,Amphib,Lithobates pipiens,4.80E+00,8.00E+03,0.681,3.903089987
A,Amphib,Rana pretiosa,3.36E+01,1.28E+03,1.526,3.107264253
A,Amphib,Pelophylax ridibundus,6.72E+01,1.76E+03,1.827,3.245512668
A,Amphib,Lithobates sevosus,8.39E+01,2.00E+03,1.924,3.301029996
A,Amphib,Lithobates sylvaticus,1.18E+01,2.53E+03,1.071,3.403120521
A,Amphib,Rana temporaria,2.85E+01,4.60E+02,1.455,2.662757832
P,Plant,Ranunculus sceleratus,1.60E-04,35,-3.796,1.544068044
A,Birds,Recurvirostra americana,3.20E+02,1.94E+04,2.505,4.28780173
A,Fish,Rhincodon typus,4.07E+06,1.26E+07,6.61,7.101059355
A,Fish,Rhizoprionodon acutus,1.15E+03,1.00E+06,3.061,6.001733713
A,Fish,Rhizoprionodon longurio,8.55E+02,1.11E+06,2.932,6.045714059
A,Fish,Rhizoprionodon taylori,2.53E+02,9.20E+04,2.403,4.963787827
A,Fish,Rhizoprionodon terraenovae,1.57E+03,1.04E+06,3.197,6.015778756
A,Amphib,Rhyacotriton cascadae,2.45E+00,6.09E+00,0.388,0.784617293
A,Insect,Rhyssomatus lineaticollis,1.00E+00,6.80E+02,0,2.832508913
A,Birds,Riparia riparia,1.50E+01,1.44E+05,1.176,5.158362492
P,Plant,Rumex obtusifolius,1.24E-03,2.48,-2.908,0.394451681
P,Plant,Rumex scutatus,1.81E-03,12,-2.743,1.079181246
A,Amphib,Salamandra atra aurorae,1.27E+01,3.00E+01,1.104,1.477121255
A,Amphib,Salamandra salamandra,7.97E+01,3.00E+01,1.901,1.477121255
P,Plant,Salix alba,1.25E-04,6500,-3.902,3.812913357
P,Plant,Salix spp,1.25E-04,100,-3.902,2
P,Plant,Sanguinaria canadensis,1.27E-02,67,-1.896,1.826074803
P,Plant,Sassafras albidum,9.10E-02,151,-1.041,2.178976947
P,Plant,Saxifraga sp,5.55E-05,40,-4.256,1.602059991
A,Birds,Sayornis nigricans,2.00E+01,3.44E+04,1.301,4.536558443
P,Plant,Scabiosa columbaria,1.26E-03,3.5,-2.9,0.544068044
A,Mammals,Scapanus townsendii,1.48E+02,8.56E+02,2.17,2.932473765
A,Amphib,Scaphiopus holbrooki,2.05E+01,8.25E+02,1.311,2.916453949
A,Reptile,Sceloporus woodi,2.50E+01,7.50E+02,1.398,2.875061263
A,Insect,Schistocerca gregaria,2.00E+00,2.30E+06,0.301,6.361727836
A,Mammals,Sciurus niger,7.90E+02,3.37E+03,2.898,3.527629901
A,Fish,Scylliogaleus quecketti,1.38E+03,5.40E+04,3.139,4.73239376
A,Birds,Paruline hochequeue,2.10E+01,4.00E+03,1.322,3.602059991
P,Plant,Sempervivum sp,7.69E-05,1,-4.114,0
P,Plant,Senecio congestus,2.67E-04,8800,-3.574,3.944482672
P,Plant,Senecio jacobaea,5.00E-05,36,-4.301,1.556302501
P,Plant,Senecio squalidus,2.10E-04,2.53,-3.678,0.403120521
P,Plant,Senecio viscosus,6.00E-04,2.57,-3.222,0.409933123
P,Plant,Senecio vulgaris,2.30E-04,1200,-3.638,3.079181246
P,Plant,Sequoiadendron giganteum,5.00E-03,10.488,-2.301,1.020696343
P,Plant,Setaria parviflora,2.17E-03,0.39,-2.664,-0.408935393
P,Plant,Setaria verticillata,2.17E-03,3.28,-2.664,0.515873844
P,Plant,Silene rupestris,5.00E-04,10,-3.301,1
A,Insect,Simulium damnosum,1.00E-03,4.00E+05,-3,5.602059991
A,Birds,Sitta europaea,2.20E+01,2.41E+04,1.342,4.382017043
P,Plant,Solidago altissima,5.88E-05,14.9,-4.231,1.173186268
P,Plant,Solidago alpestris,5.88E-05,4,-4.231,0.602059991
P,Plant,Solidago missouriensis,5.88E-05,45,-4.231,1.653212514
P,Plant,Sonchus arvensis,6.00E-04,1100,-3.222,3.041392685
P,Plant,Sonchus oleraceus,3.43E-04,6.56,-3.465,0.816903839
A,Mammals,Sorex araneus,4.00E+00,8.69E+02,0.602,2.939019776
P,Plant,Sorghastrum nutans,1.46E-03,0.24,-2.836,-0.619788758
P,Plant,Spergularia marina,8.00E-05,340,-4.097,2.531478917
A,Mammals,Otospermophilus beecheyi,4.75E+02,1.44E+03,2.677,3.158362492
A,Mammals,Urocitellus beldingi,4.00E+02,3.28E+02,2.602,2.515873844
A,Mammals,Urocitellus leucopus,1.92E+02,5.15E+02,2.283,2.711807229
A,Mammals,Urocitellus richardsonii,4.05E+02,9.75E+02,2.607,2.989004616
A,Mammals,Ictidomys tridecemlineatus,1.40E+02,2.39E+02,2.146,2.378397901
P,Plant,Sphenopholis obtusata,1.34E-03,0.46,-2.872,-0.337242168
A,Fish,Sphyrna lewini,2.73E+04,1.67E+06,4.436,6.22297645
A,Fish,Sphyrna mokarran,9.82E+04,1.18E+06,4.992,6.071882007
