A/P,group,Scientific Name,Body Mass (g),Max. Indiv. Dispersal Distance (m),logmass,logdist
P,Plant,Asarum canadense,1.37E+01,35,1.137,1.544068044
A,Amphib,Ascaphus truei,5.14E+00,3.60E+02,0.711,2.556302501
P,Plant,Asclepias syriaca,4.44E-03,18.1,-2.353,1.257678575
A,Birds,Asio otus,2.79E+02,1.62E+05,2.446,5.208441356
P,Plant,Aspidosperma cruenata,8.71E-01,258,-0.06,2.411619706
P,Plant,Aster acuminatus,2.00E-03,5.25,-2.699,0.720159303
P,Plant,Aster prenantoides,2.00E-03,3.11,-2.699,0.492760389
P,Plant,Tripolium pannonicum,2.00E-03,1500,-2.699,3.176091259
P,Plant,Astrocaryum mexicanum,1.43E+01,9,1.155,0.954242509
P,Plant,Astronium graveolens,4.75E-02,184,-1.323,2.264817823
A,Fish,Atelomycterus fasciatus,1.77E+02,6.30E+04,2.248,4.799340549
A,Amphib,Atelopus varius,3.88E+00,2.00E+01,0.588,1.301029996
A,Birds,Athene cunicularia,1.50E+02,3.00E+04,2.176,4.477121255
A,Birds,Athene noctua,1.64E+02,9.43E+04,2.215,4.974511693
P,Plant,Atriplex patula,1.48E-03,55,-2.83,1.740362689
A,Fish,Aulohalaelurus labiosus,9.29E+02,3.80E+04,2.968,4.579783597
P,Mollusca,Balea spp,7.00E+00,9.00E+06,0.845,6.954242509
P,Rotifer,Bdelloid rotifers,1.00E-04,1.50E+02,-4,2.176091259
P,Plant,Betula lenta,7.02E-04,85,-3.154,1.929418926
P,Plant,Betula papyrifera,3.28E-04,475,-3.484,2.67669361
P,Plant,Betula populifolia,1.07E-04,64.1,-3.972,1.80685803
P,Protista,Bodonidae,1.00E-09,4.00E+02,-9,2.602059991
P,Plant,Pachira quinata,3.29E-02,324,-1.483,2.51054501
P,Plant,Bombacopsis sessilis,4.62E-01,88,-0.335,1.944482672
A,Amphib,Bombina variegata,2.50E-03,3.13E+02,-2.602,2.495266744
A,Birds,Tetrastes bonasia,4.29E+02,5.70E+03,2.632,3.755874856
P,Rotifer,Brachionus,1.00E-09,6.40E+01,-9,1.806179974
A,Birds,Branta canadensis,3.81E+03,3.05E+04,3.581,4.484299839
P,Plant,Bromus inermis,3.18E-03,7,-2.498,0.84509804
A,Birds,Bubo virginianus,1.56E+03,1.31E+06,3.192,6.115610512
A,Birds,Bucephala albeola,3.34E+02,4.50E+03,2.524,3.653212514
A,Birds,Bucephala clangula,1.00E+03,6.00E+03,3,3.77815125
A,Amphib,Anaxyrus americanus,5.70E+01,6.44E+03,1.756,3.808709146
A,Amphib,Anaxyrus baxteri,1.94E+01,4.24E+02,1.288,2.627160952
A,Amphib,Anaxyrus boreas,4.27E+01,6.00E+03,1.63,3.77815125
A,Amphib,Bufo bufo,3.76E+01,3.62E+03,1.575,3.558830924
A,Amphib,Anaxyrus fowleri,3.13E+01,3.40E+04,1.496,4.531478917
A,Amphib,Anaxyrus hemiophrys,3.13E+01,3.42E+02,1.496,2.534026106
A,Amphib,Anaxyrus japonicus formosus,2.51E+01,2.60E+02,1.399,2.414973348
A,Amphib,Rhinella marinus,3.32E+02,3.50E+04,2.521,4.544068044
A,Amphib,Anaxyrus punctatus,1.33E+01,9.00E+02,1.125,2.954242509
A,Amphib,Anaxyrus terrestris,2.99E+01,1.61E+03,1.475,3.206647806
A,Amphib,Incilius valliceps,7.28E+01,8.00E+02,1.862,2.903089987
A,Birds,Buteo lineatus,6.43E+02,2.40E+04,2.808,4.380211242
A,Birds,Buteo buteo,9.69E+02,7.24E+04,2.986,4.859738566
A,Birds,Buteo swainsoni,1.07E+03,3.20E+05,3.029,5.505149978
P,Plant,Calluna vulgaris,2.30E-05,81,-4.638,1.908485019
A,Insect,Calopteryx spp.,8.50E-02,7.00E+02,-1.071,2.84509804
A,Mammals,Canis latrans,1.41E+04,2.32E+05,4.148,5.365862215
A,Mammals,Canis lupus,2.90E+04,8.86E+05,4.462,5.947433722
P,Plant,Capsella bursa-pastoris,1.00E-04,35,-4,1.544068044
A,Fish,Carcharhinus acronotus,5.52E+03,3.15E+05,3.742,5.498310554
A,Fish,Carcharhinus albimarginatus,3.52E+04,7.00E+03,4.546,3.84509804
A,Fish,Carcharhinus altimus,1.86E+05,3.34E+06,5.27,6.524136377
A,Fish,Carcharhinus amblyrhynchos,2.10E+04,1.73E+05,4.322,5.238046103
A,Fish,Carcharhinus amboinensis,5.70E+04,2.42E+05,4.756,5.383815366
A,Fish,Carcharhinus brevipinna,3.58E+04,1.67E+06,4.554,6.221414238
A,Fish,Carcharhinus dussumieri,1.67E+03,4.00E+03,3.221,3.602059991
A,Fish,Carcharhinus falciformis,5.27E+04,1.34E+06,4.722,6.126780577
A,Fish,Carcharhinus fitzroyensis,3.11E+03,1.50E+05,3.493,5.176091259
A,Fish,Carcharhinus galapagensis,5.19E+04,2.86E+06,4.715,6.456214155
A,Fish,Carcharhinus isodon,1.23E+04,6.00E+03,4.089,3.77815125
A,Fish,Carcharhinus leucas,4.44E+04,6.43E+05,4.648,5.808210973
A,Fish,Carcharhinus limbatus,2.53E+04,2.15E+06,4.402,6.331629718
A,Fish,Carcharhinus longimanus,4.01E+04,2.81E+06,4.604,6.448860846
A,Fish,Carcharhinus macloti,1.82E+03,7.11E+05,3.261,5.851869601
A,Fish,Carcharhinus melanopterus,5.52E+03,5.00E+03,3.742,3.698970004
A,Fish,Carcharhinus obscurus,1.37E+05,3.80E+06,5.138,6.579783597
A,Fish,Carcharhinus perezii,2.40E+04,4.80E+04,4.381,4.681241237
A,Fish,Carcharhinus plumbeus,2.74E+04,3.78E+06,4.438,6.577031986
A,Fish,Carcharhinus sealei,1.99E+03,3.67E+05,3.299,5.564666064
A,Fish,Carcharhinus signatus,4.56E+04,2.67E+06,4.659,6.426348574
A,Fish,Carcharhinus sorrah,7.58E+03,1.12E+06,3.88,6.047664195
A,Fish,Carcharhinus tilsonii,7.69E+03,1.35E+06,3.886,6.129689892
