"ID","Type","Eco","mean_cv_studylevel","sd_cv_studylevel","cv_res"
"A129_P1","LAT","Ter",0.0787203242621052,0.182255994287208,"25km"
"A129_P1","LAT","Ter",0.20545817738639,0.307936934760373,"50km"
"A129_P3","LAT","Ter",3.8835503612645,3.67560142319989,"110km"
"A129_P3","LAT","Ter",0.698462827086634,2.22459389896973,"25km"
"A129_P3","LAT","Ter",1.72063234241796,3.71086310255332,"50km"
"A130_P1","LAT","Ter",1.0981068012408,1.63350097989983,"110km"
"A130_P1","LAT","Ter",0.489789986538094,1.35071564176813,"25km"
"A130_P1","LAT","Ter",0.677380558128954,1.44212117412839,"50km"
"A132_P1","LAT","Mar",1.21093437038863,0.453868080349017,"110km"
"A132_P1","LAT","Mar",1.04736489808529,0.577078381250807,"25km"
"A132_P1","LAT","Mar",1.07242909407974,0.499245826031159,"50km"
"A134_P1","LAT","Ter",2.56709214222842,1.74932875647555,"110km"
"A134_P1","LAT","Ter",0.526695500055665,1.37761803801076,"25km"
"A134_P1","LAT","Ter",1.56574689314192,2.21608039608506,"50km"
"A135_P1","LAT","Ter",4.22330323316283,1.88197924978921,"110km"
"A135_P1","LAT","Ter",2.31496336365777,2.84324305273274,"25km"
"A135_P1","LAT","Ter",3.10528947766303,2.99628798343472,"50km"
"A136_P1","LAT","Ter",1.08755322890242,1.02797326805742,"110km"
"A136_P1","LAT","Ter",0.610528087514486,0.932142854165401,"25km"
"A136_P1","LAT","Ter",0.775235619876873,1.02712764152044,"50km"
"A136_P2","LAT","Ter",0.671660567782965,1.17503643333755,"110km"
"A136_P2","LAT","Ter",0.307988596294953,0.781081910124359,"25km"
"A136_P2","LAT","Ter",0.499106004042105,0.991444431546503,"50km"
"A136_P3","LAT","Ter",0.682474979534462,0.648927531084237,"110km"
"A136_P3","LAT","Ter",0.362789738701461,0.581419877984961,"25km"
"A136_P3","LAT","Ter",0.482892171108323,0.645319459208059,"50km"
"A136_P4","LAT","Ter",0.671660567782965,1.17503643333755,"110km"
"A136_P4","LAT","Ter",0.307988596294953,0.781081910124359,"25km"
"A136_P4","LAT","Ter",0.499106004042105,0.991444431546503,"50km"
"A136_P5","LAT","Ter",0.682474979534462,0.648927531084237,"110km"
"A136_P5","LAT","Ter",0.362789738701461,0.581419877984961,"25km"
"A136_P5","LAT","Ter",0.482892171108323,0.645319459208059,"50km"
"A136_P6","LAT","Ter",1.10754321439467,1.84654330072484,"110km"
"A136_P6","LAT","Ter",0.519024905190032,1.23235437843497,"25km"
"A136_P6","LAT","Ter",0.827817325102288,1.54223011615816,"50km"
"A137_P1","LAT","Ter",1.0981068012408,1.63350097989983,"110km"
"A137_P1","LAT","Ter",0.489789986538094,1.35071564176813,"25km"
"A137_P1","LAT","Ter",0.677380558128954,1.44212117412839,"50km"
"A138_P1","LAT","Ter",2.78439439336459,2.75868024409897,"110km"
"A138_P1","LAT","Ter",0.0673827676810877,1.95983914517316,"25km"
"A138_P1","LAT","Ter",-0.262645627422766,2.40648889023259,"50km"
"A139_P2","LAT","Ter",1.03064661856854,0.254835254377152,"110km"
"A139_P2","LAT","Ter",0.677045181928658,0.509466791713975,"25km"
"A139_P2","LAT","Ter",1.02982477968681,0.789904556635389,"50km"
"A141_P1","LAT","Ter",8.34368460678628,6.5671114803274,"110km"
"A141_P1","LAT","Ter",2.66028587264477,6.64991680004957,"25km"
"A141_P1","LAT","Ter",6.90199784744125,10.3464003253255,"50km"
"A143_P1","LAT","Ter",6.9190524044362,4.07445503384854,"110km"
"A143_P1","LAT","Ter",4.1636134230087,3.61721305008427,"25km"
"A143_P1","LAT","Ter",5.47565507741964,3.4600974969022,"50km"
"A144_P1","LAT","Ter",4.21547290276397,2.29841586888018,"110km"
"A144_P1","LAT","Ter",2.61344151958852,2.21469565215206,"25km"
"A144_P1","LAT","Ter",3.37956078616307,2.09676263757026,"50km"
"A145_P1","LAT","Ter",1.0981068012408,1.63350097989983,"110km"
"A145_P1","LAT","Ter",0.489789986538094,1.35071564176813,"25km"
"A145_P1","LAT","Ter",0.677380558128954,1.44212117412839,"50km"
"A146_P1","LAT","Mar",4.35775800732275,4.66784968297068,"110km"
"A146_P1","LAT","Mar",4.33182959818789,6.42580821675321,"25km"
"A146_P1","LAT","Mar",4.53966983177955,6.38882348082047,"50km"
"A15_P1","LAT","Ter",2.21183269565762,3.97972670861839,"110km"
"A15_P1","LAT","Ter",0.840415217471427,2.49017085926065,"25km"
"A15_P1","LAT","Ter",1.22066726294038,3.18500391996965,"50km"
"A151_P1","LAT","Mar",0.54121403892835,0.182387187856082,"110km"
"A151_P1","LAT","Mar",0.933241178056536,0.625630496860705,"25km"
"A151_P1","LAT","Mar",0.976276788515625,0.744809472631122,"50km"
