"reported_name","reported_name_fixed","scientificName","kingdom","phylum","class","order","family","db","db_code","HandWingIndex","KippsDistance","Database","Unit"
"Acanthis flammea","Acanthis flammea","Acanthis flammea","Animalia","Chordata","Aves","Passeriformes","Fringillidae","gbif","GBIF:5231630",33.1,25,"AVONET","mm"
"Carduelis carduelis","Carduelis carduelis","Carduelis carduelis","Animalia","Chordata","Aves","Passeriformes","Fringillidae","gbif","GBIF:2494686",33.4,25.8,"AVONET","mm"
"Chloris chloris","Chloris chloris","Chloris chloris","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:11212714",32.5,27.8,"AVONET","mm"
"Fringilla coelebs","Fringilla coelebs","Fringilla coelebs","Animalia","Chordata","Aves","Passeriformes","Fringillidae","gbif","GBIF:2494422",27.6,23.7,"AVONET","mm"
"Linaria cannabina","Linaria cannabina","Linaria cannabina","Animalia","Chordata","Aves","Passeriformes","Fringillidae","gbif","GBIF:8104397",34.4,26.9,"AVONET","mm"
"Pyrrhula pyrrhula","Pyrrhula pyrrhula","Pyrrhula pyrrhula","Animalia","Chordata","Aves","Passeriformes","Fringillidae","gbif","GBIF:2494543",24.9,22.1,"AVONET","mm"
"Delichon lagopodum","Delichon lagopodum","Delichon urbicum","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","gbif","GBIF:2489214",54.3,58.9,"AVONET","mm"
"Delichon urbicum","Delichon urbicum","Delichon urbicum","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","gbif","GBIF:2489214",54.3,58.9,"AVONET","mm"
"Hirundo rustica","Hirundo rustica","Hirundo rustica","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","gbif","GBIF:9515886",52.6,62.3,"AVONET","mm"
"Petrochelidon fulva","Petrochelidon fulva","Petrochelidon fulva","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","gbif","GBIF:2489166",52.6,54.1,"AVONET","mm"
"Progne subis","Progne subis","Progne subis","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","gbif","GBIF:2489129",52,76.6,"AVONET","mm"
"Riparia riparia","Riparia riparia","Riparia riparia","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","gbif","GBIF:2489160",53,54,"AVONET","mm"
"Tachycineta bicolor","Tachycineta bicolor","Tachycineta bicolor","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","gbif","GBIF:2489181",53,61.3,"AVONET","mm"
"Molothrus ater","Molothrus ater","Molothrus ater","Animalia","Chordata","Aves","Passeriformes","Icteridae","gbif","GBIF:2484391",33,33.9,"AVONET","mm"
"Quiscalus major","Quiscalus major","Quiscalus major","Animalia","Chordata","Aves","Passeriformes","Icteridae","gbif","GBIF:2484133",29.7,47.6,"AVONET","mm"
"Lanius ludovicianus","Lanius ludovicianus","Lanius ludovicianus","Animalia","Chordata","Aves","Passeriformes","Laniidae","gbif","GBIF:2492870",22.6,21.7,"AVONET","mm"
"Malurus splendens","Malurus splendens","Malurus splendens","Animalia","Chordata","Aves","Passeriformes","Maluridae","gbif","GBIF:2487511",12.3,6.2,"AVONET","mm"
"Toxostoma curvirostre","Toxostoma curvirostre","Toxostoma curvirostre","Animalia","Chordata","Aves","Passeriformes","Mimidae","gbif","GBIF:5231688",17.7,19.8,"AVONET","mm"
"Motacilla alba","Motacilla alba","Motacilla alba","Animalia","Chordata","Aves","Passeriformes","Motacillidae","gbif","GBIF:9687165",31.4,27.4,"AVONET","mm"
"Motacilla cinerea","Motacilla cinerea","Motacilla cinerea","Animalia","Chordata","Aves","Passeriformes","Motacillidae","gbif","GBIF:2490310",34.6,28.6,"AVONET","mm"
"Motacilla flava","Motacilla flava","Motacilla flava","Animalia","Chordata","Aves","Passeriformes","Motacillidae","gbif","GBIF:9701857",31.1,24.7,"AVONET","mm"
"Erithacus rubecula","Erithacus rubecula","Erithacus rubecula","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","gbif","GBIF:2492462",19.9,14.2,"AVONET","mm"
"Ficedula hypoleuca","Ficedula hypoleuca","Ficedula hypoleuca","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","gbif","GBIF:2492606",30.4,24.2,"AVONET","mm"
"Muscicapa striata","Muscicapa striata","Muscicapa striata","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","gbif","GBIF:2492576",30.2,26.1,"AVONET","mm"
"Oenanthe oenanthe","Oenanthe oenanthe","Oenanthe oenanthe","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","gbif","GBIF:5231240",32.1,30.5,"AVONET","mm"
"Oenanthe seebohmi","Oenanthe seebohmi","Oenanthe oenanthe","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","gbif","GBIF:5231240",32.1,30.5,"AVONET","mm"
