"reported_name","reported_name_fixed","scientificName","kingdom","phylum","class","order","family","db","db_code","HandWingIndex","KippsDistance","Database","Unit"
"Vireo griseus","Vireo griseus","Vireo griseus","Animalia","Chordata","Aves","Passeriformes","Vireonidae","gbif","GBIF:2487413",17.9,11.1,"AVONET","mm"
"Ardea alba","Ardea alba","Ardea alba","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","gbif","GBIF:9752617",32.1,120.7,"AVONET","mm"
"Ardea cinerea","Ardea cinerea","Ardea cinerea","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","gbif","GBIF:9797180",34.6,152.7,"AVONET","mm"
"Egretta thula","Egretta thula","Egretta thula","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","gbif","GBIF:2480873",31.9,79.8,"AVONET","mm"
"Nycticorax nycticorax","Nycticorax nycticorax","Nycticorax nycticorax","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","gbif","GBIF:2480863",33.1,92.7,"AVONET","mm"
"Pelecanus erythrorhynchos","Pelecanus erythrorhynchos","Pelecanus erythrorhynchos","Animalia","Chordata","Aves","Pelecaniformes","Pelecanidae","gbif","GBIF:5229155",44.9,251,"AVONET","mm"
"Eudocimus albus","Eudocimus albus","Eudocimus albus","Animalia","Chordata","Aves","Pelecaniformes","Threskiornithidae","gbif","GBIF:5229205",35.2,97.2,"AVONET","mm"
"Plegadis chihi","Plegadis chihi","Plegadis chihi","Animalia","Chordata","Aves","Pelecaniformes","Threskiornithidae","gbif","GBIF:9375033",38.6,93.8,"AVONET","mm"
"Plegadis falcinellus","Plegadis falcinellus","Plegadis falcinellus","Animalia","Chordata","Aves","Pelecaniformes","Threskiornithidae","gbif","GBIF:2480773",38.9,104.7,"AVONET","mm"
"Dendrocopos major","Dendrocopos major","Dendrocopos major","Animalia","Chordata","Aves","Piciformes","Picidae","gbif","GBIF:2477968",29.3,40.8,"AVONET","mm"
"Hylatomus pileatus","Hylatomus pileatus","Dryocopus pileatus","Animalia","Chordata","Aves","Piciformes","Picidae","gbif","GBIF:5228824",25.3,56.4,"AVONET","mm"
"Picus viridis","Picus viridis","Picus viridis","Animalia","Chordata","Aves","Piciformes","Picidae","gbif","GBIF:2478523",24.7,41,"AVONET","mm"
"Phoebastria nigripes","Phoebastria nigripes","Phoebastria nigripes","Animalia","Chordata","Aves","Procellariiformes","Diomedeidae","gbif","GBIF:2481383",64.7,313.2,"AVONET","mm"
"Aegolius funereus","Aegolius funereus","Aegolius funereus","Animalia","Chordata","Aves","Strigiformes","Strigidae","gbif","GBIF:5739298",31.5,53.2,"AVONET","mm"
"Asio otus","Asio otus","Asio otus","Animalia","Chordata","Aves","Strigiformes","Strigidae","gbif","GBIF:2497306",41.2,115.5,"AVONET","mm"
"Athene cunicularia","Athene cunicularia","Athene cunicularia","Animalia","Chordata","Aves","Strigiformes","Strigidae","gbif","GBIF:2497240",28.3,51,"AVONET","mm"
"Bubo scandiacus","Bubo scandiacus","Bubo scandiacus","Animalia","Chordata","Aves","Strigiformes","Strigidae","gbif","GBIF:5959143",41.1,172,"AVONET","mm"
"Bubo virginianus","Bubo virginianus","Bubo virginianus","Animalia","Chordata","Aves","Strigiformes","Strigidae","gbif","GBIF:5959118",30.4,112.7,"AVONET","mm"
"Megascops asio","Megascops asio","Megascops asio","Animalia","Chordata","Aves","Strigiformes","Strigidae","gbif","GBIF:2497415",28.8,48.4,"AVONET","mm"
"Strix aluco","Strix aluco","Strix aluco","Animalia","Chordata","Aves","Strigiformes","Strigidae","gbif","GBIF:9282206",29.3,77.7,"AVONET","mm"
"Strix nebulosa","Strix nebulosa","Strix nebulosa","Animalia","Chordata","Aves","Strigiformes","Strigidae","gbif","GBIF:2497522",31.9,139,"AVONET","mm"
"Strix varia","Strix varia","Strix varia","Animalia","Chordata","Aves","Strigiformes","Strigidae","gbif","GBIF:2497541",29.6,101,"AVONET","mm"
"Tyto alba","Tyto alba","Tyto alba","Animalia","Chordata","Aves","Strigiformes","Tytonidae","gbif","GBIF:2497921",39.7,111.5,"AVONET","mm"
"Morus bassanus","Morus bassanus","Morus bassanus","Animalia","Chordata","Aves","Suliformes","Sulidae","gbif","GBIF:2480964",62.1,300.5,"AVONET","mm"
