"sp_name_checked","ShiftKmY","DispersalPotentialKmY","MedianDispersalPotentialKmY","ClimVeloKmY_RelScale","q3ClimVeloKmY_RelScale"
"Carduelis_carduelis",3.8,52.2,10.6,0.2,0.3
"Acer_rubrum",0.2,1.1,0,0.1,0.3
