,sciname,geom,geosd,n,range,max,min,recoveryyearmean,arimean
Brown Booby,Sula leucogaster,108.5226669,NA,1,0,2,2,2,108.5226669
Northern Gannet,Morus bassanus,2715.280848,NA,1,0,7,7,7,2715.280848
Common Merganser,Mergus merganser,0.668806371,NA,1,0,1,1,1,0.668806371
Mottled Duck,Anas fulvigula,57.86448165,NA,1,0,6,6,6,57.86448165
Northern Pintail,Anas acuta,2.541645117,NA,1,0,1,1,1,2.541645117
Lesser Scaup,Aythya affinis,0.697859425,NA,1,0,1,1,1,0.697859425
Common Goldeneye,Bucephala clangula,1.165930376,NA,1,0,5,5,5,1.165930376
King Eider,Somateria spectabilis,1.324141494,NA,1,0,5,5,5,1.324141494
White-winged Scoter,Melanitta deglandi,10.80646399,NA,1,0,6,6,6,10.80646399
Emperor Goose,Anser canagicus,810.1116004,NA,1,0,19,19,19,810.1116004
White-faced Ibis,Plegadis chihi,789.3352312,NA,1,0,2,2,2,789.3352312
American Avocet,Recurvirostra americana,353.9684603,NA,1,0,15,15,15,353.9684603
Hudsonian Godwit,Limosa haemastica,21.41897625,NA,1,0,6,6,6,21.41897625
Whimbrel,Numenius phaeopus,6.909362073,NA,1,0,13,13,13,6.909362073
Wilson's Plover,Charadrius wilsonia,2.399691808,NA,1,0,5,5,5,2.399691808
Black Oystercatcher,Haematopus bachmani,22.60057223,NA,1,0,4,4,4,22.60057223
Western Screech-Owl,Megascops kennicottii,4.314334428,NA,1,0,5,5,5,4.314334428
American Crow,Corvus brachyrhynchos,51.76120295,NA,1,0,11,11,11,51.76120295
Black-capped Vireo,Vireo atricapilla,4.535889139,NA,1,0,1,1,1,4.535889139
Cactus Wren,Campylorhynchus brunneicapillus,0.457560115,NA,1,0,2,2,2,0.457560115
House Wren,Troglodytes aedon,147.4331741,NA,1,0,4,4,4,147.4331741
Brown-headed Nuthatch,Sitta pusilla,3.532518744,NA,1,0,3,3,3,3.532518744
Black-capped Chickadee,Poecile atricapillus,2.996373957,NA,1,0,2,2,2,2.996373957
