"ID","binomial","species_studyid","range_source","Area_m2_overlap","Area_m2_range","Area_m2_ID"
"A1_P1","Turdus philomelos","Turdus philomelos_A1_P1","GBIF occurrence",463669386.729918,21849802736913.5,463669386.729918
"A1_P1","Turdus viscivorus","Turdus viscivorus_A1_P1","BOTW",463669386.729918,15469229780342,463669386.729918
"A1_P1","Turdus viscivorus","Turdus viscivorus_A1_P1","GBIF occurrence",463669386.729918,18883183004896,463669386.729918
"A1_P2","Certhia brachydactyla","Certhia brachydactyla_A1_P2","BOTW",254597058.350836,3199552332107.33,254597058.350836
"A1_P2","Erithacus rubecula","Erithacus rubecula_A1_P2","BOTW",254597058.350836,13266206035598.6,254597058.350836
"A1_P2","Erithacus rubecula","Erithacus rubecula_A1_P2","GBIF occurrence",254597058.350836,17122085882036.2,254597058.350836
"A1_P2","Fringilla coelebs","Fringilla coelebs_A1_P2","BOTW",254597058.350836,18764831136434.6,254597058.350836
"A1_P2","Fringilla coelebs","Fringilla coelebs_A1_P2","GBIF occurrence",254597058.350836,23778779871499.6,254597058.350836
"A1_P2","Garrulus glandarius","Garrulus glandarius_A1_P2","BOTW",254597058.350836,19458203901424.9,254597058.350836
"A1_P2","Garrulus glandarius","Garrulus glandarius_A1_P2","GBIF occurrence",254597058.350836,24757491837062.8,254597058.350836
"A1_P2","Loxia curvirostra","Loxia curvirostra_A1_P2","BOTW",107600812.813678,29578527374229.2,254597058.350836
"A1_P2","Loxia curvirostra","Loxia curvirostra_A1_P2","GBIF occurrence",254597058.350836,34611140002600.8,254597058.350836
"A1_P2","Luscinia megarhynchos","Luscinia megarhynchos_A1_P2","BOTW",254597058.350836,11512328434228,254597058.350836
"A1_P2","Luscinia megarhynchos","Luscinia megarhynchos_A1_P2","GBIF occurrence",254597058.350836,22358822393669,254597058.350836
"A1_P2","Cyanistes caeruleus","Cyanistes caeruleus_A1_P2","BOTW",254597058.350836,8770881493349.4,254597058.350836
"A1_P2","Cyanistes caeruleus","Cyanistes caeruleus_A1_P2","GBIF occurrence",254597058.350836,12689161166487.8,254597058.350836
"A1_P2","Lophophanes cristatus","Lophophanes cristatus_A1_P2","BOTW",254597058.350836,5918314938168.35,254597058.350836
"A1_P2","Lophophanes cristatus","Lophophanes cristatus_A1_P2","GBIF occurrence",254597058.350836,7823910925362.12,254597058.350836
"A1_P2","Parus major","Parus major_A1_P2","BOTW",254597058.350836,32577984275430.2,254597058.350836
"A1_P2","Parus major","Parus major_A1_P2","GBIF occurrence",254597058.350836,25743444781922.1,254597058.350836
"A1_P2","Phylloscopus bonelli","Phylloscopus bonelli_A1_P2","BOTW",254597058.350836,10369394006459.3,254597058.350836
"A1_P2","Phylloscopus collybita","Phylloscopus collybita_A1_P2","BOTW",254597058.350836,27400224889405.9,254597058.350836
"A1_P2","Phylloscopus collybita","Phylloscopus collybita_A1_P2","GBIF occurrence",254597058.350836,38153500956400.2,254597058.350836
"A1_P2","Regulus ignicapilla","Regulus ignicapilla_A1_P2","BOTW",254597058.350836,3980020190588.46,254597058.350836
"A1_P2","Regulus ignicapilla","Regulus ignicapilla_A1_P2","GBIF occurrence",254597058.350836,7464568196615.7,254597058.350836
"A1_P2","Sylvia atricapilla","Sylvia atricapilla_A1_P2","BOTW",254597058.350836,21049205579532.4,254597058.350836
"A1_P2","Sylvia atricapilla","Sylvia atricapilla_A1_P2","GBIF occurrence",254597058.350836,21991344565769.2,254597058.350836
