Species,Original,Genus,Family,Order,Dispersal_syndrome,Growth_form,Seed_weight_(mg),Seed_release_height_(m),Seed_terminal_velocity_(m/s),Maximum_recorded_dispersal_distance_(m),99th_percentile_dispersal_distance_(m),90th_percentile_dispersal_distance_(m),Mean_dispersal_distance_(m),Mode_dispersal_distance_(m),Median_dispersal_distance_(m),Maximum_dispersal_distance_(m),Calculated_maximum_dispersal_distance_(m),Maximum_dispersal_distance_analysis_(m),Data_type,Region,Reference
Macrozamia communis,,Macrozamia,Zamiaceae,Cycadales,animal,tree,10.5,,,25,,,9.6,,,25,,25,field,tropics,Ballardie & Whelan 1986
Monotoca scoparia,,Monotoca,Ericaceae,Ericales,ant,shrub,,,,5,,,,,,5,,5,field,tropics,Berg 1975
Nuytsia floribunda,,Nuytsia,Loranthaceae,Santalales,wind (special),tree,80.83,,,37.5,,,,7.5,,37.5,,37.5,field,tropics,Lamont 1985 in Hughes et al. 1994
Sclerolaena diacantha,,Sclerolaena,Amaranthaceae,Caryophyllales,ant,herb,5.44,,,77,,,,,,77,,77,field,tropics,Davidson & Morton 1981
Ficus crassiramea,Ficus subtecta,Ficus,Moraceae,Rosales,animal,tree,,,,60,,,5.36,,,60,,60,field,tropics,Laman 1996
Ficus crassiramea subsp. stupenda,Ficus stupenda,Ficus,Moraceae,Rosales,animal,tree,,,,60,,,6.67,,,60,,60,field,tropics,Laman 1996
Aristida congesta,,Aristida,Poaceae,Poales,wind (none),herb,0.48,,2.16,2.31,,,,,,2.31,,2.31,model,tropics,Ernst et al. 1992
Cenchrus ciliaris,,Cenchrus,Poaceae,Poales,wind (none),herb,1.51,,1.24,7.26,,,,,,7.26,,7.26,model,tropics,Ernst et al. 1992
Chloris virgata,,Chloris,Poaceae,Poales,wind (special),herb,0.57,,0.9,5.56,,,,,,5.56,,5.56,model,tropics,Ernst et al. 1992
Enneapogon cenchroides,,Enneapogon,Poaceae,Poales,wind (special),herb,0.33,,0.61,13.11,,,,,,13.11,,13.11,model,tropics,Ernst et al. 1992
Eragrostis cylindriflora,Eragrostis rigidor,Eragrostis,Poaceae,Poales,wind (none),herb,0.13,,1.08,10.19,,,,,,10.19,,10.19,model,tropics,Ernst et al. 1992
Panicum maximum,,Panicum,Poaceae,Poales,wind (none),herb,0.81,,1.19,7.95,,,,,,7.95,,7.95,model,tropics,Ernst et al. 1992
