Species,Original,Genus,Family,Order,Dispersal_syndrome,Growth_form,Seed_weight_(mg),Seed_release_height_(m),Seed_terminal_velocity_(m/s),Maximum_recorded_dispersal_distance_(m),99th_percentile_dispersal_distance_(m),90th_percentile_dispersal_distance_(m),Mean_dispersal_distance_(m),Mode_dispersal_distance_(m),Median_dispersal_distance_(m),Maximum_dispersal_distance_(m),Calculated_maximum_dispersal_distance_(m),Maximum_dispersal_distance_analysis_(m),Data_type,Region,Reference
Allium oleraceum,,Allium,Amaryllidaceae,Asparagales,wind (none),herb,,0.7,,,0.28,,,,0.06,0.28,,0.28,model,temperate,Soons & Ozinga 2005
Allium vineale,,Allium,Amaryllidaceae,Asparagales,wind (none),herb,,0.7,,,0.24,,,,0.05,0.24,,0.24,model,temperate,Soons & Ozinga 2005
Anagallis minima,,Anagallis,Primulaceae,Ericales,wind (none),herb,0.04,0.08,1.34,,0.02,,,,0,0.02,,0.02,model,temperate,Soons & Ozinga 2005
Apera spica-venti,,Apera,Poaceae,Poales,wind (special),herb,0.1,1,1.31,140,,,,,,140,,140,field,temperate,Feekes 1936 in Cain et al. 1998
Aquilegia vulgaris,,Aquilegia,Ranunculaceae,Ranunculales,wind (none),herb,1.5,,3.42,,0.41,,,,0.07,0.41,,0.41,model,temperate,Soons & Ozinga 2005
Arabidopsis thaliana,,Arabidopsis,Brassicaceae,Brassicales,wind (none),herb,0.02,0.3,,,0.25,,,,0.05,0.25,,0.25,model,temperate,Soons & Ozinga 2005
Arabis hirsuta subsp. hirsuta,,Arabis,Brassicaceae,Brassicales,wind (none),herb,0.14,0.8,1.77,,0.47,,,,0.09,0.47,,0.47,model,temperate,Soons & Ozinga 2005
Arenaria serpyllifolia,,Arenaria,Caryophyllaceae,Caryophyllales,wind (none),herb,0.07,0.3,2.01,,0.13,,,,0.03,0.13,,0.13,model,temperate,Soons & Ozinga 2005
Armeria maritima,,Armeria,Plumbaginaceae,Caryophyllales,wind (special),herb,0.03,0.5,,,0.28,,,,0.05,0.28,,0.28,model,temperate,Soons & Ozinga 2005
Arnica montana,,Arnica,Asteraceae,Asterales,wind (special),herb,1.67,0.5,,,0.93,,,,0.16,0.93,,0.93,model,temperate,Soons & Ozinga 2005
Artemisia vulgaris,,Artemisia,Asteraceae,Asterales,wind (none),herb,0.17,2.5,,,2.43,,,,0.38,2.43,,2.43,model,temperate,Soons & Ozinga 2005
Atriplex prostrata subsp. calotheca,Atriplex patula var. hastata,Atriplex,Amaranthaceae,Caryophyllales,wind (none),herb,,1.5,,55,,,,,,55,,55,field,temperate,Feekes 1936 in Cain et al. 1998
Atriplex hortensis,,Atriplex,Amaranthaceae,Caryophyllales,wind (special),herb,5.6,1.5,,,1.47,,,,0.23,1.47,,1.47,model,temperate,Soons & Ozinga 2005
Atriplex patula,,Atriplex,Amaranthaceae,Caryophyllales,wind (none),herb,1.43,1.5,,,0.22,,,,0.04,0.22,,0.22,model,temperate,Soons & Ozinga 2005
Atriplex prostrata,,Atriplex,Amaranthaceae,Caryophyllales,wind (special),herb,1.31,1,2.49,,0.73,,,,0.12,0.73,,0.73,model,temperate,Soons & Ozinga 2005
Barbarea vulgaris,,Barbarea,Brassicaceae,Brassicales,wind (none),herb,0.6,0.9,2.96,,0.28,,,,0.05,0.28,,0.28,model,temperate,Soons & Ozinga 2005
Bellis perennis,,Bellis,Asteraceae,Asterales,wind (none),herb,0.13,0.15,,,0.09,,,,0.02,0.09,,0.09,model,temperate,Soons & Ozinga 2005
Brassica nigra,,Brassica,Brassicaceae,Brassicales,wind (none),herb,1.3,1.34,3.84,,0.36,,,,0.08,0.36,,0.36,model,temperate,Soons & Ozinga 2005
Brassica oleracea,,Brassica,Brassicaceae,Brassicales,wind (none),herb,3.94,1.2,,,0.21,,,,0.05,0.21,,0.21,model,temperate,Soons & Ozinga 2005
Brassica rapa,,Brassica,Brassicaceae,Brassicales,wind (none),herb,2,1.02,,,0.29,,,,0.07,0.29,,0.29,model,temperate,Soons & Ozinga 2005
Campanula rapunculoides,,Campanula,Campanulaceae,Asterales,wind (none),herb,0.13,0.8,,,0.77,,,,0.14,0.77,,0.77,model,temperate,Soons & Ozinga 2005
Campanula rotundifolia,,Campanula,Campanulaceae,Asterales,wind (none),herb,0.06,0.48,1.57,,0.35,,,,0.07,0.35,,0.35,model,temperate,Soons & Ozinga 2005
Campanula trachelium,,Campanula,Campanulaceae,Asterales,wind (none),herb,0.21,1,,,1.45,,,,0.25,1.45,,1.45,model,temperate,Soons & Ozinga 2005
Capsella bursa-pastoris,,Capsella,Brassicaceae,Brassicales,wind (none),herb,0.1,0.7,2.08,35,,,,,,35,,35,field,temperate,Feekes 1936 in Cain et al. 1998
Carduus acanthoides,,Carduus,Asteraceae,Asterales,wind (special),herb,2.49,2,,,14.36,,,,1.15,14.36,,14.36,model,temperate,Soons & Ozinga 2005
Carduus crispus,,Carduus,Asteraceae,Asterales,wind (special),herb,1.75,1.8,,,17.25,,,,1.3,17.25,,17.25,model,temperate,Soons & Ozinga 2005
Carex extensa,,Carex,Cyperaceae,Poales,wind (none),herb,1.15,0.3,3.08,31,,,,,,31,,31,field,temperate,Feekes 1936 in Cain et al. 1998
Carex echinata,,Carex,Cyperaceae,Poales,wind (none),herb,0.86,0.4,2.31,,0.16,,,,0.03,0.16,,0.16,model,temperate,Soons & Ozinga 2005
Carex remota,,Carex,Cyperaceae,Poales,wind (none),herb,0.48,0.6,,,0.62,,,,0.1,0.62,,0.62,model,temperate,Soons & Ozinga 2005
Carlina vulgaris,,Carlina,Asteraceae,Asterales,wind (special),herb,1.4,0.6,0.585,,1.67,,,,0.22,1.67,,1.67,model,temperate,Soons & Ozinga 2005
Centaurea cyanus,,Centaurea,Asteraceae,Asterales,wind (special),herb,4.1,1.01,3.63,,0.16,,,,0.03,0.16,,0.16,model,temperate,Soons & Ozinga 2005
Centaurea jacea,,Centaurea,Asteraceae,Asterales,wind (special),herb,1.06,1.5,,,0.73,,,,0.13,0.73,,0.73,model,temperate,Soons & Ozinga 2005
Centaurea scabiosa,,Centaurea,Asteraceae,Asterales,wind (special),herb,6.5,1.5,3.34,,1.95,,,,0.29,1.95,,1.95,model,temperate,Soons & Ozinga 2005
Centaurium pulchellum,,Centaurium,Gentianaceae,Gentianales,wind (none),herb,0.02,0.15,0.99,,0.15,,,,0.02,0.15,,0.15,model,temperate,Soons & Ozinga 2005
Cephalanthera damasonium,,Cephalanthera,Orchidaceae,Asparagales,wind (special),herb,,0.6,,,14.67,,,,0.95,14.67,,14.67,model,temperate,Soons & Ozinga 2005
Cerastium fontanum subsp. vulgare,,Cerastium,Caryophyllaceae,Caryophyllales,wind (none),herb,,0.6,,,0.16,,,,0.03,0.16,,0.16,model,temperate,Soons & Ozinga 2005
Cerastium semidecandrum,,Cerastium,Caryophyllaceae,Caryophyllales,wind (none),herb,0.04,0.2,1.3,,0.11,,,,0.02,0.11,,0.11,model,temperate,Soons & Ozinga 2005
Cichorium intybus,,Cichorium,Asteraceae,Asterales,wind (none),herb,1.03,1.5,3.01,,0.96,,,,0.16,0.96,,0.96,model,temperate,Soons & Ozinga 2005
Cirsium vulgare,,Cirsium,Asteraceae,Asterales,wind (special),herb,2.9,2,0.3,900,,,,,,900,,900,field,temperate,Feekes 1936 in Cain et al. 1998
Cirsium arvense,,Cirsium,Asteraceae,Asterales,wind (special),herb,1.3,1.2,0.26,,53.37,,,,2.02,53.37,,53.37,model,temperate,Soons & Ozinga 2005
Cirsium dissectum,,Cirsium,Asteraceae,Asterales,wind (special),herb,2.37,1,0.51,,9.25,,,,0.77,9.25,,9.25,model,temperate,Soons & Ozinga 2005
Cirsium palustre,,Cirsium,Asteraceae,Asterales,wind (special),herb,1.67,1.93,0.344,,23.49,,,,1.55,23.49,,23.49,model,temperate,Soons & Ozinga 2005
Clematis vitalba,,Clematis,Ranunculaceae,Ranunculales,wind (special),shrub,2.3,10,1.14,,100.09,,,,10.18,100.09,,100.09,model,temperate,Soons & Ozinga 2005
Conium maculatum,,Conium,Apiaceae,Apiales,wind (none),herb,2.8,,,,0.7,,,,0.13,0.7,,0.7,model,temperate,Soons & Ozinga 2005
Conyza canadensis,Erigeron canadensis,Conyza,Asteraceae,Asterales,wind (special),herb,0.05,1,0.26,2500,,,,,,2500,,2500,field,temperate,Feekes 1936 in Cain et al. 1998
Crepis biennis,,Crepis,Asteraceae,Asterales,wind (special),herb,1.23,1.2,0.68,350,,,,,,350,,350,field,temperate,Feekes 1936 in Cain et al. 1998
Crepis capillaris,Crepis virens,Crepis,Asteraceae,Asterales,wind (special),herb,,,,650,,,,,,650,,650,field,temperate,Feekes 1936 in Cain et al. 1998
Crepis paludosa,,Crepis,Asteraceae,Asterales,wind (special),herb,0.57,0.8,0.81,,2.2,,,,0.31,2.2,,2.2,model,temperate,Soons & Ozinga 2005
Descurainia sophia,,Descurainia,Brassicaceae,Brassicales,wind (none),herb,0.1,0.7,,,0.17,,,,0.04,0.17,,0.17,model,temperate,Soons & Ozinga 2005
Digitalis purpurea,,Digitalis,Plantaginaceae,Lamiales,wind (none),herb,0.1,1.5,,,1.15,,,,0.19,1.15,,1.15,model,temperate,Soons & Ozinga 2005
Drosera rotundifolia,,Drosera,Droseraceae,Caryophyllales,wind (none),herb,0.02,0.2,,,0.62,,,,0.08,0.62,,0.62,model,temperate,Soons & Ozinga 2005
Epilobium angustifolium,,Epilobium,Onagraceae,Myrtales,wind (special),herb,0.26,3,0.07,10000,,,,,,10000,,10000,field,temperate,Feekes 1936 in Cain et al. 1998
Epilobium hirsutum,,Epilobium,Onagraceae,Myrtales,wind (special),herb,0.1,1.5,0.2,3800,,,,,,3800,,3800,field,temperate,Feekes 1936 in Cain et al. 1998
Epilobium palustre,,Epilobium,Onagraceae,Myrtales,wind (special),herb,0.04,0.5,0.14,7300,,,,,,7300,,7300,field,temperate,Feekes 1936 in Cain et al. 1998
Epilobium ciliatum,,Epilobium,Onagraceae,Myrtales,wind (special),herb,0.05,,0.19,,179,,,,3.65,179,,179,model,temperate,Soons & Ozinga 2005
Epilobium montanum,,Epilobium,Onagraceae,Myrtales,wind (special),herb,0.1,0.8,0.18,,49.64,,,,1.59,49.64,,49.64,model,temperate,Soons & Ozinga 2005
Epilobium parviflorum,,Epilobium,Onagraceae,Myrtales,wind (special),herb,0.1,0.8,0.22,,69.09,,,,1.8,69.09,,69.09,model,temperate,Soons & Ozinga 2005
Erigeron annuus,,Erigeron,Asteraceae,Asterales,wind (special),herb,0.05,1,,,35.43,,,,1.56,35.43,,35.43,model,temperate,Soons & Ozinga 2005
Eriophorum angustifolium,,Eriophorum,Cyperaceae,Poales,wind (special),herb,0.45,0.6,0.46,,24.2,,,,1.11,24.2,,24.2,model,temperate,Soons & Ozinga 2005
Eriophorum latifolium,,Eriophorum,Cyperaceae,Poales,wind (special),herb,0.65,0.6,0.37,,3.44,,,,0.44,3.44,,3.44,model,temperate,Soons & Ozinga 2005
Eriophorum vaginatum,,Eriophorum,Cyperaceae,Poales,wind (special),herb,0.78,,,,2.23,,,,0.33,2.23,,2.23,model,temperate,Soons & Ozinga 2005
Erophila verna,,Erophila,Brassicaceae,Brassicales,wind (none),herb,0.03,0.15,,,0.14,,,,0.03,0.14,,0.14,model,temperate,Soons & Ozinga 2005
Eupatorium cannabinum,,Eupatorium,Asteraceae,Asterales,wind (special),herb,0.29,1.5,0.42,,23.71,,,,1.62,23.71,,23.71,model,temperate,Soons & Ozinga 2005
Euphrasia stricta,,Euphrasia,Scrophulariaceae,Lamiales,wind (none),herb,0.11,0.45,,,0.29,,,,0.05,0.29,,0.29,model,temperate,Soons & Ozinga 2005
Fallopia convolvulus,,Fallopia,Polygonaceae,Caryophyllales,wind (none),herb,6.7,2,2.99,,0.22,,,,0.04,0.22,,0.22,model,temperate,Soons & Ozinga 2005
Galinsoga parviflora,,Galinsoga,Asteraceae,Asterales,wind (none),herb,0.22,,,,0.94,,,,0.14,0.94,,0.94,model,temperate,Soons & Ozinga 2005
Galinsoga quadriradiata,,Galinsoga,Asteraceae,Asterales,wind (none),herb,,,,,1.16,,,,0.17,1.16,,1.16,model,temperate,Soons & Ozinga 2005
Gentianella germanica,,Gentianella,Gentianaceae,Gentianales,wind (none),herb,0.18,0.4,1.96,0.8,,,,,,0.8,,0.8,field,temperate,Verkaar et al. 1983
Helichrysum luteoalbum,Gnaphalium luteoalbum,Helichrysum,Asteraceae,Asterales,wind (special),herb,0.02,0.3,0.24,,1.91,,,,0.18,1.91,,1.91,model,temperate,Soons & Ozinga 2005
Helminthotheca echioides,Picris echioides,Helminthotheca,Asteraceae,Asterales,wind (special),herb,0.84,0.6,0.49,,1.47,,,,0.2,1.47,,1.47,model,temperate,Soons & Ozinga 2005
Hieracium pilosella,,Hieracium,Asteraceae,Asterales,wind (special),herb,0.2,0.35,0.41,,1.71,,,,0.21,1.71,,1.71,model,temperate,Soons & Ozinga 2005
Hieracium sabaudum,,Hieracium,Asteraceae,Asterales,wind (special),herb,0.42,1.5,,,15.7,,,,1.46,15.7,,15.7,model,temperate,Soons & Ozinga 2005
Hieracium umbellatum,,Hieracium,Asteraceae,Asterales,wind (special),herb,0.53,1.03,0.63,,5.12,,,,0.62,5.12,,5.12,model,temperate,Soons & Ozinga 2005
Hieracium vulgatum,,Hieracium,Asteraceae,Asterales,wind (special),herb,0.34,,0.71,,1.07,,,,0.19,1.07,,1.07,model,temperate,Soons & Ozinga 2005
Holcus lanatus,,Holcus,Poaceae,Poales,wind (special),herb,0.3,1,1.54,340,,,,,,340,,340,field,temperate,Feekes 1936 in Cain et al. 1998
Hypericum perforatum,,Hypericum,Hypericaceae,Malpighiales,wind (none),herb,0.2,0.9,1.92,,0.72,,,,0.11,0.72,,0.72,model,temperate,Soons & Ozinga 2005
Hypericum tetrapterum,,Hypericum,Hypericaceae,Malpighiales,wind (none),herb,0.05,,,,0.23,,,,0.04,0.23,,0.23,model,temperate,Soons & Ozinga 2005
Hypochaeris maculata,,Hypochaeris,Asteraceae,Asterales,wind (none),herb,1.78,,,,3.8,,,,0.44,3.8,,3.8,model,temperate,Soons & Ozinga 2005
Hypochoeris radicata,,Hypochoeris,Asteraceae,Asterales,wind (special),herb,0.8,0.6,0.55,1900,,,,,,1900,,1900,field,temperate,Feekes 1936 in Cain et al. 1998
Inula britannica,,Inula,Asteraceae,Asterales,wind (special),herb,0.15,0.6,0.22,,19.26,,,,0.89,19.26,,19.26,model,temperate,Soons & Ozinga 2005
Inula conyzae,,Inula,Asteraceae,Asterales,wind (special),herb,,0.8,,,15.63,,,,1.08,15.63,,15.63,model,temperate,Soons & Ozinga 2005
Jasione montana,,Jasione,Campanulaceae,Asterales,wind (none),herb,0.07,0.45,1.01,,0.67,,,,0.1,0.67,,0.67,model,temperate,Soons & Ozinga 2005
Juncus bufonius,,Juncus,Juncaceae,Poales,wind (special),herb,0.02,0.1,,100,,,,,,100,,100,field,temperate,Feekes 1936 in Cain et al. 1998
Juncus compressus,,Juncus,Juncaceae,Poales,wind (special),herb,0.01,0.3,1.18,,0.42,,,,0.07,0.42,,0.42,model,temperate,Soons & Ozinga 2005
Juncus effusus,,Juncus,Juncaceae,Poales,wind (special),herb,0.02,1.5,1.5,,2.42,,,,0.36,2.42,,2.42,model,temperate,Soons & Ozinga 2005
Lactuca serriola,,Lactuca,Asteraceae,Asterales,wind (special),herb,0.58,1.2,,,6.81,,,,0.74,6.81,,6.81,model,temperate,Soons & Ozinga 2005
Leontodon autumnalis,,Leontodon,Asteraceae,Asterales,wind (special),herb,0.7,0.45,0.72,610,,,,,,610,,610,field,temperate,Feekes 1936 in Cain et al. 1998
Leontodon hispidus,,Leontodon,Asteraceae,Asterales,wind (special),herb,1.1,0.6,0.92,,0.83,,,,0.13,0.83,,0.83,model,temperate,Soons & Ozinga 2005
Leucanthemum vulgare,,Leucanthemum,Asteraceae,Asterales,wind (none),herb,0.41,0.5,2.42,,0.42,,,,0.08,0.42,,0.42,model,temperate,Soons & Ozinga 2005
Linaria vulgaris,,Linaria,Plantaginaceae,Lamiales,wind (special),herb,0.16,0.75,,,1.37,,,,0.2,1.37,,1.37,model,temperate,Soons & Ozinga 2005
Linum catharticum,,Linum,Linaceae,Malpighiales,wind (none),herb,0.15,0.3,1.39,0.63,,,,,,0.63,,0.63,field,temperate,Verkaar et al. 1983
Lunaria annua,,Lunaria,Brassicaceae,Brassicales,wind (special),herb,16,1,,,0.33,,,,0.07,0.33,,0.33,model,temperate,Soons & Ozinga 2005
Luzula campestris,,Luzula,Juncaceae,Poales,wind (none),herb,0.6,0.6,3.21,,0.07,,,,0.02,0.07,,0.07,model,temperate,Soons & Ozinga 2005
Lythrum salicaria,,Lythrum,Lythraceae,Myrtales,wind (none),herb,0.05,1,,,1.01,,,,0.17,1.01,,1.01,model,temperate,Soons & Ozinga 2005
Matricaria matricarioides,Matricaria discoidea,Matricaria,Asteraceae,Asterales,wind (none),herb,,,,,0.13,,,,0.02,0.13,,0.13,model,temperate,Soons & Ozinga 2005
Melilotus officinalis,,Melilotus,Fabaceae,Fabales,wind (none),herb,2.7,1,3.33,,0.24,,,,0.05,0.24,,0.24,model,temperate,Soons & Ozinga 2005
Mycelis muralis,,Mycelis,Asteraceae,Asterales,wind (special),herb,0.31,1.29,0.26,,14.33,,,,0.99,14.33,,14.33,model,temperate,Soons & Ozinga 2005
Myosotis arvensis,,Myosotis,Boraginaceae,UnplacedEuasteridI,wind (none),herb,0.5,0.4,,,0.19,,,,0.03,0.19,,0.19,model,temperate,Soons & Ozinga 2005
Myosotis scorpioides,,Myosotis,Boraginaceae,UnplacedEuasteridI,wind (none),herb,0.31,0.3,,,0.12,,,,0.02,0.12,,0.12,model,temperate,Soons & Ozinga 2005
Narthecium ossifragum,,Narthecium,Nartheciaceae,Liliales,wind (none),herb,0.1,,,,0.87,,,,0.12,0.87,,0.87,model,temperate,Soons & Ozinga 2005
Nepeta cataria,,Nepeta,Lamiaceae,Lamiales,wind (none),herb,0.55,1,,,0.31,,,,0.06,0.31,,0.31,model,temperate,Soons & Ozinga 2005
Odontites vernus,,Odontites,Orobanchaceae,Lamiales,wind (none),herb,0.15,,,,0.26,,,,0.05,0.26,,0.26,model,temperate,Soons & Ozinga 2005
Onopordum acanthium,,Onopordum,Asteraceae,Asterales,wind (special),herb,8.3,2.5,2.49,,0.54,,,,0.1,0.54,,0.54,model,temperate,Soons & Ozinga 2005
Papaver rhoeas,,Papaver,Papaveraceae,Ranunculales,wind (none),herb,0.2,0.9,,,0.5,,,,0.1,0.5,,0.5,model,temperate,Soons & Ozinga 2005
Pedicularis palustris,,Pedicularis,Orobanchaceae,Lamiales,wind (none),herb,0.69,0.5,,,0.15,,,,0.03,0.15,,0.15,model,temperate,Soons & Ozinga 2005
Phragmites sp.,,Phragmites,Poaceae,Poales,wind (special),herb,,,,2500,,,,,,2500,,2500,field,temperate,Feekes 1936 in Cain et al. 1998
Picris angustifolia subsp. angustiolia,Picris hieracioides,Picris,Asteraceae,Asterales,wind (special),herb,1.18,0.96,0.51,,3.54,,,,0.4,3.54,,3.54,model,temperate,Soons & Ozinga 2005
Pilosella lactucella,Hieracium lactucella,Pilosella,Asteraceae,Asterales,wind (special),herb,,0.35,,,0.43,,,,0.07,0.43,,0.43,model,temperate,Soons & Ozinga 2005
Plantago major,,Plantago,Plantaginaceae,Lamiales,wind (none),herb,0.2,0.4,2.52,38,,,,,,38,,38,field,temperate,Feekes 1936 in Cain et al. 1998
Poa annua,,Poa,Poaceae,Poales,wind (none),herb,0.3,0.3,1.94,180,,,,,,180,,180,field,temperate,Feekes 1936 in Cain et al. 1998
Poa pratensis,,Poa,Poaceae,Poales,wind (none),herb,0.3,0.9,2.12,25,,,,,,25,,25,field,temperate,Feekes 1936 in Cain et al. 1998
Potentilla argentea,,Potentilla,Rosaceae,Rosales,wind (none),herb,0.08,0.28,2.43,,0.3,,,,0.06,0.3,,0.3,model,temperate,Soons & Ozinga 2005
Potentilla erecta,,Potentilla,Rosaceae,Rosales,wind (none),herb,0.4,0.5,1.04,,0.19,,,,0.04,0.19,,0.19,model,temperate,Soons & Ozinga 2005
Potentilla verna,,Potentilla,Rosaceae,Rosales,wind (none),herb,0.17,,,,0.05,,,,0.01,0.05,,0.05,model,temperate,Soons & Ozinga 2005
Primula elatior,,Primula,Primulaceae,Ericales,wind (none),herb,0.85,0.2,3.05,,0.12,,,,0.03,0.12,,0.12,model,temperate,Soons & Ozinga 2005
Primula veris,,Primula,Primulaceae,Ericales,wind (none),herb,0.83,0.3,3.16,,0.12,,,,0.03,0.12,,0.12,model,temperate,Soons & Ozinga 2005
Pulicaria dysenterica,,Pulicaria,Asteraceae,Asterales,wind (special),herb,0.07,0.6,0.35,,6.91,,,,0.57,6.91,,6.91,model,temperate,Soons & Ozinga 2005
Ranunculus sceleratus,,Ranunculus,Ranunculaceae,Ranunculales,wind (none),herb,0.2,0.6,,35,,,,,,35,,35,field,temperate,Feekes 1936 in Cain et al. 1998
Raphanus raphanistrum,,Raphanus,Brassicaceae,Brassicales,wind (none),herb,21.58,0.6,,,0.15,,,,0.03,0.15,,0.15,model,temperate,Soons & Ozinga 2005
Raphanus sativus,,Raphanus,Brassicaceae,Brassicales,wind (none),herb,19,1,,,0.18,,,,0.04,0.18,,0.18,model,temperate,Soons & Ozinga 2005
Reseda lutea,,Reseda,Resedaceae,Brassicales,wind (none),herb,0.8,0.6,,,0.35,,,,0.06,0.35,,0.35,model,temperate,Soons & Ozinga 2005
Rhinanthus aestivalis,Rhinanthus angustifolius,Rhinanthus,Orobanchaceae,Lamiales,wind (none),herb,2.54,0.7,2.1,,0.42,,,,0.07,0.42,,0.42,model,temperate,Soons & Ozinga 2005
Rhinanthus alectorolophus,,Rhinanthus,Orobanchaceae,Lamiales,wind (none),herb,2.82,0.8,2.08,,0.33,,,,0.06,0.33,,0.33,model,temperate,Soons & Ozinga 2005
Rhinanthus minor,,Rhinanthus,Orobanchaceae,Lamiales,wind (none),herb,2.51,0.6,1.72,,0.45,,,,0.08,0.45,,0.45,model,temperate,Soons & Ozinga 2005
Rorippa islandica,,Rorippa,Brassicaceae,Brassicales,wind (special),herb,0.06,0.35,,80,,,,,,80,,80,field,temperate,Feekes 1936 in Cain et al. 1998
Rumex acetosa,,Rumex,Polygonaceae,Caryophyllales,wind (special),herb,0.8,1,1.75,,0.99,,,,0.18,0.99,,0.99,model,temperate,Soons & Ozinga 2005
Rumex crispus,,Rumex,Polygonaceae,Caryophyllales,wind (special),herb,1.5,1.6,2.27,,0.98,,,,0.19,0.98,,0.98,model,temperate,Soons & Ozinga 2005
Rumex hydrolapathum,,Rumex,Polygonaceae,Caryophyllales,wind (special),herb,3.2,2,2.77,,0.68,,,,0.13,0.68,,0.68,model,temperate,Soons & Ozinga 2005
Rumex thyrsiflorus,,Rumex,Polygonaceae,Caryophyllales,wind (special),herb,,1.2,1.15,,0.95,,,,0.17,0.95,,0.95,model,temperate,Soons & Ozinga 2005
Salicornia europaea,Salicornia herbacea,Salicornia,Amaranthaceae,Caryophyllales,wind (none),herb,,,,36,,,0.13,,,36,,36,field,temperate,Feekes 1936 in Cain et al. 1998
Salix alba,,Salix,Salicaceae,Malpighiales,wind (special),shrub,0.12,30,,6500,,,,,,6500,,6500,field,temperate,Feekes 1936 in Cain et al. 1998
Sanguisorba minor,,Sanguisorba,Rosaceae,Rosales,wind (special),herb,7.3,0.4,3.76,,0.17,,,,0.03,0.17,,0.17,model,temperate,Soons & Ozinga 2005
Sanguisorba officinalis,,Sanguisorba,Rosaceae,Rosales,wind (special),herb,2.1,1.5,3.42,,0.83,,,,0.13,0.83,,0.83,model,temperate,Soons & Ozinga 2005
Saponaria officinalis,,Saponaria,Caryophyllaceae,Caryophyllales,wind (none),herb,1.7,0.8,3.65,,0.21,,,,0.04,0.21,,0.21,model,temperate,Soons & Ozinga 2005
Scabiosa columbaria,,Scabiosa,Caprifoliaceae,Dipsacales,wind (special),herb,1.26,0.6,1.27,1.9,,,,,,1.9,,1.9,field,temperate,Verkaar et al. 1983
Scleranthus annuus,,Scleranthus,Caryophyllaceae,Caryophyllales,wind (none),herb,1.2,0.2,3.33,,0.09,,,,0.02,0.09,,0.09,model,temperate,Soons & Ozinga 2005
Scleranthus perennis,,Scleranthus,Caryophyllaceae,Caryophyllales,wind (none),herb,,0.2,,,0.07,,,,0.02,0.07,,0.07,model,temperate,Soons & Ozinga 2005
Scrophularia nodosa,,Scrophularia,Scrophulariaceae,Lamiales,wind (none),herb,0.11,1.35,,,0.91,,,,0.17,0.91,,0.91,model,temperate,Soons & Ozinga 2005
Senecio vulgaris,,Senecio,Asteraceae,Asterales,wind (special),herb,0.22,0.3,0.33,1200,,,,,,1200,,1200,field,temperate,Feekes 1936 in Cain et al. 1998
Senecio erucifolius,,Senecio,Asteraceae,Asterales,wind (special),herb,0.34,1.25,0.38,,21.36,,,,1.38,21.36,,21.36,model,temperate,Soons & Ozinga 2005
Senecio inaequidens,,Senecio,Asteraceae,Asterales,wind (special),herb,0.25,1,0.55,,13.29,,,,0.96,13.29,,13.29,model,temperate,Soons & Ozinga 2005
Senecio ovatus,,Senecio,Asteraceae,Asterales,wind (special),herb,,,,,9.36,,,,0.98,9.36,,9.36,model,temperate,Soons & Ozinga 2005
Senecio paludosus,,Senecio,Asteraceae,Asterales,wind (special),herb,0.59,1.7,,,9.43,,,,1.04,9.43,,9.43,model,temperate,Soons & Ozinga 2005
Senecio sylvaticus,,Senecio,Asteraceae,Asterales,wind (special),herb,0.25,,,,33.13,,,,1.21,33.13,,33.13,model,temperate,Soons & Ozinga 2005
Senecio viscosus,,Senecio,Asteraceae,Asterales,wind (special),herb,0.51,0.5,0.6,,2.65,,,,0.3,2.65,,2.65,model,temperate,Soons & Ozinga 2005
Serratula tinctoria,,Serratula,Asteraceae,Asterales,wind (none),herb,2.38,1,0.91,,1.34,,,,0.2,1.34,,1.34,model,temperate,Soons & Ozinga 2005
Silene dioica,,Silene,Caryophyllaceae,Caryophyllales,wind (none),herb,0.69,0.9,,,0.5,,,,0.09,0.5,,0.5,model,temperate,Soons & Ozinga 2005
Silene flos-cuculi,Lychnis flos-cuculi,Silene,Caryophyllaceae,Caryophyllales,wind (none),herb,0.19,,,,0.37,,,,0.07,0.37,,0.37,model,temperate,Soons & Ozinga 2005
Silene latifolia subsp. alba,,Silene,Caryophyllaceae,Caryophyllales,wind (none),herb,0.94,,,,0.57,,,,0.1,0.57,,0.57,model,temperate,Soons & Ozinga 2005
Silene noctiflora,,Silene,Caryophyllaceae,Caryophyllales,wind (none),herb,1.1,0.4,3.57,,0.07,,,,0.01,0.07,,0.07,model,temperate,Soons & Ozinga 2005
Silene vulgaris,,Silene,Caryophyllaceae,Caryophyllales,wind (none),herb,1.6,0.55,,,0.13,,,,0.02,0.13,,0.13,model,temperate,Soons & Ozinga 2005
Sinapis arvensis,,Sinapis,Brassicaceae,Brassicales,wind (none),herb,2.2,0.6,3.85,,0.13,,,,0.03,0.13,,0.13,model,temperate,Soons & Ozinga 2005
Sisymbrium altissimum,,Sisymbrium,Brassicaceae,Brassicales,wind (none),herb,0.2,1.09,2.29,,0.42,,,,0.07,0.42,,0.42,model,temperate,Soons & Ozinga 2005
Sisymbrium loeselii,,Sisymbrium,Brassicaceae,Brassicales,wind (none),herb,0.19,0.76,,,0.65,,,,0.11,0.65,,0.65,model,temperate,Soons & Ozinga 2005
Solidago canadensis,,Solidago,Asteraceae,Asterales,wind (special),herb,0.11,2.5,0.31,,51.66,,,,2.52,51.66,,51.66,model,temperate,Soons & Ozinga 2005
