"","SpeciesChecked","Taxa","Group","LifeSpan","Database","Field","Unit","ecotype","OriginalName","phylum","class","order","family","genus","species","Taxonomic.Group","Ecosystem.Type"
"40310","Pomatomus saltatrix","Pomatomus saltatrix","Scombriformes","9","Fishbase","LongevityWild","yrs","marine","Pomatomus saltator","Chordata","Actinopteri","Scombriformes","Pomatomidae","Pomatomus","Pomatomus saltator","Fish","marine"
"404","Pomatoschistus minutus","Pomatoschistus minutus","Gobiiformes","2.70000004768372","Fishbase","LongevityWild","yrs","marine","Pomatoschistus minutus","Chordata","Actinopteri","Gobiiformes","Gobiidae","Pomatoschistus","Pomatoschistus minutus","Fish","marine"
"412","Prosopium williamsoni","Prosopium williamsoni","Salmoniformes","17","Fishbase","LongevityWild","yrs","aquatic","Prosopium williamsoni","Chordata","Actinopteri","Salmoniformes","Salmonidae","Prosopium","Prosopium williamsoni","Fish","aquatic"
"416","Pseudopleuronectes americanus","Pseudopleuronectes americanus","Pleuronectiformes","14","Fishbase","LongevityWild","yrs","marine","Pseudopleuronectes americanus","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Pseudopleuronectes","Pseudopleuronectes americanus","Fish","marine"
"422","Pungitius pungitius","Pungitius pungitius","Perciformes","5","Fishbase","LongevityWild","yrs","aquatic","Pungitius pungitius","Chordata","Actinopteri","Perciformes","Gasterosteidae","Pungitius","Pungitius pungitius","Fish","aquatic"
"4241","Raja clavata","Raja clavata","Rajiformes","15","Fishbase","LongevityWild","yrs","marine","Raja clavata","Chordata","Chondrichthyes","Rajiformes","Rajidae","Raja","Raja clavata","Fish","marine"
"4261","Raja rhina","Beringraja rhina","Rajiformes","13","Fishbase","LongevityWild","yrs","marine","Raja rhina","Chordata","Elasmobranchii","Rajiformes","Rajidae","Raja","Raja rhina","Fish","marine"
"4291","Reinhardtius hippoglossoides","Reinhardtius hippoglossoides","Pleuronectiformes","30","Fishbase","LongevityWild","yrs","marine","Reinhardtius hippoglossoides","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Reinhardtius","Reinhardtius hippoglossoides","Fish","marine"
"4321","Rutilus rutilus","Rutilus rutilus","Cypriniformes","14","Fishbase","LongevityWild","yrs","aquatic","Rutilus rutilus","Chordata","Actinopteri","Cypriniformes","Leuciscidae","Rutilus","Rutilus rutilus","Fish","aquatic"
"4331","Salmo salar","Salmo salar","Salmoniformes","13","Fishbase","LongevityWild","yrs","aquatic","Salmo salar","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salmo","Salmo salar","Fish","aquatic"
"434","Salmo trutta","Salmo trutta","Salmoniformes","38","Fishbase","LongevityWild","yrs","aquatic","Salmo trutta","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salmo","Salmo trutta","Fish","aquatic"
"4351","Sander lucioperca","Sander lucioperca","Perciformes","17","Fishbase","LongevityWild","yrs","aquatic","Sander lucioperca","Chordata","Actinopteri","Perciformes","Percidae","Sander","Sander lucioperca","Fish","aquatic"
"4361","Sardina pilchardus","Sardina pilchardus","Clupeiformes","15","Fishbase","LongevityWild","yrs","marine","Sardina pilchardus","Chordata","Actinopteri","Clupeiformes","Clupeidae","Sardina","Sardina pilchardus","Fish","marine"
"437","Sardinella aurita","Sardinella aurita","Clupeiformes","7","Fishbase","LongevityWild","yrs","marine","Sardinella aurita","Chordata","Actinopteri","Clupeiformes","Clupeidae","Sardinella","Sardinella aurita","Fish","marine"
"438","Sardinops sagax","Sardinops sagax","Clupeiformes","25","Fishbase","LongevityWild","yrs","marine","Sardinops sagax","Chordata","Actinopteri","Clupeiformes","Clupeidae","Sardinops","Sardinops sagax","Fish","marine"
"442","Scardinius erythrophthalmus","Scardinius erythrophthalmus","Cypriniformes","19","Fishbase","LongevityWild","yrs","aquatic","Scardinius erythrophthalmus","Chordata","Actinopteri","Cypriniformes","Leuciscidae","Scardinius","Scardinius erythrophthalmus","Fish","aquatic"
"443","Scomber japonicus","Scomber japonicus","Scombriformes","18","Fishbase","LongevityWild","yrs","marine","Scomber japonicus","Chordata","Actinopteri","Scombriformes","Scombridae","Scomber","Scomber japonicus","Fish","marine"
"4441","Scomber scombrus","Scomber scombrus","Scombriformes","17","Fishbase","LongevityWild","yrs","marine","Scomber scombrus","Chordata","Actinopteri","Scombriformes","Scombridae","Scomber","Scomber scombrus","Fish","marine"
"4471","Scophthalmus aquosus","Scophthalmus aquosus","Pleuronectiformes","7","Fishbase","LongevityWild","yrs","marine","Scophthalmus aquosus","Chordata","Actinopteri","Pleuronectiformes","Scophthalmidae","Scophthalmus","Scophthalmus aquosus","Fish","marine"
"448","Scophthalmus maximus","Scophthalmus maximus","Pleuronectiformes","25.2000007629395","Fishbase","LongevityWild","yrs","marine","Scophthalmus maximus","Chordata","Actinopteri","Pleuronectiformes","Scophthalmidae","Scophthalmus","Scophthalmus maximus","Fish","marine"
"4491","Scorpaena notata","Scorpaena notata","Perciformes","8","Fishbase","LongevityWild","yrs","marine","Scorpaena notata","Chordata","Actinopteri","Perciformes","Scorpaenidae","Scorpaena","Scorpaena notata","Fish","marine"
"4521","Scorpaenichthys marmoratus","Scorpaenichthys marmoratus","Scorpaeniformes","13","Fishbase","LongevityWild","yrs","marine","Scorpaenichthys marmoratus","Chordata","Actinopteri","Scorpaeniformes","Cottidae","Scorpaenichthys","Scorpaenichthys marmoratus","Fish","marine"
"4551","Scyliorhinus canicula","Scyliorhinus canicula","Carcharhiniformes","12","Fishbase","LongevityWild","yrs","marine","Scyliorhinus canicula","Chordata","Chondrichthyes","Carcharhiniformes","Scyliorhinidae","Scyliorhinus","Scyliorhinus canicula","Fish","marine"
"4571","Sebastes alutus","Sebastes alutus","Perciformes","103","Fishbase","LongevityWild","yrs","marine","Sebastes alutus","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","Sebastes alutus","Fish","marine"
"4581","Sebastes aurora","Sebastes aurora","Perciformes","75","Fishbase","LongevityWild","yrs","marine","Sebastes aurora","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","Sebastes aurora","Fish","marine"
"459","Sebastes babcocki","Sebastes babcocki","Perciformes","106","Fishbase","LongevityWild","yrs","marine","Sebastes babcocki","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","Sebastes babcocki","Fish","marine"
"4601","Sebastes borealis","Sebastes borealis","Perciformes","157","Fishbase","LongevityWild","yrs","marine","Sebastes borealis","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","Sebastes borealis","Fish","marine"
"461","Sebastes brevispinis","Sebastes brevispinis","Perciformes","82","Fishbase","LongevityWild","yrs","marine","Sebastes brevispinis","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","Sebastes brevispinis","Fish","marine"
"4622","Sebastes crameri","Sebastes crameri","Perciformes","105","Fishbase","LongevityWild","yrs","marine","Sebastes crameri","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","Sebastes crameri","Fish","marine"
"4631","Sebastes diploproa","Sebastes diploproa","Perciformes","86","Fishbase","LongevityWild","yrs","marine","Sebastes diploproa","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","Sebastes diploproa","Fish","marine"
"4644","Sebastes elongatus","Sebastes elongatus","Perciformes","54","Fishbase","LongevityWild","yrs","marine","Sebastes elongatus","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","Sebastes elongatus","Fish","marine"
"4651","Sebastes entomelas","Sebastes entomelas","Perciformes","60","Fishbase","LongevityWild","yrs","marine","Sebastes entomelas","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","Sebastes entomelas","Fish","marine"
"4671","Sebastes flavidus","Sebastes flavidus","Perciformes","64","Fishbase","LongevityWild","yrs","marine","Sebastes flavidus","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","Sebastes flavidus","Fish","marine"
"4684","Sebastes goodei","Sebastes goodei","Perciformes","35","Fishbase","LongevityWild","yrs","marine","Sebastes goodei","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","Sebastes goodei","Fish","marine"
"4691","Sebastes helvomaculatus","Sebastes helvomaculatus","Perciformes","87","Fishbase","LongevityWild","yrs","marine","Sebastes helvomaculatus","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","Sebastes helvomaculatus","Fish","marine"
"470","Sebastes jordani","Sebastes jordani","Perciformes","31","Fishbase","LongevityWild","yrs","marine","Sebastes jordani","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","Sebastes jordani","Fish","marine"
"4711","Sebastes mentella","Sebastes mentella","Perciformes","75","Fishbase","LongevityWild","yrs","marine","Sebastes mentella","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","Sebastes mentella","Fish","marine"
"4721","Sebastes paucispinis","Sebastes paucispinis","Perciformes","50","Fishbase","LongevityWild","yrs","marine","Sebastes paucispinis","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","Sebastes paucispinis","Fish","marine"
"473","Sebastes pinniger","Sebastes pinniger","Perciformes","84","Fishbase","LongevityWild","yrs","marine","Sebastes pinniger","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","Sebastes pinniger","Fish","marine"
"474","Sebastes polyspinis","Sebastes polyspinis","Perciformes","57","Fishbase","LongevityWild","yrs","marine","Sebastes polyspinis","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","Sebastes polyspinis","Fish","marine"
"4751","Sebastes proriger","Sebastes proriger","Perciformes","55","Fishbase","LongevityWild","yrs","marine","Sebastes proriger","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","Sebastes proriger","Fish","marine"
"476","Sebastes ruberrimus","Sebastes ruberrimus","Perciformes","118","Fishbase","LongevityWild","yrs","marine","Sebastes ruberrimus","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","Sebastes ruberrimus","Fish","marine"
"4771","Sebastes saxicola","Sebastes saxicola","Perciformes","38","Fishbase","LongevityWild","yrs","marine","Sebastes saxicola","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","Sebastes saxicola","Fish","marine"
"4781","Sebastes variegatus","Sebastes variegatus","Perciformes","47","Fishbase","LongevityWild","yrs","marine","Sebastes variegatus","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","Sebastes variegatus","Fish","marine"
"4791","Sebastes viviparus","Sebastes viviparus","Perciformes","40","Fishbase","LongevityWild","yrs","marine","Sebastes viviparus","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","Sebastes viviparus","Fish","marine"
"480","Sebastes zacentrus","Sebastes zacentrus","Perciformes","58","Fishbase","LongevityWild","yrs","marine","Sebastes zacentrus","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","Sebastes zacentrus","Fish","marine"
"481","Sebastolobus alascanus","Sebastolobus alascanus","Perciformes","100","Fishbase","LongevityWild","yrs","marine","Sebastolobus alascanus","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastolobus","Sebastolobus alascanus","Fish","marine"
"4831","Semotilus atromaculatus","Semotilus atromaculatus","Cypriniformes","8","Fishbase","LongevityWild","yrs","aquatic","Semotilus atromaculatus","Chordata","Actinopteri","Cypriniformes","Leuciscidae","Semotilus","Semotilus atromaculatus","Fish","aquatic"
"485","Seriola dumerili","Seriola dumerili","Carangiformes","15","Fishbase","LongevityWild","yrs","marine","Seriola dumerili","Chordata","Actinopteri","Carangiformes","Carangidae","Seriola","Seriola dumerili","Fish","marine"
"486","Seriola lalandi","Seriola lalandi","Carangiformes","12","Fishbase","LongevityWild","yrs","marine","Seriola lalandi","Chordata","Actinopteri","Carangiformes","Carangidae","Seriola","Seriola lalandi","Fish","marine"
"491","Solea solea","Solea solea","Pleuronectiformes","26.3999996185303","Fishbase","LongevityWild","yrs","marine","Solea solea","Chordata","Actinopteri","Pleuronectiformes","Soleidae","Solea","Solea solea","Fish","marine"
"494","Sphyraena argentea","Sphyraena argentea",NA,"12","Fishbase","LongevityWild","yrs","marine","Sphyraena argentea","Chordata","Actinopteri",NA,"Sphyraenidae","Sphyraena","Sphyraena argentea","Fish","marine"
"4991","Sprattus sprattus","Sprattus sprattus","Clupeiformes","6","Fishbase","LongevityWild","yrs","marine","Sprattus sprattus","Chordata","Actinopteri","Clupeiformes","Clupeidae","Sprattus","Sprattus sprattus","Fish","marine"
"5021","Squalus acanthias","Squalus acanthias","Squaliformes","75","Fishbase","LongevityWild","yrs","marine","Squalus acanthias","Chordata","Chondrichthyes","Squaliformes","Squalidae","Squalus","Squalus acanthias","Fish","marine"
"5031","Squalus megalops","Squalus megalops","Squaliformes","32","Fishbase","LongevityWild","yrs","marine","Squalus megalops","Chordata","Chondrichthyes","Squaliformes","Squalidae","Squalus","Squalus megalops","Fish","marine"
"5051","Stenobrachius leucopsarus","Stenobrachius leucopsarus","Myctophiformes","8","Fishbase","LongevityWild","yrs","marine","Stenobrachius leucopsarus","Chordata","Actinopteri","Myctophiformes","Myctophidae","Stenobrachius","Stenobrachius leucopsarus","Fish","marine"
"511","Sufflogobius bibarbatus","Sufflogobius bibarbatus","Gobiiformes","7","Fishbase","LongevityWild","yrs","marine","Sufflogobius bibarbatus","Chordata","Actinopteri","Gobiiformes","Gobiidae","Sufflogobius","Sufflogobius bibarbatus","Fish","marine"
"5131","Symphodus cinereus","Symphodus cinereus","Labriformes","6","Fishbase","LongevityWild","yrs","marine","Symphodus cinereus","Chordata","Actinopteri","Labriformes","Labridae","Symphodus","Symphodus cinereus","Fish","marine"
"514","Symphodus roissali","Symphodus roissali","Labriformes","8","Fishbase","LongevityWild","yrs","marine","Symphodus roissali","Chordata","Actinopteri","Labriformes","Labridae","Symphodus","Symphodus roissali","Fish","marine"
"526","Thaleichthys pacificus","Thaleichthys pacificus","Osmeriformes","5","Fishbase","LongevityWild","yrs","marine","Thaleichthys pacificus","Chordata","Actinopteri","Osmeriformes","Osmeridae","Thaleichthys","Thaleichthys pacificus","Fish","marine"
"5271","Thunnus alalunga","Thunnus alalunga","Scombriformes","9","Fishbase","LongevityWild","yrs","marine","Thunnus alalunga","Chordata","Actinopteri","Scombriformes","Scombridae","Thunnus","Thunnus alalunga","Fish","marine"
"5281","Thunnus albacares","Thunnus albacares","Scombriformes","9","Fishbase","LongevityWild","yrs","marine","Thunnus albacares","Chordata","Actinopteri","Scombriformes","Scombridae","Thunnus","Thunnus albacares","Fish","marine"
"5291","Thunnus maccoyii","Thunnus maccoyii","Scombriformes","20","Fishbase","LongevityWild","yrs","marine","Thunnus maccoyii","Chordata","Actinopteri","Scombriformes","Scombridae","Thunnus","Thunnus maccoyii","Fish","marine"
"5301","Thunnus obesus","Thunnus obesus","Scombriformes","11","Fishbase","LongevityWild","yrs","marine","Thunnus obesus","Chordata","Actinopteri","Scombriformes","Scombridae","Thunnus","Thunnus obesus","Fish","marine"
"5311","Thunnus thynnus","Thunnus thynnus","Scombriformes","32","Fishbase","LongevityWild","yrs","marine","Thunnus thynnus","Chordata","Actinopteri","Scombriformes","Scombridae","Thunnus","Thunnus thynnus","Fish","marine"
"5321","Thymallus thymallus","Thymallus thymallus","Salmoniformes","14","Fishbase","LongevityWild","yrs","aquatic","Thymallus thymallus","Chordata","Actinopteri","Salmoniformes","Salmonidae","Thymallus","Thymallus thymallus","Fish","aquatic"
"533","Thyrsites atun","Thyrsites atun","Scombriformes","10","Fishbase","LongevityWild","yrs","marine","Thyrsites atun","Chordata","Actinopteri","Scombriformes","Gempylidae","Thyrsites","Thyrsites atun","Fish","marine"
"541","Trachurus symmetricus","Trachurus symmetricus","Carangiformes","30","Fishbase","LongevityWild","yrs","marine","Trachurus symmetricus","Chordata","Actinopteri","Carangiformes","Carangidae","Trachurus","Trachurus symmetricus","Fish","marine"
"5441","Trachyrincus scabrus","Trachyrincus scabrus","Gadiformes","11","Fishbase","LongevityWild","yrs","marine","Trachyrincus scabrus","Chordata","Actinopteri","Gadiformes","Macrouridae","Trachyrincus","Trachyrincus scabrus","Fish","marine"
"545","Trichiurus lepturus","Trichiurus lepturus","Scombriformes","15","Fishbase","LongevityWild","yrs","marine","Trichiurus lepturus","Chordata","Actinopteri","Scombriformes","Trichiuridae","Trichiurus","Trichiurus lepturus","Fish","marine"
"5471","Trigla lucerna","Chelidonichthys lucerna","Perciformes","15","Fishbase","LongevityWild","yrs","marine","Trigla lucerna","Chordata","Actinopteri","Perciformes","Triglidae","Trigla","Trigla lucerna","Fish","marine"
"5481","Triglops forficatus","Triglops forficatus","Perciformes","6","Fishbase","LongevityWild","yrs","marine","Triglops forficatus","Chordata","Actinopteri","Perciformes","Cottidae","Triglops","Triglops forficatus","Fish","marine"
"5491","Triglops scepticus","Triglops scepticus","Perciformes","8","Fishbase","LongevityWild","yrs","marine","Triglops scepticus","Chordata","Actinopteri","Perciformes","Cottidae","Triglops","Triglops scepticus","Fish","marine"
"5511","Trisopterus esmarkii","Trisopterus esmarkii","Gadiformes","5","Fishbase","LongevityWild","yrs","marine","Trisopterus esmarkii","Chordata","Actinopteri","Gadiformes","Gadidae","Trisopterus","Trisopterus esmarkii","Fish","marine"
"552","Trisopterus luscus","Trisopterus luscus","Gadiformes","4","Fishbase","LongevityWild","yrs","marine","Trisopterus luscus","Chordata","Actinopteri","Gadiformes","Gadidae","Trisopterus","Trisopterus luscus","Fish","marine"
"553","Trisopterus minutus","Trisopterus minutus","Gadiformes","5","Fishbase","LongevityWild","yrs","marine","Trisopterus minutus","Chordata","Actinopteri","Gadiformes","Gadidae","Trisopterus","Trisopterus minutus","Fish","marine"
"562","Urophycis tenuis","Urophycis tenuis","Gadiformes","23","Fishbase","LongevityWild","yrs","marine","Urophycis tenuis","Chordata","Actinopteri","Gadiformes","Phycidae","Urophycis","Urophycis tenuis","Fish","marine"
"5641","Vinciguerria lucetia","Vinciguerria lucetia","Stomiiformes","3","Fishbase","LongevityWild","yrs","marine","Vinciguerria lucetia","Chordata","Actinopteri","Stomiiformes","Phosichthyidae","Vinciguerria","Vinciguerria lucetia","Fish","marine"
"5681","Zaprora silenus","Zaprora silenus","Perciformes","9","Fishbase","LongevityWild","yrs","marine","Zaprora silenus","Chordata","Actinopteri","Perciformes","Zaproridae","Zaprora","Zaprora silenus","Fish","marine"
"571","Zeus faber","Zeus faber","Zeiformes","12","Fishbase","LongevityWild","yrs","marine","Zeus faber","Chordata","Actinopteri","Zeiformes","Zeidae","Zeus","Zeus faber","Fish","marine"
"572","Zoarces americanus","Zoarces americanus","Perciformes","18","Fishbase","LongevityWild","yrs","marine","Zoarces americanus","Chordata","Actinopteri","Perciformes","Zoarcidae","Zoarces","Zoarces americanus","Fish","marine"
"1102","Pinus contorta","Pinus contorta","Pinus contorta","300","BIEN","longest whole plant longevity","yrs","terrestrial","Pinus contorta","Streptophyta","Pinopsida","Pinales","Pinaceae","Pinus","Pinus contorta","Plant","terrestrial"
"2102","Juniperus deppeana","Juniperus deppeana","Juniperus deppeana","500","BIEN","longest whole plant longevity","yrs","terrestrial","Juniperus deppeana","Tracheophyta","Pinopsida","Pinales","Cupressaceae","Juniperus","Juniperus deppeana","Plant","terrestrial"
"3110","Thuja occidentalis","Thuja occidentalis","Thuja occidentalis","400","BIEN","longest whole plant longevity","yrs","terrestrial","Thuja occidentalis","Streptophyta","Pinopsida","Cupressales","Cupressaceae","Thuja","Thuja occidentalis","Plant","terrestrial"
"4","Quercus michauxii","Quercus michauxii","Quercus michauxii","400","BIEN","longest whole plant longevity","yrs","terrestrial","Quercus michauxii","Streptophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","Quercus michauxii","Plant","terrestrial"
"5","Quercus velutina","Quercus velutina","Quercus velutina","200","BIEN","longest whole plant longevity","yrs","terrestrial","Quercus velutina","Streptophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","Quercus velutina","Plant","terrestrial"
"610","Thymus praecox","Thymus praecox","Thymus praecox","20","BIEN","longest whole plant longevity","yrs","terrestrial","Thymus praecox","Streptophyta","Magnoliopsida","Lamiales","Lamiaceae","Thymus","Thymus praecox","Plant","terrestrial"
"736","Calocedrus decurrens","Calocedrus decurrens","Calocedrus decurrens","550","BIEN","longest whole plant longevity","yrs","terrestrial","Calocedrus decurrens","Streptophyta","Pinopsida","Cupressales","Cupressaceae","Calocedrus","Calocedrus decurrens","Plant","terrestrial"
"819","Thuja occidentalis","Thuja occidentalis","Thuja occidentalis","800","BIEN","longest whole plant longevity","yrs","terrestrial","Thuja occidentalis","Streptophyta","Pinopsida","Cupressales","Cupressaceae","Thuja","Thuja occidentalis","Plant","terrestrial"
"9","Picea engelmannii","Picea engelmannii","Picea engelmannii","550","BIEN","longest whole plant longevity","yrs","terrestrial","Picea engelmannii","Streptophyta","Pinopsida","Pinales","Pinaceae","Picea","Picea engelmannii","Plant","terrestrial"
"1030","Picea glauca","Picea glauca","Picea glauca","350","BIEN","longest whole plant longevity","yrs","terrestrial","Picea glauca","Streptophyta","Pinopsida","Pinales","Pinaceae","Picea","Picea glauca","Plant","terrestrial"
"1111","Picea rubens","Picea rubens","Picea rubens","300","BIEN","longest whole plant longevity","yrs","terrestrial","Picea rubens","Streptophyta","Pinopsida","Pinales","Pinaceae","Picea","Picea rubens","Plant","terrestrial"
"1210","Pinguicula vulgaris","Pinguicula vulgaris","Pinguicula vulgaris","10.8","BIEN","maximum whole plant longevity","yrs","terrestrial","Pinguicula vulgaris","Streptophyta","Magnoliopsida","Lamiales","Lentibulariaceae","Pinguicula","Pinguicula vulgaris","Plant","terrestrial"
"1319","Pinus attenuata","Pinus attenuata","Pinus attenuata","150","BIEN","longest whole plant longevity","yrs","terrestrial","Pinus attenuata","Streptophyta","Pinopsida","Pinales","Pinaceae","Pinus","Pinus attenuata","Plant","terrestrial"
"1410","Calochortus albus","Calochortus albus","Calochortus albus","10","BIEN","maximum whole plant longevity","yrs","terrestrial","Calochortus albus","Streptophyta","Magnoliopsida","Liliales","Liliaceae","Calochortus","Calochortus albus","Plant","terrestrial"
"15","Chrysolepis chrysophylla","Chrysolepis chrysophylla","Chrysolepis chrysophylla","400","BIEN","longest whole plant longevity","yrs","terrestrial","Chrysolepis chrysophylla","Streptophyta","Magnoliopsida","Fagales","Fagaceae","Chrysolepis","Chrysolepis chrysophylla","Plant","terrestrial"
"1621","Juniperus osteosperma","Juniperus osteosperma","Juniperus osteosperma","800","BIEN","longest whole plant longevity","yrs","terrestrial","Juniperus osteosperma","Streptophyta","Pinopsida","Cupressales","Cupressaceae","Juniperus","Juniperus osteosperma","Plant","terrestrial"
"1711","Juniperus occidentalis","Juniperus occidentalis","Juniperus occidentalis","900","BIEN","longest whole plant longevity","yrs","terrestrial","Juniperus occidentalis","Streptophyta","Pinopsida","Cupressales","Cupressaceae","Juniperus","Juniperus occidentalis","Plant","terrestrial"
"1810","Acer saccharum","Acer saccharum","Acer saccharum","305","BIEN","longest whole plant longevity","yrs","terrestrial","Acer saccharum","Streptophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","Acer saccharum","Plant","terrestrial"
"1910","Fumana procumbens","Fumana procumbens","Fumana procumbens","18.6","BIEN","maximum whole plant longevity","yrs","terrestrial","Fumana procumbens","Streptophyta","Magnoliopsida","Malvales","Cistaceae","Fumana","Fumana procumbens","Plant","terrestrial"
"20","Juniperus virginiana","Juniperus virginiana","Juniperus virginiana","300","BIEN","longest whole plant longevity","yrs","terrestrial","Juniperus virginiana.","Tracheophyta","Pinopsida","Pinales","Cupressaceae","Juniperus","Juniperus virginiana.","Plant","terrestrial"
"21","Quercus rubra","Quercus rubra","Quercus rubra","400","BIEN","longest whole plant longevity","yrs","terrestrial","Quercus rubra","Streptophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","Quercus rubra","Plant","terrestrial"
"22","Magnolia acuminata","Magnolia acuminata","Magnolia acuminata","250","BIEN","longest whole plant longevity","yrs","terrestrial","Magnolia acuminata","Streptophyta","Magnoliopsida","Magnoliales","Magnoliaceae","Magnolia","Magnolia acuminata","Plant","terrestrial"
"23","Agave utahensis","Agave utahensis","Agave utahensis","40","BIEN","longest whole plant longevity","yrs","terrestrial","Agave utahensis","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Agave","Agave utahensis","Plant","terrestrial"
"24","Quercus stellata","Quercus stellata","Quercus stellata","250","BIEN","longest whole plant longevity","yrs","terrestrial","Quercus stellata","Streptophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","Quercus stellata","Plant","terrestrial"
"2510","Picea mariana","Picea mariana","Picea mariana","250","BIEN","longest whole plant longevity","yrs","terrestrial","Picea mariana","Streptophyta","Pinopsida","Pinales","Pinaceae","Picea","Picea mariana","Plant","terrestrial"
"2615","Pinus banksiana","Pinus banksiana","Pinus banksiana","150","BIEN","longest whole plant longevity","yrs","terrestrial","Pinus banksiana","Streptophyta","Pinopsida","Pinales","Pinaceae","Pinus","Pinus banksiana","Plant","terrestrial"
"2713","Quercus virginiana","Quercus virginiana","Quercus virginiana","300","BIEN","longest whole plant longevity","yrs","terrestrial","Quercus virginiana","Streptophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","Quercus virginiana","Plant","terrestrial"
"28","Picea sitchensis","Picea sitchensis","Picea sitchensis","800","BIEN","longest whole plant longevity","yrs","terrestrial","Picea sitchensis","Streptophyta","Pinopsida","Pinales","Pinaceae","Picea","Picea sitchensis","Plant","terrestrial"
"29","Pinus palustris","Pinus palustris","Pinus palustris","244","BIEN","maximum whole plant longevity","yrs","terrestrial","Pinus palustris","Streptophyta","Pinopsida","Pinales","Pinaceae","Pinus","Pinus palustris","Plant","terrestrial"
"3023","Fagus grandifolia","Fagus grandifolia","Fagus grandifolia","400","BIEN","longest whole plant longevity","yrs","terrestrial","Fagus grandifolia","Streptophyta","Magnoliopsida","Fagales","Fagaceae","Fagus","Fagus grandifolia","Plant","terrestrial"
"3113","Quercus agrifolia","Quercus agrifolia","Quercus agrifolia","150","BIEN","longest whole plant longevity","yrs","terrestrial","Quercus agrifolia","Streptophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","Quercus agrifolia","Plant","terrestrial"
"32","Quercus chrysolepis","Quercus chrysolepis","Quercus chrysolepis","300","BIEN","longest whole plant longevity","yrs","terrestrial","Quercus chrysolepis","Streptophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","Quercus chrysolepis","Plant","terrestrial"
"3312","Quercus coccinea","Quercus coccinea","Quercus coccinea","50","BIEN","longest whole plant longevity","yrs","terrestrial","Quercus coccinea","Streptophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","Quercus coccinea","Plant","terrestrial"
"34","Primula veris","Primula veris","Primula veris","90","BIEN","longest whole plant longevity","yrs","terrestrial","Primula veris","Streptophyta","Magnoliopsida","Ericales","Primulaceae","Primula","Primula veris","Plant","terrestrial"
"3517","Quercus gambelii","Quercus gambelii","Quercus gambelii","120","BIEN","longest whole plant longevity","yrs","terrestrial","Quercus gambelii","Streptophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","Quercus gambelii","Plant","terrestrial"
"3610","Quercus garryana","Quercus garryana","Quercus garryana","500","BIEN","longest whole plant longevity","yrs","terrestrial","Quercus garryana","Streptophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","Quercus garryana","Plant","terrestrial"
"3711","Quercus bicolor","Quercus bicolor","Quercus bicolor","300","BIEN","longest whole plant longevity","yrs","terrestrial","Quercus bicolor","Streptophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","Quercus bicolor","Plant","terrestrial"
"3814","Arisaema triphyllum","Arisaema triphyllum","Arisaema triphyllum","25","BIEN","maximum whole plant longevity","yrs","terrestrial","Arisaema triphyllum","Streptophyta","Magnoliopsida","Alismatales","Araceae","Arisaema","Arisaema triphyllum","Plant","terrestrial"
