"","SpeciesChecked","Taxa","Group","LifeSpan","Database","Field","Unit","ecotype","OriginalName","phylum","class","order","family","genus","species","Taxonomic.Group","Ecosystem.Type"
"149","Gypohierax angolensis","Gypohierax angolensis","Accipitriformes","27.1","amphibio","maximum_longevity_y","yrs","terrestrial","Gypohierax angolensis","Chordata","Aves","Accipitriformes","Accipitridae","Gypohierax","Gypohierax angolensis","Bird","terrestrial"
"150","Gyps africanus","Gyps africanus","Accipitriformes","19.7","amphibio","maximum_longevity_y","yrs","terrestrial","Gyps africanus","Chordata","Aves","Accipitriformes","Accipitridae","Gyps","Gyps africanus","Bird","terrestrial"
"158","Haliaeetus albicilla","Haliaeetus albicilla","Accipitriformes","42","amphibio","maximum_longevity_y","yrs","terrestrial","Haliaeetus albicilla","Chordata","Aves","Accipitriformes","Accipitridae","Haliaeetus","Haliaeetus albicilla","Bird","terrestrial"
"161","Haliaeetus leucocephalus","Haliaeetus leucocephalus","Accipitriformes","48","amphibio","maximum_longevity_y","yrs","terrestrial","Haliaeetus leucocephalus","Chordata","Aves","Accipitriformes","Accipitridae","Haliaeetus","Haliaeetus leucocephalus","Bird","terrestrial"
"174","Harpyopsis novaeguineae","Harpyopsis novaeguineae","Accipitriformes","30","amphibio","maximum_longevity_y","yrs","terrestrial","Harpyopsis novaeguineae","Chordata","Aves","Accipitriformes","Accipitridae","Harpyopsis","Harpyopsis novaeguineae","Bird","terrestrial"
"179","Hieraaetus pennatus","Hieraaetus pennatus","Accipitriformes","12","amphibio","maximum_longevity_y","yrs","terrestrial","Hieraaetus pennatus","Chordata","Aves","Accipitriformes","Accipitridae","Hieraaetus","Hieraaetus pennatus","Bird","terrestrial"
"180","Hieraaetus wahlbergi","Hieraaetus wahlbergi","Accipitriformes","22.3","amphibio","maximum_longevity_y","yrs","terrestrial","Hieraaetus wahlbergi","Chordata","Aves","Accipitriformes","Accipitridae","Hieraaetus","Hieraaetus wahlbergi","Bird","terrestrial"
"185","Kaupifalco monogrammicus","Kaupifalco monogrammicus","Accipitriformes","8.6","amphibio","maximum_longevity_y","yrs","terrestrial","Kaupifalco monogrammicus","Chordata","Aves","Accipitriformes","Accipitridae","Kaupifalco","Kaupifalco monogrammicus","Bird","terrestrial"
"203","Milvus migrans","Milvus migrans","Accipitriformes","24","amphibio","maximum_longevity_y","yrs","terrestrial","Milvus migrans","Chordata","Aves","Accipitriformes","Accipitridae","Milvus","Milvus migrans","Bird","terrestrial"
"218","Parabuteo unicinctus","Parabuteo unicinctus","Accipitriformes","25","amphibio","maximum_longevity_y","yrs","terrestrial","Parabuteo unicinctus","Chordata","Aves","Accipitriformes","Accipitridae","Parabuteo","Parabuteo unicinctus","Bird","terrestrial"
