"SpeciesChecked";"m";"sd";"med";"q025";"q975";"n"
"Allium schoenoprasum";33.8125;11.6788626729375;33.25;15;50;16
"Allium scorodoprasum";42.7380952380952;20.0609553110192;37.5;20.1;99.5;42
"Allium ursinum";29.2666666666667;12.2545424036889;27.5;11.75;48.25;15
"Allium validum";60.96;NA;60.96;60.96;60.96;1
"Allium victorialis";33.758064516129;9.69696771138787;32;19.5;58.5;31
"Allium vineale";52.3333333333333;26.3131326979695;50;16.75;93;15
"Alnus alnobetula";338.716744186047;268.514492225573;300;5.125;1005.11;86
"Alnus glutinosa";2211.97183098592;1014.5699583262;2325;281;3500;71
"Alnus incana";1357.00298507463;821.181543706559;1000;232.5;3000;67
"Alnus rhombifolia";2374.512;833.603016610939;2286;1110;3500;15
"Alnus rubra";3134.6;740.624197376193;3000;1797.7;4008.5;24
"Alopecurus aequalis";32.5777777777778;21.9078626169794;40;8.4;69.96;9
"Alopecurus bulbosus";37.15;19.9193512835021;32;12.25;73.25;10
"Alopecurus geniculatus";32.0875757575;15.6643713575891;31.25;11.375;57.946;12
"Alopecurus pratensis";25.9130509412791;25.1388778558663;16.75;3;100;172
"Aloysia wrightii";225;NA;225;225;225;1
"Althaea officinalis";83.4523809523809;34.6554125505327;80;31.5;150;21
"Amaranthus albus";39;20.2484567313166;40;10;67.75;10
"Amaranthus blitoides";57.9166666666667;35.0862033663756;50;17.1875;100;6
"Amaranthus blitum";48.0555555555556;23.3779335651759;42.5;20;80;9
"Amaranthus californicus";30.48;NA;30.48;30.48;30.48;1
"Amaranthus deflexus";42;22.5092573548455;40;12.25;83.25;10
"Amaranthus palmeri";100;NA;100;100;100;1
"Amaranthus powellii";65.2272727272727;36.1326470358619;60;12.5;100;11
"Amaranthus retroflexus";84.6851851851852;68.9276583076205;60;9.55;200;27
"Ambrosia artemisiifolia";52.7699618320611;24.6890956816052;50.3;22;123.75;131
"Ambrosia dumosa";47.9009523809524;23.5369041942142;40;10;90;21
"Ambrosia eriocentra";76.6666666666667;39.0512483795333;80;30;120;9
"Ambrosia monogyra";217.466666666667;154.546795847299;171.92;65.84;400;6
"Ambrosia psilostachya";26.4332329317269;13.2672806437527;23.1666666666667;12.7291666666667;66.75;166
"Ambrosia salsola";126.071428571429;72.6206839424123;90;58.125;250;14
"Amelanchier alnifolia";428.4;250.545063992307;457.2;100;800;12
"Amelanchier ovalis";208.172413793103;82.2522552732565;200;100;300;29
"Amelanchier utahensis";440.4;195.262831417895;450;184.83;760;10
"Ammannia coccinea";48.768;NA;48.768;48.768;48.768;1
"Ammi majus";53;31.6170264831525;42.5;24;100;12
"Ammi visnaga";70;NA;70;70;70;1
"Ammophila arenaria";68.8200900900901;26.179226410388;65;29.75;120;111
"Amorpha fruticosa";367.255;178.503890153688;400;100;580.74;16
"Amphicarpaea bracteata";34.3125;21.7676173860776;23.5;11;66.625;16
"Amsinckia lycopsoides";38.305;25.2079618941545;27.5;20;84.188;8
"Amsinckia menziesii";60;14.142135623731;60;50.5;69.5;2
"Anacamptis morio";23.6111111111111;14.2033837908828;20;6;40;9
"Anacamptis pyramidalis";41.9230769230769;17.3851542916245;40;20;70.5;13
"Anaphalis margaritacea";61.93;40.3526636873784;65.72;18.059;99.358;4
"Andromeda polifolia";22.325;9.40363171725075;20;8;37.625;20
"Andropogon glomeratus";192.024;NA;192.024;192.024;192.024;1
"Andropogon virginicus";42.8927578947368;13.9943220862437;41.91;20.3845;74.95;95
"Androsace alpina";3.2;1.78885438199983;3;1.1;5;5
"Androsace chamaejasme";3.25;2.31840462387393;2.5;1.0625;6.75;6
"Androsace elongata";1.5;0.5;1.5;1.025;1.975;3
"Androsace helvetica";3.28571428571429;1.79947082168487;3;1;5;7
"Androsace obtusifolia";4.78571428571429;2.76672403841834;5;2;9.4;7
"Androsace septentrionalis";5.41304347826087;8.98975701703313;1.1;0.355;27.25;23
"Anemone nemorosa";17.7571428571429;10.3953973331608;15;4;35;35
"Anemone quinquefolia";19.9129032258065;13.2338641858802;25;2;38;31
"Anemopsis californica";42.86;4.04465078838705;42.86;40.143;45.577;2
"Angelica archangelica";89.375;80.1002567808845;78.75;15;239;12
"Angelica arguta";182.88;NA;182.88;182.88;182.88;1
"Angelica sylvestris";86.1071428571429;62.1058470949897;85;7;200;28
"Antennaria alpina";5.935;1.6194675050769;5;5;7.66475;3
"Antennaria carpatica";9.28571428571429;4.49867705421219;10;5;15;7
"Antennaria corymbosa";30.48;NA;30.48;30.48;30.48;1
"Antennaria dimorpha";7.62;NA;7.62;7.62;7.62;1
"Antennaria dioica";3.85326086956522;5.74965744009606;1.75;1;20;92
"Antennaria luzuloides";60.96;0;60.96;60.96;60.96;2
"Antennaria microphylla";30.48;NA;30.48;30.48;30.48;1
"Antennaria rosea";8.00625;3.94902499195647;6;4;16.225;32
"Anthemis cotula";39.6347826086957;15.4429333263898;40;11.1;64.5;23
"Anthoxanthum odoratum";24.2282714285974;18.5540529281418;20;2.12;72.8;385
"Anthriscus caucalis";46.55;23.6726024184744;41.75;17.375;90.5;20
"Anthriscus sylvestris";63.5779220779221;33.7318240467391;60;16.6;150;77
"Anthyllis vulneraria";17.113971742551;15.0779895254276;13;3;60;98
"Aphyllanthes monspeliensis";28.3333333333333;13.2916013582513;30;11.25;47.5;6
"Apium graveolens";74.3333333333333;46.3629572991608;75;26.75;165;15
"Apocynum androsaemifolium";62.6666666666667;32.4322823923397;71;16.675;121.1;18
"Apocynum cannabinum";65.1860322580645;22.1622909169487;56.7;56.7;147.152;62
"Aquilegia alpina";41.875;28.8223726758688;36.25;15.75;77.5625;4
"Aquilegia formosa";91.44;NA;91.44;91.44;91.44;1
"Aquilegia vulgaris";52;26.7207784317748;40;19.5;100;20
"Arabidopsis lyrata";18.1911764705882;12.0579501661907;18;5;50;34
"Arabidopsis thaliana";17.625;15.0541784722277;10;5;50;20
"Arabis alpina";8.00952380952381;10.0369757743327;4.95;1.5125;40;42
"Arabis caerulea";3.3;2.49412212236898;2.6;0.455;10.45;32
"Arabis hirsuta";41.125;29.0780373832987;37.5;8;100;32
"Arabis pumila";11.5;7.60263112349929;11.5;3;20;6
"Aralia nudicaulis";29.1453333333333;9.57777361105559;29;10;45.378;60
"Arbutus menziesii";1925.21904761905;1177.67464081513;1200;650;4000;21
"Arctostaphylos columbiana";396.24;301.736605667924;396.24;193.548;598.932;2
"Arctostaphylos glandulosa";200;0;200;200;200;3
"Arctostaphylos glauca";426.72;172.420917524528;426.72;310.896;542.544;2
"Arctostaphylos manzanita";213.36;43.1052293811319;213.36;184.404;242.316;2
"Arctostaphylos nevadensis";60.96;0;60.96;60.96;60.96;2
"Arctostaphylos patula";296.84;346.77864109544;182.88;89.05;897.86;6
"Arctostaphylos pringlei";300;NA;300;300;300;1
"Arctostaphylos pungens";274.32;129.315688143396;274.32;187.452;361.188;2
"Arctostaphylos uva-ursi";24.8930737704918;35.6175598265607;10;4;150;61
"Arctotheca calendula";23.2;NA;23.2;23.2;23.2;1
"Arctous alpina";20.2495652173913;15.9992543798598;15;5;60;23
"Arenaria biflora";12.875;12.9510295601032;10.25;1.3;28.9125;4
"Arenaria ciliata";5.86666666666667;2.07421815448158;5;3;10;15
"Arenaria lanuginosa";15.05;4.33437909108827;15;7.475;23.05;20
"Arenaria marschlinsii";5.75;3.30403793359983;5.5;2.225;9.7;4
"Arenaria serpyllifolia";16.3972972972973;9.59471748430373;15;3;30;37
"Arisaema triphyllum";19.715;14.8542635854716;13;6.375;48.395;16
"Aristida adscensionis";36.8666666666667;36.3651237069561;29.3333333333333;10.5;93;5
"Aristida oligantha";26;NA;26;26;26;1
"Aristida purpurea";7.35;1.84164781287484;7.25;4.725;10.55;10
"Armeria caespitosa";5;NA;5;5;5;1
"Armeria maritima";14.2966;11.6504104124682;9.25;5;40.5;20
"Arnica chamissonis";76.2;NA;76.2;76.2;76.2;1
"Arnica cordifolia";23.44;20.6298036830213;19.6;5.73;44.414;3
"Arnica lanceolata";76.2;NA;76.2;76.2;76.2;1
"Arnica longifolia";60.96;NA;60.96;60.96;60.96;1
"Arnica mollis";43.78;24.2961890015698;43.78;27.459;60.101;2
"Arnica montana";23.3;15.7180174140561;20;5.6;50;15
"Arnica parryi";5;NA;5;5;5;1
"Arnoglossum ovatum";80;NA;80;80;80;1
"Arrhenatherum elatius";50.0558252315;45.7972089029304;30.56;3;150;240
"Artemisia arbuscula";48.9733333333333;20.7615156800589;60.96;26.798;60.96;3
"Artemisia biennis";75.7142857142857;29.4997982236844;75;33;108.5;7
"Artemisia californica";140.333333333333;61.0628091940312;110;103;246.25;6
"Artemisia cana";151.6;1.38564064605511;152.4;150.12;152.4;3
"Artemisia dracunculus";69.22;18.0762735835312;65;48;114;25
"Artemisia genipi";8.75;4.78713553878169;7.5;5;14.625;4
"Artemisia herba-alba";22.6333333333333;26.0109107813394;19;4.5;60;165
"Artemisia judaica";40;NA;40;40;40;1
"Artemisia ludoviciana";29.2069696969697;20.7426915570353;25;6.6;91.44;33
"Artemisia norvegica";24;22.6274169979695;24;8.8;39.2;2
"Artemisia nova";60.96;0;60.96;60.96;60.96;2
"Artemisia salsoloides";30;NA;30;30;30;1
"Artemisia spinescens";60.96;0;60.96;60.96;60.96;2
"Artemisia tridentata";112.993333333333;120.019760750747;52;18.5;300;51
"Artemisia umbelliformis";9.88571428571429;4.26870574524595;8.5;4.85;20;35
"Artemisia verlotiorum";144;60.7270761504107;137.5;56.75;238.75;10
"Arum italicum";40.4166666666667;21.1550910843673;40;11.375;74.5;12
"Arum maculatum";29.8461538461538;13.109132655304;30;12.9;50;13
"Aruncus dioicus";109.166666666667;43.0842198490352;92.5;68;190;9
"Arundo donax";308.474285714286;88.8648484792389;300;200;400;7
"Asarum europaeum";9.375;4.77156757710264;8.75;5;18.25;8
"Asclepias albicans";80;NA;80;80;80;1
"Asclepias speciosa";182.88;NA;182.88;182.88;182.88;1
"Asclepias subulata";80;NA;80;80;80;1
"Asparagus officinalis";96.9444444444444;50.3849559972982;100;30;150;18
"Asperula cynanchica";27.7884615384615;17.6681482204124;30;5;50;26
"Asphodelus fistulosus";44.875;26.2372985143923;40;20.75;77.2875;4
"Asplenium adiantum-nigrum";31.1538461538462;16.3495471591018;30;10;50;13
"Asplenium ceterach";14.2863636363636;7.56868834673772;15;4;27.375;22
"Asplenium obovatum";21.25;9.94778032192777;26.25;10;30;10
"Asplenium ruta-muraria";7.625;4.36441026062822;6.75;1;15.125;40
"Asplenium scolopendrium";37.2058823529412;20.2693262896253;35;10;60;17
"Asplenium septentrionale";8.38571428571429;3.45365474424369;8;2.925;15;35
"Asplenium trichomanes";19.5;10.9678675068155;19;4.425;37.875;18
"Asplenium viride";14.2368421052632;10.9928871208369;10;4;40;19
"Aster alpinus";8.0144;3.64091963962708;7.822;3.3375;13.9875;10
"Aster bellidiastrum";8.12727272727273;5.04822200923706;7;2;21;33
"Astragalus alpinus";11.955;10.1600080294208;6.75;5;35;20
"Astragalus canadensis";48.944;46.1632893108799;15.24;15.24;100.7;5
"Astragalus confertus";2;NA;2;2;2;1
"Astragalus crotalariae";35;NA;35;35;35;1
"Astragalus curvicarpus";12.192;NA;12.192;12.192;12.192;1
"Astragalus danicus";15.0159090909091;10.0405058965178;13.225;5;35;22
"Astragalus echinus";80;NA;80;80;80;1
"Astragalus filipes";60.96;NA;60.96;60.96;60.96;1
"Astragalus glycyphyllos";39.4883720930233;34.7046189412627;27;11.05;128.5;43
