"SpeciesChecked";"m";"sd";"med";"q025";"q975";"n"
"Campanula rhomboidalis";37.59375;14.9099728928884;40;13.125;66.25;16
"Campanula rotundifolia";16.6099340659048;14.8327057220306;10.1;1.68;53.9999999999999;105
"Campanula scheuchzeri";14.45;7.41150825038025;14;3.825;27.625;34
"Campanula trachelium";36.6923076923077;27.4722859574244;33;5;100;91
"Capparis spinosa";80;NA;80;80;80;1
"Capsella bursa-pastoris";22.9943641618497;11.9534599277582;22;1.72;50.28;173
"Cardamine amara";31.3461538461538;21.277320295901;27.5;10;60;13
"Cardamine bellidifolia";4.48958333333333;2.37784450785708;3.5;2;10;48
"Cardamine breweri";54.864;NA;54.864;54.864;54.864;1
"Cardamine bulbifera";43.5348837209302;13.2298343170875;42;20.25;70;43
"Cardamine concatenata";40;NA;40;40;40;1
"Cardamine flexuosa";29.6875;18.3001593799981;27.5;10;50;16
"Cardamine heptaphylla";38.2142857142857;14.3406681122172;37.5;20.75;58.5;7
"Cardamine hirsuta";16.6704347826087;9.99653188872879;16.9;3.569;32.25;23
"Cardamine impatiens";47.8333333333333;25.2287156874482;45;10;83.25;15
"Cardamine oligosperma";51.816;NA;51.816;51.816;51.816;1
"Cardamine pentaphyllos";32.8571428571429;11.1269728052837;30;20;48.5;7
"Cardamine pratensis";29.8365384615385;18.9000781080049;25;8.275;60;52
"Cardamine resedifolia";7.35714285714286;4.90505084678271;7;2;14.55;7
"Carduus crispus";102.678571428571;49.0139725536964;116.25;30;176.75;14
"Carduus defloratus";28.524358974359;14.267869090865;25.5;8.75;60.9999999999999;39
"Carduus nutans";88.4375;52.3360535386458;80;16.875;188.75;16
"Carduus pycnocephalus";33.625;20.6927306695879;28;11.925;80.5;40
"Carduus tenuiflorus";66.7727272727273;41.4133816757118;70;16.25;142.5;11
"Carex acuta";95.5555555555556;40.345728123034;120;34;144;9
"Carex acutiformis";82.2727272727273;49.4653230234897;75;22.5;150;11
"Carex alba";15;8.94427190999916;12.5;5.625;28.75;6
"Carex aquatilis";78.5993846153846;36.5801440436804;88.392;21.32;134;13
"Carex athrostachya";60.96;NA;60.96;60.96;60.96;1
"Carex atrata";24.3357142857143;17.0519390795776;18.75;6.845;50;14
"Carex atrofusca";16.7;9.67914677814843;14;6.19;35;18
"Carex aurea";36.576;NA;36.576;36.576;36.576;1
"Carex bigelowii";15.104380952381;9.53324724569855;12.192;4.5;30;21
"Carex binervis";74.5416666666667;52.9835862948769;85;12.59375;143.75;6
"Carex brizoides";48.75;18.0772153354911;50;21.75;70;8
"Carex buxbaumii";60.7142857142857;22.4403972462929;70;23.75;87;7
"Carex canescens";42.8973333333333;17.5654968075269;50;20;70;15
"Carex capillaris";22.9795555555556;17.1659477389912;15;5;49.4528;9
"Carex capitata";16;7.56637297521078;12;7.6;29;9
"Carex caryophyllea";10.0372212837812;8.22418950690529;6.31;1.5;30;64
"Carex curvula";15;10;15;5.5;24.5;3
"Carex diandra";55.12;21.7479378332751;60;20;88.294;12
"Carex digitata";14.4;9.05380740746282;15;5;30;15
"Carex dioica";15.7692307692308;11.8754217199071;15;5;37;13
"Carex disperma";60.96;NA;60.96;60.96;60.96;1
"Carex disticha";55.75;29.1559504122991;57.5;20;90;10
"Carex divisa";41.2715384615385;25.6252192986238;30;10;78.5;13
"Carex divulsa";48.9852941176471;29.2759594457737;40;11.3;96;17
"Carex douglasii";45.72;NA;45.72;45.72;45.72;1
"Carex echinata";27.7683333333333;13.3777439552913;27.5;10;44.147;12
"Carex elata";43.609375;28.8658561489119;32;17.775;112.25;32
"Carex ericetorum";18.0416666666667;8.39496151199508;18;5.55;30;12
"Carex ferruginea";39.95;26.3759675967853;35;11.4625;91;10
"Carex filifolia";25.539;9.71462972360072;25.09;15.7225;36.1188;4
"Carex fimbriata";25;15;25;10.75;39.25;3
"Carex firma";9.5;6.18061485614498;8.25;3.25;19.0625;6
"Carex flacca";29.435;24.1072863372354;23.05;3;86.25;56
"Carex flava";42.7777777777778;28.4067675817655;50;10;90;9
"Carex frigida";18.5;11.5;18.5;7.575;29.425;3
"Carex hirta";41.5566176470588;21.3732781592721;45;10;76.7;34
"Carex hostiana";33.3636363636364;15.8257557625077;30;15;55.25;11
"Carex humilis";7.64285714285714;5.04757585163631;7;1.325;15;14
"Carex intumescens";57.0733333333333;35.6709442917715;58;16.375;98.93;6
"Carex kelloggii";91.44;NA;91.44;91.44;91.44;1
"Carex lachenalii";19.6428571428571;14.6079723830125;20;5.75;45.5;7
"Carex laevigata";92.5;42.7200187265877;110;35.25;120;4
"Carex lasiocarpa";80.4166666666667;32.4358340933809;95;30;120;12
"Carex lenticularis";48.768;NA;48.768;48.768;48.768;1
"Carex leporina";39.8;26.5510431948886;37.5;10;90;20
"Carex limosa";35.0330909090909;13.4157238004854;40;12.5;53.648;11
"Carex luzulina";60.96;NA;60.96;60.96;60.96;1
"Carex magellanica";30.05;21.6056191250743;25;7.675;71;10
"Carex mariposana";60.96;NA;60.96;60.96;60.96;1
"Carex microptera";60.96;NA;60.96;60.96;60.96;1
"Carex montana";20.8666666666667;8.92936191860898;21.9;8.65;33.375;14
"Carex mucronata";18.25;8.51909619619359;18.25;8.25;29.375;6
"Carex muricata";48.1818181818182;32.9410630727613;40;15;100;11
"Carex myosuroides";16.1057142857143;9.30187589887627;15;5.411;29.25;7
"Carex nebrascensis";91.44;NA;91.44;91.44;91.44;1
"Carex nigra";26.2512820512821;19.8326401856672;25;5;70;39
"Carex obnupta";91.44;NA;91.44;91.44;91.44;1
"Carex ornithopoda";4.76666666666667;3.47121976640297;3.9;1.075;15;51
"Carex pachystachya";106.68;NA;106.68;106.68;106.68;1
"Carex pallescens";46.3294117647059;20.6783084914539;35;20;89.2;34
"Carex panicea";30.7272727272727;17.2383620318499;27.75;7.625;68.9999999999999;22
"Carex paniculata";82.2916666666667;38.9851127374478;72.5;32.75;150;12
"Carex parviflora";9.5;6.18061485614498;8.25;3.25;19.0625;6
"Carex pauciflora";17.4;17.009474484011;11.25;3.45;52.125;10
"Carex pendula";96.4285714285714;50.5138431684657;87.5;33.125;170.25;14
"Carex pilulifera";21.3333333333333;10.5607486365648;25;5.85;37.875;18
"Carex praegracilis";60.96;NA;60.96;60.96;60.96;1
"Carex pseudocyperus";63.8888888888889;33.3333333333333;50;22;100;9
"Carex pulicaris";16.1363636363636;8.80366659151433;12.5;5.75;30;11
"Carex raynoldsii";60.96;NA;60.96;60.96;60.96;1
"Carex remota";56.0615384615385;23.4298078830343;60;30;100;13
"Carex riparia";96.2;32.961449344001;80;53.5;156.5;15
"Carex rossii";30.48;NA;30.48;30.48;30.48;1
"Carex rostrata";56.98;32.5147105169337;52.5;21.875;104.175;16
"Carex rupestris";5.18866666666667;3.45436764389794;4.4;3;17.625;60
"Carex saxatilis";18.7478260869565;11.7892157795017;13.31;7.65;46.682;23
"Carex scopulorum";33.0153846153846;7.19073203637399;33.0153846153846;28.185;37.8457692307692;2
"Carex sempervirens";16.7694;7.74671977893439;14.175;8.09;31;25
"Carex simpliciuscula";13.5;7.59111322534449;15;3.4;24;9
"Carex simulata";45.72;NA;45.72;45.72;45.72;1
"Carex spicata";48.28125;27.729628408377;42.5;16.875;100;16
"Carex stipata";103.34;4.72347329832614;103.34;100.167;106.513;2
"Carex strigosa";65.6428571428571;25.9883215530141;70;30.75;98.5;7
"Carex sylvatica";22.5196078431373;19.3672302573997;18;7.25;70;51
"Carex utriculata";106.68;NA;106.68;106.68;106.68;1
"Carex vaginata";29.8076923076923;18.6654074666865;25;11.5;68;13
"Carex vesicaria";73.2984615384615;31.2622098403578;80;30;120;13
"Carlina vulgaris";16.242;20.2933772246926;5.1;1.4225;60;50
"Carpinus betulus";2085.21732325;851.763171617143;2500;600;3000;48
"Carpinus caroliniana";782.650322580645;507.66482971323;650;15.575;2133;62
"Carpobrotus edulis";22.12;17.7021064121921;20;6.075;62.5;15
"Carya cordiformis";3053.97647058824;1146.19559823433;3000;1268.64;5120;17
"Cassiope fastigiata";30;NA;30;30;30;1
"Cassiope selaginoides";25;NA;25;25;25;1
"Cassiope tetragona";13.5768888888889;6.97905488666704;10;10;28;9
"Castanea sativa";2042.06896551724;1036.92613995488;2000;619;3500;58
"Castilleja applegatei";32.86;18.186786412118;32.86;20.643;45.077;2
"Catabrosa aquatica";34.7775;27.8128756154411;21.86;5.875;71.65;8
"Catananche caerulea";45;15.1657508881031;45;30;67.5;6
"Catapodium rigidum";13.2704347826087;10.7379664056861;10;1;35;23
"Caulophyllum thalictroides";59.77;14.352393528607;56.48;40.1;75.99;8
"Caylusea hexagyna";20;NA;20;20;20;1
"Ceanothus cordulatus";213.36;60.96;243.84;131.064;243.84;4
"Ceanothus crassifolius";370.4;39.3547964039963;388;308.8;388;5
"Ceanothus cuneatus";344.504615384615;42.0483516552442;337;320;441;13
"Ceanothus fendleri";22.8571428571429;29.8081963799988;17;7.5;89.5;21
"Ceanothus greggii";256.68;50.0216273225892;256.68;213.36;300;4
"Ceanothus integerrimus";334.8;106.625385345142;396.24;168.528;396.24;5
"Ceanothus leucodermis";408.8;4.91934955049956;411;401.1;411;5
"Ceanothus megacarpus";336.292307692308;72.2761064891488;390;230;402.372;13
"Ceanothus oliganthus";471.333333333333;139.364629659035;420;320;613;9
"Ceanothus papillosus";335.28;215.52614690566;335.28;190.5;480.06;2
"Ceanothus prostratus";15.24;0;15.24;15.24;15.24;2
"Ceanothus spinosus";434.7;92.9480961151361;462;340;583.77;8
"Ceanothus thyrsiflorus";336.05;386.85811998716;336.05;76.1775;595.9225;2
"Ceanothus velutinus";366.342857142857;242.12926889813;304.8;172.5;810.72;7
"Cedrus atlantica";3466.66666666667;1288.22506167355;4000;1175;5000;15
"Celtis laevigata";1102.34117647059;1126.47245856017;350;200;3000;51
"Cenchrus setaceus";106.68;NA;106.68;106.68;106.68;1
"Centaurea benedicta";39;14.3410831761993;38;22.35;61.9;7
"Centaurea calcitrapa";42;17.8085051911399;40;15;73;15
"Centaurea cyanus";52.4512195121951;16.2956301190107;51;30;90;41
"Centaurea melitensis";74.2857142857143;32.5868802112869;100;31.5;100;7
"Centaurea nigra";56.9326950355319;25.4284595651898;60;15;98.21;47
"Centaurea scabiosa";59.078;34.7385415161124;45;21.86;132;25
"Centaurea solstitialis";56.5;22.3487508972351;57.5;20;86.25;16
"Centaurium erythraea";24.6833631484884;16.8748560354196;25;2;50;43
"Centaurium tenuiflorum";20.3125;13.1228739774705;16.25;5.875;35;8
"Centranthus ruber";50;21.7124059336724;45;26.75;80;15
"Cephalanthera damasonium";36.4583333333333;17.8522449993034;36.25;11.375;60;12
"Cephalanthera longifolia";22.9154929577465;11.2128707664429;19;9.5;60;71
"Cephalanthera rubra";34.6428571428571;18.3412403861107;30;10;60;14
"Cephalanthus occidentalis";323.649230769231;240.078622641402;300;150;653.795999999997;39
"Cerastium alpinum";12.5666666666667;5.4865636743212;15;5;20;15
"Cerastium arvense";7.3044992743106;8.3641870890857;4;1.1625;30;106
"Cerastium carinthiacum";12.5;7.5;12.5;5.375;19.625;3
"Cerastium cerastoides";8.45789473684211;5.63809619064545;10;1.27;15;19
"Cerastium diffusum";15;9.58163307102147;10;5.1375;30;14
"Cerastium fontanum";25.9448474576271;15.0042417448666;28;1.725;50;59
"Cerastium glomeratum";21.2184375;12.3957767025517;23.5;2.115;45;64
"Cerastium latifolium";5.321875;1.70288831960063;5;3.31;10;32
"Cerastium pedunculatum";5;3;5;2.15;7.85;3
"Cerastium pumilum";8.19565217391304;5.8828315894543;10;1;20;23
"Cerastium semidecandrum";8.20366219960433;7.26579254893678;5.75;1;20;20
"Cerastium tomentosum";24.3111111111111;12.4808297444966;20;10.76;44;9
"Cerastium uniflorum";4;1.78885438199983;4;2;6;6
"Ceratocapnos claviculata";56.4285714285714;31.4660116651267;62.5;20;100;14
"Ceratophyllum demersum";99;68.044103344816;100;17;190.5;5
"Ceratophyllum submersum";91.5;72.577544736647;100;13.25;190.5;5
"Cercis canadensis";412.73;320.701568387492;400;29.775;1279.75;72
"Cercis occidentalis";650.346666666667;180.422727319297;701.04;462.552;795.052;3
"Cercocarpus ledifolius";678.5;439.900495242146;609.6;90;1198.34;8
"Cercocarpus montanus";498.875294117647;250.626720795031;579.12;120;904.992;17
"Chaenactis douglasii";44.384;6.19991225744365;44.384;40.2192;48.5488;2
"Chaerophyllum hirsutum";43.3722222222222;24.2119818552608;39;14.27375;89.375;18
"Chaerophyllum temulum";65.5;34.0718778047653;65;26.75;106.5;15
"Chaerophyllum villarsii";58.75;31.1916121203548;52.5;30.75;97.375;4
"Chamaebatiaria millefolium";121.92;86.2104587622639;121.92;64.008;179.832;2
"Chamaecyparis lawsoniana";5173.59515151515;1904.66102190803;6000;1843.84;7388;33
"Chamaemelum nobile";20;11.5470053837925;20;10;30;4
"Chamaenerion angustifolium";167.64;NA;167.64;167.64;167.64;1
"Chamaenerion fleischeri";25.3571428571429;10.0445436503037;25;11.5;39.25;7
"Chamorchis alpina";7.25;2.48495472795784;7.25;4.125;10;6
"Chenopodiastrum murale";59.6875;28.9377924751238;60;15;96.25;16
"Chenopodium album";46.814691943128;44.2406118346016;33;9.625;150;211
"Chenopodium atrovirens";60;NA;60;60;60;1
"Chenopodium berlandieri";150;NA;150;150;150;1
"Chenopodium betaceum";68.4375;42.1082257827545;63.75;21.75;139.5;8
"Chenopodium fremontii";54.45;15.2193609382399;59.5;23.9;75.05;20
"Chenopodium leptophyllum";70;NA;70;70;70;1
"Chenopodium pratericola";75;25;75;51.25;98.75;3
"Cherleria sedoides";5.71739130434783;2.02723550542763;5;2.825;8;23
"Chilopsis linearis";785.88;181.727798958458;831;482.19;987.318;8
"Chimaphila umbellata";17.0013333333333;12.9219593973463;14;4.25;33.147;6
"Chloris gayana";90.9781818181818;31.6100761840847;91.44;61.05;150;11
"Chloris virgata";62.5;34.0342964277702;70;22.25;90;4
"Chloropyron maritimum";51.816;NA;51.816;51.816;51.816;1
"Chondrilla juncea";68.7384615384615;35.2234187830942;75;10.02;117;13
"Chrysolepis chrysophylla";2676.16;1465.64796428065;2700;723.9;4440.42;6
"Chrysolepis sempervirens";213.36;0;213.36;213.36;213.36;2
"Chrysosplenium alternifolium";15.9090909090909;5.03397547579536;17.5;6.25;20;11
"Chrysosplenium oppositifolium";9.375;4.78713553878169;7.5;5;15;16
"Chrysothamnus greenei";30;NA;30;30;30;1
"Chrysothamnus viscidiflorus";92.864;38.9397236764721;91.44;45.144;144.144;5
"Chuquiraga jussieui";100;NA;100;100;100;1
"Cicendia filiformis";6.15625;4.65015680739191;3;1.1875;13.875;16
"Cichorium intybus";74.6516666666667;36.1475925792488;66.25;15.8775;124.25;24
"Cicuta douglasii";182.88;NA;182.88;182.88;182.88;1
"Cinna latifolia";137.16;NA;137.16;137.16;137.16;1
"Circaea alpina";16.65728;11.0215512350425;16;5;36;25
"Circaea lutetiana";33.0483870967742;17.2045899102099;28.2;14.5;62.5;31
"Cirsium acaule";12.3004901961111;8.43120773326316;11.5;1.425;27.875;18
"Cirsium arvense";69.199068072381;28.9354797822931;72.5;21.81;146.5;126
"Cirsium dissectum";37.7777777777778;24.9087222563592;22;15;74;9
"Cirsium eriophorum";117.5;45.1512609307466;115;52.75;180;12
"Cirsium helenioides";70;33.4992537230309;61;32.5;137.5;11
"Cirsium heterophyllum";71.034375;41.023388227893;47.7;30.565625;120;8
"Cirsium oleraceum";63.7894736842105;54.5370199929149;37;10.45;150;19
"Cirsium palustre";111.166666666667;51.2700462946819;130;21.95;189.375;18
"Cirsium spinosissimum";36.7857142857143;15.7264563259314;37.5;15.75;58.5;7
"Cirsium vulgare";123.782608695652;54.0201616585201;120;37.4;200;23
"Cistus albidus";71.3854166666667;23.0111535359864;72;29.7;105;48
"Cladium mariscus";178.742;79.1728521148506;195;71.75;291.2388;8
"Clarkia gracilis";76.2;NA;76.2;76.2;76.2;1
"Clarkia purpurea";40;NA;40;40;40;1
"Claytonia perfoliata";16.8673684210526;9.46741830472939;11;5.9;30.264;19
"Claytonia sibirica";28.7643333333333;12.6975556655125;33.75;15;41.9372;12
"Claytosmunda claytoniana";121.92;NA;121.92;121.92;121.92;1
"Clematis alpina";166.153846153846;86.5821826877468;150;51;340;13
"Clematis ligusticifolia";147.86;234.76;30.48;30.48;464.786;4
"Clematis vitalba";1963.15789473684;1161.51745876571;3000;190;3000;19
"Cleomella arborea";125.8;28.2760676191015;125;100;152.4;6
"Cleomella oxystyloides";150;NA;150;150;150;1
"Clinopodium acinos";18.8347368421053;7.41252945912906;20;9.923;30;19
"Clinopodium alpinum";11.6468518518519;3.76205073745995;11.5;5.1625;19.1875;54
"Clinopodium menthifolium";45.725;17.7033114654323;47.5;16.6125;70.5;20
"Clinopodium nepeta";31.435;18.6017506582316;29.5;10;80;50
"Clinopodium vulgare";39.6673846153846;16.7349000292916;36;20;80;65
"Clintonia borealis";33.528;NA;33.528;33.528;33.528;1
"Cocculus orbiculatus";333.333333333333;57.7350269189626;300;300;395;3
"Cochlearia danica";10.2777777777778;6.96255155693705;8;3;22.875;18
"Colchicum autumnale";23.5533333333333;14.4997471242317;22.5;5;43.6;15
"Coleogyne ramosissima";129.213333333333;34.9122939187139;120;85;179.07;6
"Collinsia parviflora";30.48;0;30.48;30.48;30.48;2
"Collomia grandiflora";40;12.2474487139159;40;26.125;53.875;4
"Collomia linearis";20.75;11.4418821295566;20.5;7.975;33.95;4
"Colubrina californica";150;NA;150;150;150;1
"Comandra umbellata";24.5392857142857;3.07846942911149;24.1;22.1625;34.0375;56
"Comarum palustre";43;24.4087991036882;42.5;15;95.25;20
"Comastoma tenellum";230.454545454545;752.727920783647;2.5;1;1877.5;11
"Commelina diffusa";30.48;NA;30.48;30.48;30.48;1
"Condalia globosa";609.6;NA;609.6;609.6;609.6;1
"Conium maculatum";177.666666666667;83.4280414203647;180;57;300;15
"Conopodium majus";36.53125;23.0965139866027;36.25;8;78.75;16
"Convallaria majalis";20.9070588235294;5.56978698504921;24.384;10;28;17
"Convolvulus arvensis";41.7571428571429;43.71251727671;20;1.2;150;49
"Coprosma";400;282.842712474619;400;210;590;2
"Coptis trifolia";10;NA;10;10;10;1
"Corallorhiza trifida";17.375;9.42545944314046;19;7;29.125;8
"Coreopsis tinctoria";22.4971428571429;19.6999028278967;15;6;68.22;21
"Corethrogyne filaginifolia";100;NA;100;100;100;1
"Coriaria myrtifolia";154.166666666667;87.2018730685681;137.5;56.25;287.5;6
"Cornus alternifolia";758.036363636364;118.997876222454;762;600;910.8;11
"Cornus canadensis";15.1057142857143;7.05450615868022;14;7.325;30.125;14
"Cornus glabrata";444.8;233.062395079086;444.8;288.24;601.36;2
"Cornus mas";522.834375;240.716371998217;550;188.75;800;32
"Cornus nuttallii";1632.08888888889;925.571247128556;1750;414.608;2847.632;9
"Cornus racemosa";117.549565217391;183.460038724229;51;14.25;762.5;46
"Cornus sanguinea";311.14126984127;149.572862420143;400;25;500;63
"Cornus sericea";126.331071428571;221.128366043599;64.5;12.55;557.951999999998;112
"Cornus sessilis";500;NA;500;500;500;1
"Cornus suecica";13;8.73053390247253;10;5;30;28
"Coronilla minima";18.5;13.763305250868;12.5;5;38.775;8
"Coronilla valentina";76;25.0998007960223;80;50;100;5
"Cortaderia selloana";208.106666666667;62.5552086826775;200;152.5;270.604;3
"Corydalis caseana";91.44;NA;91.44;91.44;91.44;1
"Corylus americana";111.557894736842;118.574862971268;44;20.2;304.8;19
"Corylus avellana";507.26;332.426012022808;583.5;100;1387.5;50
"Corylus cornuta";586.874666666667;418.61405337591;457.2;150;1500;15
"Cotinus coggygria";226.963636363636;100.793327901677;200;110.5;500;55
"Cotoneaster integerrimus";156.313333333333;78.5225623626738;150;38.5;289.086;18
"Cotoneaster microphyllus";100;0;100;100;100;2
"Cotoneaster nebrodensis";174.333333333333;113.024438992299;150;43.5;430;15
"Cotula australis";10;0;10;10;10;2
"Cotula coronopifolia";18.6875;15.1914861024193;15.25;4.525;46.5;8
"Crassula aquatica";5.33333333333333;1;5;5;7.4;9
"Crassula tillaea";2.90933333333333;1.88464269696887;3;1;5;15
"Crataegus laevigata";750;401.33705108229;1000;170;1200;29
"Crataegus monogyna";671.424561403509;360.079917855895;800;98.8;1000;57
"Crataegus sinaica";300;NA;300;300;300;1
"Crepis acuminata";91.44;NA;91.44;91.44;91.44;1
"Crepis biennis";54.3669230769231;37.3360475432771;32.5;15.5625;120;26
"Crepis capillaris";43.0663326454205;24.9700726417525;41.2;10;90;26
"Crepis jacquinii";12.5;6.70820393249937;12.5;5;20;6
"Crepis occidentalis";27.432;0;27.432;27.432;27.432;2
"Crepis paludosa";63.3333333333333;28.3893004660626;65;30;100;15
"Cressa truxillensis";22.86;NA;22.86;22.86;22.86;1
"Croton wigginsii";91.44;NA;91.44;91.44;91.44;1
"Cruciata glabra";14.336;6.09348129444198;14;6.225;30;50
"Cruciata laevipes";37.3791666666667;19.1384652323345;37.5;15;60;24
"Cryptogramma crispa";21.5625;7.89863234092731;21.25;10.875;30;8
"Cucurbita foetidissima";30.48;NA;30.48;30.48;30.48;1
"Cuscuta epithymum";57.5625;69.6591403430543;50;4.375;225;16
"Cuscuta europaea";103.142857142857;63.9464061315635;150;6.2;150;7
"Cyclospermum leptophyllum";34.5833333333333;26.7024499500202;50;6.0625;50;3
"Cynara cardunculus";80;NA;80;80;80;1
"Cynodon dactylon";21.6094899470899;12.6703648176274;22.5;2.25791666666666;40.7348;30
"Cynoglossum officinale";56.8055555555556;24.7012376975497;60;27.125;90;18
"Cynosurus cristatus";24.5606796116505;18.8285274614119;17.35;5;75;206
"Cynosurus echinatus";31.85;16.3809614319764;30;11.95;60.9999999999999;40
"Cyperus acuminatus";39.624;NA;39.624;39.624;39.624;1
"Cyperus eragrostis";57.5;45.9619407771256;57.5;26.625;88.375;2
"Cyperus erythrorhizos";78.1;2.68700576850888;78.1;76.295;79.905;2
"Cyperus esculentus";40.668;27.3395765877967;40.668;22.3026;59.0334;2
"Cyperus longus";75.4;42.3063656135642;85;19.5;139.5;15
"Cyperus odoratus";70.48;13.4633131137919;70.48;61.436;79.524;2
"Cyperus polystachyos";48.768;NA;48.768;48.768;48.768;1
"Cyperus rotundus";25;15;25;10.75;39.25;3
"Cyperus strigosus";97.536;NA;97.536;97.536;97.536;1
"Cyperus subsquarrosus";15;NA;15;15;15;1
"Cyrtandra platyphylla";121.92;NA;121.92;121.92;121.92;1
"Cystopteris fragilis";23.9821428571429;14.3194261619824;20.5;6.35;50;28
"Cytisophyllum sessilifolium";143.571428571429;61.5571743526757;150;54.5;200;7
"Cytisus scoparius";174.586363636364;68.7090122754264;200;50.75;250;44
"Dactylis glomerata";43.7916207512171;29.5240066521103;37.75;6;118.85;544
"Dactylorhiza fuchsii";38.8333333333333;15.5437977702622;38;15;70;39
"Dactylorhiza incarnata";21.0961538461538;23.3479726754658;10;5;85.875;52
"Dactylorhiza maculata";34.2083333333333;22.3010989673495;38.75;4;60;12
"Dactylorhiza praetermissa";55;7.07106781186548;55;50.25;59.75;2
"Dactylorhiza purpurella";25;NA;25;25;25;1
"Dactylorhiza viridis";18.2;12.007140732557;15;5.35;40;15
"Damasonium californicum";45.72;NA;45.72;45.72;45.72;1
"Danthonia californica";17.296;17.915249370299;9.5;5.225;55.569;10
"Danthonia decumbens";26.3094285714286;16.4058327555207;26;5.3132;60;28
"Danthonia intermedia";29.36;23.1365338804238;29.36;13.818;44.902;2
"Danthonia unispicata";22.86;NA;22.86;22.86;22.86;1
"Daphne laureola";32.9050279329609;22.5018582846675;27;15;100;179
"Daphne mezereum";89.84375;53.5284726013386;77.5;25;200;32
"Daphne striata";14.6428571428571;10.8424869752988;10;5;33.125;7
"Darmera peltata";120;113.137084989848;120;44;196;2
"Dasiphora fruticosa";86.5238461538462;42.8901711889261;95;26.1075;168.75;26
"Dasylirion wheeleri";431.8;62.2170394666927;457.2;323.85;457.2;6
"Datura stramonium";122.978947368421;57.5900027873991;110;39;200;19
"Daucus carota";50.2503571428571;26.4834102086741;49.5;9.7225;100;124
"Daucus pusillus";14.4666666666667;6.98842580543682;14;5.05;24.6;15
"Delairea odorata";183.333333333333;28.8675134594813;200;152.5;200;3
"Delphinium andersonii";60.96;NA;60.96;60.96;60.96;1
"Delphinium glaucum";243.84;NA;243.84;243.84;243.84;1
"Delphinium nuttallianum";14.2368421052632;2.83023566476869;14;9.9;19.275;19
"Dendromecon rigida";80;NA;80;80;80;1
"Deschampsia cespitosa";42.0087064887629;49.4985670876676;19.4;4.08;200;97
"Deschampsia danthonioides";45.72;NA;45.72;45.72;45.72;1
"Deschampsia elongata";91.44;NA;91.44;91.44;91.44;1
"Deschampsia setacea";36.0714285714286;27.6833713196035;20;10.375;70;7
"Descurainia pinnata";60;0;60;60;60;2
"Descurainia sophia";53;26.4773985047426;52.5;17.375;100;20
"Dianthus deltoides";23.8095238095238;11.4000835418827;20;11;45;21
"Dianthus sylvestris";18.38;14.5743153069592;13.75;5;45.5;10
"Diapensia lapponica";4.20909090909091;1.2785442208525;4;2.34125;6;22
"Dicentra formosa";42.86;4.04465078838705;42.86;40.143;45.577;2
"Dicentra uniflora";10;NA;10;10;10;1
"Diervilla lonicera";41.6224;23.7866338265842;27;20.7;71.9328;5
"Dieteria canescens";37.45;10.1279966325761;39;18.95;50.575;20
"Digitalis lutea";52.2875;17.0570106971899;52;25;83;80
"Digitalis purpurea";100.385277778;46.8206863900517;95;36.875;151.26;20
"Digitaria ischaemum";20.3777777777778;16.3399026404888;14.5;3;50;18
"Digitaria sanguinalis";37.31875;22.8707579931352;33.09375;8.45;75.5;10
"Digitaria violascens";30;NA;30;30;30;1
"Dioscorea communis";239.583333333333;112.542079672315;212.5;100;400;12
"Diospyros virginiana";1607.41473684211;658.211823143823;1800;367.21;2400;19
"Diphasiastrum alpinum";5.901;2.6060817533729;4.13;3;10;20
"Diphasiastrum complanatum";11.3823529411765;9.44313476117158;8;5;34;17
"Diplachne fusca";100.584;NA;100.584;100.584;100.584;1
"Diplacus aurantiacus";90;34.6410161513775;90;60;120;4
"Diplotaxis harra";40;0;40;40;40;2
"Diplotaxis tenuifolia";44.6875;24.3220578899073;35;13.75;80;16
"Dipsacus fullonum";107.8453125;63.2792955990512;100;16.1775;200;32
"Dipsacus pilosus";84.7058823529412;45.8758715256211;80;30;150;17
"Dipsacus sativus";130.625;49.765073093486;118.75;86.6875;194.75;4
"Dirca occidentalis";193.333333333333;32.1455025366432;180;170.5;227.5;3
"Distichlis spicata";35.052;NA;35.052;35.052;35.052;1
"Dithyrea californica";40;NA;40;40;40;1
"Dittrichia viscosa";80.5888888888889;40.0015138602417;80;33.06;144;9
"Dodonaea viscosa";345.026846722068;233.522044181547;300;50;1000;38
"Doronicum clusii";20;8.16496580927726;20;10.75;29.25;4
"Doronicum grandiflorum";18.25;8.78782148496503;17;7.325;41.125;32
"Downingia bicornuta";24.384;NA;24.384;24.384;24.384;1
"Draba aizoides";6.32352941176471;4.20914620376934;5;2;15;17
"Draba dubia";3.71428571428571;1.86764430181318;3;2;6.7;7
"Draba fladnizensis";2.75;1.8907670401189;2;1.0625;5.75;6
"Draba hoppeana";3;2;3;1.1;4.9;3
"Draba incana";19.625;17.0815224465183;8.5;7;50;12
"Draba norvegica";3.625;1.49430737984343;4.25;2;5;12
"Draba siliquosa";4.57142857142857;2.86397991480055;3;2.075;9.475;7
"Draba tomentosa";4.25;1.78185296812055;4.25;2.125;6.75;6
"Draba verna";7.4622641509434;6.05809142371698;9;1;25;53
"Dracocephalum heterophyllum";20;NA;20;20;20;1
"Dracocephalum ruyschiana";23.203125;8.18915428990509;21.25;10;43.375;32
"Drosera anglica";10.0588235294118;6.36858096669986;10;1.4;20;17
