name	family	comment	citation_total	citation_prop_ane	citation_prop_dyso	citation_prop_endo	citation_prop_epi	citation_prop_hem	citation_prop_hydro	citation_prop_other	fruit_type	dia_type	dia_exposure	dia_hetero	dia_app_nutrient	dia_app_elon	dia_app_hook	dia_app_flat	dia_app_ballo	dia_app_muci	dia_app_other	dia_app_no	dia_morph	dia_mass	dia_surfacestructure	dia_length	dia_width	dia_height	dia_shape	dia_form	vterm	rank_ane	rank_hydro	rank_epi_wool	diaspore_seeds_class
Anthyllis vulneraria L. s.l.	Fabaceae	other diaspore-types: fruit|1c.3.4b|	26	0.31	0	0.46	0	0.12	0	0.12	non-fleshy fruit	fruit	exposed	1	1	1	0	0	0	0	0	0	fruit|1c.4b|	3.9598	0.63	6.22	3.05	2.88	0.07	spherical	1.8	0.68	0.55	0.88	1
Anthyllis vulneraria ssp. alpestris (Kit. ex Schult.) Asch. & Graebn.	Fabaceae	other diaspore-types: fruit|1c.3.4b|	NA	NA	NA	NA	NA	NA	NA	NA	non-fleshy fruit	fruit	exposed	1	1	1	0	0	0	0	0	0	fruit|1c.4b|	6.9644	0.47	6.95	3.22	2.88	0.07	spherical	1.53	0.75	0.77	0.9	1
Antirrhinum majus L.	Plantaginaceae	-	1	0	0	0	0	1	0	0	fruit with upright aperture	seed	enclosed	0	0	0	0	0	0	0	0	1	seed|7a|	0.1048	0.88	0.94	0.71	NA	0.03	spherical	1.8	0.67	NA	0.43	1
Apera interrupta (L.) P. Beauv.	Poaceae	-	1	0	0	1	0	0	0	0	non-fleshy fruit	fruit	covered partly	0	1	1	0	1	0	0	0	0	fruit|1c.3.4c|	0.1396	0.92	6.86	0.66	NA	NA	NA	1.97	0.6	0.1	0.74	1
Apera spica-venti (L.) P. Beauv.	Poaceae	-	8	0	0.13	0	0.25	0.63	0	0	non-fleshy fruit	fruit	covered partly	0	1	1	0	1	0	0	0	0	fruit|1c.3.4b.4c|	0.12	0.94	6.3	0.74	NA	0.19	elongated	0.97	0.8	0	0.73	1
Aphanes arvensis L.	Rosaceae	-	6	0.17	0	0.67	0	0.17	0	0	non-fleshy fruit	fruit	exposed	0	0	1	1	1	0	0	0	0	fruit|3.4b.4d.5|	0.4214	0.78	2.43	1.23	NA	NA	NA	2.02	0.62	NA	0.88	1
Aphanes inexspectata W. Lippert	Rosaceae	-	NA	NA	NA	NA	NA	NA	NA	NA	non-fleshy fruit	fruit	exposed	0	0	1	1	1	0	0	0	0	fruit|3.4b.4d.5|	NA	NA	NA	NA	NA	NA	NA	1.91	0.65	NA	NA	1
Apium graveolens L.	Apiaceae	-	4	0	0	0	0.25	0.5	0.25	0	non-fleshy fruit	fruit segment	exposed	0	0	0	0	0	0	0	0	1	segm|7a|	0.45	0.98	1.28	1.02	1	0.01	spherical	4.18	0.28	0.67	0.63	1
Apium inundatum (L.) Rchb. f.	Apiaceae	-	2	0	0	0	0.5	0	0.5	0	non-fleshy fruit	fruit segment	exposed	0	0	0	0	0	0	0	0	1	segm|7a|	NA	0.96	2.2	1	1	0.07	spherical	NA	NA	NA	NA	1
Apium nodiflorum (L.) Lag.	Apiaceae	-	2	0	0	0	0.5	0	0.5	0	non-fleshy fruit	fruit segment	exposed	0	0	0	0	0	0	0	0	1	segm|7a|	0.3448	0.96	1.84	1.02	1	0.05	spherical	3.04	0.42	NA	0.67	1
