name	family	comment	citation_total	citation_prop_ane	citation_prop_dyso	citation_prop_endo	citation_prop_epi	citation_prop_hem	citation_prop_hydro	citation_prop_other	fruit_type	dia_type	dia_exposure	dia_hetero	dia_app_nutrient	dia_app_elon	dia_app_hook	dia_app_flat	dia_app_ballo	dia_app_muci	dia_app_other	dia_app_no	dia_morph	dia_mass	dia_surfacestructure	dia_length	dia_width	dia_height	dia_shape	dia_form	vterm	rank_ane	rank_hydro	rank_epi_wool	diaspore_seeds_class
Coronilla coronata L.	Fabaceae	-	2	0.5	0	0	0	0	0	0.5	non-fleshy fruit	fruit segment	exposed	0	1	0	0	0	0	0	0	0	segm|1c|	3.4	0.98	7.88	2.66	NA	0.14	elongated	NA	0.33	0.34	0.39	1
Coronilla emerus L.	Fabaceae	other diaspore-types: segm|1c|	3	0.33	0	0	0	0.33	0	0.33	non-fleshy fruit	fruit	exposed	1	1	0	0	0	0	0	0	0	fruit|1c|	9.22	NA	NA	NA	NA	0.12	elongated	NA	0.36	NA	NA	2
Coronilla vaginalis Lam.	Fabaceae	-	2	0.5	0	0	0	0	0	0.5	non-fleshy fruit	fruit segment	exposed	0	1	0	0	0	0	0	0	0	segm|1c|	6.62	0.97	5.48	2.18	2	0.09	spherical	3.94	0.31	NA	0.28	1
Coronilla varia L.	Fabaceae	-	6	0.17	0	0.33	0.17	0.17	0	0.17	non-fleshy fruit	fruit segment	exposed	0	1	0	0	0	0	0	0	0	segm|1c|	5.2	0.98	7.28	2.46	NA	0.12	elongated & flat	NA	0.36	NA	0.31	1
Coronopus didymus (L.) Sm.	Brassicaceae	other diaspore-types: segm|7a|	NA	NA	NA	NA	NA	NA	NA	NA	non-fleshy fruit	fruit	exposed	1	0	0	0	0	0	0	0	1	fruit|7a|	NA	0.87	1.6	1.25	NA	0.05	spherical	NA	0.47	0.65	NA	3
Coronopus squamatus (Forssk.) Asch.	Brassicaceae	-	1	0	0	0	1	0	0	0	non-fleshy fruit	fruit	exposed	0	0	0	0	0	0	0	0	1	fruit|7a|	5.54	0.83	4.06	2.8	2	0.04	spherical	4.47	0.26	NA	0.71	3
Corrigiola litoralis L.	Molluginaceae	-	1	0	0	0	0	0	1	0	non-fleshy fruit	fruit	exposed	0	1	0	0	1	1	0	0	0	fruit|1c.2.3|	NA	NA	1	0.8	0.8	0.01	spherical	NA	0.75	0.7	NA	1
Cortusa matthioli L.	Primulaceae	-	NA	NA	NA	NA	NA	NA	NA	NA	fruit with upright aperture	seed	enclosed	0	0	0	0	0	0	0	0	1	seed|7b|	NA	0.98	1.34	0.98	0.5	0.07	spherical	2.84	0.45	NA	NA	1
Corydalis cava (L.) Schweigg. & Koerte	Papaveraceae	-	2	0	0	0.5	0	0.5	0	0	fruit with lateral aperture	seed	covered partly	0	1	0	0	0	0	0	0	0	seed|1b|	11.8	0.91	3.42	2.86	NA	0.02	spherical	7.42	0.12	NA	0.17	1
Corydalis intermedia (L.) Merat	Papaveraceae	-	NA	NA	NA	NA	NA	NA	NA	NA	fruit with lateral aperture	seed	covered partly	0	1	0	0	0	0	0	0	0	seed|1b|	2.708	0.92	2.56	2.25	2.21	0	spherical	5.7	0.18	NA	0.36	1
Corydalis solida (L.) Clairv.	Papaveraceae	-	1	0	0	0	0	1	0	0	fruit with lateral aperture	seed	covered partly	0	1	0	0	0	0	0	0	0	seed|1b|	1.7	0.93	2.37	2.01	NA	0.03	spherical	5	0.22	0.48	0.42	1
Corylus avellana L.	Betulaceae	-	20	0	0.7	0.05	0	0.2	0	0.05	non-fleshy fruit	fruit	covered partly	0	1	0	0	0	0	0	0	0	fruit|1c|	1083.475	NA	12.5	12	12	0	spherical	14.13	0.03	NA	NA	1
Corynephorus canescens (L.) P. Beauv.	Poaceae	-	1	0	0	0	1	0	0	0	non-fleshy fruit	fruit	covered partly	0	1	1	0	1	0	0	0	0	fruit|1c.3.4b|	NA	0.93	3.3	0.6	0.17	0.17	elongated	1.38	0.79	0.48	0.74	1
Cotinus coggygria Scop.	Anacardiaceae	-	NA	NA	NA	NA	NA	NA	NA	NA	non-fleshy fruit	infructescence	exposed	0	0	1	0	0	0	0	0	0	infr|4d|	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
Cotoneaster integerrimus Medik.	Rosaceae	-	5	0	0.2	0.8	0	0	0	0	fleshy fruit	fruit	exposed	0	1	0	0	0	0	0	0	0	fruit|1a|	NA	0.91	6.95	5.73	NA	0	spherical	10.43	0.07	NA	NA	2
Cotoneaster tomentosus Lindl.	Rosaceae	-	5	0	0.6	0.4	0	0	0	0	fleshy fruit	fruit	exposed	0	1	0	0	0	0	0	0	0	fruit|1a|	156.7	NA	8	8	8	0	spherical	NA	NA	NA	NA	2
Cotula coronopifolia L.	Asteraceae	-	NA	NA	NA	NA	NA	NA	NA	NA	non-fleshy fruit	fruit	covered partly	0	0	0	0	0	0	0	0	1	fruit|7b|	NA	0.85	1.2	0.66	0.4	0.08	spherical	1.4	0.78	0	0.76	1
Crambe maritima L.	Brassicaceae	-	2	0	0	0	0.5	0	0.5	0	non-fleshy fruit	fruit	exposed	0	0	0	0	0	1	0	0	0	fruit|2|	NA	0.95	3.06	2.14	NA	0.06	spherical	6.43	0.15	NA	0.07	1
Crassula aquatica (L.) Schönland	Crassulaceae	-	1	0	0	0	0	0	1	0	fruit with upright aperture	seed	enclosed	0	0	0	0	0	0	0	0	1	seed|7a|	NA	NA	0.3	0.1	0.1	0.1	elongated	NA	NA	NA	NA	1
Crassula tillaea Lest.-Garl.	Crassulaceae	-	2	0	0	0.5	0	0	0.5	0	fruit with upright aperture	seed	enclosed	0	0	0	0	0	0	0	0	1	seed|7a|	NA	NA	0.3	0.1	0.1	0.1	elongated	NA	NA	NA	NA	1
Crataegus laevigata (Poir.) DC. s.l.	Rosaceae	-	19	0	0.53	0.42	0	0.05	0	0	fleshy fruit	fruit	exposed	0	1	0	0	0	0	0	0	0	fruit|1a|	507.5	NA	NA	NA	NA	0	spherical	NA	NA	NA	NA	1
Crataegus monogyna Jacq. s.l.	Rosaceae	-	24	0	0.46	0.46	0	0.08	0	0	fleshy fruit	fruit	exposed	0	1	0	0	0	0	0	0	0	fruit|1a|	455	0.94	9.57	8.03	NA	NA	NA	NA	NA	NA	0.02	1
Crepis alpestris (Jacq.) Tausch	Asteraceae	-	2	0.5	0	0	0	0	0	0.5	non-fleshy fruit	fruit	exposed	0	0	1	0	0	0	0	0	0	fruit|4d|	NA	NA	9	NA	NA	0.05	spherical	NA	NA	NA	NA	1
Crepis aurea (L.) Cass.	Asteraceae	-	2	0.5	0.5	0	0	0	0	0	non-fleshy fruit	fruit	exposed	0	0	1	0	0	0	0	0	0	fruit|4d|	0.5	0.25	11.95	6.93	NA	NA	NA	1.05	0.85	NA	0.97	1
Crepis biennis L.	Asteraceae	-	5	0.2	0.2	0	0.2	0.4	0	0	non-fleshy fruit	fruit	exposed	0	0	1	0	0	0	0	0	0	fruit|4b.4d|	1.1065	0.42	NA	NA	NA	NA	NA	0.68	0.91	0.32	0.93	1
Crepis bocconi P. D. Sell	Asteraceae	-	3	0.33	0	0	0	0.67	0	0	non-fleshy fruit	fruit	exposed	0	0	1	0	0	0	0	0	0	fruit|4d|	NA	0.24	17.84	14.2	NA	NA	NA	NA	NA	NA	NA	1
Crepis capillaris (L.) Wallr.	Asteraceae	-	7	0.14	0	0.14	0.14	0.14	0	0.43	non-fleshy fruit	fruit	exposed	0	0	1	0	0	0	0	0	0	fruit|4d|	0.35	NA	NA	NA	NA	NA	NA	0.42	0.95	NA	NA	1
Crepis conyzifolia (Gouan) Kern.	Asteraceae	-	2	0.5	0.5	0	0	0	0	0	non-fleshy fruit	fruit	exposed	0	0	1	0	0	0	0	0	0	fruit|4b.4d|	NA	0.26	16.13	10.01	NA	NA	NA	NA	NA	0.43	0.95	1
Crepis foetida L.	Asteraceae	other diaspore-types: fruit|4b.4d|2	1	0	0	0	1	0	0	0	non-fleshy fruit	fruit	exposed	1	0	1	0	0	0	0	0	0	fruit|4b.4d|1	NA	0.37	17.58	7.12	NA	0.07	spherical	0.87	0.89	NA	0.95	1
Crepis jacquinii ssp. kerneri (Rech. f.) Merxmüller	Asteraceae	-	NA	NA	NA	NA	NA	NA	NA	NA	non-fleshy fruit	fruit	exposed	0	0	1	1	0	0	0	0	0	fruit|4b.4d.5|	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
Crepis mollis (Jacq.) Asch.	Asteraceae	-	1	0	0	0	1	0	0	0	non-fleshy fruit	fruit	exposed	0	0	1	0	0	0	0	0	0	fruit|4d|	NA	0.31	11.28	5.58	NA	NA	NA	0.54	0.93	NA	0.96	1
Crepis nicaeensis Balb.	Asteraceae	-	1	0	0	0	1	0	0	0	non-fleshy fruit	fruit	exposed	0	0	1	0	0	0	0	0	0	fruit|4d|	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
Crepis paludosa (L.) Moench	Asteraceae	-	3	0.33	0.33	0	0.33	0	0	0	non-fleshy fruit	fruit	exposed	0	0	1	0	0	0	0	0	0	fruit|4d|	NA	0.36	12.51	8.55	NA	NA	NA	NA	NA	NA	NA	1
Crepis praemorsa (L.) Walther	Asteraceae	-	2	0.5	0	0	0.5	0	0	0	non-fleshy fruit	fruit	exposed	0	0	1	0	0	0	0	0	0	fruit|4d|	0.4515	NA	4.26	2.23	NA	NA	NA	NA	NA	0.37	NA	1
Crepis pulchra ssp. pulchra	Asteraceae	other diaspore-types: fruit|7b|	NA	NA	NA	NA	NA	NA	NA	NA	non-fleshy fruit	fruit	exposed	1	0	1	0	0	0	0	0	0	fruit|4d|	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
Crepis pyrenaica (L.) Greuter	Asteraceae	-	2	0.5	0	0	0	0.5	0	0	non-fleshy fruit	fruit	exposed	0	0	1	0	0	0	0	0	0	fruit|4d|	NA	0.5	15.5	5.4	NA	NA	NA	NA	NA	NA	0.91	1
Crepis rhaetica Hegetschw.	Asteraceae	-	1	1	0	0	0	0	0	0	non-fleshy fruit	fruit	exposed	0	0	1	0	0	0	0	0	0	fruit|4d|	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
Crepis setosa Haller f.	Asteraceae	-	1	0	0	0	1	0	0	0	non-fleshy fruit	fruit	exposed	0	0	1	1	0	0	0	0	0	fruit|4b.4d.5|	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
Crepis tectorum L.	Asteraceae	-	3	0.33	0	0	0.33	0.33	0	0	non-fleshy fruit	fruit	exposed	0	0	1	1	0	0	0	0	0	fruit|4b.4d.5|	NA	0.45	8.2	4.64	NA	NA	NA	1.38	0.78	NA	NA	1
Crepis terglouensis (Hacq.) Kern.	Asteraceae	-	1	0	1	0	0	0	0	0	non-fleshy fruit	fruit	exposed	0	0	1	0	0	0	0	0	0	fruit|4d|	NA	0.21	12.47	10.04	NA	NA	NA	0.79	0.9	NA	NA	1
Crepis vesicaria ssp. taraxacifolia (Thuill.) Thell.	Asteraceae	-	2	0.5	0	0	0.5	0	0	0	non-fleshy fruit	fruit	exposed	0	0	1	1	0	0	0	0	0	fruit|4b.4d.5|	0.5	NA	NA	NA	NA	0.06	spherical	NA	NA	NA	NA	1
Crinitaria linosyris (L.) Less.	Asteraceae	-	4	0.5	0	0	0.25	0	0	0.25	non-fleshy fruit	fruit	exposed	0	0	1	0	0	0	0	0	0	fruit|4b.4d|	2.01	0.2	7.83	5.87	NA	NA	NA	1.32	0.8	NA	0.96	1
Crocus vernus ssp. albiflorus (Kit.) Asch. & Graebn.	Iridaceae	-	6	0	0	0.67	0	0.33	0	0	fruit with lateral aperture	seed	covered partly	0	0	0	0	0	0	0	0	1	seed|7b|	NA	NA	2	1	1	0.06	spherical	NA	NA	NA	NA	1
Cruciata glabra (L.) Ehrend.	Rubiaceae	-	4	0	0	0.5	0.25	0.25	0	0	non-fleshy fruit	fruit segment	exposed	0	0	0	0	0	0	0	0	1	segm|7b|	NA	NA	2	2	1	0.03	spherical	2.45	0.53	NA	NA	1
Cruciata laevipes Opiz	Rubiaceae	-	5	0	0	0.4	0.2	0.4	0	0	non-fleshy fruit	fruit segment	exposed	0	0	0	0	0	0	0	0	1	segm|7b|	4.04	0.95	2.49	2.21	1	0.07	spherical	8.47	0.1	NA	0.44	1
Cucubalus baccifer L.	Caryophyllaceae	-	3	0	0	0.67	0	0.33	0	0	fleshy fruit	fruit	enclosed	0	1	0	0	0	0	0	0	0	fruit|1a|	NA	NA	7	7	7	0	spherical	7.36	0.12	NA	NA	2
Cuscuta campestris Yunck.	Convolvulaceae	other diaspore-types: seed|7a|	NA	NA	NA	NA	NA	NA	NA	NA	non-fleshy fruit	fruit	exposed	1	0	0	0	0	0	0	0	1	fruit|7a|	0.5692	0.99	1.27	1.08	0.8	0.02	spherical	4.41	0.31	NA	0.58	2
Cuscuta epilinum Weihe	Convolvulaceae	other diaspore-types: seed|7a|	2	0	0	0	0	1	0	0	non-fleshy fruit	fruit	exposed	1	0	0	0	0	0	0	0	1	fruit|7a|	NA	0.91	1.35	1.08	NA	0.02	spherical	4.44	0.26	0.65	0.76	2
Cuscuta epithymum (L.) L.	Convolvulaceae	other diaspore-types: seed|7a|	8	0	0	0.63	0.13	0.25	0	0	non-fleshy fruit	fruit	exposed	1	0	0	0	0	0	0	0	1	fruit|7a|	0.308333	0.97	1.06	0.85	0.8	0.01	spherical	3.27	0.39	NA	0.69	2
Cuscuta europaea L.	Convolvulaceae	other diaspore-types: seed|7a|	1	0	0	1	0	0	0	0	non-fleshy fruit	fruit	exposed	1	0	0	0	0	0	0	0	1	fruit|7a|	NA	0.94	1.1	0.88	NA	0.02	spherical	NA	0.36	NA	0.71	2
Cuscuta gronovii Willd. ex Roem. & Schult.	Convolvulaceae	other diaspore-types: seed|7a|	NA	NA	NA	NA	NA	NA	NA	NA	non-fleshy fruit	fruit	exposed	1	0	0	0	0	0	0	0	1	fruit|7a|	NA	0.99	1.67	1.54	NA	0	spherical	8.11	0.1	0.32	0.59	2
Cuscuta lupuliformis Krock.	Convolvulaceae	other diaspore-types: seed|7a|	NA	NA	NA	NA	NA	NA	NA	NA	non-fleshy fruit	fruit	exposed	1	0	0	0	0	0	0	0	1	fruit|7a|	NA	0.99	2.58	2.18	NA	0.02	spherical	7.96	0.11	0.5	NA	2
Cuscuta scandens Brot.	Convolvulaceae	other diaspore-types: seed|7a|	NA	NA	NA	NA	NA	NA	NA	NA	non-fleshy fruit	fruit	exposed	1	0	0	0	0	0	0	0	1	fruit|7a|	NA	0.98	1.33	1.08	0.8	0.03	spherical	NA	NA	NA	NA	2
Cuscuta suaveolens Ser.	Convolvulaceae	-	1	0	0	0	0	1	0	0	non-fleshy fruit	fruit	exposed	0	0	0	0	0	0	0	0	1	fruit|7a|	NA	NA	2.5	2.5	2	0.01	spherical	NA	NA	NA	NA	2
Cyclamen purpurascens Mill.	Primulaceae	-	1	0	0	0	0	1	0	0	fruit with upright aperture	seed	enclosed	0	1	0	0	0	0	0	0	0	seed|1b|	7	NA	2.5	1	1	0.08	spherical	NA	NA	NA	NA	1
Cydonia oblonga Mill.	Rosaceae	-	NA	NA	NA	NA	NA	NA	NA	NA	fleshy fruit	fruit	exposed	0	1	0	0	0	0	0	0	0	fruit|1a|	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
Cymbalaria muralis P. Gaertn.. B. Mey. & Scherb.	Plantaginaceae	other diaspore-types: fruit|7a|	1	0	0	0	0	1	0	0	fruit with upright aperture	seed	enclosed	1	0	0	0	0	0	0	0	1	seed|7a|	NA	0.91	0.98	0.83	NA	0.01	spherical	2.09	0.61	NA	0.4	1
Cynodon dactylon (L.) Pers.	Poaceae	-	4	0.25	0	0	0.25	0.5	0	0	non-fleshy fruit	fruit	covered partly	0	1	0	0	1	0	0	0	0	fruit|1c.3|	NA	0.76	2.07	1.13	NA	NA	NA	NA	0.61	0.77	0.55	1
Cynoglossum germanicum Jacq.	Boraginaceae	-	NA	NA	NA	NA	NA	NA	NA	NA	non-fleshy fruit	fruit segment	exposed	0	0	1	1	0	0	0	0	0	segm|4b.5|	31.26	0.64	7.12	5.48	4	0.03	spherical	9.35	0.08	NA	0.87	1
Cynoglossum officinale L.	Boraginaceae	-	9	0	0	0	0.89	0.11	0	0	non-fleshy fruit	fruit segment	exposed	0	0	1	1	0	0	0	0	0	segm|4b.5|	32	0.44	6.87	5.48	NA	0.05	spherical	7.35	0.12	NA	0.9	1
Cynosurus cristatus L.	Poaceae	other diaspore-types: vege|8|	13	0.08	0.08	0.31	0.23	0.31	0	0	non-fleshy fruit	fruit	covered partly	1	1	1	1	1	0	0	0	0	fruit|1c.3.4b.5|	0.493	0.86	3.84	0.86	0.61	0.15	elongated	1.6	0.6	0.2	0.78	1
Cyperus flavescens L.	Cyperaceae	-	2	0	0	0	1	0	0	0	non-fleshy fruit	fruit	covered partly	0	0	0	0	0	0	0	0	1	fruit|7b|	NA	NA	1.25	NA	NA	0.08	spherical	NA	0.6	0.82	NA	1
Cyperus fuscus L.	Cyperaceae	-	3	0	0	0	0.67	0	0.33	0	non-fleshy fruit	fruit	covered partly	0	0	0	0	0	0	0	0	1	fruit|7b|	NA	0.84	0.88	0.49	NA	0.07	spherical	NA	0.79	0.89	0.78	1
Cyperus longus L. s.l.	Cyperaceae	-	NA	NA	NA	NA	NA	NA	NA	NA	non-fleshy fruit	fruit	covered partly	0	0	0	0	0	0	0	0	1	fruit|7b|	NA	0.86	1.2	0.6	NA	NA	NA	NA	NA	NA	0.75	1
Cyperus longus ssp. badius (Desf.) Murb.	Cyperaceae	-	NA	NA	NA	NA	NA	NA	NA	NA	non-fleshy fruit	fruit	covered partly	0	0	0	0	0	0	0	0	1	fruit|7b|	NA	0.86	1.2	0.6	NA	NA	NA	NA	NA	NA	NA	1
Cyperus michelianus (L.) Link	Cyperaceae	-	1	0	0	0	1	0	0	0	non-fleshy fruit	fruit	covered partly	0	0	0	0	0	0	0	0	1	fruit|7b|	NA	0.88	1.46	0.47	NA	0.08	spherical	1.48	0.76	NA	0.78	1
Cypripedium calceolus L.	Orchidaceae	-	1	0	0	0	0	1	0	0	fruit with lateral aperture	seed	enclosed	0	0	0	0	0	0	0	0	1	seed|7b|	NA	NA	1.21	0.24	NA	NA	NA	0.25	0.98	NA	NA	1
Cytisus scoparius (L.) Link	Fabaceae	-	3	0	0.33	0.33	0	0.33	0	0	explosive release mechanism	seed	enclosed	0	1	0	0	0	0	0	0	0	seed|1b.1c|	8.3	0.92	3.93	2.8	NA	0.06	spherical	10	0.08	NA	0.09	1
Dactylis glomerata L.	Poaceae	other diaspore-types: infr|1c.3.4b|	27	0.11	0	0.15	0.3	0.37	0	0.07	non-fleshy fruit	fruit	covered partly	1	1	1	0	1	0	0	0	0	fruit|1c.3.4b|	0.9	0.82	5.83	1.14	0.9	0.15	elongated	1.47	0.64	0.15	0.73	1
Dactylis polygama Horv.	Poaceae	other diaspore-types: infr|1c.3.4b|	2	0	0	0	1	0	0	0	non-fleshy fruit	fruit	covered partly	1	1	1	0	1	0	0	0	0	fruit|1c.3.4b|	NA	0.91	4.65	0.8	NA	0.16	elongated	1.16	0.83	NA	NA	1
Dactylorhiza incarnata (L.) Soó	Orchidaceae	-	1	1	0	0	0	0	0	0	fruit with lateral aperture	seed	enclosed	0	0	0	0	0	0	0	0	1	seed|7b|	NA	0.97	0.64	0.24	NA	NA	NA	0.28	0.97	NA	NA	1
Dactylorhiza lapponica (Hartm.) Soó	Orchidaceae	-	NA	NA	NA	NA	NA	NA	NA	NA	fruit with lateral aperture	seed	enclosed	0	0	0	0	0	0	0	0	1	seed|7b|	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
Dactylorhiza maculata (L.) Soó s.l.	Orchidaceae	-	2	0.5	0	0	0	0	0	0.5	fruit with lateral aperture	seed	enclosed	0	0	0	0	0	0	0	0	1	seed|7b|	NA	0.97	0.71	0.21	NA	NA	NA	NA	NA	NA	NA	1
Dactylorhiza maculata ssp. elodes (Griseb.) Soó	Orchidaceae	-	NA	NA	NA	NA	NA	NA	NA	NA	fruit with lateral aperture	seed	enclosed	0	0	0	0	0	0	0	0	1	seed|7b|	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
Dactylorhiza majalis (Rchb.) Hunt & Summerh. s.str.	Orchidaceae	-	3	0	0	0	0	0.67	0.33	0	fruit with lateral aperture	seed	enclosed	0	0	0	0	0	0	0	0	1	seed|7b|	NA	NA	1.05	0.4	NA	0.12	elongated	NA	NA	NA	NA	1
Dactylorhiza majalis ssp. alpestris (Pugsley) Senghas	Orchidaceae	-	NA	NA	NA	NA	NA	NA	NA	NA	fruit with lateral aperture	seed	enclosed	0	0	0	0	0	0	0	0	1	seed|7b|	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
Dactylorhiza ochroleuca (Boll) Holub	Orchidaceae	-	NA	NA	NA	NA	NA	NA	NA	NA	fruit with lateral aperture	seed	enclosed	0	0	0	0	0	0	0	0	1	seed|7b|	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
Dactylorhiza praetermissa (Druce) Soó	Orchidaceae	-	NA	NA	NA	NA	NA	NA	NA	NA	fruit with lateral aperture	seed	enclosed	0	0	0	0	0	0	0	0	1	seed|7b|	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
Dactylorhiza sambucina (L.) Soó	Orchidaceae	-	4	1	0	0	0	0	0	0	fruit with lateral aperture	seed	enclosed	0	0	0	0	0	0	0	0	1	seed|7b|	NA	NA	0.68	0.22	NA	NA	NA	0.28	0.97	NA	NA	1
Dactylorhiza sphagnicola (Höppner) Soó	Orchidaceae	-	NA	NA	NA	NA	NA	NA	NA	NA	fruit with lateral aperture	seed	enclosed	0	0	0	0	0	0	0	0	1	seed|7b|	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
Danthonia alpina Vest	Poaceae	-	NA	NA	NA	NA	NA	NA	NA	NA	non-fleshy fruit	fruit	covered partly	0	1	1	0	1	0	0	0	0	fruit|1c.3.4b.4c|	1.04	0.68	13.23	3.41	1.45	0.15	elongated	3.69	0.34	NA	0.8	1
Danthonia decumbens (L.) DC.	Poaceae	-	4	0	0	1	0	0	0	0	non-fleshy fruit	fruit	covered partly	0	1	1	0	1	0	0	0	0	fruit|1c.3.4b|	NA	0.68	5.39	1.91	1.3	0.11	spherical	2.59	0.49	NA	0.76	1
Daphne alpina L.	Thymelaeaceae	-	NA	NA	NA	NA	NA	NA	NA	NA	fleshy fruit	fruit	exposed	0	1	0	0	0	0	0	0	0	fruit|1a|	NA	NA	5.5	NA	NA	NA	NA	11.86	0.05	NA	NA	1
Daphne cneorum L.	Thymelaeaceae	-	NA	NA	NA	NA	NA	NA	NA	NA	fleshy fruit	fruit	exposed	0	1	0	0	0	0	0	0	0	fruit|1a|	NA	NA	NA	NA	NA	0.04	spherical	NA	NA	NA	NA	1
Daphne laureola L.	Thymelaeaceae	-	3	0	0.67	0.33	0	0	0	0	fleshy fruit	fruit	exposed	0	1	0	0	0	0	0	0	0	fruit|1a|	103.4	NA	8	5	5	0.03	spherical	NA	NA	NA	NA	1
Daphne mezereum L.	Thymelaeaceae	-	7	0	0.14	0.71	0	0.14	0	0	fleshy fruit	fruit	exposed	0	1	0	0	0	0	0	0	0	fruit|1a|	350	0.93	7.88	6.03	NA	0.04	spherical	NA	NA	NA	0.02	1
Daphne striata Tratt.	Thymelaeaceae	-	1	0	0	0	0	1	0	0	fleshy fruit	fruit	exposed	0	1	0	0	0	0	0	0	0	fruit|1a|	35	NA	5.5	3	3	0.05	spherical	NA	NA	NA	NA	1
Datura stramonium L.	Solanaceae	-	3	0	0	0	0	1	0	0	fruit with upright aperture	seed	enclosed	0	0	0	0	0	0	0	0	1	seed|7a|	8.89	0.97	3.74	3.17	NA	0.06	spherical	10.24	0.07	NA	0.09	1
Daucus carota L.	Apiaceae	other diaspore-types: fruit|4d.5|	19	0	0.05	0.11	0.47	0.16	0	0.21	non-fleshy fruit	fruit segment	exposed	1	0	1	1	0	0	0	0	0	segm|4d.5|	1.1894	0.4	3.84	2.72	0.71	0.1	flat	1.45	0.66	0.26	0.95	1
Dentaria bulbifera L.	Brassicaceae	other diaspore-types: seed|6| (generative reproduction rare)	NA	NA	NA	NA	NA	NA	NA	NA	not applicable	specialized vegetative part	not applicable	1	0	0	0	0	0	0	1	0	vege|8|	2.9	0.96	6.68	4.3	NA	0.11	flat	16.01	0.01	NA	0	0
Dentaria enneaphyllos L.	Brassicaceae	-	NA	NA	NA	NA	NA	NA	NA	NA	fruit with lateral aperture	seed	covered partly	0	0	0	0	0	0	1	0	0	seed|6|	NA	NA	2	1	1	0.06	spherical	NA	NA	NA	NA	1
Dentaria heptaphylla Vill.	Brassicaceae	-	NA	NA	NA	NA	NA	NA	NA	NA	fruit with lateral aperture	seed	covered partly	0	0	0	0	0	0	1	0	0	seed|6|	NA	NA	3.75	3	2	0.04	spherical	NA	NA	NA	NA	1
Dentaria pentaphyllos L.	Brassicaceae	-	NA	NA	NA	NA	NA	NA	NA	NA	fruit with lateral aperture	seed	covered partly	0	0	0	0	0	0	1	0	0	seed|6|	9.38	0.98	3.89	2.32	2	0.05	spherical	8.66	0.09	NA	0.16	1
Deschampsia cespitosa (L.) P. Beauv.	Poaceae	-	18	0.06	0	0.22	0.17	0.33	0.11	0.11	non-fleshy fruit	fruit	covered partly	0	1	1	0	1	0	0	0	0	fruit|1c.3.4b|	0.308667	0.53	2.7	0.99	0.6	0.12	spherical	1.28	0.79	0.48	0.85	1
Deschampsia flexuosa (L.) Trin.	Poaceae	-	12	0.17	0	0.08	0.25	0.33	0.08	0.08	non-fleshy fruit	fruit	covered partly	0	1	1	1	1	0	0	0	0	fruit|1c.3.4b.4c.5|	NA	0.74	5.93	1.53	0.67	0.15	elongated	1.31	0.76	0.44	NA	1
Deschampsia littoralis (Gaudin) Reut.	Poaceae	other diaspore-types: vege|8|	NA	NA	NA	NA	NA	NA	NA	NA	non-fleshy fruit	fruit	covered partly	1	1	1	0	1	0	0	0	0	fruit|1c.3.4b.4c|	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
Deschampsia media (Gouan) Roem. & Schult.	Poaceae	-	NA	NA	NA	NA	NA	NA	NA	NA	non-fleshy fruit	fruit	covered partly	0	1	1	0	1	0	0	0	0	fruit|1c.3.4b.4c|	NA	0.53	2.49	0.99	0.78	0.09	spherical	NA	0.72	0.53	0.86	1
Deschampsia setacea (Huds.) Hack.	Poaceae	-	1	0	0	0	1	0	0	0	non-fleshy fruit	fruit	covered partly	0	1	1	1	1	0	0	0	0	fruit|1c.3.4b.4c.5|	0.16225	0.52	2.96	1.01	NA	NA	NA	NA	0.72	0.73	0.86	1
Deschampsia wibeliana (Sond.) Parl.	Poaceae	-	NA	NA	NA	NA	NA	NA	NA	NA	non-fleshy fruit	fruit	covered partly	0	1	1	1	1	0	0	0	0	fruit|1c.3.4b.4c.5|	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
Descurainia sophia (L.) Prantl	Brassicaceae	-	2	0	0	0.5	0	0.5	0	0	fruit with lateral aperture	seed	covered partly	0	0	0	0	0	0	1	0	0	seed|6|	0.1194	0.98	0.96	0.55	NA	0.07	spherical	1.83	0.67	NA	0.63	1
Dianthus armeria ssp. armeria	Caryophyllaceae	-	NA	NA	NA	NA	NA	NA	NA	NA	fruit with upright aperture	seed	enclosed	0	0	0	0	0	0	0	0	1	seed|7a|	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
