"reported_name","reported_name_fixed","scientificName","kingdom","phylum","class","order","family","db","db_code","GrowthForm","DispersalSyndrome","SeedWeightmg","SeedReleaseHeightm","Database"
"Matricaria matricarioides","Matricaria matricarioides","Matricaria discoidea","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3103791","herb","wind (none)",NA,NA,"Tamme et al."
"Melilotus officinalis","Melilotus officinalis","Melilotus officinalis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:8193111","herb","wind (none)",2.7,1,"Tamme et al."
"Mycelis muralis","Mycelis muralis","Mycelis muralis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3139040","herb","wind (special)",0.31,1.29,"Tamme et al."
"Myosotis arvensis","Myosotis arvensis","Myosotis arvensis","Plantae","Tracheophyta","Magnoliopsida","Boraginales","Boraginaceae","gbif","GBIF:5341170","herb","wind (none)",0.5,0.4,"Tamme et al."
"Myosotis scorpioides","Myosotis scorpioides","Myosotis scorpioides","Plantae","Tracheophyta","Magnoliopsida","Boraginales","Boraginaceae","gbif","GBIF:5341184","herb","wind (none)",0.31,0.3,"Tamme et al."
"Narthecium ossifragum","Narthecium ossifragum","Narthecium ossifragum","Plantae","Tracheophyta","Liliopsida","Dioscoreales","Nartheciaceae","gbif","GBIF:5602614","herb","wind (none)",0.1,NA,"Tamme et al."
"Nepeta cataria","Nepeta cataria","Nepeta cataria","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","gbif","GBIF:5341499","herb","wind (none)",0.55,1,"Tamme et al."
"Odontites vernus","Odontites vernus","Odontites vernus","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","gbif","GBIF:8971475","herb","wind (none)",0.15,NA,"Tamme et al."
"Onopordum acanthium","Onopordum acanthium","Onopordum acanthium","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3094900","herb","wind (special)",8.3,2.5,"Tamme et al."
"Papaver rhoeas","Papaver rhoeas","Papaver rhoeas","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","gbif","GBIF:2888443","herb","wind (none)",0.2,0.9,"Tamme et al."
"Pedicularis palustris","Pedicularis palustris","Pedicularis palustris","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","gbif","GBIF:3171734","herb","wind (none)",0.69,0.5,"Tamme et al."
"Pilosella lactucella","Pilosella lactucella","Pilosella lactucella","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:9509071","herb","wind (special)",NA,0.35,"Tamme et al."
"Plantago major","Plantago major","Plantago major","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","gbif","GBIF:3189767","herb","wind (none)",0.2,0.4,"Tamme et al."
"Poa annua","Poa annua","Poa annua","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:2704179","herb","wind (none)",0.3,0.3,"Tamme et al."
"Poa pratensis","Poa pratensis","Poa pratensis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:2704178","herb","wind (none)",0.3,0.9,"Tamme et al."
"Potentilla argentea","Potentilla argentea","Potentilla argentea","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","gbif","GBIF:8011540","herb","wind (none)",0.08,0.28,"Tamme et al."
"Potentilla erecta","Potentilla erecta","Potentilla erecta","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","gbif","GBIF:5365576","herb","wind (none)",0.4,0.5,"Tamme et al."
"Potentilla verna","Potentilla verna","Potentilla verna","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","gbif","GBIF:8182596","herb","wind (none)",0.17,NA,"Tamme et al."
"Primula elatior","Primula elatior","Primula elatior","Plantae","Tracheophyta","Magnoliopsida","Ericales","Primulaceae","gbif","GBIF:5414326","herb","wind (none)",0.85,0.2,"Tamme et al."
"Primula veris","Primula veris","Primula veris","Plantae","Tracheophyta","Magnoliopsida","Ericales","Primulaceae","gbif","GBIF:8377689","herb","wind (none)",0.83,0.3,"Tamme et al."
"Pulicaria dysenterica","Pulicaria dysenterica","Pulicaria dysenterica","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3095609","herb","wind (special)",0.07,0.6,"Tamme et al."
"Ranunculus sceleratus","Ranunculus sceleratus","Ranunculus sceleratus","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","gbif","GBIF:3033374","herb","wind (none)",0.2,0.6,"Tamme et al."
"Raphanus raphanistrum","Raphanus raphanistrum","Raphanus raphanistrum","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","gbif","GBIF:3040983","herb","wind (none)",21.58,0.6,"Tamme et al."
"Raphanus sativus","Raphanus sativus","Raphanus sativus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","gbif","GBIF:7678610","herb","wind (none)",19,1,"Tamme et al."
"Reseda lutea","Reseda lutea","Reseda lutea","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Resedaceae","gbif","GBIF:3040252","herb","wind (none)",0.8,0.6,"Tamme et al."
"Rhinanthus alectorolophus","Rhinanthus alectorolophus","Rhinanthus alectorolophus","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","gbif","GBIF:3172045","herb","wind (none)",2.82,0.8,"Tamme et al."
"Rhinanthus minor","Rhinanthus minor","Rhinanthus minor","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","gbif","GBIF:3172043","herb","wind (none)",2.51,0.6,"Tamme et al."
"Rumex acetosa","Rumex acetosa","Rumex acetosa","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","gbif","GBIF:2888951","herb","wind (special)",0.8,1,"Tamme et al."
"Rumex crispus","Rumex crispus","Rumex crispus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","gbif","GBIF:8195144","herb","wind (special)",1.5,1.6,"Tamme et al."
"Rumex hydrolapathum","Rumex hydrolapathum","Rumex hydrolapathum","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","gbif","GBIF:7291247","herb","wind (special)",3.2,2,"Tamme et al."
"Salicornia europaea","Salicornia europaea","Salicornia europaea","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","gbif","GBIF:12239479","herb","wind (none)",NA,NA,"Tamme et al."
"Sanguisorba minor","Sanguisorba minor","Poterium sanguisorba","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","gbif","GBIF:5364245","herb","wind (special)",7.3,0.4,"Tamme et al."
"Sanguisorba officinalis","Sanguisorba officinalis","Sanguisorba officinalis","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","gbif","GBIF:3029627","herb","wind (special)",2.1,1.5,"Tamme et al."
"Saponaria officinalis","Saponaria officinalis","Saponaria officinalis","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","gbif","GBIF:3085360","herb","wind (none)",1.7,0.8,"Tamme et al."
"Scabiosa columbaria","Scabiosa columbaria","Scabiosa columbaria","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","gbif","GBIF:2888802","herb","wind (special)",1.26,0.6,"Tamme et al."
"Scleranthus annuus","Scleranthus annuus","Scleranthus annuus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","gbif","GBIF:3085894","herb","wind (none)",1.2,0.2,"Tamme et al."
"Scrophularia nodosa","Scrophularia nodosa","Scrophularia nodosa","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Scrophulariaceae","gbif","GBIF:3170886","herb","wind (none)",0.11,1.35,"Tamme et al."
"Senecio vulgaris","Senecio vulgaris","Senecio vulgaris","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3108983","herb","wind (special)",0.22,0.3,"Tamme et al."
"Senecio erucifolius","Senecio erucifolius","Jacobaea erucifolia","Plantae",NA,"Magnoliopsida","Asterales","Asteraceae","itis","ITIS:780392","herb","wind (special)",0.34,1.25,"Tamme et al."
"Senecio inaequidens","Senecio inaequidens","Senecio inaequidens","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3109086","herb","wind (special)",0.25,1,"Tamme et al."
"Senecio ovatus","Senecio ovatus","Senecio ovatus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3107361","herb","wind (special)",NA,NA,"Tamme et al."
"Senecio sylvaticus","Senecio sylvaticus","Senecio sylvaticus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3107987","herb","wind (special)",0.25,NA,"Tamme et al."
"Serratula tinctoria","Serratula tinctoria","Serratula tinctoria","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:5388835","herb","wind (none)",2.38,1,"Tamme et al."
"Silene dioica","Silene dioica","Silene dioica","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","gbif","GBIF:5384795","herb","wind (none)",0.69,0.9,"Tamme et al."
"Silene flos-cuculi","Silene flos-cuculi","Silene flos-cuculi","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","gbif","GBIF:5384738","herb","wind (none)",0.19,NA,"Tamme et al."
"Silene latifolia subsp. alba","Silene latifolia","Silene latifolia","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","gbif","GBIF:5384805","herb","wind (none)",0.94,NA,"Tamme et al."
"Silene vulgaris","Silene vulgaris","Silene vulgaris","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","gbif","GBIF:9172281","herb","wind (none)",1.6,0.55,"Tamme et al."
"Sinapis arvensis","Sinapis arvensis","Sinapis arvensis","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","gbif","GBIF:3047598","herb","wind (none)",2.2,0.6,"Tamme et al."
"Sisymbrium altissimum","Sisymbrium altissimum","Sisymbrium altissimum","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","gbif","GBIF:3046736","herb","wind (none)",0.2,1.09,"Tamme et al."
"Solidago canadensis","Solidago canadensis","Solidago canadensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:5389029","herb","wind (special)",0.11,2.5,"Tamme et al."
"Solidago gigantea","Solidago gigantea","Solidago gigantea","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:5389017","herb","wind (special)",0.22,2.5,"Tamme et al."
"Solidago virgaurea","Solidago virgaurea","Solidago virgaurea","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:6446462","herb","wind (special)",0.49,1.25,"Tamme et al."
"Sonchus arvensis","Sonchus arvensis","Sonchus arvensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3105813","herb","wind (special)",0.49,1.5,"Tamme et al."
"Sonchus asper","Sonchus asper","Sonchus asper","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3105782","herb","wind (special)",0.28,1.5,"Tamme et al."
"Sonchus oleraceus","Sonchus oleraceus","Sonchus oleraceus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:8228544","herb","wind (special)",0.3,1,"Tamme et al."
"Spergularia marina","Spergularia marina","Spergularia marina","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","gbif","GBIF:7736551","herb","wind (special)",0.05,0.2,"Tamme et al."
"Spergularia media","Spergularia media","Spergularia media","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","gbif","GBIF:7570897","herb","wind (special)",0.1,0.4,"Tamme et al."
"Spergularia rubra","Spergularia rubra","Spergularia rubra","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","gbif","GBIF:3085633","herb","wind (special)",0.07,0.25,"Tamme et al."
"Stellaria graminea","Stellaria graminea","Stellaria graminea","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","gbif","GBIF:5384616","herb","wind (none)",0.27,0.65,"Tamme et al."
"Stellaria media","Stellaria media","Stellaria media","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","gbif","GBIF:5384604","herb","wind (none)",0.4,0.4,"Tamme et al."
"Suaeda maritima","Suaeda maritima","Suaeda maritima","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","gbif","GBIF:3083541","herb","wind (none)",NA,0.35,"Tamme et al."
"Tanacetum vulgare","Tanacetum vulgare","Tanacetum vulgare","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3118274","herb","wind (none)",0.2,1.2,"Tamme et al."
"Taraxacum officinale","Taraxacum officinale","Taraxacum officinale","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:5394163","herb","wind (special)",0.7,NA,"Tamme et al."
"Taraxacum erythrospermum","Taraxacum erythrospermum","Taraxacum erythrospermum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:5393872","herb","wind (special)",NA,0.3,"Tamme et al."
"Tragopogon pratensis","Tragopogon pratensis","Tragopogon pratensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:5386897","herb","wind (special)",3.5,0.6,"Tamme et al."
"Triglochin maritima","Triglochin maritima","Triglochin maritima","Plantae","Tracheophyta","Liliopsida","Alismatales","Juncaginaceae","gbif","GBIF:2865368","herb","wind (none)",0.69,0.75,"Tamme et al."
"Tripleurospermum maritimum","Tripleurospermum maritimum","Tripleurospermum maritimum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3104173","herb","wind (none)",0.29,NA,"Tamme et al."
"Tripolium pannonicum subsp. tripolium","Tripolium pannonicum","Tripolium pannonicum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3098616","herb","wind (special)",2.03,0.6,"Tamme et al."
"Typha latifolia","Typha latifolia","Typha latifolia","Plantae","Tracheophyta","Liliopsida","Poales","Typhaceae","gbif","GBIF:5289423","herb","wind (special)",0.1,2,"Tamme et al."
"Typha angustifolia","Typha angustifolia","Typha angustifolia","Plantae","Tracheophyta","Liliopsida","Poales","Typhaceae","gbif","GBIF:5289461","herb","wind (special)",0.16,2,"Tamme et al."
"Ulmus procera","Ulmus procera","Ulmus procera","Plantae","Tracheophyta","Magnoliopsida","Rosales","Ulmaceae","gbif","GBIF:7634307","tree","wind (special)",NA,NA,"Tamme et al."
"Valeriana dioica","Valeriana dioica","Valeriana dioica","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","gbif","GBIF:2888762","herb","wind (special)",0.55,0.3,"Tamme et al."
"Valeriana officinalis","Valeriana officinalis","Valeriana officinalis","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","gbif","GBIF:2888763","herb","wind (special)",1.1,1,"Tamme et al."
"Verbena officinalis","Verbena officinalis","Verbena officinalis","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Verbenaceae","gbif","GBIF:2925529","herb","wind (none)",0.33,1,"Tamme et al."
"Mercurialis annua","Mercurialis annua","Mercurialis annua","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","gbif","GBIF:3062975","herb","ant",1.7,0.5,"Tamme et al."
"Salsola kali","Salsola kali","Salsola kali","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","gbif","GBIF:3083957","shrub","wind (special)",NA,NA,"Tamme et al."
"Coronilla minima","Coronilla minima","Coronilla minima","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:5348647","shrub","ant",10,NA,"Tamme et al."
"Dorycnium pentaphyllum","Dorycnium pentaphyllum","Lotus dorycnium","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:5632022","shrub","ant",3.2,0.23,"Tamme et al."
"Euphorbia characias","Euphorbia characias","Euphorbia characias","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","gbif","GBIF:3067353","shrub","ant",NA,NA,"Tamme et al."
"Geranium purpureum","Geranium purpureum","Geranium purpureum","Plantae","Tracheophyta","Magnoliopsida","Geraniales","Geraniaceae","gbif","GBIF:2890541","herb","ballistic",1.87,0.4,"Tamme et al."
"Quercus ilex","Quercus ilex","Quercus ilex","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","gbif","GBIF:2879098","tree","animal",2311,NA,"Tamme et al."
"Quercus suber","Quercus suber","Quercus suber","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","gbif","GBIF:2879411","tree","animal",3469,NA,"Tamme et al."
"Rhamnus alaternus","Rhamnus alaternus","Rhamnus alaternus","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rhamnaceae","gbif","GBIF:6371424","tree","ant",90.29,NA,"Tamme et al."
"Aegopodium podagraria","Aegopodium podagraria","Aegopodium podagraria","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","gbif","GBIF:3034620","herb","wind (none)",2.23,1.2,"Tamme et al."
"Aethusa cynapium","Aethusa cynapium","Aethusa cynapium","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","gbif","GBIF:5371825","herb","wind (none)",0.81,NA,"Tamme et al."
"Agrimonia eupatoria","Agrimonia eupatoria","Agrimonia eupatoria","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","gbif","GBIF:3001956","herb","animal",18.1,1,"Tamme et al."
"Angelica sylvestris","Angelica sylvestris","Angelica sylvestris","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","gbif","GBIF:5371818","herb","wind (special)",1.93,2.1,"Tamme et al."
"Anthriscus sylvestris","Anthriscus sylvestris","Anthriscus sylvestris","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","gbif","GBIF:5371742","herb","animal",5.18,1.58,"Tamme et al."
"Calestania palustris","Calestania palustris","Thysselinum palustre","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","gbif","GBIF:3634395","herb","wind (special)",1.99,1.5,"Tamme et al."
"Carum carvi","Carum carvi","Carum carvi","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","gbif","GBIF:3034714","herb","animal",2.37,0.8,"Tamme et al."
"Daucus carota","Daucus carota","Daucus carota","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","gbif","GBIF:3034742","herb","animal",1,1,"Tamme et al."
"Filipendula vulgaris","Filipendula vulgaris","Filipendula vulgaris","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","gbif","GBIF:2988069","herb","animal",0.59,0.71,"Tamme et al."
"Geum rivale","Geum rivale","Geum rivale","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","gbif","GBIF:5369701","herb","animal",1.16,1.02,"Tamme et al."
"Heracleum sphondylium","Heracleum sphondylium","Heracleum sphondylium","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","gbif","GBIF:3034830","herb","wind (special)",3.47,1.5,"Tamme et al."
"Laserpitium latifolium","Laserpitium latifolium","Laserpitium latifolium","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","gbif","GBIF:6026401","herb","wind (special)",6.36,1.5,"Tamme et al."
"Myrrhis odorata","Myrrhis odorata","Myrrhis odorata","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","gbif","GBIF:3034681","herb","wind (none)",52.47,NA,"Tamme et al."
"Oxalis acetosella","Oxalis acetosella","Oxalis acetosella","Plantae","Tracheophyta","Magnoliopsida","Oxalidales","Oxalidaceae","gbif","GBIF:8211958","herb","ballistic",0.94,0.16,"Tamme et al."
"Pastinaca sativa","Pastinaca sativa","Pastinaca sativa","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","gbif","GBIF:8262702","herb","wind (special)",3.12,1,"Tamme et al."
"Polygala vulgaris","Polygala vulgaris","Polygala vulgaris","Plantae","Tracheophyta","Magnoliopsida","Fabales","Polygalaceae","gbif","GBIF:3191374","herb","animal",1.96,0.2,"Tamme et al."
"Potentilla reptans","Potentilla reptans","Potentilla reptans","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","gbif","GBIF:5367273","herb","animal",0.33,0.2,"Tamme et al."
"Ranunculus acris","Ranunculus acris","Ranunculus acris","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","gbif","GBIF:3033363","herb","animal",1.38,1.24,"Tamme et al."
"Selinum carvifolia","Selinum carvifolia","Selinum carvifolia","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","gbif","GBIF:5371781","herb","wind (special)",1.29,0.9,"Tamme et al."
"Torilis japonica","Torilis japonica","Torilis japonica","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","gbif","GBIF:3034820","herb","animal",1.24,1.2,"Tamme et al."
"Triglochin palustris","Triglochin palustris","Triglochin palustris","Plantae","Tracheophyta","Liliopsida","Alismatales","Juncaginaceae","gbif","GBIF:2865280","herb","animal",0.88,0.4,"Tamme et al."
"Abies alba","Abies alba","Abies alba","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:2685484","tree","wind (special)",68.7,50,"Tamme et al."
"Acer pseudoplatanus","Acer pseudoplatanus","Acer pseudoplatanus","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif","GBIF:3189870","tree","wind (special)",97,25,"Tamme et al."
"Achillea erba-rotta subsp. moschata","Achillea erba-rotta","Achillea erba-rotta","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:9536147","herb","wind (none)",0.23,NA,"Tamme et al."
"Achillea nana","Achillea nana","Achillea nana","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:8714852","herb","wind (none)",NA,NA,"Tamme et al."
"Adenostyles leucophylla","Adenostyles leucophylla","Adenostyles leucophylla","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3133716","herb","wind (special)",NA,NA,"Tamme et al."
"Agrostis rupestris","Agrostis rupestris","Agrostis rupestris","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:2706525","herb","wind (special)",NA,0.1,"Tamme et al."
"Allium ursinum","Allium ursinum","Allium ursinum","Plantae","Tracheophyta","Liliopsida","Asparagales","Amaryllidaceae","gbif","GBIF:2857601","herb","ant",5.6,0.5,"Tamme et al."
"Alnus viridis","Alnus viridis","Alnus alnobetula","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","gbif","GBIF:8956987","tree","wind (special)",25.6,4,"Tamme et al."
"Arabis alpina","Arabis alpina","Arabis alpina","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","gbif","GBIF:5375020","herb","wind (none)",0.3,NA,"Tamme et al."
"Bromus tectorum","Bromus tectorum","Bromus tectorum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:2703746","herb","animal",3.3,0.45,"Tamme et al."
"Cardamine amara","Cardamine amara","Cardamine amara","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","gbif","GBIF:3046044","herb","ballistic",NA,0.6,"Tamme et al."
"Cardamine impatiens","Cardamine impatiens","Cardamine impatiens","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","gbif","GBIF:3046187","herb","ballistic",0.19,0.85,"Tamme et al."
"Cardamine pratensis","Cardamine pratensis","Cardamine pratensis","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","gbif","GBIF:7972010","herb","ballistic",0.6,0.6,"Tamme et al."
"Cardamine resedifolia","Cardamine resedifolia","Cardamine resedifolia","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","gbif","GBIF:3045872","herb","ballistic",NA,0.15,"Tamme et al."
"Cerastium arvense","Cerastium arvense","Cerastium arvense","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","gbif","GBIF:3085433","herb","wind (none)",0.21,0.3,"Tamme et al."
"Cerastium pedunculatum","Cerastium pedunculatum","Cerastium pedunculatum","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","gbif","GBIF:8293072","herb","wind (none)",0.27,NA,"Tamme et al."
"Chelidonium majus","Chelidonium majus","Chelidonium majus","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","gbif","GBIF:5334186","herb","ant",0.74,0.7,"Tamme et al."
"Cirsium spinosissimum","Cirsium spinosissimum","Cirsium spinosissimum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:8322056","herb","wind (special)",NA,0.6,"Tamme et al."
"Corylus avellana","Corylus avellana","Corylus avellana","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","gbif","GBIF:2875979","shrub","animal",1192.3,6,"Tamme et al."
"Daphne striata","Daphne striata","Daphne striata","Plantae","Tracheophyta","Magnoliopsida","Malvales","Thymelaeaceae","gbif","GBIF:5523875","herb","ant",NA,0.35,"Tamme et al."
"Epilobium fleischeri","Epilobium fleischeri","Chamaenerion fleischeri","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","gbif","GBIF:3666407","herb","wind (special)",0.13,0.4,"Tamme et al."
"Erigeron acer","Erigeron acer","Erigeron acer","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3147223","herb","wind (special)",NA,0.6,"Tamme et al."
"Erigeron acris subsp. angulosus","Erigeron acris","Erigeron acris","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3147080","herb","wind (special)",NA,0.6,"Tamme et al."
"Fagus sylvatica","Fagus sylvatica","Fagus sylvatica","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","gbif","GBIF:2882316","tree","animal",249,40,"Tamme et al."
"Fraxinus excelsior","Fraxinus excelsior","Fraxinus excelsior","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","gbif","GBIF:3172358","tree","wind (special)",69.4,40,"Tamme et al."
"Geranium rotundifolium","Geranium rotundifolium","Geranium rotundifolium","Plantae","Tracheophyta","Magnoliopsida","Geraniales","Geraniaceae","gbif","GBIF:2891031","herb","ballistic",1.87,0.3,"Tamme et al."
"Geranium sylvaticum","Geranium sylvaticum","Geranium sylvaticum","Plantae","Tracheophyta","Magnoliopsida","Geraniales","Geraniaceae","gbif","GBIF:2891147","herb","ballistic",5.1,0.73,"Tamme et al."
"Geranium robertianum","Geranium robertianum","Geranium robertianum","Plantae","Tracheophyta","Magnoliopsida","Geraniales","Geraniaceae","gbif","GBIF:2890668","herb","ballistic",1.5,0.4,"Tamme et al."
"Geum reptans","Geum reptans","Geum reptans","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","gbif","GBIF:5369670","herb","wind (special)",NA,0.15,"Tamme et al."
"Helianthus annuus","Helianthus annuus","Helianthus annuus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:9206251","herb","animal",42.8,3,"Tamme et al."
"Hieracium murorum aggr.","Hieracium murorum","Hieracium murorum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:8605056","herb","wind (special)",NA,0.6,"Tamme et al."
