"reported_name","reported_name_fixed","scientificName","kingdom","phylum","class","order","family","db","db_code","GrowthForm","DispersalSyndrome","SeedWeightmg","SeedReleaseHeightm","Database"
"Prunus avium","Prunus avium","Prunus avium","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","gbif","GBIF:3020791","tree","animal",142.86,7.5,"Tamme et al."
"Quercus petraea","Quercus petraea","Quercus petraea","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","gbif","GBIF:2880130","tree","animal",2342.2,35,"Tamme et al."
"Tilia cordata","Tilia cordata","Tilia cordata","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","gbif","GBIF:3152047","tree","wind (special)",31,NA,"Tamme et al."
"Tilia platyphyllos subsp. cordifolia","Tilia platyphyllos","Tilia platyphyllos","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","gbif","GBIF:3152048","tree","wind (special)",98.8,30,"Tamme et al."
"Ulmus glabra","Ulmus glabra","Ulmus glabra","Plantae","Tracheophyta","Magnoliopsida","Rosales","Ulmaceae","gbif","GBIF:5361866","tree","wind (special)",8.7,NA,"Tamme et al."
"Artemisia herba-alba","Artemisia herba-alba","Artemisia herba-alba","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3120848","herb","wind (none)",0.23,NA,"Tamme et al."
"Acer rubrum","Acer rubrum","Acer rubrum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif","GBIF:3189883","tree","wind (special)",26.5,NA,"Tamme et al."
"Anthoxanthum odoratum","Anthoxanthum odoratum","Anthoxanthum odoratum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:2705975","herb","wind (special)",0.53,0.74,"Tamme et al."
"Geranium maculatum","Geranium maculatum","Geranium maculatum","Plantae","Tracheophyta","Magnoliopsida","Geraniales","Geraniaceae","gbif","GBIF:7808016","herb","ballistic",6.07,NA,"Tamme et al."
"Senecio jacobaea","Senecio jacobaea","Senecio jacobaea","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:8965572","herb","wind (special)",0.25,1,"Tamme et al."
"Verbascum thapsus","Verbascum thapsus","Verbascum thapsus","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Scrophulariaceae","gbif","GBIF:3171949","herb","wind (special)",0.09,1.7,"Tamme et al."
"Achillea millefolium","Achillea millefolium","Achillea millefolium","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3120060","herb","wind (none)",0.2,1.2,"Tamme et al."
"Achillea ptarmica","Achillea ptarmica","Achillea ptarmica","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3120333","herb","wind (none)",0.25,1.5,"Tamme et al."
"Agrostis stolonifera","Agrostis stolonifera","Agrostis stolonifera","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:2706435","herb","wind (special)",0.06,0.7,"Tamme et al."
"Allium oleraceum","Allium oleraceum","Allium oleraceum","Plantae","Tracheophyta","Liliopsida","Asparagales","Amaryllidaceae","gbif","GBIF:2857071","herb","wind (none)",NA,0.7,"Tamme et al."
"Allium vineale","Allium vineale","Allium vineale","Plantae","Tracheophyta","Liliopsida","Asparagales","Amaryllidaceae","gbif","GBIF:7792960","herb","wind (none)",NA,0.7,"Tamme et al."
"Anagallis minima","Anagallis minima","Lysimachia minima","Plantae","Tracheophyta","Magnoliopsida","Ericales","Primulaceae","gbif","GBIF:7939955","herb","wind (none)",0.04,0.08,"Tamme et al."
"Aquilegia vulgaris","Aquilegia vulgaris","Aquilegia vulgaris","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","gbif","GBIF:3033191","herb","wind (none)",1.5,NA,"Tamme et al."
"Arabidopsis thaliana","Arabidopsis thaliana","Arabidopsis thaliana","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","gbif","GBIF:3052436","herb","wind (none)",0.02,0.3,"Tamme et al."
