"ID","Article_ID","Study_ID","ID_BioShifts","ID_CoRE","Article","DOI","LatCentDeg","LonCentDeg","Areakm2","LatExtentk","Latmin","Latmax","EleExtentm","Eleminm","Elemaxm","Elemeanm","Study_area","Subsp_or_Pop","Eco","Type","Param","sp_name_publication","sp_name_database","sp_name_checked","kingdom","phylum","class","family","taxonID","taxon_method","Trend","unit","Significance","Magnitude","Angle","FigTable","START_firstperiod","MIDPOINT_firstperiod","END_firstperiod","START_secondperiod","MIDPOINT_secondperiod","END_secondperiod","Duration","Direction","Rate","UnitRate","Grain_size","N_periodes","Sampling","Category","Obs_type","Uncertainty_distribution","Position_definition","Position_definition_category","scientificName_checked","scientificName","order","ObservationTypeSpecific","DispersalSource","Field","DispersalDistance","Code","DispersalUnit","Database","Sex","group","type","ObservationTypeGeneral","MaxDispersalDistanceKm","MedianDispersalDistanceKm","NObs_MedianDispersalDistanceKm","AgeAtMaturityDays","AgeAtMaturity","AgeAtMaturityDatabase","Unit","AgeAtMaturyCode","YearOfMaturity","DispersalPotentialKmY","MedianDispersalPotentialKmY","ShiftKmY"
"A113_P1","A113","P1",113,94,"Virkkala_Lehikoinen_2014_GCB","10.1111/gcb.12573",64.50932,26.2766,333829.57,922.98,6858108.87,7781088.96,1335.13,-1,1334.13,187.63,"Finland",NA,"Ter","LAT","O","Corvus_corax","Corvus_corax","Corvus_corax","Animalia","Chordata","Aves","Corvidae","GBIF:2482492","Find_Sci_Names","-247.275","km","U",NA,NA,"Author-provided data",1970,1974.5,1979,2010,2011,2012,37.5,"Towards Equator",-6.594,"km/year","moderate",5,"IRR/AGG","CensusPeriods","abundance","Resurveyed","Density-weighted mean latitude","Weighted mean","Corvus corax","Corvus corax","Passeriformes","arithmetic mean natal dispersal distance",NA,"ArithmeticMeanNatalDispersal",39.6,"MeanDispersalDistance","km","Paradis et al. 2002",NA,"Aves","Mean","natal dispersal",39.6,11.5,5,1095,1095,"AnAge","days","AgeAtMaturity",3,13.2,3.83333333333333,-6.594
"A113_P1","A113","P1",113,94,"Virkkala_Lehikoinen_2014_GCB","10.1111/gcb.12573",64.50932,26.2766,333829.57,922.98,6858108.87,7781088.96,1335.13,-1,1334.13,187.63,"Finland",NA,"Ter","LAT","O","Corvus_corone","Corvus_corone","Corvus_cornix","Animalia","Chordata","Aves","Corvidae","GBIF:9409796","Find_Sci_Names","-5.635","km","U",NA,NA,"Author-provided data",1970,1974.5,1979,2010,1999.5,1989,26,"Towards Equator",-0.2167,"km/year","moderate",5,"IRR/AGG","CensusPeriods","abundance","Resurveyed","Density-weighted mean latitude","Weighted mean","Corvus cornix","Corvus corone","Passeriformes","individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",35500,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Aves","Max","natal/breeding dispersal",35.5,3.7,5,910.968,910.968,"Amniota","days","AgeAtMaturity",3,11.8333333333333,1.23333333333333,-0.2167
"A113_P1","A113","P1",113,94,"Virkkala_Lehikoinen_2014_GCB","10.1111/gcb.12573",64.50932,26.2766,333829.57,922.98,6858108.87,7781088.96,1335.13,-1,1334.13,187.63,"Finland",NA,"Ter","LAT","O","Corvus_monedula","Coloeus_monedula","Corvus_monedula","Animalia","Chordata","Aves","Corvidae","GBIF:6100954","Find_Sci_Names","48.125","km","U",NA,NA,"Author-provided data",1970,1974.5,1979,2010,2011,2012,37.5,"Towards Poles",1.2833,"km/year","moderate",5,"IRR/AGG","CensusPeriods","abundance","Resurveyed","Density-weighted mean latitude","Weighted mean","Corvus monedula","Coloeus monedula","Passeriformes","individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",31800,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Aves","Max","natal/breeding dispersal",31.8,6,5,637.601,637.601,"Amniota","days","AgeAtMaturity",2,15.9,3,1.2833
"A113_P1","A113","P1",113,94,"Virkkala_Lehikoinen_2014_GCB","10.1111/gcb.12573",64.50932,26.2766,333829.57,922.98,6858108.87,7781088.96,1335.13,-1,1334.13,187.63,"Finland",NA,"Ter","LAT","O","Delichon_urbicum","Delichon_urbicum","Delichon_urbicum","Animalia","Chordata","Aves","Hirundinidae","GBIF:2489214","Find_Sci_Names","86.94","km","U",NA,NA,"Author-provided data",1970,1974.5,1979,2010,2011,2012,37.5,"Towards Poles",2.3184,"km/year","moderate",5,"IRR/AGG","CensusPeriods","abundance","Resurveyed","Density-weighted mean latitude","Weighted mean","Delichon urbicum","Delichon urbicum","Passeriformes","individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",34800,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Aves","Max","natal/breeding dispersal",34.8,4.2,7,365,365,"AnAge","days","AgeAtMaturity",1,34.8,4.2,2.3184
"A113_P1","A113","P1",113,94,"Virkkala_Lehikoinen_2014_GCB","10.1111/gcb.12573",64.50932,26.2766,333829.57,922.98,6858108.87,7781088.96,1335.13,-1,1334.13,187.63,"Finland",NA,"Ter","LAT","O","Dendrocopus_major","Dendrocopus_major","Dendrocopos_major","Animalia","Chordata","Aves","Dendrocolaptidae","GBIF:7840991","Find_Sci_Names | order,family from NCBI using taxize","58.415","km","U",NA,NA,"Author-provided data",1970,1974.5,1979,2010,2011,2012,37.5,"Towards Poles",1.5577,"km/year","moderate",5,"IRR/AGG","CensusPeriods","abundance","Resurveyed","Density-weighted mean latitude","Weighted mean","Dendrocopos major","Dendrocopus major",NA,"individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",56100,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Aves","Max","natal/breeding dispersal",56.1,5.875,5,365,365,"AnAge","days","AgeAtMaturity",1,56.1,5.875,1.5577
"A113_P1","A113","P1",113,94,"Virkkala_Lehikoinen_2014_GCB","10.1111/gcb.12573",64.50932,26.2766,333829.57,922.98,6858108.87,7781088.96,1335.13,-1,1334.13,187.63,"Finland",NA,"Ter","LAT","O","Emberiza_citrinella","Emberiza_citrinella","Emberiza_citrinella","Animalia","Chordata","Aves","Emberizidae","GBIF:2491534","Find_Sci_Names","26.985","km","U",NA,NA,"Author-provided data",1970,1974.5,1979,2010,2011,2012,37.5,"Towards Poles",0.7196,"km/year","moderate",5,"IRR/AGG","CensusPeriods","abundance","Resurveyed","Density-weighted mean latitude","Weighted mean","Emberiza citrinella","Emberiza citrinella","Passeriformes","individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",36000,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Aves","Max","natal/breeding dispersal",36,2.026,5,364.234,364.234,"Amniota","days","AgeAtMaturity",1,36,2.026,0.7196
"A113_P1","A113","P1",113,94,"Virkkala_Lehikoinen_2014_GCB","10.1111/gcb.12573",64.50932,26.2766,333829.57,922.98,6858108.87,7781088.96,1335.13,-1,1334.13,187.63,"Finland",NA,"Ter","LAT","O","Emberiza_schoeniclus","Emberiza_schoeniclus","Emberiza_schoeniclus","Animalia","Chordata","Aves","Emberizidae","GBIF:2491557","Find_Sci_Names","135.38","km","U",NA,NA,"Author-provided data",1970,1974.5,1979,2010,2011,2012,37.5,"Towards Poles",3.6101,"km/year","moderate",5,"IRR/AGG","CensusPeriods","abundance","Resurveyed","Density-weighted mean latitude","Weighted mean","Emberiza schoeniclus","Emberiza schoeniclus","Passeriformes","individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",31600,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Aves","Max","natal/breeding dispersal",31.6,3.8,5,364.234,364.234,"Amniota","days","AgeAtMaturity",1,31.6,3.8,3.6101
"A113_P1","A113","P1",113,94,"Virkkala_Lehikoinen_2014_GCB","10.1111/gcb.12573",64.50932,26.2766,333829.57,922.98,6858108.87,7781088.96,1335.13,-1,1334.13,187.63,"Finland",NA,"Ter","LAT","O","Erithacus_rubecula","Erithacus_rubecula","Erithacus_rubecula","Animalia","Chordata","Aves","Muscicapidae","GBIF:2492462","Find_Sci_Names","84.455","km","U",NA,NA,"Author-provided data",1970,1974.5,1979,2010,2011,2012,37.5,"Towards Poles",2.2521,"km/year","moderate",5,"IRR/AGG","CensusPeriods","abundance","Resurveyed","Density-weighted mean latitude","Weighted mean","Erithacus rubecula","Erithacus rubecula","Passeriformes","individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",79800,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Aves","Max","natal/breeding dispersal",79.8,6,5,364.234,364.234,"Amniota","days","AgeAtMaturity",1,79.8,6,2.2521
"A113_P1","A113","P1",113,94,"Virkkala_Lehikoinen_2014_GCB","10.1111/gcb.12573",64.50932,26.2766,333829.57,922.98,6858108.87,7781088.96,1335.13,-1,1334.13,187.63,"Finland",NA,"Ter","LAT","O","Ficedula_hypoleuca","Ficedula_hypoleuca","Ficedula_hypoleuca","Animalia","Chordata","Aves","Muscicapidae","GBIF:2492606","Find_Sci_Names","-57.68","km","U",NA,NA,"Author-provided data",1970,1974.5,1979,2010,2011,2012,37.5,"Towards Equator",-1.5381,"km/year","moderate",5,"IRR/AGG","CensusPeriods","abundance","Resurveyed","Density-weighted mean latitude","Weighted mean","Ficedula hypoleuca","Ficedula hypoleuca","Passeriformes","natal dispersal","Berndt and Sternberg (1968), Pärt (1990)","Natal_dispersal_maximum_distance_(km)",75,"MaxDispersalDistance","km","Sutherland (birds)","m/f","Aves","Max","natal dispersal",75,20.6,7,365,365,"AnAge","days","AgeAtMaturity",1,75,20.6,-1.5381
"A113_P1","A113","P1",113,94,"Virkkala_Lehikoinen_2014_GCB","10.1111/gcb.12573",64.50932,26.2766,333829.57,922.98,6858108.87,7781088.96,1335.13,-1,1334.13,187.63,"Finland",NA,"Ter","LAT","O","Fringilla_coelebs","Fringilla_coelebs","Fringilla_coelebs","Animalia","Chordata","Aves","Fringillidae","GBIF:2494422","Find_Sci_Names","39.97","km","U",NA,NA,"Author-provided data",1970,1974.5,1979,2010,2011,2012,37.5,"Towards Poles",1.0659,"km/year","moderate",5,"IRR/AGG","CensusPeriods","abundance","Resurveyed","Density-weighted mean latitude","Weighted mean","Fringilla coelebs","Fringilla coelebs","Passeriformes","individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",22600,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Aves","Max","natal/breeding dispersal",22.6,2.6,5,364.234,364.234,"Amniota","days","AgeAtMaturity",1,22.6,2.6,1.0659
"A113_P1","A113","P1",113,94,"Virkkala_Lehikoinen_2014_GCB","10.1111/gcb.12573",64.50932,26.2766,333829.57,922.98,6858108.87,7781088.96,1335.13,-1,1334.13,187.63,"Finland",NA,"Ter","LAT","O","Garrulus_glandarius","Garrulus_glandarius","Garrulus_glandarius","Animalia","Chordata","Aves","Corvidae","GBIF:5229493","Find_Sci_Names","31.64","km","U",NA,NA,"Author-provided data",1970,1974.5,1979,2010,2011,2012,37.5,"Towards Poles",0.8437,"km/year","moderate",5,"IRR/AGG","CensusPeriods","abundance","Resurveyed","Density-weighted mean latitude","Weighted mean","Garrulus glandarius","Garrulus glandarius","Passeriformes","individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",19000,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Aves","Max","natal/breeding dispersal",19,2.8,5,364.234,364.234,"Amniota","days","AgeAtMaturity",1,19,2.8,0.8437
"A113_P1","A113","P1",113,94,"Virkkala_Lehikoinen_2014_GCB","10.1111/gcb.12573",64.50932,26.2766,333829.57,922.98,6858108.87,7781088.96,1335.13,-1,1334.13,187.63,"Finland",NA,"Ter","LAT","O","Hirundo_rustica","Hirundo_rustica","Hirundo_rustica","Animalia","Chordata","Aves","Hirundinidae","GBIF:9515886","Find_Sci_Names","-20.755","km","U",NA,NA,"Author-provided data",1970,1974.5,1979,2010,2011,2012,37.5,"Towards Equator",-0.5535,"km/year","moderate",5,"IRR/AGG","CensusPeriods","abundance","Resurveyed","Density-weighted mean latitude","Weighted mean","Hirundo rustica","Hirundo rustica","Passeriformes","individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",70900,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Aves","Max","natal/breeding dispersal",70.9,8.1,9,365,365,"AnAge","days","AgeAtMaturity",1,70.9,8.1,-0.5535
