"scientificName","kingdom","phylum","class","order","family","db","BodySize","Database","Code","Unit","Field"
"Sterna dougallii","Animalia","Chordata","Aves","Charadriiformes","Laridae","gbif",19.7,"AVONET","BodySize","mm","TarsusLength"
"Sterna forsteri","Animalia","Chordata","Aves","Charadriiformes","Laridae","gbif",24.3,"AVONET","BodySize","mm","TarsusLength"
"Sterna hirundo","Animalia","Chordata","Aves","Charadriiformes","Laridae","gbif",19.5,"AVONET","BodySize","mm","TarsusLength"
"Sterna paradisaea","Animalia","Chordata","Aves","Charadriiformes","Laridae","gbif",16.1,"AVONET","BodySize","mm","TarsusLength"
"Sternula antillarum","Animalia","Chordata","Aves","Charadriiformes","Laridae","gbif",14.6,"AVONET","BodySize","mm","TarsusLength"
"Thalasseus maximus","Animalia","Chordata","Aves","Charadriiformes","Laridae","gbif",32.8,"AVONET","BodySize","mm","TarsusLength"
"Thalasseus sandvicensis","Animalia","Chordata","Aves","Charadriiformes","Laridae","gbif",25.5,"AVONET","BodySize","mm","TarsusLength"
"Recurvirostra americana","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","gbif",92,"AVONET","BodySize","mm","TarsusLength"
"Actitis macularius","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","gbif",24.2,"AVONET","BodySize","mm","TarsusLength"
"Numenius phaeopus","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","gbif",59.9,"AVONET","BodySize","mm","TarsusLength"
"Scolopax minor","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","gbif",31.3,"AVONET","BodySize","mm","TarsusLength"
"Mycteria americana","Animalia","Chordata","Aves","Ciconiiformes","Ciconiidae","gbif",191,"AVONET","BodySize","mm","TarsusLength"
"Columba oenas","Animalia","Chordata","Aves","Columbiformes","Columbidae","gbif",26.4,"AVONET","BodySize","mm","TarsusLength"
"Columba palumbus","Animalia","Chordata","Aves","Columbiformes","Columbidae","gbif",31.5,"AVONET","BodySize","mm","TarsusLength"
"Streptopelia decaocto","Animalia","Chordata","Aves","Columbiformes","Columbidae","gbif",20.8,"AVONET","BodySize","mm","TarsusLength"
"Streptopelia turtur","Animalia","Chordata","Aves","Columbiformes","Columbidae","gbif",22.3,"AVONET","BodySize","mm","TarsusLength"
"Zenaida macroura","Animalia","Chordata","Aves","Columbiformes","Columbidae","gbif",19.6,"AVONET","BodySize","mm","TarsusLength"
"Alcedo atthis","Animalia","Chordata","Aves","Coraciiformes","Alcedinidae","gbif",9.9,"AVONET","BodySize","mm","TarsusLength"
"Falco columbarius","Animalia","Chordata","Aves","Falconiformes","Falconidae","gbif",34.3,"AVONET","BodySize","mm","TarsusLength"
"Falco mexicanus","Animalia","Chordata","Aves","Falconiformes","Falconidae","gbif",55.6,"AVONET","BodySize","mm","TarsusLength"
"Falco peregrinus","Animalia","Chordata","Aves","Falconiformes","Falconidae","gbif",45.1,"AVONET","BodySize","mm","TarsusLength"
"Falco sparverius","Animalia","Chordata","Aves","Falconiformes","Falconidae","gbif",33.7,"AVONET","BodySize","mm","TarsusLength"
"Falco tinnunculus","Animalia","Chordata","Aves","Falconiformes","Falconidae","gbif",39.1,"AVONET","BodySize","mm","TarsusLength"
"Tetrastes bonasia","Animalia","Chordata","Aves","Galliformes","Phasianidae","gbif",35.1,"AVONET","BodySize","mm","TarsusLength"
"Canachites canadensis","Animalia","Chordata","Aves","Galliformes","Phasianidae","gbif",35.85,"AVONET","BodySize","mm","TarsusLength"
"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Phasianidae","gbif",35.6,"AVONET","BodySize","mm","TarsusLength"
"Meleagris gallopavo","Animalia","Chordata","Aves","Galliformes","Phasianidae","gbif",149.2,"AVONET","BodySize","mm","TarsusLength"
"Tympanuchus cupido","Animalia","Chordata","Aves","Galliformes","Phasianidae","gbif",41.8,"AVONET","BodySize","mm","TarsusLength"
"Gavia immer","Animalia","Chordata","Aves","Gaviiformes","Gaviidae","gbif",86.1,"AVONET","BodySize","mm","TarsusLength"
"Grus canadensis","Animalia","Chordata","Aves","Gruiformes","Gruidae","gbif",216.2,"AVONET","BodySize","mm","TarsusLength"
"Fulica atra","Animalia","Chordata","Aves","Gruiformes","Rallidae","gbif",57,"AVONET","BodySize","mm","TarsusLength"
"Gallinula chloropus","Animalia","Chordata","Aves","Gruiformes","Rallidae","gbif",48.5,"AVONET","BodySize","mm","TarsusLength"
"Acrocephalus schoenobaenus","Animalia","Chordata","Aves","Passeriformes","Acrocephalidae","gbif",20.9,"AVONET","BodySize","mm","TarsusLength"
"Acrocephalus scirpaceus","Animalia","Chordata","Aves","Passeriformes","Acrocephalidae","gbif",21.3,"AVONET","BodySize","mm","TarsusLength"
"Aegithalos caudatus","Animalia","Chordata","Aves","Passeriformes","Aegithalidae","gbif",15.9,"AVONET","BodySize","mm","TarsusLength"
"Alauda arvensis","Animalia","Chordata","Aves","Passeriformes","Alaudidae","gbif",23.6,"AVONET","BodySize","mm","TarsusLength"
"Passerina cyanea","Animalia","Chordata","Aves","Passeriformes","Cardinalidae","gbif",17.2,"AVONET","BodySize","mm","TarsusLength"
"Cinclus cinclus","Animalia","Chordata","Aves","Passeriformes","Cinclidae","gbif",28.4,"AVONET","BodySize","mm","TarsusLength"
"Corvus brachyrhynchos","Animalia","Chordata","Aves","Passeriformes","Corvidae","gbif",59.3,"AVONET","BodySize","mm","TarsusLength"
"Corvus corax","Animalia","Chordata","Aves","Passeriformes","Corvidae","gbif",67.1,"AVONET","BodySize","mm","TarsusLength"
"Corvus corone","Animalia","Chordata","Aves","Passeriformes","Corvidae","gbif",59.4,"AVONET","BodySize","mm","TarsusLength"
"Corvus frugilegus","Animalia","Chordata","Aves","Passeriformes","Corvidae","gbif",55.7,"AVONET","BodySize","mm","TarsusLength"
"Coloeus monedula","Animalia","Chordata","Aves","Passeriformes","Corvidae","gbif",43.3,"AVONET","BodySize","mm","TarsusLength"
"Garrulus glandarius","Animalia","Chordata","Aves","Passeriformes","Corvidae","gbif",39.1,"AVONET","BodySize","mm","TarsusLength"
"Gymnorhinus cyanocephalus","Animalia","Chordata","Aves","Passeriformes","Corvidae","gbif",37.7,"AVONET","BodySize","mm","TarsusLength"
"Perisoreus canadensis","Animalia","Chordata","Aves","Passeriformes","Corvidae","gbif",36.3,"AVONET","BodySize","mm","TarsusLength"
"Pica pica","Animalia","Chordata","Aves","Passeriformes","Corvidae","gbif",49.1,"AVONET","BodySize","mm","TarsusLength"
"Emberiza citrinella","Animalia","Chordata","Aves","Passeriformes","Emberizidae","gbif",19.1,"AVONET","BodySize","mm","TarsusLength"
"Emberiza schoeniclus","Animalia","Chordata","Aves","Passeriformes","Emberizidae","gbif",19.3,"AVONET","BodySize","mm","TarsusLength"
"Acanthis flammea","Animalia","Chordata","Aves","Passeriformes","Fringillidae","gbif",15.6,"AVONET","BodySize","mm","TarsusLength"
"Carduelis carduelis","Animalia","Chordata","Aves","Passeriformes","Fringillidae","gbif",14.7,"AVONET","BodySize","mm","TarsusLength"
"Chloris chloris","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif",17.3,"AVONET","BodySize","mm","TarsusLength"
"Fringilla coelebs","Animalia","Chordata","Aves","Passeriformes","Fringillidae","gbif",17.8,"AVONET","BodySize","mm","TarsusLength"
"Linaria cannabina","Animalia","Chordata","Aves","Passeriformes","Fringillidae","gbif",15.7,"AVONET","BodySize","mm","TarsusLength"
"Pyrrhula pyrrhula","Animalia","Chordata","Aves","Passeriformes","Fringillidae","gbif",18,"AVONET","BodySize","mm","TarsusLength"
"Delichon urbicum","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","gbif",11.3,"AVONET","BodySize","mm","TarsusLength"
