"scientificName_checked","ID","Type","Eco","Param","group","ShiftKmY","DispersalPotentialKmY","MedianDispersalPotentialKmY","ClimVeloKmY_RelScale","sdClimVeloKmY_RelScale","q1ClimVeloKmY_RelScale","q3ClimVeloKmY_RelScale","RelScale","ClimVeloKmY_25km","sdClimVeloKmY_25km","q1ClimVeloKmY_25km","q3ClimVeloKmY_25km","ClimVeloKmY_50km","sdClimVeloKmY_50km","q1ClimVeloKmY_50km","q3ClimVeloKmY_50km","ClimVeloKmY_110km","sdClimVeloKmY_110km","q1ClimVeloKmY_110km","q3ClimVeloKmY_110km","MaxDispersalDistanceKm","Article_ID","Study_ID","ID_BioShifts","ID_CoRE","Article","DOI","LatCentDeg","LonCentDeg","Areakm2","LatExtentk","Latmin","Latmax","EleExtentm","Eleminm","Elemaxm","Elemeanm","Study_area","Subsp_or_Pop","sp_name_publication","sp_name_database","sp_name_checked","kingdom","phylum","class","family","taxonID","taxon_method","Trend","unit","Significance","Magnitude","Angle","FigTable","START_firstperiod","MIDPOINT_firstperiod","END_firstperiod","START_secondperiod","MIDPOINT_secondperiod","END_secondperiod","Duration","Direction","Rate","UnitRate","Grain_size","N_periodes","Sampling","Category","Obs_type","Uncertainty_distribution","Position_definition","Position_definition_category","scientificName","order","ObservationTypeSpecific","DispersalSource","Field","DispersalDistance","Code","DispersalUnit","Database","Sex","type","ObservationTypeGeneral","MedianDispersalDistanceKm","NObs_MedianDispersalDistanceKm","AgeAtMaturityDays","YearOfMaturity"
"Dryocopus pileatus","A162_P1","LAT","Ter","O","Aves",4.0662,32,32,2.2559973,1.7048149,1.1861538,3.2035234,"25km",2.2559973,1.7048149,1.1861538,3.2035234,3.0304781,1.4567379,2.1161878,3.9650307,3.4759498,1.1590207,2.7185981,4.2458963,32,"A162","P1",162,NA,"Hovick_al_2016_BC","10.1007/s10531-016-1053-6",40.50261,-100.02659,1889961.86,2430.05,3557257.94,5987307.38,4286.9,-78.21,4208.69,780.01,"North America",NA,"Dryocopus_pileatus","Dryocopus_pileatus","Dryocopus_pileatus","Animalia","Chordata","Aves","Picidae","GBIF:5228824","Find_Sci_Names","0.8403","deg","Y",NA,NA,"Supplementary Material",1967,1979.5,1992,1993,2001.5,2010,23,"Towards Poles",4.0662,"km/year","moderate",2,"TWO","CensusPeriods","abundance","Raw","Abundance-weighted mean latitude","Weighted mean","Dryocopus pileatus","Piciformes","natal dispersal","Bull and Jackson (1995)","Natal_dispersal_maximum_distance_(km)",32,"MaxDispersalDistance","km","Sutherland (birds)","m/f","Max","natal dispersal",32,2,354,1
"Egretta thula","A162_P1","LAT","Ter","O","Aves",-1.4182,99.24094678,70.93750207,3.1591812,1.5443312,2.0594602,4.1625681,"110km",1.9903355,1.9083981,0.6364344,3.2084196,2.8061419,1.8114923,1.4963354,4.1836181,3.1591812,1.5443312,2.0594602,4.1625681,99.24094678,"A162","P1",162,NA,"Hovick_al_2016_BC","10.1007/s10531-016-1053-6",40.50261,-100.02659,1889961.86,2430.05,3557257.94,5987307.38,4286.9,-78.21,4208.69,780.01,"North America",NA,"Egretta_thula","Egretta_thula","Egretta_thula","Animalia","Chordata","Aves","Ardeidae","GBIF:2480873","Find_Sci_Names","-0.2931","deg","Y",NA,NA,"Supplementary Material",1967,1979.5,1992,1993,2001.5,2010,23,"Towards Equator",-1.4182,"km/year","moderate",2,"TWO","CensusPeriods","abundance","Raw","Abundance-weighted mean latitude","Weighted mean","Egretta thula","Pelecaniformes","arithmetic mean natal dispersal distance","Chu 2021","arimean",99.24094678,"MeanDispersalDistance","km","Chu 2021",NA,"Mean","natal dispersal",70.93750207,2,365,1
"Falco columbarius","A162_P1","LAT","Ter","O","Aves",8.3004,81.1,34.91578643,2.5073395,1.6716949,1.3083026,3.5139654,"50km",1.8443465,1.6898613,0.7657589,2.8351839,2.5073395,1.6716949,1.3083026,3.5139654,2.9805998,1.3902027,1.9780862,3.8858478,81.1,"A162","P1",162,NA,"Hovick_al_2016_BC","10.1007/s10531-016-1053-6",40.50261,-100.02659,1889961.86,2430.05,3557257.94,5987307.38,4286.9,-78.21,4208.69,780.01,"North America",NA,"Falco_columbarius","Falco_columbarius","Falco_columbarius","Animalia","Chordata","Aves","Falconidae","GBIF:9813242","Find_Sci_Names","1.7153","deg","Y",NA,NA,"Supplementary Material",1967,1979.5,1992,1993,2001.5,2010,23,"Towards Poles",8.3004,"km/year","moderate",2,"TWO","CensusPeriods","abundance","Raw","Abundance-weighted mean latitude","Weighted mean","Falco columbarius","Falconiformes","individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",81100,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Max","natal/breeding dispersal",34.91578643,5,365,1
"Falco mexicanus","A162_P1","LAT","Ter","O","Aves",-1.836,184.8219336,149.6926234,2.4379625,1.330601,1.4353029,3.230073,"110km",1.286422,1.4802064,0.4963157,2.1566138,1.9207495,1.5626816,0.8208456,2.8853307,2.4379625,1.330601,1.4353029,3.230073,184.8219336,"A162","P1",162,NA,"Hovick_al_2016_BC","10.1007/s10531-016-1053-6",40.50261,-100.02659,1889961.86,2430.05,3557257.94,5987307.38,4286.9,-78.21,4208.69,780.01,"North America",NA,"Falco_mexicanus","Falco_mexicanus","Falco_mexicanus","Animalia","Chordata","Aves","Falconidae","GBIF:2481000","Find_Sci_Names","-0.3794","deg","Y",NA,NA,"Supplementary Material",1967,1979.5,1992,1993,2001.5,2010,23,"Towards Equator",-1.836,"km/year","moderate",2,"TWO","CensusPeriods","abundance","Raw","Abundance-weighted mean latitude","Weighted mean","Falco mexicanus","Falconiformes","arithmetic mean natal dispersal distance","Chu 2021","arimean",184.8219336,"MeanDispersalDistance","km","Chu 2021",NA,"Mean","natal dispersal",149.6926234,2,365,1
"Falco sparverius","A162_P1","LAT","Ter","O","Aves",-1.7278,65.6673505,32.45,2.5073395,1.6716949,1.3083026,3.5139654,"50km",1.8443465,1.6898613,0.7657589,2.8351839,2.5073395,1.6716949,1.3083026,3.5139654,2.9805998,1.3902027,1.9780862,3.8858478,65.6673505,"A162","P1",162,NA,"Hovick_al_2016_BC","10.1007/s10531-016-1053-6",40.50261,-100.02659,1889961.86,2430.05,3557257.94,5987307.38,4286.9,-78.21,4208.69,780.01,"North America",NA,"Falco_sparverius","Falco_sparverius","Falco_sparverius","Animalia","Chordata","Aves","Falconidae","GBIF:9685907","Find_Sci_Names","-0.357","deg","N",NA,NA,"Supplementary Material",1967,1979.5,1992,1993,2001.5,2010,23,"Towards Equator",-1.7278,"km/year","moderate",2,"TWO","CensusPeriods","abundance","Raw","Abundance-weighted mean latitude","Weighted mean","Falco sparverius","Falconiformes","arithmetic mean natal dispersal distance","Chu 2021","arimean",65.6673505,"MeanDispersalDistance","km","Chu 2021",NA,"Mean","natal dispersal",32.45,5,365,1
"Gavia immer","A162_P1","LAT","Ter","O","Aves",2.237,3.83237678,3.65433125333333,2.4354013,2.1354355,0.9745888,3.9748452,"25km",2.4354013,2.1354355,0.9745888,3.9748452,3.6150945,1.8355945,2.0650041,5.2642541,4.2575475,1.1337086,2.9739528,5.34796,11.49713034,"A162","P1",162,NA,"Hovick_al_2016_BC","10.1007/s10531-016-1053-6",40.50261,-100.02659,1889961.86,2430.05,3557257.94,5987307.38,4286.9,-78.21,4208.69,780.01,"North America",NA,"Gavia_immer","Gavia_immer","Gavia_immer","Animalia","Chordata","Aves","Gaviidae","GBIF:2481962","Find_Sci_Names","0.4623","deg","Y",NA,NA,"Supplementary Material",1967,1979.5,1992,1993,2001.5,2010,23,"Towards Poles",2.237,"km/year","moderate",2,"TWO","CensusPeriods","abundance","Raw","Abundance-weighted mean latitude","Weighted mean","Gavia immer","Gaviiformes","arithmetic mean natal dispersal distance","Chu 2021","arimean",11.49713034,"MeanDispersalDistance","km","Chu 2021",NA,"Mean","natal dispersal",10.96299376,2,1093.968,3
"Grus canadensis","A162_P1","LAT","Ter","O","Aves",3.3417,11.3210878933333,9.39821167,1.8348042,1.6923657,0.7538882,2.8438489,"25km",1.8348042,1.6923657,0.7538882,2.8438489,2.502526,1.689879,1.2502429,3.518425,2.983197,1.4003707,1.8842537,3.8858478,33.96326368,"A162","P1",162,NA,"Hovick_al_2016_BC","10.1007/s10531-016-1053-6",40.50261,-100.02659,1889961.86,2430.05,3557257.94,5987307.38,4286.9,-78.21,4208.69,780.01,"North America",NA,"Grus_canadensis","Grus_canadensis","Grus_canadensis","Animalia","Chordata","Aves","Gruidae","GBIF:2474953","Find_Sci_Names","0.6906","deg","Y",NA,NA,"Supplementary Material",1967,1979.5,1992,1993,2001.5,2010,23,"Towards Poles",3.3417,"km/year","moderate",2,"TWO","CensusPeriods","abundance","Raw","Abundance-weighted mean latitude","Weighted mean","Grus canadensis","Gruiformes","arithmetic mean natal dispersal distance","Chu 2021","arimean",33.96326368,"MeanDispersalDistance","km","Chu 2021",NA,"Mean","natal dispersal",28.19463501,2,1095,3
"Gymnorhinus cyanocephalus","A162_P1","LAT","Ter","O","Aves",-14.5192,640,640,1.0463758,0.9090225,0.5264354,1.5273806,"110km",0.187425,0.5519865,-0.1883683,0.575919,0.3429287,0.7580282,-0.1248154,0.6448324,1.0463758,0.9090225,0.5264354,1.5273806,640,"A162","P1",162,NA,"Hovick_al_2016_BC","10.1007/s10531-016-1053-6",40.50261,-100.02659,1889961.86,2430.05,3557257.94,5987307.38,4286.9,-78.21,4208.69,780.01,"North America",NA,"Gymnorhinus_cyanocephalus","Gymnorhinus_cyanocephalus","Gymnorhinus_cyanocephalus","Animalia","Chordata","Aves","Corvidae","GBIF:5229498","Find_Sci_Names","-3.0004","deg","Y",NA,NA,"Supplementary Material",1967,1979.5,1992,1993,2001.5,2010,23,"Towards Equator",-14.5192,"km/year","moderate",2,"TWO","CensusPeriods","abundance","Raw","Abundance-weighted mean latitude","Weighted mean","Gymnorhinus cyanocephalus","Passeriformes","natal dispersal","Marzluff and Balda (1989)","Natal_dispersal_maximum_distance_(km)",640,"MaxDispersalDistance","km","Sutherland (birds)","m/f","Max","natal dispersal",640,2,365,1
"Hirundo rustica","A162_P1","LAT","Ter","O","Aves",-1.749,70.9,8.1,2.5073395,1.6716949,1.3083026,3.5139654,"50km",1.8443465,1.6898613,0.7657589,2.8351839,2.5073395,1.6716949,1.3083026,3.5139654,2.9805998,1.3902027,1.9780862,3.8858478,70.9,"A162","P1",162,NA,"Hovick_al_2016_BC","10.1007/s10531-016-1053-6",40.50261,-100.02659,1889961.86,2430.05,3557257.94,5987307.38,4286.9,-78.21,4208.69,780.01,"North America",NA,"Hirundo_rustica","Hirundo_rustica","Hirundo_rustica","Animalia","Chordata","Aves","Hirundinidae","GBIF:9515886","Find_Sci_Names","-0.3614","deg","N",NA,NA,"Supplementary Material",1967,1979.5,1992,1993,2001.5,2010,23,"Towards Equator",-1.749,"km/year","moderate",2,"TWO","CensusPeriods","abundance","Raw","Abundance-weighted mean latitude","Weighted mean","Hirundo rustica","Passeriformes","individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",70900,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Max","natal/breeding dispersal",8.1,9,365,1
"Hylocichla mustelina","A162_P1","LAT","Ter","O","Aves",-0.2058,4.68,4.68,2.9925078,1.5096598,2.022711,3.9011846,"25km",2.9925078,1.5096598,2.022711,3.9011846,3.5257224,1.2129211,2.7225955,4.4607587,3.7828002,0.9542969,3.0825937,4.3450708,4.68,"A162","P1",162,NA,"Hovick_al_2016_BC","10.1007/s10531-016-1053-6",40.50261,-100.02659,1889961.86,2430.05,3557257.94,5987307.38,4286.9,-78.21,4208.69,780.01,"North America",NA,"Hylocichla_mustelina","Hylocichla_mustelina","Hylocichla_mustelina","Animalia","Chordata","Aves","Turdidae","GBIF:2490872","Find_Sci_Names","-0.0425","deg","N",NA,NA,"Supplementary Material",1967,1979.5,1992,1993,2001.5,2010,23,"Towards Equator",-0.2058,"km/year","moderate",2,"TWO","CensusPeriods","abundance","Raw","Abundance-weighted mean latitude","Weighted mean","Hylocichla mustelina","Passeriformes","natal dispersal","Anders et al. (1998)","Natal_dispersal_maximum_distance_(km)",4.68,"MaxDispersalDistance","km","Sutherland (birds)","m/f","Max","natal dispersal",4.68,2,365,1
