"scientificName_checked","ID","Type","Eco","Param","group","ShiftKmY","DispersalPotentialKmY","MedianDispersalPotentialKmY","ClimVeloKmY_RelScale","sdClimVeloKmY_RelScale","q1ClimVeloKmY_RelScale","q3ClimVeloKmY_RelScale","RelScale","ClimVeloKmY_25km","sdClimVeloKmY_25km","q1ClimVeloKmY_25km","q3ClimVeloKmY_25km","ClimVeloKmY_50km","sdClimVeloKmY_50km","q1ClimVeloKmY_50km","q3ClimVeloKmY_50km","ClimVeloKmY_110km","sdClimVeloKmY_110km","q1ClimVeloKmY_110km","q3ClimVeloKmY_110km","MaxDispersalDistanceKm","Article_ID","Study_ID","ID_BioShifts","ID_CoRE","Article","DOI","LatCentDeg","LonCentDeg","Areakm2","LatExtentk","Latmin","Latmax","EleExtentm","Eleminm","Elemaxm","Elemeanm","Study_area","Subsp_or_Pop","sp_name_publication","sp_name_database","sp_name_checked","kingdom","phylum","class","family","taxonID","taxon_method","Trend","unit","Significance","Magnitude","Angle","FigTable","START_firstperiod","MIDPOINT_firstperiod","END_firstperiod","START_secondperiod","MIDPOINT_secondperiod","END_secondperiod","Duration","Direction","Rate","UnitRate","Grain_size","N_periodes","Sampling","Category","Obs_type","Uncertainty_distribution","Position_definition","Position_definition_category","scientificName","order","ObservationTypeSpecific","DispersalSource","Field","DispersalDistance","Code","DispersalUnit","Database","Sex","type","ObservationTypeGeneral","MedianDispersalDistanceKm","NObs_MedianDispersalDistanceKm","AgeAtMaturityDays","YearOfMaturity"
"Accipiter cooperii","A10_P1","LAT","Ter","LE","Aves",13.78,28.85915656,17.6,1.5419248,1.5566605,0.4255749,2.6013434,"50km",1.1938414,1.4358054,0.1694403,2.0770929,1.5419248,1.5566605,0.4255749,2.6013434,2.0304947,1.4022355,1.0925756,3.1568639,57.71831312,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",39.52959,-99.12988,7933705.8,2740.96,3067081.75,5808038.87,4311.58,-84,4227.58,755.84,"North America (US, CN, northern MX)",NA,"Accipiter_cooperii","Accipiter_cooperii","Accipiter_cooperii","Animalia","Chordata","Aves","Accipitridae","GBIF:2480621","Find_Sci_Names","13.78","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Expansion",13.78,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","Raw","Maximum latitude of the 12 km radius survey circle where the species was documented","Extreme per band","Accipiter cooperii","Accipitriformes","arithmetic mean natal dispersal distance","Chu 2021","arimean",57.71831312,"MeanDispersalDistance","km","Chu 2021",NA,"Mean","natal dispersal",35.2,5,730,2
"Actitis macularius","A10_P1","LAT","Ter","LE","Aves",1.92,147,146.85,2.0042353,1.3830849,1.0888602,3.0670145,"110km",1.1972197,1.4314454,0.1662515,2.0545952,1.5169233,1.5375236,0.405683,2.5567386,2.0042353,1.3830849,1.0888602,3.0670145,147,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",39.52959,-99.12988,7933705.8,2740.96,3067081.75,5808038.87,4311.58,-84,4227.58,755.84,"North America (US, CN, northern MX)",NA,"Actitis_macularius","Actitis_macularius","Actitis_macularius","Animalia","Chordata","Aves","Scolopacidae","GBIF:2481798","Find_Sci_Names","1.92","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Expansion",1.92,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","Raw","Maximum latitude of the 12 km radius survey circle where the species was documented","Extreme per band","Actitis macularius","Charadriiformes","individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",147000,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Max","natal/breeding dispersal",146.85,2,365,1
"Aix sponsa","A10_P1","LAT","Ter","LE","Aves",7.02,9.102877271,4.089744502,1.4336166,1.4868538,0.2861559,2.4066303,"25km",1.4336166,1.4868538,0.2861559,2.4066303,1.7509913,1.5837333,0.5959,2.8480458,2.1449704,1.415529,1.2083375,3.2967381,9.102877271,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",39.52959,-99.12988,7933705.8,2740.96,3067081.75,5808038.87,4311.58,-84,4227.58,755.84,"North America (US, CN, northern MX)",NA,"Aix_sponsa","Aix_sponsa","Aix_sponsa","Animalia","Chordata","Aves","Anatidae","GBIF:2498387","Find_Sci_Names","7.02","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Expansion",7.02,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","Raw","Maximum latitude of the 12 km radius survey circle where the species was documented","Extreme per band","Aix sponsa","Anseriformes","arithmetic mean natal dispersal distance","Chu 2021","arimean",9.102877271,"MeanDispersalDistance","km","Chu 2021",NA,"Mean","natal dispersal",4.089744502,4,365,1
"Anas acuta","A10_P1","LAT","Ter","LE","Aves",3.92,2.541645117,2.541645117,1.3810712,1.4290893,0.3808515,2.2690535,"25km",1.3810712,1.4290893,0.3808515,2.2690535,1.7291593,1.5247178,0.7296485,2.744936,2.1986413,1.3424677,1.3003912,3.2327318,2.541645117,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",39.52959,-99.12988,7933705.8,2740.96,3067081.75,5808038.87,4311.58,-84,4227.58,755.84,"North America (US, CN, northern MX)",NA,"Anas_acuta","Anas_acuta","Anas_acuta","Animalia","Chordata","Aves","Anatidae","GBIF:2498112","Find_Sci_Names","3.92","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Expansion",3.92,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","Raw","Maximum latitude of the 12 km radius survey circle where the species was documented","Extreme per band","Anas acuta","Anseriformes","geometric/arithmetic mean natal dispersal distance","Chu 2021","geom/arimean",2.541645117,"SingleObservation","km","Chu 2021",NA,"Unknown","natal dispersal",2.541645117,2,240,1
"Anas platyrhynchos","A10_P1","LAT","Ter","LE","Aves",-0.14,270.5094065,19.9,2.0073776,1.3943527,1.0666167,3.0986953,"110km",1.2040254,1.4119973,0.1780327,2.0610361,1.5205199,1.5378101,0.4093897,2.5637023,2.0073776,1.3943527,1.0666167,3.0986953,270.5094065,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",39.52959,-99.12988,7933705.8,2740.96,3067081.75,5808038.87,4311.58,-84,4227.58,755.84,"North America (US, CN, northern MX)",NA,"Anas_platyrhynchos","Anas_platyrhynchos","Anas_platyrhynchos","Animalia","Chordata","Aves","Anatidae","GBIF:9761484","Find_Sci_Names","-0.14","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Contraction",-0.14,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","Raw","Maximum latitude of the 12 km radius survey circle where the species was documented","Extreme per band","Anas platyrhynchos","Anseriformes","arithmetic mean natal dispersal distance","Chu 2021","arimean",270.5094065,"MeanDispersalDistance","km","Chu 2021",NA,"Mean","natal dispersal",19.9,7,365,1
"Ardea alba","A10_P1","LAT","Ter","LE","Aves",5.22,156.9793537,107.82918735,2.301585,1.222643,1.3565633,3.2506843,"110km",1.4199842,1.4479996,0.3608266,2.3461555,1.7899329,1.4840795,0.7582112,2.8138969,2.301585,1.222643,1.3565633,3.2506843,313.9587074,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",39.52959,-99.12988,7933705.8,2740.96,3067081.75,5808038.87,4311.58,-84,4227.58,755.84,"North America (US, CN, northern MX)",NA,"Ardea_alba","Ardea_alba","Ardea_alba","Animalia","Chordata","Aves","Ardeidae","GBIF:9752617","Find_Sci_Names","5.22","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Expansion",5.22,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","Raw","Maximum latitude of the 12 km radius survey circle where the species was documented","Extreme per band","Ardea alba","Pelecaniformes","arithmetic mean natal dispersal distance","Chu 2021","arimean",313.9587074,"MeanDispersalDistance","km","Chu 2021",NA,"Mean","natal dispersal",215.6583747,2,637.601,2
"Asio otus","A10_P1","LAT","Ter","LE","Aves",14.05,162,15.421,1.9960759,1.4409535,1.027969,3.1641143,"110km",1.2320928,1.4672818,0.1580208,2.1907575,1.5364145,1.5792025,0.3842415,2.6467836,1.9960759,1.4409535,1.027969,3.1641143,162,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",39.52959,-99.12988,7933705.8,2740.96,3067081.75,5808038.87,4311.58,-84,4227.58,755.84,"North America (US, CN, northern MX)",NA,"Asio_otus","Asio_otus","Asio_otus","Animalia","Chordata","Aves","Strigidae","GBIF:2497306","Find_Sci_Names","14.05","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Expansion",14.05,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","Raw","Maximum latitude of the 12 km radius survey circle where the species was documented","Extreme per band","Asio otus","Strigiformes","individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",162000,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Max","natal/breeding dispersal",15.421,5,364.234,1
"Athene cunicularia","A10_P1","LAT","Ter","LE","Aves",13.54,109.6209029,30,1.5947319,1.342464,0.6840245,2.4275217,"110km",0.7319854,1.195744,-0.0324595,1.3363552,1.0223326,1.3648519,0.1329258,1.8822527,1.5947319,1.342464,0.6840245,2.4275217,109.6209029,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",39.52959,-99.12988,7933705.8,2740.96,3067081.75,5808038.87,4311.58,-84,4227.58,755.84,"North America (US, CN, northern MX)",NA,"Athene_cunicularia","Athene_cunicularia","Athene_cunicularia","Animalia","Chordata","Aves","Strigidae","GBIF:2497240","Find_Sci_Names","13.54","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Expansion",13.54,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","Raw","Maximum latitude of the 12 km radius survey circle where the species was documented","Extreme per band","Athene cunicularia","Strigiformes","arithmetic mean natal dispersal distance","Chu 2021","arimean",109.6209029,"MeanDispersalDistance","km","Chu 2021",NA,"Mean","natal dispersal",30,4,365,1
"Aythya affinis","A10_P1","LAT","Ter","LE","Aves",0.97,0.697859425,0.697859425,1.2413575,1.4396514,0.1905958,2.1346955,"25km",1.2413575,1.4396514,0.1905958,2.1346955,1.5730771,1.5456282,0.4452187,2.651265,2.0410432,1.3922606,1.1014085,3.1403635,0.697859425,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",39.52959,-99.12988,7933705.8,2740.96,3067081.75,5808038.87,4311.58,-84,4227.58,755.84,"North America (US, CN, northern MX)",NA,"Aythya_affinis","Aythya_affinis","Aythya_affinis","Animalia","Chordata","Aves","Anatidae","GBIF:2498257","Find_Sci_Names","0.97","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Expansion",0.97,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","Raw","Maximum latitude of the 12 km radius survey circle where the species was documented","Extreme per band","Aythya affinis","Anseriformes","geometric/arithmetic mean natal dispersal distance","Chu 2021","geom/arimean",0.697859425,"SingleObservation","km","Chu 2021",NA,"Unknown","natal dispersal",0.697859425,2,365,1
"Branta canadensis","A10_P1","LAT","Ter","LE","Aves",-0.33,64.38468605,4.45,1.977867,1.3748899,1.1128876,3.0063663,"110km",1.1925384,1.4290619,0.18374,2.0589375,1.5026831,1.5431378,0.4413573,2.5106659,1.977867,1.3748899,1.1128876,3.0063663,128.7693721,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",39.52959,-99.12988,7933705.8,2740.96,3067081.75,5808038.87,4311.58,-84,4227.58,755.84,"North America (US, CN, northern MX)",NA,"Branta_canadensis","Branta_canadensis","Branta_canadensis","Animalia","Chordata","Aves","Anatidae","GBIF:5232437","Find_Sci_Names","-0.33","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Contraction",-0.33,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","Raw","Maximum latitude of the 12 km radius survey circle where the species was documented","Extreme per band","Branta canadensis","Anseriformes","arithmetic mean natal dispersal distance","Chu 2021","arimean",128.7693721,"MeanDispersalDistance","km","Chu 2021",NA,"Mean","natal dispersal",8.9,9,730,2
"Bucephala clangula","A10_P1","LAT","Ter","LE","Aves",0.09,3,0.582965188,1.1880366,1.4401616,0.1347923,2.1095012,"25km",1.1880366,1.4401616,0.1347923,2.1095012,1.5008672,1.5616361,0.3625528,2.5727217,1.9720295,1.4068454,1.0459231,3.0664911,6,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",39.52959,-99.12988,7933705.8,2740.96,3067081.75,5808038.87,4311.58,-84,4227.58,755.84,"North America (US, CN, northern MX)",NA,"Bucephala_clangula","Bucephala_clangula","Bucephala_clangula","Animalia","Chordata","Aves","Anatidae","GBIF:2498326","Find_Sci_Names","0.09","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Expansion",0.09,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","Raw","Maximum latitude of the 12 km radius survey circle where the species was documented","Extreme per band","Bucephala clangula","Anseriformes","natal dispersal","Dow and Fredga (1983)","Natal_dispersal_maximum_distance_(km)",6,"MaxDispersalDistance","km","Sutherland (birds)","f","Max","natal dispersal",1.165930376,5,730,2
"Buteo jamaicensis","A10_P1","LAT","Ter","LE","Aves",-2.91,100.0704751,58.5897627125,2.0185212,1.3877787,1.0822358,3.0968399,"110km",1.2149059,1.4320322,0.176241,2.0694697,1.5424375,1.545321,0.4203728,2.5773611,2.0185212,1.3877787,1.0822358,3.0968399,200.1409502,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",39.52959,-99.12988,7933705.8,2740.96,3067081.75,5808038.87,4311.58,-84,4227.58,755.84,"North America (US, CN, northern MX)",NA,"Buteo_jamaicensis","Buteo_jamaicensis","Buteo_jamaicensis","Animalia","Chordata","Aves","Accipitridae","GBIF:2480542","Find_Sci_Names","-2.91","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Contraction",-2.91,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","Raw","Maximum latitude of the 12 km radius survey circle where the species was documented","Extreme per band","Buteo jamaicensis","Accipitriformes","arithmetic mean natal dispersal distance","Chu 2021","arimean",200.1409502,"MeanDispersalDistance","km","Chu 2021",NA,"Mean","natal dispersal",117.179525425,2,730,2
"Buteo lineatus","A10_P1","LAT","Ter","LE","Aves",2.33,36.36132188,24,1.9342046,1.4729057,0.9022267,3.0090652,"25km",1.9342046,1.4729057,0.9022267,3.0090652,2.3669667,1.415427,1.3493239,3.373306,2.7227345,1.1187623,1.8491424,3.5958648,36.36132188,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",39.52959,-99.12988,7933705.8,2740.96,3067081.75,5808038.87,4311.58,-84,4227.58,755.84,"North America (US, CN, northern MX)",NA,"Buteo_lineatus","Buteo_lineatus","Buteo_lineatus","Animalia","Chordata","Aves","Accipitridae","GBIF:2480529","Find_Sci_Names","2.33","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Expansion",2.33,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","Raw","Maximum latitude of the 12 km radius survey circle where the species was documented","Extreme per band","Buteo lineatus","Accipitriformes","arithmetic mean natal dispersal distance","Chu 2021","arimean",36.36132188,"MeanDispersalDistance","km","Chu 2021",NA,"Mean","natal dispersal",24,4,365,1
"Buteo regalis","A10_P1","LAT","Ter","LE","Aves",-7.6,164.0329706,107.75065795,1.342299,1.2500739,0.5758032,2.048265,"110km",0.5090293,0.9915829,-0.0758134,0.971968,0.7651979,1.2091787,0.0452537,1.4166024,1.342299,1.2500739,0.5758032,2.048265,328.0659412,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",39.52959,-99.12988,7933705.8,2740.96,3067081.75,5808038.87,4311.58,-84,4227.58,755.84,"North America (US, CN, northern MX)",NA,"Buteo_regalis","Buteo_regalis","Buteo_regalis","Animalia","Chordata","Aves","Accipitridae","GBIF:2480566","Find_Sci_Names","-7.6","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Contraction",-7.6,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","Raw","Maximum latitude of the 12 km radius survey circle where the species was documented","Extreme per band","Buteo regalis","Accipitriformes","arithmetic mean natal dispersal distance","Chu 2021","arimean",328.0659412,"MeanDispersalDistance","km","Chu 2021",NA,"Mean","natal dispersal",215.5013159,2,730,2
"Campylorhynchus brunneicapillus","A10_P1","LAT","Ter","LE","Aves",3.78,0.457560115,0.457560115,0.9564492,1.3678152,0.0877093,1.6236204,"25km",0.9564492,1.3678152,0.0877093,1.6236204,1.5201339,1.4665868,0.5581183,2.4347622,2.3850455,1.3402856,0.9760294,3.517647,0.457560115,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",39.52959,-99.12988,7933705.8,2740.96,3067081.75,5808038.87,4311.58,-84,4227.58,755.84,"North America (US, CN, northern MX)",NA,"Campylorhynchus_brunneicapillus","Campylorhynchus_brunneicapillus","Campylorhynchus_brunneicapillus","Animalia","Chordata","Aves","Troglodytidae","GBIF:5231474","Find_Sci_Names","3.78","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Expansion",3.78,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","Raw","Maximum latitude of the 12 km radius survey circle where the species was documented","Extreme per band","Campylorhynchus brunneicapillus","Passeriformes","geometric/arithmetic mean natal dispersal distance","Chu 2021","geom/arimean",0.457560115,"SingleObservation","km","Chu 2021",NA,"Unknown","natal dispersal",0.457560115,2,243,1
"Cathartes aura","A10_P1","LAT","Ter","LE","Aves",-25.31,56.4621957333333,39.996310335,1.9877175,1.4026472,1.0666167,3.0626235,"110km",1.1919195,1.4264684,0.1687724,2.0135868,1.4956854,1.5416551,0.3919529,2.4837682,1.9877175,1.4026472,1.0666167,3.0626235,169.3865872,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",39.52959,-99.12988,7933705.8,2740.96,3067081.75,5808038.87,4311.58,-84,4227.58,755.84,"North America (US, CN, northern MX)",NA,"Cathartes_aura","Cathartes_aura","Cathartes_aura","Animalia","Chordata","Aves","Cathartidae","GBIF:2481930","Find_Sci_Names","-25.31","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Contraction",-25.31,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","Raw","Maximum latitude of the 12 km radius survey circle where the species was documented","Extreme per band","Cathartes aura","Accipitriformes","arithmetic mean natal dispersal distance","Chu 2021","arimean",169.3865872,"MeanDispersalDistance","km","Chu 2021",NA,"Mean","natal dispersal",119.988931005,2,730.5,3
"Circus cyaneus","A10_P1","LAT","Ter","LE","Aves",-2.28,60.8,22,1.5773337,1.5613451,0.4433132,2.6981869,"50km",1.248864,1.4463926,0.192342,2.1577377,1.5773337,1.5613451,0.4433132,2.6981869,2.0499673,1.4066079,1.1020538,3.1774504,60.8,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",39.52959,-99.12988,7933705.8,2740.96,3067081.75,5808038.87,4311.58,-84,4227.58,755.84,"North America (US, CN, northern MX)",NA,"Circus_cyaneus","Circus_cyaneus","Circus_cyaneus","Animalia","Chordata","Aves","Accipitridae","GBIF:2480487","Find_Sci_Names","-2.28","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Contraction",-2.28,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","Raw","Maximum latitude of the 12 km radius survey circle where the species was documented","Extreme per band","Circus cyaneus","Accipitriformes","individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",60800,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Max","natal/breeding dispersal",22,3,365,1
"Corvus brachyrhynchos","A10_P1","LAT","Ter","LE","Aves",6.9,25.880601475,25.880601475,1.5399676,1.5525798,0.442907,2.5627453,"50km",1.2188492,1.4261652,0.1803461,2.1075912,1.5399676,1.5525798,0.442907,2.5627453,1.9784088,1.4022202,1.0827013,3.0653794,51.76120295,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",39.52959,-99.12988,7933705.8,2740.96,3067081.75,5808038.87,4311.58,-84,4227.58,755.84,"North America (US, CN, northern MX)",NA,"Corvus_brachyrhynchos","Corvus_brachyrhynchos","Corvus_brachyrhynchos","Animalia","Chordata","Aves","Corvidae","GBIF:2482507","Find_Sci_Names","6.9","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Expansion",6.9,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","Raw","Maximum latitude of the 12 km radius survey circle where the species was documented","Extreme per band","Corvus brachyrhynchos","Passeriformes","geometric/arithmetic mean natal dispersal distance","Chu 2021","geom/arimean",51.76120295,"SingleObservation","km","Chu 2021",NA,"Unknown","natal dispersal",51.76120295,2,730,2
"Cygnus buccinator","A10_P1","LAT","Ter","LE","Aves",8.89,64,48.979715365,2.8489767,1.516805,1.6847203,4.2282219,"110km",1.4699424,1.9236279,0.0361946,3.1285193,1.7391288,2.2409563,0.131192,3.6589203,2.8489767,1.516805,1.6847203,4.2282219,128,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",39.52959,-99.12988,7933705.8,2740.96,3067081.75,5808038.87,4311.58,-84,4227.58,755.84,"North America (US, CN, northern MX)",NA,"Cygnus_buccinator","Cygnus_buccinator","Cygnus_buccinator","Animalia","Chordata","Aves","Anatidae","GBIF:2498345","Find_Sci_Names","8.89","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Expansion",8.89,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","Raw","Maximum latitude of the 12 km radius survey circle where the species was documented","Extreme per band","Cygnus buccinator","Anseriformes","natal dispersal","Mitchell (1994)","Natal_dispersal_maximum_distance_(km)",128,"MaxDispersalDistance","km","Sutherland (birds)","m/f","Max","natal dispersal",97.95943073,4,730,2
"Egretta thula","A10_P1","LAT","Ter","LE","Aves",-1.94,99.24094678,70.93750207,2.0773857,1.2331718,1.1810484,3.0333054,"110km",1.2446924,1.4194931,0.2377661,2.0979627,1.5762201,1.4469498,0.5758142,2.5834894,2.0773857,1.2331718,1.1810484,3.0333054,99.24094678,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",39.52959,-99.12988,7933705.8,2740.96,3067081.75,5808038.87,4311.58,-84,4227.58,755.84,"North America (US, CN, northern MX)",NA,"Egretta_thula","Egretta_thula","Egretta_thula","Animalia","Chordata","Aves","Ardeidae","GBIF:2480873","Find_Sci_Names","-1.94","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Contraction",-1.94,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","Raw","Maximum latitude of the 12 km radius survey circle where the species was documented","Extreme per band","Egretta thula","Pelecaniformes","arithmetic mean natal dispersal distance","Chu 2021","arimean",99.24094678,"MeanDispersalDistance","km","Chu 2021",NA,"Mean","natal dispersal",70.93750207,2,365,1
"Elanus leucurus","A10_P1","LAT","Ter","LE","Aves",0.11,80,80,1.360212,1.5797532,0.2726957,2.4721208,"110km",0.9080132,1.4540393,-0.0640612,1.8121451,1.0138165,1.6909709,-0.0550118,2.0782537,1.360212,1.5797532,0.2726957,2.4721208,160,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",39.52959,-99.12988,7933705.8,2740.96,3067081.75,5808038.87,4311.58,-84,4227.58,755.84,"North America (US, CN, northern MX)",NA,"Elanus_leucurus","Elanus_leucurus","Elanus_leucurus","Animalia","Chordata","Aves","Accipitridae","GBIF:2480367","Find_Sci_Names","0.11","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Expansion",0.11,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","Raw","Maximum latitude of the 12 km radius survey circle where the species was documented","Extreme per band","Elanus leucurus","Accipitriformes","natal dispersal","Dunk (1995)","Natal_dispersal_maximum_distance_(km)",160,"MaxDispersalDistance","km","Sutherland (birds)","m/f","Max","natal dispersal",160,2,726.936,2
"Eudocimus albus","A10_P1","LAT","Ter","LE","Aves",2.49,50,50,2.6138778,1.051719,1.8045168,3.4562492,"110km",2.2253894,1.2806635,1.2375426,3.1341558,2.4682004,1.2067776,1.523957,3.3114071,2.6138778,1.051719,1.8045168,3.4562492,100,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",39.52959,-99.12988,7933705.8,2740.96,3067081.75,5808038.87,4311.58,-84,4227.58,755.84,"North America (US, CN, northern MX)",NA,"Eudocimus_albus","Eudocimus_albus","Eudocimus_albus","Animalia","Chordata","Aves","Threskiornithidae","GBIF:5229205","Find_Sci_Names","2.49","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Expansion",2.49,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","Raw","Maximum latitude of the 12 km radius survey circle where the species was documented","Extreme per band","Eudocimus albus","Pelecaniformes","natal dispersal","Kushlan and Bildstein (1992)","Natal_dispersal_maximum_distance_(km)",100,"MaxDispersalDistance","km","Sutherland (birds)","m/f","Max","natal dispersal",100,2,730,2
"Falco columbarius","A10_P1","LAT","Ter","LE","Aves",0.12,81.1,34.91578643,1.5200918,1.5483138,0.4297621,2.5342457,"50km",1.1993333,1.4344526,0.175643,2.0544608,1.5200918,1.5483138,0.4297621,2.5342457,2.0059026,1.3934964,1.0888602,3.0804949,81.1,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",39.52959,-99.12988,7933705.8,2740.96,3067081.75,5808038.87,4311.58,-84,4227.58,755.84,"North America (US, CN, northern MX)",NA,"Falco_columbarius","Falco_columbarius","Falco_columbarius","Animalia","Chordata","Aves","Falconidae","GBIF:9813242","Find_Sci_Names","0.12","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Expansion",0.12,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","Raw","Maximum latitude of the 12 km radius survey circle where the species was documented","Extreme per band","Falco columbarius","Falconiformes","individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",81100,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Max","natal/breeding dispersal",34.91578643,5,365,1
