"x"
"Cyanistes caeruleus"
"Parus major"
"Passer montanus"
"Prunella modularis"
"Pyrrhula pyrrhula"
"Sterna hirundo"
"Streptopelia turtur"
"Strix aluco"
"Turdus merula"
"Turdus viscivorus"
