"scientificName_checked","ID","Type","Eco","Param","group","ShiftKmY","DispersalPotentialKmY","MedianDispersalPotentialKmY","ClimVeloKmY_RelScale","sdClimVeloKmY_RelScale","p90ClimVeloKmY_RelScale","p10ClimVeloKmY_RelScale","RelScale","ClimVeloKmY_25km","sdClimVeloKmY_25km","p90ClimVeloKmY_25km","p10ClimVeloKmY_25km","ClimVeloKmY_50km","sdClimVeloKmY_50km","p90ClimVeloKmY_50km","p10ClimVeloKmY_50km","ClimVeloKmY_110km","sdClimVeloKmY_110km","p90ClimVeloKmY_110km","p10ClimVeloKmY_110km","MaxDispersalDistanceKm","Article_ID","Study_ID","ID_BioShifts","ID_CoRE","Article","DOI","LatCentDeg","LonCentDeg","Areakm2","LatExtentk","EleExtentm","Eleminm","Elemaxm","Elemeanm","Study_area","Subsp_or_Pop","sp_name_publication","sp_name_database","sp_name_checked","kingdom","phylum","class","family","taxonID","taxon_method","Trend","unit","Significance","Magnitude","Angle","FigTable","START_firstperiod","MIDPOINT_firstperiod","END_firstperiod","START_secondperiod","MIDPOINT_secondperiod","END_secondperiod","Duration","Direction","Rate","UnitRate","Grain_size","N_periodes","Sampling","Category","Obs_type","Uncertainty_distribution","Position_definition","Position_definition_category","scientificName","order","ObservationTypeSpecific","DispersalSource","Field","DispersalDistance","Code","DispersalUnit","Database","Sex","type","ObservationTypeGeneral","MedianDispersalDistanceKm","NObs_MedianDispersalDistanceKm","AgeAtMaturityDays","YearOfMaturity","LimitingRate","LimitingRate_p90","what_is_limiting","what_is_limiting_p90","colour","colour_p90"
"Megascops asio","A110_P2","LAT","Ter","LE","Aves",0.102,159,158.5,3.01412145908062,0.252640869294432,3.23892045021057,2.65491151809692,"110km",1.8594872412172,0.904608256106822,2.79482262134552,1.05366920232773,2.56404834102701,1.04523151381666,3.76469271183014,1.74228945970535,3.01412145908062,0.252640869294432,3.23892045021057,2.65491151809692,159,"A110","P2",110,NA,"Greenlee_2012_Thesis","n/a",50.45795,-86.0461,994723.88,1566.97,2668.91,0,2668.91,597.24,"Ontario, Canada",NA,"Megascops_asio","Megascops_asio","Megascops_asio","Animalia","Chordata","Aves","Strigidae","GBIF:2497415","Find_Sci_Names","2.141","km","U",NA,NA,"Table S10, pgs. 150-154",1981,1983,1985,2001,2003,2005,21,"Expansion",0.102,"km/year","large",2,"TWO","CensusPeriods","occurrence","RAW","Latitude of northern range boundary calculated by generating full range boundary via convex hull (hull drawn around all observations so encompasses all furthest occurrences)","Range boundary","Megascops asio","Strigiformes","individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",159000,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Max","natal/breeding dispersal",158.5,3,365,1,3.01412145908062,3.23892045021057,"Climate","Climate",3.01412145908062,3.23892045021057
"Larus delawarensis","A110_P2","LAT","Ter","LE","Aves",0.7682,350,49,5.10646909342872,1.38457728028438,6.81541442871094,3.13582036495209,"110km",4.21833309066676,2.23733432702726,7.07746648788452,1.54509502649307,4.85327455650366,1.9017488933199,7.14066152572632,2.23054566383362,5.10646909342872,1.38457728028438,6.81541442871094,3.13582036495209,700,"A110","P2",110,NA,"Greenlee_2012_Thesis","n/a",50.45795,-86.0461,994723.88,1566.97,2668.91,0,2668.91,597.24,"Ontario, Canada",NA,"Larus_delawarensis","Larus_delawarensis","Larus_delawarensis","Animalia","Chordata","Aves","Laridae","GBIF:2481134","Find_Sci_Names","16.133","km","U",NA,NA,"Table S10, pgs. 150-154",1981,1983,1985,2001,2003,2005,21,"Expansion",0.7682,"km/year","large",2,"TWO","CensusPeriods","occurrence","RAW","Latitude of northern range boundary calculated by generating full range boundary via convex hull (hull drawn around all observations so encompasses all furthest occurrences)","Range boundary","Larus delawarensis","Charadriiformes","natal dispersal","Gabrey (1996)","Natal_dispersal_maximum_distance_(km)",700,"MaxDispersalDistance","km","Sutherland (birds)","m/f","Max","natal dispersal",98,5,730,2,5.10646909342872,6.81541442871094,"Climate","Climate",5.10646909342872,6.81541442871094
"Acrocephalus scirpaceus","A129_P1","LAT","Ter","LE","Aves",5.4762,271,32.4,0.397088429297913,0.243296387371222,0.686711922287941,0.202458468079567,"110km",0.0993897304656395,0.185826099073347,0.381454658508301,-0.0675073184072971,0.25119068763625,0.287270280744667,0.669806718826294,-0.0118272415362298,0.397088429297913,0.243296387371222,0.686711922287941,0.202458468079567,271,"A129","P1",129,301,"Mason_al_2015_BJLS","10.1111/bij.12574",54.05248,-2.67353,228277.63,879.94,1749,0,1749,153.28,"Great Britain",NA,"Acrocephalus_scirpaceus","Acrocephalus_scirpaceus","Acrocephalus_scirpaceus","Animalia","Chordata","Aves","Acrocephalidae","GBIF:2493118","Find_Sci_Names","115","km","U",NA,NA,"Table S4",1966,1970.5,1975,1986,1990.5,1995,21,"Expansion",5.4762,"km/year","large",2,"TWO","CensusPeriods","occurrence","RESAMPLING","Mean northing of the 10 most northerly occupied hectads","Mean of extremes","Acrocephalus scirpaceus","Passeriformes","individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",271000,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Max","natal/breeding dispersal",32.4,5,364.234,1,0.397088429297913,0.686711922287941,"Climate","Climate",0.397088429297913,0.686711922287941
"Alcedo atthis","A129_P1","LAT","Ter","LE","Aves",2.2857,101,9.5,0.39416590616107,0.230233248003148,0.626490235328675,0.203715342283249,"110km",0.0922457005779098,0.177163455799703,0.376788824796677,-0.0580905750393867,0.222417473526022,0.278593675780071,0.613414251804352,-0.0271088223904371,0.39416590616107,0.230233248003148,0.626490235328675,0.203715342283249,101,"A129","P1",129,301,"Mason_al_2015_BJLS","10.1111/bij.12574",54.05248,-2.67353,228277.63,879.94,1749,0,1749,153.28,"Great Britain",NA,"Alcedo_atthis","Alcedo_atthis","Alcedo_atthis","Animalia","Chordata","Aves","Alcedinidae","GBIF:2475532","Find_Sci_Names","48","km","U",NA,NA,"Table S4",1966,1970.5,1975,1986,1990.5,1995,21,"Expansion",2.2857,"km/year","large",2,"TWO","CensusPeriods","occurrence","RESAMPLING","Mean northing of the 10 most northerly occupied hectads","Mean of extremes","Alcedo atthis","Coraciiformes","individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",101000,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Max","natal/breeding dispersal",9.5,5,365,1,0.39416590616107,0.626490235328675,"Climate","Climate",0.39416590616107,0.626490235328675
"Carduelis carduelis","A129_P1","LAT","Ter","LE","Aves",3.7619,52.2,10.6,0.200992515782127,0.274058307640207,0.546640706062317,-0.0309337330982089,"50km",0.082592421842777,0.170109758073852,0.320267587900162,-0.0579720642417669,0.200992515782127,0.274058307640207,0.546640706062317,-0.0309337330982089,0.37833292675377,0.234804680160946,0.585814654827118,0.146933057904243,52.2,"A129","P1",129,301,"Mason_al_2015_BJLS","10.1111/bij.12574",54.05248,-2.67353,228277.63,879.94,1749,0,1749,153.28,"Great Britain",NA,"Carduelis_carduelis","Carduelis_carduelis","Carduelis_carduelis","Animalia","Chordata","Aves","Fringillidae","GBIF:2494686","Find_Sci_Names","79","km","U",NA,NA,"Table S4",1966,1970.5,1975,1986,1990.5,1995,21,"Expansion",3.7619,"km/year","large",2,"TWO","CensusPeriods","occurrence","RESAMPLING","Mean northing of the 10 most northerly occupied hectads","Mean of extremes","Carduelis carduelis","Passeriformes","individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",52200,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Max","natal/breeding dispersal",10.6,5,365,1,0.200992515782127,0.546640706062317,"Climate","Climate",0.200992515782127,0.546640706062317
"Garrulus glandarius","A129_P1","LAT","Ter","LE","Aves",1.9524,19,2.8,0.0895166190175206,0.175450436738475,0.365718752145767,-0.0580431707203388,"25km",0.0895166190175206,0.175450436738475,0.365718752145767,-0.0580431707203388,0.215040600114807,0.276352974789539,0.593558585643768,-0.0257872238755226,0.393476046478519,0.225609016026749,0.606152445077896,0.204134300351143,19,"A129","P1",129,301,"Mason_al_2015_BJLS","10.1111/bij.12574",54.05248,-2.67353,228277.63,879.94,1749,0,1749,153.28,"Great Britain",NA,"Garrulus_glandarius","Garrulus_glandarius","Garrulus_glandarius","Animalia","Chordata","Aves","Corvidae","GBIF:5229493","Find_Sci_Names","41","km","U",NA,NA,"Table S4",1966,1970.5,1975,1986,1990.5,1995,21,"Expansion",1.9524,"km/year","large",2,"TWO","CensusPeriods","occurrence","RESAMPLING","Mean northing of the 10 most northerly occupied hectads","Mean of extremes","Garrulus glandarius","Passeriformes","individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",19000,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Max","natal/breeding dispersal",2.8,5,364.234,1,0.0895166190175206,0.365718752145767,"Climate","Climate",0.0895166190175206,0.365718752145767
"Zootoca vivipara","A129_P1","LAT","Ter","LE","Squamata",1.8571,0.1,0.1,0.07945221,0.1683318,0.310156,-0.05806687,"25km",0.07945221,0.1683318,0.310156,-0.05806687,0.1960398,0.274711,0.5380432,-0.03659204,0.3644443,0.2418518,0.5654769,0.04557849,0.1,"A129","P1",129,301,"Mason_al_2015_BJLS","10.1111/bij.12574",54.05248,-2.67353,228277.63,879.94,1749,0,1749,153.28,"Great Britain",NA,"Lacerta_vivipara","Zootoca_vivipara","Zootoca_vivipara","Animalia","Chordata","Squamata","Lacertidae","GBIF:9702100","Find_Sci_Names | order from NCBI using taxize","39","km","U",NA,NA,"Table S4",1966,1970.5,1975,1986,1990.5,1995,21,"Expansion",1.8571,"km/year","large",2,"TWO","CensusPeriods","occurrence","RESAMPLING","Mean northing of the 10 most northerly occupied hectads","Mean of extremes","Zootoca vivipara",NA,"individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",100,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Max","natal/breeding dispersal",0.1,1,11,1,0.07945221,0.1,"Climate","Dispersal",0.07945221,NA
"Motacilla flava","A129_P1","LAT","Ter","LE","Aves",-0.9048,35.5,4.948,0.0929796775877866,0.178891119391106,0.377157700061798,-0.0641563728451729,"25km",0.0929796775877866,0.178891119391106,0.377157700061798,-0.0641563728451729,0.240206811694649,0.28122812198006,0.639216482639313,-0.0136969201266766,0.389598568746199,0.23400903371728,0.644452974200248,0.203296384215355,35.5,"A129","P1",129,301,"Mason_al_2015_BJLS","10.1111/bij.12574",54.05248,-2.67353,228277.63,879.94,1749,0,1749,153.28,"Great Britain",NA,"Motacilla_flava","Motacilla_flava","Motacilla_flava","Animalia","Chordata","Aves","Motacillidae","GBIF:9701857","Find_Sci_Names","-19","km","U",NA,NA,"Table S4",1966,1970.5,1975,1986,1990.5,1995,21,"Contraction",-0.9048,"km/year","large",2,"TWO","CensusPeriods","occurrence","RESAMPLING","Mean northing of the 10 most northerly occupied hectads","Mean of extremes","Motacilla flava","Passeriformes","individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",35500,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Max","natal/breeding dispersal",4.948,5,364.234,1,0.0929796775877866,0.377157700061798,"Climate","Climate",0.0929796775877866,0.377157700061798
"Natrix natrix","A129_P1","LAT","Ter","LE","Squamata",-2,0.0285,0.0285,0.129002628304685,0.149382180411764,0.319067600369453,-0.00309648644179106,"25km",0.129002628304685,0.149382180411764,0.319067600369453,-0.00309648644179106,0.601756941899657,0.581397940126301,1.06386988162994,-0.0362954162061215,0.707841396331787,NA,0.707841396331787,0.707841396331787,0.114,"A129","P1",129,301,"Mason_al_2015_BJLS","10.1111/bij.12574",54.05248,-2.67353,228277.63,879.94,1749,0,1749,153.28,"Great Britain",NA,"Natrix_natrix","Natrix_natrix","Natrix_natrix","Animalia","Chordata","Squamata","Colubridae","GBIF:6161347","Find_Sci_Names | order from NCBI using taxize","-42","km","U",NA,NA,"Table S4",1966,1970.5,1975,1986,1990.5,1995,21,"Contraction",-2,"km/year","large",2,"TWO","CensusPeriods","occurrence","RESAMPLING","Mean northing of the 10 most northerly occupied hectads","Mean of extremes","Natrix natrix",NA,"individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",114,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Max","natal/breeding dispersal",0.114,1,1277.875,4,0.0285,0.0285,"Dispersal","Dispersal",NA,NA
"Pica pica","A129_P1","LAT","Ter","LE","Aves",1.2857,22.15,0.65,0.0893801932204125,0.174849076615784,0.354210287332535,-0.0590171292424202,"25km",0.0893801932204125,0.174849076615784,0.354210287332535,-0.0590171292424202,0.208576741811001,0.275612681686875,0.573450922966003,-0.028858351521194,0.373481751097223,0.238070861885835,0.602194026112556,0.133156444877386,44.3,"A129","P1",129,301,"Mason_al_2015_BJLS","10.1111/bij.12574",54.05248,-2.67353,228277.63,879.94,1749,0,1749,153.28,"Great Britain",NA,"Pica_pica","Pica_pica","Pica_pica","Animalia","Chordata","Aves","Corvidae","GBIF:5229490","Find_Sci_Names","27","km","U",NA,NA,"Table S4",1966,1970.5,1975,1986,1990.5,1995,21,"Expansion",1.2857,"km/year","large",2,"TWO","CensusPeriods","occurrence","RESAMPLING","Mean northing of the 10 most northerly occupied hectads","Mean of extremes","Pica pica","Passeriformes","individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",44300,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Max","natal/breeding dispersal",1.3,7,637.601,2,0.0893801932204125,0.354210287332535,"Climate","Climate",0.0893801932204125,0.354210287332535
"Picus viridis","A129_P1","LAT","Ter","LE","Aves",3.2857,27.8,2.049,0.0910415259750921,0.176511268818286,0.371725082397461,-0.0594804063439369,"25km",0.0910415259750921,0.176511268818286,0.371725082397461,-0.0594804063439369,0.214006855857276,0.278978510667791,0.60026113986969,-0.0299528261646628,0.393476046478519,0.225609016026749,0.606152445077896,0.204134300351143,27.8,"A129","P1",129,301,"Mason_al_2015_BJLS","10.1111/bij.12574",54.05248,-2.67353,228277.63,879.94,1749,0,1749,153.28,"Great Britain",NA,"Picus_viridis","Picus_viridis","Picus_viridis","Animalia","Chordata","Aves","Picidae","GBIF:2478523","Find_Sci_Names","69","km","U",NA,NA,"Table S4",1966,1970.5,1975,1986,1990.5,1995,21,"Expansion",3.2857,"km/year","large",2,"TWO","CensusPeriods","occurrence","RESAMPLING","Mean northing of the 10 most northerly occupied hectads","Mean of extremes","Picus viridis","Piciformes","individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",27800,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Max","natal/breeding dispersal",2.049,5,364.234,1,0.0910415259750921,0.371725082397461,"Climate","Climate",0.0910415259750921,0.371725082397461
"Poecile palustris","A129_P1","LAT","Ter","LE","Aves",0.619,4.6,2.85,0.113051409284076,0.197079306274985,0.406241053342819,-0.0595083981752396,"25km",0.113051409284076,0.197079306274985,0.406241053342819,-0.0595083981752396,0.266447735100519,0.30245416310278,0.735723805427553,-0.0164598515257239,0.445812068441335,0.24134622439565,0.801809239387512,0.219137480854988,4.6,"A129","P1",129,301,"Mason_al_2015_BJLS","10.1111/bij.12574",54.05248,-2.67353,228277.63,879.94,1749,0,1749,153.28,"Great Britain",NA,"Poecile_palustris","Poecile_palustris","Poecile_palustris","Animalia","Chordata","Aves","Paridae","GBIF:2487843","Find_Sci_Names","13","km","U",NA,NA,"Table S4",1966,1970.5,1975,1986,1990.5,1995,21,"Expansion",0.619,"km/year","large",2,"TWO","CensusPeriods","occurrence","RESAMPLING","Mean northing of the 10 most northerly occupied hectads","Mean of extremes","Poecile palustris","Passeriformes","natal dispersal","Nilsson (1989)","Natal_dispersal_maximum_distance_(km)",4.6,"MaxDispersalDistance","km","Sutherland (birds)","m","Max","natal dispersal",2.85,2,364.234,1,0.113051409284076,0.406241053342819,"Climate","Climate",0.113051409284076,0.406241053342819
"Sitta europaea","A129_P1","LAT","Ter","LE","Aves",0.5714,24.1,1.4515,0.1142134,0.1973567,0.4058194,-0.05879949,"25km",0.1142134,0.1973567,0.4058194,-0.05879949,0.262098,0.3025277,0.7198386,-0.01536323,0.4458121,0.2413462,0.8018092,0.2191375,24.1,"A129","P1",129,301,"Mason_al_2015_BJLS","10.1111/bij.12574",54.05248,-2.67353,228277.63,879.94,1749,0,1749,153.28,"Great Britain",NA,"Sitta_europaea","Sitta_europaea","Sitta_europaea","Animalia","Chordata","Aves","Sittidae","GBIF:2484916","Find_Sci_Names","12","km","U",NA,NA,"Table S4",1966,1970.5,1975,1986,1990.5,1995,21,"Expansion",0.5714,"km/year","large",2,"TWO","CensusPeriods","occurrence","RESAMPLING","Mean northing of the 10 most northerly occupied hectads","Mean of extremes","Sitta europaea","Passeriformes","individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",24100,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Max","natal/breeding dispersal",1.4515,6,364.234,1,0.1142134,0.4058194,"Climate","Climate",0.1142134,0.4058194
"Tyto alba","A129_P1","LAT","Ter","LE","Aves",0.3333,97.1,16.9,0.393476,0.225609,0.6061524,0.2041343,"110km",0.08917489,0.1759731,0.3695549,-0.05809058,0.2106257,0.2759432,0.5801535,-0.02913197,0.393476,0.225609,0.6061524,0.2041343,97.1,"A129","P1",129,301,"Mason_al_2015_BJLS","10.1111/bij.12574",54.05248,-2.67353,228277.63,879.94,1749,0,1749,153.28,"Great Britain",NA,"Tyto_alba","Tyto_alba","Tyto_alba","Animalia","Chordata","Aves","Tytonidae","GBIF:2497921","Find_Sci_Names","7","km","U",NA,NA,"Table S4",1966,1970.5,1975,1986,1990.5,1995,21,"Expansion",0.3333,"km/year","large",2,"TWO","CensusPeriods","occurrence","RESAMPLING","Mean northing of the 10 most northerly occupied hectads","Mean of extremes","Tyto alba","Strigiformes","individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",97100,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Max","natal/breeding dispersal",16.9,7,365,1,0.393476,0.6061524,"Climate","Climate",0.393476,0.6061524
"Accipiter gentilis","A129_P3","LAT","Ter","LE","Aves",3,1150,35.30395999,4.26656417610745,1.84620102843245,6.19116339683533,2.37421219348907,"110km",0.78104170876049,1.71363644952694,2.98561313152313,-1.12315142154694,2.24314290800843,2.98456223369658,5.66562252044678,-0.827841544151306,4.26656417610745,1.84620102843245,6.19116339683533,2.37421219348907,1150,"A129","P3",129,301,"Mason_al_2015_BJLS","10.1111/bij.12574",54.05248,-2.67353,228277.63,879.94,1749,0,1749,153.28,"Great Britain",NA,"Accipiter_gentilis","Accipiter_gentilis","Accipiter_gentilis","Animalia","Chordata","Aves","Accipitridae","GBIF:2480589","Find_Sci_Names","48","km","U",NA,NA,"Table S5",1986,1990.5,1995,2001,2005.5,2010,16,"Expansion",3,"km/year","large",2,"TWO","CensusPeriods","occurrence","RESAMPLING","Mean northing of the 10 most northerly occupied hectads","Mean of extremes","Accipiter gentilis","Accipitriformes","natal dispersal","Marcström and Kenward (1981), Mueller and Berger (1967)","Natal_dispersal_maximum_distance_(km)",1150,"MaxDispersalDistance","km","Sutherland (birds)","m/f","Max","natal dispersal",35.30395999,7,365,1,4.26656417610745,6.19116339683533,"Climate","Climate",4.26656417610745,6.19116339683533
"Acrocephalus scirpaceus","A129_P3","LAT","Ter","LE","Aves",3.875,271,32.4,3.97319892929359,1.63752602118357,6.12065043449402,2.33197829723358,"110km",0.979117852498654,1.9380868229286,3.39368016719818,-1.17440996170044,2.77266715565062,2.54333999738771,5.66722722053528,-0.250497880578041,3.97319892929359,1.63752602118357,6.12065043449402,2.33197829723358,271,"A129","P3",129,301,"Mason_al_2015_BJLS","10.1111/bij.12574",54.05248,-2.67353,228277.63,879.94,1749,0,1749,153.28,"Great Britain",NA,"Acrocephalus_scirpaceus","Acrocephalus_scirpaceus","Acrocephalus_scirpaceus","Animalia","Chordata","Aves","Acrocephalidae","GBIF:2493118","Find_Sci_Names","62","km","U",NA,NA,"Table S5",1986,1990.5,1995,2001,2005.5,2010,16,"Expansion",3.875,"km/year","large",2,"TWO","CensusPeriods","occurrence","RESAMPLING","Mean northing of the 10 most northerly occupied hectads","Mean of extremes","Acrocephalus scirpaceus","Passeriformes","individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",271000,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Max","natal/breeding dispersal",32.4,5,364.234,1,3.97319892929359,6.12065043449402,"Climate","Climate",3.97319892929359,6.12065043449402
"Alcedo atthis","A129_P3","LAT","Ter","LE","Aves",1.375,101,9.5,4.30075329363346,1.81539569738689,6.18756942749024,2.39532914161682,"110km",0.926813495873737,1.86976555173174,3.28108310699463,-1.16992771625519,2.33816685536962,2.78506863512051,5.53432178497314,-0.555748581886291,4.30075329363346,1.81539569738689,6.18756942749024,2.39532914161682,101,"A129","P3",129,301,"Mason_al_2015_BJLS","10.1111/bij.12574",54.05248,-2.67353,228277.63,879.94,1749,0,1749,153.28,"Great Britain",NA,"Alcedo_atthis","Alcedo_atthis","Alcedo_atthis","Animalia","Chordata","Aves","Alcedinidae","GBIF:2475532","Find_Sci_Names","22","km","U",NA,NA,"Table S5",1986,1990.5,1995,2001,2005.5,2010,16,"Expansion",1.375,"km/year","large",2,"TWO","CensusPeriods","occurrence","RESAMPLING","Mean northing of the 10 most northerly occupied hectads","Mean of extremes","Alcedo atthis","Coraciiformes","individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",101000,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Max","natal/breeding dispersal",9.5,5,365,1,4.30075329363346,6.18756942749024,"Climate","Climate",4.30075329363346,6.18756942749024
"Columba oenas","A129_P3","LAT","Ter","LE","Aves",2.6875,41.6,5.6,0.916275772405569,1.87941815895177,3.26492483615875,-1.13056324720383,"25km",0.916275772405569,1.87941815895177,3.26492483615875,-1.13056324720383,2.63939958379504,2.50420684164306,5.57363224029541,-0.259224754571915,4.0654647902896,1.59567480725509,6.0299400806427,2.37421219348907,41.6,"A129","P3",129,301,"Mason_al_2015_BJLS","10.1111/bij.12574",54.05248,-2.67353,228277.63,879.94,1749,0,1749,153.28,"Great Britain",NA,"Columba_oenas","Columba_oenas","Columba_oenas","Animalia","Chordata","Aves","Columbidae","GBIF:2495471","Find_Sci_Names","43","km","U",NA,NA,"Table S5",1986,1990.5,1995,2001,2005.5,2010,16,"Expansion",2.6875,"km/year","large",2,"TWO","CensusPeriods","occurrence","RESAMPLING","Mean northing of the 10 most northerly occupied hectads","Mean of extremes","Columba oenas","Columbiformes","individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",41600,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Max","natal/breeding dispersal",5.6,5,364.234,1,0.916275772405569,3.26492483615875,"Climate","Climate",0.916275772405569,3.26492483615875
"Garrulus glandarius","A129_P3","LAT","Ter","LE","Aves",1.375,19,2.8,0.894080516328282,1.86163242433737,3.2238938331604,-1.17505028247833,"25km",0.894080516328282,1.86163242433737,3.2238938331604,-1.17505028247833,2.25239046250132,2.77367562000102,5.46219539642334,-0.637647688388824,4.2875303081595,1.77999469311938,6.18397545814514,2.41644608974457,19,"A129","P3",129,301,"Mason_al_2015_BJLS","10.1111/bij.12574",54.05248,-2.67353,228277.63,879.94,1749,0,1749,153.28,"Great Britain",NA,"Garrulus_glandarius","Garrulus_glandarius","Garrulus_glandarius","Animalia","Chordata","Aves","Corvidae","GBIF:5229493","Find_Sci_Names","22","km","U",NA,NA,"Table S5",1986,1990.5,1995,2001,2005.5,2010,16,"Expansion",1.375,"km/year","large",2,"TWO","CensusPeriods","occurrence","RESAMPLING","Mean northing of the 10 most northerly occupied hectads","Mean of extremes","Garrulus glandarius","Passeriformes","individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",19000,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Max","natal/breeding dispersal",2.8,5,364.234,1,0.894080516328282,3.2238938331604,"Climate","Climate",0.894080516328282,3.2238938331604
"Motacilla flava","A129_P3","LAT","Ter","LE","Aves",-1,35.5,4.948,0.909153578221966,1.88787665488378,3.26492483615875,-1.16450328826904,"25km",0.909153578221966,1.88787665488378,3.26492483615875,-1.16450328826904,2.62477772368468,2.61064179973976,5.58673572540283,-0.292902320623398,4.07417428058883,1.60224519944,6.0299400806427,2.37421219348907,35.5,"A129","P3",129,301,"Mason_al_2015_BJLS","10.1111/bij.12574",54.05248,-2.67353,228277.63,879.94,1749,0,1749,153.28,"Great Britain",NA,"Motacilla_flava","Motacilla_flava","Motacilla_flava","Animalia","Chordata","Aves","Motacillidae","GBIF:9701857","Find_Sci_Names","-16","km","U",NA,NA,"Table S5",1986,1990.5,1995,2001,2005.5,2010,16,"Contraction",-1,"km/year","large",2,"TWO","CensusPeriods","occurrence","RESAMPLING","Mean northing of the 10 most northerly occupied hectads","Mean of extremes","Motacilla flava","Passeriformes","individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",35500,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Max","natal/breeding dispersal",4.948,5,364.234,1,0.909153578221966,3.26492483615875,"Climate","Climate",0.909153578221966,3.26492483615875
"Picus viridis","A129_P3","LAT","Ter","LE","Aves",-1.6875,27.8,2.049,0.887021217468622,1.87142950952885,3.21557290554047,-1.18023940324783,"25km",0.887021217468622,1.87142950952885,3.21557290554047,-1.18023940324783,2.20740417340338,2.84680350516917,5.49170684814453,-0.851534789800644,4.2875303081595,1.77999469311938,6.18397545814514,2.41644608974457,27.8,"A129","P3",129,301,"Mason_al_2015_BJLS","10.1111/bij.12574",54.05248,-2.67353,228277.63,879.94,1749,0,1749,153.28,"Great Britain",NA,"Picus_viridis","Picus_viridis","Picus_viridis","Animalia","Chordata","Aves","Picidae","GBIF:2478523","Find_Sci_Names","-27","km","U",NA,NA,"Table S5",1986,1990.5,1995,2001,2005.5,2010,16,"Contraction",-1.6875,"km/year","large",2,"TWO","CensusPeriods","occurrence","RESAMPLING","Mean northing of the 10 most northerly occupied hectads","Mean of extremes","Picus viridis","Piciformes","individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",27800,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Max","natal/breeding dispersal",2.049,5,364.234,1,0.887021217468622,3.21557290554047,"Climate","Climate",0.887021217468622,3.21557290554047
"Poecile palustris","A129_P3","LAT","Ter","LE","Aves",-0.6875,4.6,2.85,1.05856648467475,1.95654951261529,3.52085886001587,-0.92453180551529,"25km",1.05856648467475,1.95654951261529,3.52085886001587,-0.92453180551529,2.75135082359193,2.52941050125474,5.29723553657532,-0.198136636614799,4.2234656530268,1.45330700343755,6.18038148880005,2.60151734352112,4.6,"A129","P3",129,301,"Mason_al_2015_BJLS","10.1111/bij.12574",54.05248,-2.67353,228277.63,879.94,1749,0,1749,153.28,"Great Britain",NA,"Poecile_palustris","Poecile_palustris","Poecile_palustris","Animalia","Chordata","Aves","Paridae","GBIF:2487843","Find_Sci_Names","-11","km","U",NA,NA,"Table S5",1986,1990.5,1995,2001,2005.5,2010,16,"Contraction",-0.6875,"km/year","large",2,"TWO","CensusPeriods","occurrence","RESAMPLING","Mean northing of the 10 most northerly occupied hectads","Mean of extremes","Poecile palustris","Passeriformes","natal dispersal","Nilsson (1989)","Natal_dispersal_maximum_distance_(km)",4.6,"MaxDispersalDistance","km","Sutherland (birds)","m","Max","natal dispersal",2.85,2,364.234,1,1.05856648467475,3.52085886001587,"Climate","Climate",1.05856648467475,3.52085886001587
