"ID","mean_cv_studylevel","sd_cv_studylevel","Article_ID","Study_ID","ID_BioShifts","ID_CoRE","Article","DOI","LatCentDeg","LonCentDeg","Areakm2","LatExtentk","EleExtentm","Eleminm","Elemaxm","Elemeanm","Study_area","Subsp_or_Pop","Eco","Type","Param","sp_name_publication","sp_name_database","sp_name_checked","kingdom","phylum","class","family","taxonID","Trend","unit","Significance","Magnitude","Angle","FigTable","START_firstperiod","MIDPOINT_firstperiod","END_firstperiod","START_secondperiod","MIDPOINT_secondperiod","END_secondperiod","Duration","Direction","Rate","UnitRate","Grain_size","N_periodes","Sampling","Category","Obs_type","Uncertainty_distribution","Position_definition","Position_definition_category","scientificName","cv_res","species_studyid","cv_type","mean_cv_sppspecific","sd_cv_sppspecific","order","ObservationTypeSpecific","DispersalSource","Field","DispersalDistance","Code","DispersalUnit","Database","Sex","group","type","ObservationTypeGeneral","DispersalDistanceKm","MaxDispersalDistanceKm","AgeAtMaturityDays","YearOfMaturity","DispersalPotentialKmY","DispersalPotentialmY","DispersalDistancem","tracking_climate","is_contraction","annual_dispersal_pot","ShiftKmY","ClimVeloTKmY_study","ClimVeloTKmY_spp","AnnualDispPotKmY","LimitingRate","what_is_limiting","colour","range_source","Area_m2_ID","Area_m2_range","BodySize"
"A10_P1",1.23522004446367,1.59876176831349,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",-99.12988,39.52959,7933705.8,2740.96,5044.43,0,5044.43,752.03,"North America (US, CN, northern MX)",NA,"Ter","LAT","LE","Bucephala_clangula","Bucephala_clangula","Bucephala_clangula","Animalia","Chordata","Aves","Anatidae","Find_Sci_Names","0.09","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Expansion",0.09,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","RAW","Maximum latitude of the 12 km radius survey circle where the species was documented","Furthest occurrence","Bucephala clangula","25km","Bucephala clangula_A10_P1","mat_25km_gVelLat",1.19254192307664,1.51284347906814,"Anseriformes","natal dispersal","Dow and Fredga (1983)","Natal_dispersal_maximum_distance_(km)",6,"MaxDispersalDistance","km","Sutherland (birds)","f","Birds","Max","natal dispersal",6,6,730,2,3,3000,6000,TRUE,"NO",3,0.09,1.23522004446367,1.19254192307664,3,1.19254192307664,"Climate",1.19254192307664,"IUCN",7933705804790.3,37077821526122.8,34.1
"A10_P1",1.23522004446367,1.59876176831349,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",-99.12988,39.52959,7933705.8,2740.96,5044.43,0,5044.43,752.03,"North America (US, CN, northern MX)",NA,"Ter","LAT","LE","Buteo_jamaicensis","Buteo_jamaicensis","Buteo_jamaicensis","Animalia","Chordata","Aves","Accipitridae","Find_Sci_Names","-2.91","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Contraction",-2.91,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","RAW","Maximum latitude of the 12 km radius survey circle where the species was documented","Furthest occurrence","Buteo jamaicensis","25km","Buteo jamaicensis_A10_P1","mat_25km_gVelLat",1.19626613366523,1.4993458077668,"Accipitriformes","arithmetic mean natal dispersal distance","Chu 2021","arimean",200.1409502,"MeanDispersalDistance","km","Chu 2021",NA,"Birds","Mean","natal dispersal",200.1409502,200.1409502,730,2,100.0704751,100070.4751,200140.9502,FALSE,"YES",100.0704751,-2.91,1.23522004446367,1.19626613366523,100.0704751,1.19626613366523,"Climate",1.19626613366523,"BOTW",7933705804790.3,15893934471610.5,80.9
"A10_P1",1.23522004446367,1.59876176831349,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",-99.12988,39.52959,7933705.8,2740.96,5044.43,0,5044.43,752.03,"North America (US, CN, northern MX)",NA,"Ter","LAT","LE","Buteo_lineatus","Buteo_lineatus","Buteo_lineatus","Animalia","Chordata","Aves","Accipitridae","Find_Sci_Names","2.33","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Expansion",2.33,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","RAW","Maximum latitude of the 12 km radius survey circle where the species was documented","Furthest occurrence","Buteo lineatus","25km","Buteo lineatus_A10_P1","mat_25km_gVelLat",1.92097691968281,1.56716643921425,"Accipitriformes","arithmetic mean natal dispersal distance","Chu 2021","arimean",36.36132188,"MeanDispersalDistance","km","Chu 2021",NA,"Birds","Mean","natal dispersal",36.36132188,36.36132188,365,1,36.36132188,36361.32188,36361.32188,TRUE,"NO",36.36132188,2.33,1.23522004446367,1.92097691968281,36.36132188,1.92097691968281,"Climate",1.92097691968281,"BOTW",7933705804790.3,4090576966929.38,74.1
"A10_P1",1.23522004446367,1.59876176831349,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",-99.12988,39.52959,7933705.8,2740.96,5044.43,0,5044.43,752.03,"North America (US, CN, northern MX)",NA,"Ter","LAT","LE","Campylorhynchus_brunneicapillus","Campylorhynchus_brunneicapillus","Campylorhynchus_brunneicapillus","Animalia","Chordata","Aves","Troglodytidae","Find_Sci_Names","3.78","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Expansion",3.78,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","RAW","Maximum latitude of the 12 km radius survey circle where the species was documented","Furthest occurrence","Campylorhynchus brunneicapillus","25km","Campylorhynchus brunneicapillus_A10_P1","mat_25km_gVelLat",0.95437696560952,1.46251238208485,"Passeriformes","geometric/arithmetic mean natal dispersal distance","Chu 2021","geom/arimean",0.457560115,"MeanDispersalDistance","km","Chu 2021",NA,"Birds","Mean","natal dispersal",0.457560115,0.457560115,243,1,0.457560115,457.560115,457.560115,TRUE,"NO",0.457560115,3.78,1.23522004446367,0.95437696560952,0.457560115,0.457560115,"Dispersal",NA,"BOTW",7933705804790.3,1847263759033,26.2
"A10_P1",1.23522004446367,1.59876176831349,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",-99.12988,39.52959,7933705.8,2740.96,5044.43,0,5044.43,752.03,"North America (US, CN, northern MX)",NA,"Ter","LAT","LE","Chen_caerulescens","Chen_caerulescens","Anser_caerulescens","Animalia","Chordata","Aves","Anatidae","Find_Sci_Names","-2.55","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Contraction",-2.55,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","RAW","Maximum latitude of the 12 km radius survey circle where the species was documented","Furthest occurrence","Anser caerulescens","25km","Anser caerulescens_A10_P1","mat_25km_gVelLat",1.53669047590647,1.64444337352751,"Anseriformes","arithmetic mean natal dispersal distance","Chu 2021","arimean",512.5718561,"MeanDispersalDistance","km","Chu 2021",NA,"Birds","Mean","natal dispersal",512.5718561,512.5718561,730,2,256.28592805,256285.92805,512571.8561,FALSE,"YES",256.28592805,-2.55,1.23522004446367,1.53669047590647,256.28592805,1.53669047590647,"Climate",1.53669047590647,"IUCN",7933705804790.3,9421487241215.22,76.7
"A10_P1",1.23522004446367,1.59876176831349,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",-99.12988,39.52959,7933705.8,2740.96,5044.43,0,5044.43,752.03,"North America (US, CN, northern MX)",NA,"Ter","LAT","LE","Circus_cyaneus","Circus_cyaneus","Circus_cyaneus","Animalia","Chordata","Aves","Accipitridae","Find_Sci_Names","-2.28","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Contraction",-2.28,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","RAW","Maximum latitude of the 12 km radius survey circle where the species was documented","Furthest occurrence","Circus cyaneus","25km","Circus cyaneus_A10_P1","mat_25km_gVelLat",1.22410899350227,1.51463305741199,"Accipitriformes","individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",60800,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Birds","Max","natal/breeding dispersal",60.8,60.8,365,1,60.8,60800,60800,FALSE,"YES",60.8,-2.28,1.23522004446367,1.22410899350227,60.8,1.22410899350227,"Climate",1.22410899350227,"GBIF occurrence",7933705804790.3,53414379907118.7,77.05
"A10_P1",1.23522004446367,1.59876176831349,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",-99.12988,39.52959,7933705.8,2740.96,5044.43,0,5044.43,752.03,"North America (US, CN, northern MX)",NA,"Ter","LAT","LE","Corvus_brachyrhynchos","Corvus_brachyrhynchos","Corvus_brachyrhynchos","Animalia","Chordata","Aves","Corvidae","Find_Sci_Names","6.9","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Expansion",6.9,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","RAW","Maximum latitude of the 12 km radius survey circle where the species was documented","Furthest occurrence","Corvus brachyrhynchos","25km","Corvus brachyrhynchos_A10_P1","mat_25km_gVelLat",1.2107399767935,1.49459944467513,"Passeriformes","geometric/arithmetic mean natal dispersal distance","Chu 2021","geom/arimean",51.76120295,"MeanDispersalDistance","km","Chu 2021",NA,"Birds","Mean","natal dispersal",51.76120295,51.76120295,730,2,25.880601475,25880.601475,51761.20295,TRUE,"NO",25.880601475,6.9,1.23522004446367,1.2107399767935,25.880601475,1.2107399767935,"Climate",1.2107399767935,"BOTW",7933705804790.3,12113678307089.7,59.3
"A10_P1",1.23522004446367,1.59876176831349,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",-99.12988,39.52959,7933705.8,2740.96,5044.43,0,5044.43,752.03,"North America (US, CN, northern MX)",NA,"Ter","LAT","LE","Cygnus_buccinator","Cygnus_buccinator","Cygnus_buccinator","Animalia","Chordata","Aves","Anatidae","Find_Sci_Names","8.89","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Expansion",8.89,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","RAW","Maximum latitude of the 12 km radius survey circle where the species was documented","Furthest occurrence","Cygnus buccinator","25km","Cygnus buccinator_A10_P1","mat_25km_gVelLat",1.47438638703606,1.9191178682239,"Anseriformes","natal dispersal","Mitchell (1994)","Natal_dispersal_maximum_distance_(km)",128,"MaxDispersalDistance","km","Sutherland (birds)","m/f","Birds","Max","natal dispersal",128,128,730,2,64,64000,128000,TRUE,"NO",64,8.89,1.23522004446367,1.47438638703606,64,1.47438638703606,"Climate",1.47438638703606,"IUCN",7933705804790.3,1616822261572.5,108.8
"A10_P1",1.23522004446367,1.59876176831349,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",-99.12988,39.52959,7933705.8,2740.96,5044.43,0,5044.43,752.03,"North America (US, CN, northern MX)",NA,"Ter","LAT","LE","Egretta_thula","Egretta_thula","Egretta_thula","Animalia","Chordata","Aves","Ardeidae","Find_Sci_Names","-1.94","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Contraction",-1.94,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","RAW","Maximum latitude of the 12 km radius survey circle where the species was documented","Furthest occurrence","Egretta thula","25km","Egretta thula_A10_P1","mat_25km_gVelLat",1.20456916014352,1.48786961293797,"Pelecaniformes","arithmetic mean natal dispersal distance","Chu 2021","arimean",99.24094678,"MeanDispersalDistance","km","Chu 2021",NA,"Birds","Mean","natal dispersal",99.24094678,99.24094678,365,1,99.24094678,99240.94678,99240.94678,FALSE,"YES",99.24094678,-1.94,1.23522004446367,1.20456916014352,99.24094678,1.20456916014352,"Climate",1.20456916014352,"IUCN",7933705804790.3,22001375466597.7,93.3
"A10_P1",1.23522004446367,1.59876176831349,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",-99.12988,39.52959,7933705.8,2740.96,5044.43,0,5044.43,752.03,"North America (US, CN, northern MX)",NA,"Ter","LAT","LE","Elanus_leucurus","Elanus_leucurus","Elanus_leucurus","Animalia","Chordata","Aves","Accipitridae","Find_Sci_Names","0.11","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Expansion",0.11,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","RAW","Maximum latitude of the 12 km radius survey circle where the species was documented","Furthest occurrence","Elanus leucurus","25km","Elanus leucurus_A10_P1","mat_25km_gVelLat",0.897848448213311,1.48746333734061,"Accipitriformes","natal dispersal","Dunk (1995)","Natal_dispersal_maximum_distance_(km)",160,"MaxDispersalDistance","km","Sutherland (birds)","m/f","Birds","Max","natal dispersal",160,160,726.936,2,80,80000,160000,TRUE,"NO",80,0.11,1.23522004446367,0.897848448213311,80,0.897848448213311,"Climate",0.897848448213311,"IUCN",7933705804790.3,12522294437715.3,31.8
