"reported_name","m","sd","med","q025","q975","n","reported_name_fixed","scientificName","kingdom","phylum","class","order","family","db","db_code"
"Achillea atrata",13.1428571428571,6.68776423599027,11.5,5.45,23.875,7,"Achillea atrata","Achillea atrata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3120203"
"Achillea clavennae",15.2857142857143,8.58223525107311,15,5.45,28.875,7,"Achillea clavennae","Achillea clavennae","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3120117"
"Achillea erba-rotta",14,5.16397779494322,15,6.125,20,10,"Achillea erba-rotta","Achillea erba-rotta","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:9536147"
"Achillea millefolium",22.5434951277808,19.059341299063,15.5,1.9925,68.0675,518,"Achillea millefolium","Achillea millefolium","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3120060"
"Achillea ptarmica",67.6764705882353,35.216713528731,65,17,132,17,"Achillea ptarmica","Achillea ptarmica","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3120333"
"Acmispon glaber",105.2,25.2824049488968,92,92,145,5,"Acmispon glaber","Acmispon glaber","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:7274828"
"Aconitum columbianum",152.4,NA,152.4,152.4,152.4,1,"Aconitum columbianum","Aconitum columbianum","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","gbif","GBIF:3033668"
"Aconitum lycoctonum",68.8548387096774,24.9673765636904,65,38.75,128.75,31,"Aconitum lycoctonum","Aconitum lycoctonum","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","gbif","GBIF:3033675"
"Aconitum napellus",93.9827586206897,35.2851857721533,100,48.5,165,29,"Aconitum napellus","Aconitum napellus","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","gbif","GBIF:3033665"
"Actaea rubra",33.1333333333333,23.4028895244848,25,9.4,86.7,15,"Actaea rubra","Actaea rubra","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","gbif","GBIF:5371704"
