"reported_name","m","sd","med","q025","q975","n","reported_name_fixed","scientificName","kingdom","phylum","class","order","family","db","db_code"
"Clinopodium vulgare",39.6673846153846,16.7349000292916,36,20,80,65,"Clinopodium vulgare","Clinopodium vulgare","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","gbif","GBIF:2926945"
"Clintonia borealis",33.528,NA,33.528,33.528,33.528,1,"Clintonia borealis","Clintonia borealis","Plantae","Tracheophyta","Liliopsida","Liliales","Liliaceae","gbif","GBIF:2753574"
"Cocculus orbiculatus",333.333333333333,57.7350269189626,300,300,395,3,"Cocculus orbiculatus","Cocculus orbiculatus","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Menispermaceae","gbif","GBIF:3033943"
"Cochlearia danica",10.2777777777778,6.96255155693705,8,3,22.875,18,"Cochlearia danica","Cochlearia danica","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","gbif","GBIF:5373254"
"Colchicum autumnale",23.5533333333333,14.4997471242317,22.5,5,43.6,15,"Colchicum autumnale","Colchicum autumnale","Plantae","Tracheophyta","Liliopsida","Liliales","Colchicaceae","gbif","GBIF:2739622"
"Coleogyne ramosissima",129.213333333333,34.9122939187139,120,85,179.07,6,"Coleogyne ramosissima","Coleogyne ramosissima","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","gbif","GBIF:3032187"
"Collinsia parviflora",30.48,0,30.48,30.48,30.48,2,"Collinsia parviflora","Collinsia parviflora","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","gbif","GBIF:5414960"
"Collomia grandiflora",40,12.2474487139159,40,26.125,53.875,4,"Collomia grandiflora","Collomia grandiflora","Plantae","Tracheophyta","Magnoliopsida","Ericales","Polemoniaceae","gbif","GBIF:2927556"
"Collomia linearis",20.75,11.4418821295566,20.5,7.975,33.95,4,"Collomia linearis","Collomia linearis","Plantae","Tracheophyta","Magnoliopsida","Ericales","Polemoniaceae","gbif","GBIF:2927552"
"Colubrina californica",150,NA,150,150,150,1,"Colubrina californica","Colubrina californica","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rhamnaceae","gbif","GBIF:5372472"
"Comandra umbellata",24.5392857142857,3.07846942911149,24.1,22.1625,34.0375,56,"Comandra umbellata","Comandra umbellata","Plantae","Tracheophyta","Magnoliopsida","Santalales","Comandraceae","gbif","GBIF:2889777"
"Comarum palustre",43,24.4087991036882,42.5,15,95.25,20,"Comarum palustre","Comarum palustre","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","gbif","GBIF:3020532"
"Comastoma tenellum",230.454545454545,752.727920783647,2.5,1,1877.5,11,"Comastoma tenellum","Comastoma tenellum","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Gentianaceae","gbif","GBIF:3840575"
"Commelina diffusa",30.48,NA,30.48,30.48,30.48,1,"Commelina diffusa","Commelina diffusa","Plantae","Tracheophyta","Liliopsida","Commelinales","Commelinaceae","gbif","GBIF:2764202"
"Condalia globosa",609.6,NA,609.6,609.6,609.6,1,"Condalia globosa","Condalia globosa","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rhamnaceae","gbif","GBIF:5372436"
"Conium maculatum",177.666666666667,83.4280414203647,180,57,300,15,"Conium maculatum","Conium maculatum","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","gbif","GBIF:3034807"
"Conopodium majus",36.53125,23.0965139866027,36.25,8,78.75,16,"Conopodium majus","Conopodium majus","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","gbif","GBIF:6026760"
"Convallaria majalis",20.9070588235294,5.56978698504921,24.384,10,28,17,"Convallaria majalis","Convallaria majalis","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","gbif","GBIF:7459480"
"Convolvulus arvensis",41.7571428571429,43.71251727671,20,1.2,150,49,"Convolvulus arvensis","Convolvulus arvensis","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","gbif","GBIF:2928390"
"Coprosma",400,282.842712474619,400,210,590,2,"Coprosma",NA,NA,NA,NA,NA,NA,NA,NA
"Coptis trifolia",10,NA,10,10,10,1,"Coptis trifolia","Coptis trifolia","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","gbif","GBIF:3033632"
"Corallorhiza trifida",17.375,9.42545944314046,19,7,29.125,8,"Corallorhiza trifida","Corallorhiza trifida","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","gbif","GBIF:2797313"
"Coreopsis tinctoria",22.4971428571429,19.6999028278967,15,6,68.22,21,"Coreopsis tinctoria","Coreopsis tinctoria","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3133950"
"Corethrogyne filaginifolia",100,NA,100,100,100,1,"Corethrogyne filaginifolia","Corethrogyne filaginifolia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3118138"
"Coriaria myrtifolia",154.166666666667,87.2018730685681,137.5,56.25,287.5,6,"Coriaria myrtifolia","Coriaria myrtifolia","Plantae","Tracheophyta","Magnoliopsida","Cucurbitales","Coriariaceae","gbif","GBIF:3701787"
"Cornus alternifolia",758.036363636364,118.997876222454,762,600,910.8,11,"Cornus alternifolia","Cornus alternifolia","Plantae","Tracheophyta","Magnoliopsida","Cornales","Cornaceae","gbif","GBIF:3082242"
"Cornus canadensis",15.1057142857143,7.05450615868022,14,7.325,30.125,14,"Cornus canadensis","Cornus canadensis","Plantae","Tracheophyta","Magnoliopsida","Cornales","Cornaceae","gbif","GBIF:3082270"
"Cornus glabrata",444.8,233.062395079086,444.8,288.24,601.36,2,"Cornus glabrata","Cornus glabrata","Plantae","Tracheophyta","Magnoliopsida","Cornales","Cornaceae","gbif","GBIF:3082267"
"Cornus mas",522.834375,240.716371998217,550,188.75,800,32,"Cornus mas","Cornus mas","Plantae","Tracheophyta","Magnoliopsida","Cornales","Cornaceae","gbif","GBIF:3082263"
"Cornus nuttallii",1632.08888888889,925.571247128556,1750,414.608,2847.632,9,"Cornus nuttallii","Cornus nuttallii","Plantae","Tracheophyta","Magnoliopsida","Cornales","Cornaceae","gbif","GBIF:8288790"
"Cornus racemosa",117.549565217391,183.460038724229,51,14.25,762.5,46,"Cornus racemosa","Cornus racemosa","Plantae","Tracheophyta","Magnoliopsida","Cornales","Cornaceae","gbif","GBIF:3082264"
"Cornus sanguinea",311.14126984127,149.572862420143,400,25,500,63,"Cornus sanguinea","Cornus sanguinea","Plantae","Tracheophyta","Magnoliopsida","Cornales","Cornaceae","gbif","GBIF:3082234"
"Cornus sericea",126.331071428571,221.128366043599,64.5,12.55,557.951999999998,112,"Cornus sericea","Cornus sericea","Plantae","Tracheophyta","Magnoliopsida","Cornales","Cornaceae","gbif","GBIF:3082244"
"Cornus sessilis",500,NA,500,500,500,1,"Cornus sessilis","Cornus sessilis","Plantae","Tracheophyta","Magnoliopsida","Cornales","Cornaceae","gbif","GBIF:8308780"
"Cornus suecica",13,8.73053390247253,10,5,30,28,"Cornus suecica","Cornus suecica","Plantae","Tracheophyta","Magnoliopsida","Cornales","Cornaceae","gbif","GBIF:3082246"
"Coronilla minima",18.5,13.763305250868,12.5,5,38.775,8,"Coronilla minima","Coronilla minima","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:5348647"
"Coronilla valentina",76,25.0998007960223,80,50,100,5,"Coronilla valentina","Coronilla valentina","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:5348633"
"Cortaderia selloana",208.106666666667,62.5552086826775,200,152.5,270.604,3,"Cortaderia selloana","Cortaderia selloana","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:2704523"
"Corydalis caseana",91.44,NA,91.44,91.44,91.44,1,"Corydalis caseana","Corydalis caseana","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","gbif","GBIF:5334203"
"Corylus americana",111.557894736842,118.574862971268,44,20.2,304.8,19,"Corylus americana","Corylus americana","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","gbif","GBIF:2876060"
"Corylus avellana",507.26,332.426012022808,583.5,100,1387.5,50,"Corylus avellana","Corylus avellana","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","gbif","GBIF:2875979"
"Corylus cornuta",586.874666666667,418.61405337591,457.2,150,1500,15,"Corylus cornuta","Corylus cornuta","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","gbif","GBIF:2876032"
"Cotinus coggygria",226.963636363636,100.793327901677,200,110.5,500,55,"Cotinus coggygria","Cotinus coggygria","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Anacardiaceae","gbif","GBIF:3190522"
"Cotoneaster integerrimus",156.313333333333,78.5225623626738,150,38.5,289.086,18,"Cotoneaster integerrimus","Cotoneaster integerrimus","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","gbif","GBIF:3025576"
"Cotoneaster microphyllus",100,0,100,100,100,2,"Cotoneaster microphyllus","Cotoneaster microphyllus","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","gbif","GBIF:3025626"
"Cotoneaster nebrodensis",174.333333333333,113.024438992299,150,43.5,430,15,"Cotoneaster nebrodensis","Cotoneaster nebrodensis","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","gbif","GBIF:3025755"
"Cotula australis",10,0,10,10,10,2,"Cotula australis","Cotula australis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:8542672"
"Cotula coronopifolia",18.6875,15.1914861024193,15.25,4.525,46.5,8,"Cotula coronopifolia","Cotula coronopifolia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3112110"
"Crassula aquatica",5.33333333333333,1,5,5,7.4,9,"Crassula aquatica","Crassula aquatica","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Crassulaceae","gbif","GBIF:7565449"
"Crassula tillaea",2.90933333333333,1.88464269696887,3,1,5,15,"Crassula tillaea","Crassula tillaea","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Crassulaceae","gbif","GBIF:5362055"
"Crataegus laevigata",750,401.33705108229,1000,170,1200,29,"Crataegus laevigata","Crataegus laevigata","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","gbif","GBIF:8252683"
"Crataegus monogyna",671.424561403509,360.079917855895,800,98.8,1000,57,"Crataegus monogyna","Crataegus monogyna","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","gbif","GBIF:9220780"
"Crataegus sinaica",300,NA,300,300,300,1,"Crataegus sinaica","Crataegus sinaica","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","gbif","GBIF:3015045"
"Crepis acuminata",91.44,NA,91.44,91.44,91.44,1,"Crepis acuminata","Crepis acuminata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:5403557"
"Crepis biennis",54.3669230769231,37.3360475432771,32.5,15.5625,120,26,"Crepis biennis","Crepis biennis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:5403531"
"Crepis capillaris",43.0663326454205,24.9700726417525,41.2,10,90,26,"Crepis capillaris","Crepis capillaris","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:5403304"
"Crepis jacquinii",12.5,6.70820393249937,12.5,5,20,6,"Crepis jacquinii","Crepis jacquinii","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:5403329"
"Crepis occidentalis",27.432,0,27.432,27.432,27.432,2,"Crepis occidentalis","Crepis occidentalis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:5403548"
"Crepis paludosa",63.3333333333333,28.3893004660626,65,30,100,15,"Crepis paludosa","Crepis paludosa","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:5403296"
"Cressa truxillensis",22.86,NA,22.86,22.86,22.86,1,"Cressa truxillensis","Cressa truxillensis","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","gbif","GBIF:5341708"
"Croton wigginsii",91.44,NA,91.44,91.44,91.44,1,"Croton wigginsii","Croton wigginsii","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","gbif","GBIF:3058056"
"Cruciata glabra",14.336,6.09348129444198,14,6.225,30,50,"Cruciata glabra","Cruciata glabra","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","gbif","GBIF:5338929"
"Cruciata laevipes",37.3791666666667,19.1384652323345,37.5,15,60,24,"Cruciata laevipes","Cruciata laevipes","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","gbif","GBIF:5338920"
"Cryptogramma crispa",21.5625,7.89863234092731,21.25,10.875,30,8,"Cryptogramma crispa","Cryptogramma crispa","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Pteridaceae","gbif","GBIF:5275447"
"Cucurbita foetidissima",30.48,NA,30.48,30.48,30.48,1,"Cucurbita foetidissima","Cucurbita foetidissima","Plantae","Tracheophyta","Magnoliopsida","Cucurbitales","Cucurbitaceae","gbif","GBIF:2874521"
"Cuscuta epithymum",57.5625,69.6591403430543,50,4.375,225,16,"Cuscuta epithymum","Cuscuta epithymum","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","gbif","GBIF:2927518"
"Cuscuta europaea",103.142857142857,63.9464061315635,150,6.2,150,7,"Cuscuta europaea","Cuscuta europaea","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","gbif","GBIF:2927493"
"Cyclospermum leptophyllum",34.5833333333333,26.7024499500202,50,6.0625,50,3,"Cyclospermum leptophyllum","Cyclospermum leptophyllum","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","gbif","GBIF:8350395"
"Cynara cardunculus",80,NA,80,80,80,1,"Cynara cardunculus","Cynara cardunculus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3112364"
"Cynodon dactylon",21.6094899470899,12.6703648176274,22.5,2.25791666666666,40.7348,30,"Cynodon dactylon","Cynodon dactylon","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:6109637"
"Cynoglossum officinale",56.8055555555556,24.7012376975497,60,27.125,90,18,"Cynoglossum officinale","Cynoglossum officinale","Plantae","Tracheophyta","Magnoliopsida","Boraginales","Boraginaceae","gbif","GBIF:2925815"
"Cynosurus cristatus",24.5606796116505,18.8285274614119,17.35,5,75,206,"Cynosurus cristatus","Cynosurus cristatus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:2704395"
"Cynosurus echinatus",31.85,16.3809614319764,30,11.95,60.9999999999999,40,"Cynosurus echinatus","Cynosurus echinatus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:2704394"
"Cyperus acuminatus",39.624,NA,39.624,39.624,39.624,1,"Cyperus acuminatus","Cyperus acuminatus","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","gbif","GBIF:2715570"
"Cyperus eragrostis",57.5,45.9619407771256,57.5,26.625,88.375,2,"Cyperus eragrostis","Cyperus eragrostis","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","gbif","GBIF:2715482"
"Cyperus erythrorhizos",78.1,2.68700576850888,78.1,76.295,79.905,2,"Cyperus erythrorhizos","Cyperus erythrorhizos","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","gbif","GBIF:6417217"
"Cyperus esculentus",40.668,27.3395765877967,40.668,22.3026,59.0334,2,"Cyperus esculentus","Cyperus esculentus","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","gbif","GBIF:2716226"
"Cyperus longus",75.4,42.3063656135642,85,19.5,139.5,15,"Cyperus longus","Cyperus longus","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","gbif","GBIF:8243603"
"Cyperus odoratus",70.48,13.4633131137919,70.48,61.436,79.524,2,"Cyperus odoratus","Cyperus odoratus","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","gbif","GBIF:2715219"
"Cyperus polystachyos",48.768,NA,48.768,48.768,48.768,1,"Cyperus polystachyos","Cyperus polystachyos","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","gbif","GBIF:2730407"
"Cyperus rotundus",25,15,25,10.75,39.25,3,"Cyperus rotundus","Cyperus rotundus","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","gbif","GBIF:2714818"
"Cyperus strigosus",97.536,NA,97.536,97.536,97.536,1,"Cyperus strigosus","Cyperus strigosus","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","gbif","GBIF:2716719"
"Cyperus subsquarrosus",15,NA,15,15,15,1,"Cyperus subsquarrosus","Cyperus subsquarrosus","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","gbif","GBIF:9458613"
"Cyrtandra platyphylla",121.92,NA,121.92,121.92,121.92,1,"Cyrtandra platyphylla","Cyrtandra platyphylla","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Gesneriaceae","gbif","GBIF:5415247"
"Cystopteris fragilis",23.9821428571429,14.3194261619824,20.5,6.35,50,28,"Cystopteris fragilis","Cystopteris fragilis","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Cystopteridaceae","gbif","GBIF:2650818"
"Cytisophyllum sessilifolium",143.571428571429,61.5571743526757,150,54.5,200,7,"Cytisophyllum sessilifolium","Cytisophyllum sessilifolium","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:2940408"
"Cytisus scoparius",174.586363636364,68.7090122754264,200,50.75,250,44,"Cytisus scoparius","Cytisus scoparius","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:5354656"
"Dactylis glomerata",43.7916207512171,29.5240066521103,37.75,6,118.85,544,"Dactylis glomerata","Dactylis glomerata","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:2705308"
"Dactylorhiza fuchsii",38.8333333333333,15.5437977702622,38,15,70,39,"Dactylorhiza fuchsii","Dactylorhiza maculata","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","gbif","GBIF:8179794"
"Dactylorhiza incarnata",21.0961538461538,23.3479726754658,10,5,85.875,52,"Dactylorhiza incarnata","Dactylorhiza incarnata","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","gbif","GBIF:8248593"
"Dactylorhiza maculata",34.2083333333333,22.3010989673495,38.75,4,60,12,"Dactylorhiza maculata","Dactylorhiza maculata","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","gbif","GBIF:8179794"
"Dactylorhiza praetermissa",55,7.07106781186548,55,50.25,59.75,2,"Dactylorhiza praetermissa","Dactylorhiza majalis","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","gbif","GBIF:2810155"
"Dactylorhiza purpurella",25,NA,25,25,25,1,"Dactylorhiza purpurella","Dactylorhiza majalis","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","gbif","GBIF:2810155"
"Dactylorhiza viridis",18.2,12.007140732557,15,5.35,40,15,"Dactylorhiza viridis","Dactylorhiza viridis","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","gbif","GBIF:2810284"
"Damasonium californicum",45.72,NA,45.72,45.72,45.72,1,"Damasonium californicum","Damasonium californicum","Plantae","Tracheophyta","Liliopsida","Alismatales","Alismataceae","gbif","GBIF:5328687"
"Danthonia californica",17.296,17.915249370299,9.5,5.225,55.569,10,"Danthonia californica","Danthonia californica","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:2703262"
"Danthonia decumbens",26.3094285714286,16.4058327555207,26,5.3132,60,28,"Danthonia decumbens","Danthonia decumbens","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:2703250"
"Danthonia intermedia",29.36,23.1365338804238,29.36,13.818,44.902,2,"Danthonia intermedia","Danthonia intermedia","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:2703253"
"Danthonia unispicata",22.86,NA,22.86,22.86,22.86,1,"Danthonia unispicata","Danthonia unispicata","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:2703271"
"Daphne laureola",32.9050279329609,22.5018582846675,27,15,100,179,"Daphne laureola","Daphne laureola","Plantae","Tracheophyta","Magnoliopsida","Malvales","Thymelaeaceae","gbif","GBIF:5420853"
"Daphne mezereum",89.84375,53.5284726013386,77.5,25,200,32,"Daphne mezereum","Daphne mezereum","Plantae","Tracheophyta","Magnoliopsida","Malvales","Thymelaeaceae","gbif","GBIF:5420852"
"Daphne striata",14.6428571428571,10.8424869752988,10,5,33.125,7,"Daphne striata","Daphne striata","Plantae","Tracheophyta","Magnoliopsida","Malvales","Thymelaeaceae","gbif","GBIF:5523875"
"Darmera peltata",120,113.137084989848,120,44,196,2,"Darmera peltata","Darmera peltata","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Saxifragaceae","gbif","GBIF:3032611"
"Dasiphora fruticosa",86.5238461538462,42.8901711889261,95,26.1075,168.75,26,"Dasiphora fruticosa","Dasiphora fruticosa","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","gbif","GBIF:5370380"
"Dasylirion wheeleri",431.8,62.2170394666927,457.2,323.85,457.2,6,"Dasylirion wheeleri","Dasylirion wheeleri","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","gbif","GBIF:2772620"
"Datura stramonium",122.978947368421,57.5900027873991,110,39,200,19,"Datura stramonium","Datura stramonium","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","gbif","GBIF:2928751"
"Daucus carota",50.2503571428571,26.4834102086741,49.5,9.7225,100,124,"Daucus carota","Daucus carota","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","gbif","GBIF:3034742"
"Daucus pusillus",14.4666666666667,6.98842580543682,14,5.05,24.6,15,"Daucus pusillus","Daucus pusillus","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","gbif","GBIF:3034741"
"Delairea odorata",183.333333333333,28.8675134594813,200,152.5,200,3,"Delairea odorata","Delairea odorata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3134183"
"Delphinium andersonii",60.96,NA,60.96,60.96,60.96,1,"Delphinium andersonii","Delphinium andersonii","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","gbif","GBIF:3033707"
"Delphinium glaucum",243.84,NA,243.84,243.84,243.84,1,"Delphinium glaucum","Delphinium glaucum","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","gbif","GBIF:3033694"
"Delphinium nuttallianum",14.2368421052632,2.83023566476869,14,9.9,19.275,19,"Delphinium nuttallianum","Delphinium nuttallianum","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","gbif","GBIF:3033734"
"Dendromecon rigida",80,NA,80,80,80,1,"Dendromecon rigida","Dendromecon rigida","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","gbif","GBIF:2888424"
"Deschampsia cespitosa",42.0087064887629,49.4985670876676,19.4,4.08,200,97,"Deschampsia cespitosa","Deschampsia cespitosa","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:8059811"
"Deschampsia danthonioides",45.72,NA,45.72,45.72,45.72,1,"Deschampsia danthonioides","Deschampsia danthonioides","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:2703174"
"Deschampsia elongata",91.44,NA,91.44,91.44,91.44,1,"Deschampsia elongata","Deschampsia elongata","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:2703190"
"Deschampsia setacea",36.0714285714286,27.6833713196035,20,10.375,70,7,"Deschampsia setacea","Deschampsia setacea","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:4142609"
"Descurainia pinnata",60,0,60,60,60,2,"Descurainia pinnata","Descurainia pinnata","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","gbif","GBIF:3044133"
"Descurainia sophia",53,26.4773985047426,52.5,17.375,100,20,"Descurainia sophia","Descurainia sophia","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","gbif","GBIF:3044318"
"Dianthus deltoides",23.8095238095238,11.4000835418827,20,11,45,21,"Dianthus deltoides","Dianthus deltoides","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","gbif","GBIF:3085424"
"Dianthus sylvestris",18.38,14.5743153069592,13.75,5,45.5,10,"Dianthus sylvestris","Dianthus sylvestris","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","gbif","GBIF:3085419"
"Diapensia lapponica",4.20909090909091,1.2785442208525,4,2.34125,6,22,"Diapensia lapponica","Diapensia lapponica","Plantae","Tracheophyta","Magnoliopsida","Ericales","Diapensiaceae","gbif","GBIF:5333323"
"Dicentra formosa",42.86,4.04465078838705,42.86,40.143,45.577,2,"Dicentra formosa","Dicentra formosa","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","gbif","GBIF:2888553"
"Dicentra uniflora",10,NA,10,10,10,1,"Dicentra uniflora","Dicentra uniflora","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","gbif","GBIF:2888552"
"Diervilla lonicera",41.6224,23.7866338265842,27,20.7,71.9328,5,"Diervilla lonicera","Diervilla lonicera","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","gbif","GBIF:2888711"
"Dieteria canescens",37.45,10.1279966325761,39,18.95,50.575,20,"Dieteria canescens","Dieteria canescens","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3117073"
"Digitalis lutea",52.2875,17.0570106971899,52,25,83,80,"Digitalis lutea","Digitalis lutea","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","gbif","GBIF:5414990"
"Digitalis purpurea",100.385277778,46.8206863900517,95,36.875,151.26,20,"Digitalis purpurea","Digitalis purpurea","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","gbif","GBIF:5414995"
"Digitaria ischaemum",20.3777777777778,16.3399026404888,14.5,3,50,18,"Digitaria ischaemum","Digitaria ischaemum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:5290003"
"Digitaria sanguinalis",37.31875,22.8707579931352,33.09375,8.45,75.5,10,"Digitaria sanguinalis","Digitaria sanguinalis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:5289972"
"Digitaria violascens",30,NA,30,30,30,1,"Digitaria violascens","Digitaria violascens","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:5289995"
"Dioscorea communis",239.583333333333,112.542079672315,212.5,100,400,12,"Dioscorea communis","Dioscorea communis","Plantae","Tracheophyta","Liliopsida","Dioscoreales","Dioscoreaceae","gbif","GBIF:2755063"
"Diospyros virginiana",1607.41473684211,658.211823143823,1800,367.21,2400,19,"Diospyros virginiana","Diospyros virginiana","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ebenaceae","gbif","GBIF:3032986"
"Diphasiastrum alpinum",5.901,2.6060817533729,4.13,3,10,20,"Diphasiastrum alpinum","Diphasiastrum alpinum","Plantae","Tracheophyta","Lycopodiopsida","Lycopodiales","Lycopodiaceae","gbif","GBIF:2688420"
