"Genus","reported_name_fixed","Hemisphere","Ecosystem","Gradient","Position","ShiftR","EleVeloT","LatVeloT","Unit","BaselineT","HFI","PrAb","Sampling","Grain","Signif","Quality","Ntaxa","Start","Area","LifeForm","Reference","Source","n_cl","n_sp","reported_name","scientificName","kingdom.x","phylum.x","class.x","order.x","family.x","db","db_code","START","END","DUR","kingdom.y","phylum.y","class.y","order.y","family.y","ObservationTypeSpecific","DispersalSource","Field","DispersalDistance","Code","DispersalUnit","Database","Sex","group","type","ObservationTypeGeneral","DispersalDistanceKm","MaxDispersalDistanceKm","AgeAtMaturityDays","YearOfMaturity","DispersalPotentialKmY","DispersalPotentialmY","DispersalDistancem","annual_dispersal_pot","climate_velocity","ShiftKmY","ClimVeloTKmY","AnnualDispPotKmY"
"Rubus","Rubus idaeus","North","Terrestrial","Latitudinal","Centroid",0.31974091,NA,0.495907411,"km/year",8.10059,0.342417157992962,"OCCUR","TWO","MEDIUM","YES","MODELED",594,1978,17.38802996,"phanero",19,"A19_P2",17826,27780,"Rubus idaeus","Rubus idaeus","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","gbif","GBIF:2993094",1986,2003,18,"Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","seed dispersal (field)","M�ller-Schneider 1983 in Vittoz & Engler 2007","Maximum_recorded_dispersal_distance_(m)",900,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.9,0.9,365,1,0.9,900,900,0.9,0.495907411,0.31974091,0.495907411,0.9
"Fagus","Fagus sylvatica","North","Terrestrial","Latitudinal","Centroid",0.013356415,NA,0.495907411,"km/year",8.10059,0.342417157992962,"OCCUR","TWO","MEDIUM","YES","MODELED",594,1978,17.38802996,"phanero",19,"A19_P2",17837,26087,"Fagus sylvatica","Fagus sylvatica","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","gbif","GBIF:2882316",1986,2003,18,"Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","seed dispersal (field)","M�ller-Schneider 1949 in Vittoz & Engler 2007","Maximum_recorded_dispersal_distance_(m)",32,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.032,0.032,1825,5,0.0064,6.4,32,0.0064,0.495907411,0.013356415,0.495907411,0.0064
"Hypericum","Hypericum perforatum","North","Terrestrial","Latitudinal","Centroid",0.061823914,NA,0.495907411,"km/year",8.10059,0.342417157992962,"OCCUR","TWO","MEDIUM","YES","MODELED",594,1978,17.38802996,"phanero",19,"A19_P2",17839,27669,"Hypericum perforatum","Hypericum perforatum","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Hypericaceae","gbif","GBIF:3189486",1986,2003,18,"Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Hypericaceae","seed dispersal (model)","Soons & Ozinga 2005","99th_percentile_dispersal_distance_(m)",0.72,"99thPercentileDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.00072,0.00072,365,1,0.00072,0.72,0.72,0.00072,0.495907411,0.061823914,0.495907411,0.00072
"Hypochaeris","Hypochaeris radicata","North","Terrestrial","Latitudinal","Centroid",0.01832953,NA,0.495907411,"km/year",8.10059,0.342417157992962,"OCCUR","TWO","MEDIUM","YES","MODELED",594,1978,17.38802996,"phanero",19,"A19_P2",17840,24996,"Hypochaeris radicata","Hypochaeris radicata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3093702",1986,2003,18,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","seed/plant dispersal (unknown)",NA,"Max._Indiv._Dispersal_Distance_(m)",1900,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Plants","Max","seed dispersal",1.9,1.9,42,1,1.9,1900,1900,1.9,0.495907411,0.01832953,0.495907411,1.9
"Viola","Viola canina","North","Terrestrial","Latitudinal","Centroid",0.147766311,NA,0.495907411,"km/year",8.10059,0.342417157992962,"OCCUR","TWO","MEDIUM","YES","MODELED",594,1978,17.38802996,"phanero",19,"A19_P2",17855,27927,"Viola canina","Viola canina","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Violaceae","gbif","GBIF:5331258",1986,2003,18,"Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Violaceae","seed dispersal (field)","Ulbrich 1928 in M�ller-Schneider 1983 in Vittoz & Engler 2007","Maximum_recorded_dispersal_distance_(m)",4.7,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.0047,0.0047,365,1,0.0047,4.7,4.7,0.0047,0.495907411,0.147766311,0.495907411,0.0047
"Scrophularia","Scrophularia nodosa","North","Terrestrial","Latitudinal","Centroid",0.404918729,NA,0.495907411,"km/year",8.10059,0.342417157992962,"OCCUR","TWO","MEDIUM","YES","MODELED",594,1978,17.38802996,"phanero",19,"A19_P2",17867,19555,"Scrophularia nodosa","Scrophularia nodosa","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Scrophulariaceae","gbif","GBIF:3170886",1986,2003,18,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Scrophulariaceae","seed dispersal (model)","Soons & Ozinga 2005","99th_percentile_dispersal_distance_(m)",0.91,"99thPercentileDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.00091,0.00091,365,1,0.00091,0.91,0.91,0.00091,0.495907411,0.404918729,0.495907411,0.00091
"Cirsium","Cirsium vulgare","North","Terrestrial","Latitudinal","Centroid",0.010373116,NA,0.495907411,"km/year",8.10059,0.342417157992962,"OCCUR","TWO","MEDIUM","YES","MODELED",594,1978,17.38802996,"phanero",19,"A19_P2",17870,28306,"Cirsium vulgare","Cirsium vulgare","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3112801",1986,2003,18,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","seed dispersal (field)","Feekes 1936 in Cain et al. 1998","Maximum_recorded_dispersal_distance_(m)",900,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.9,0.9,365,1,0.9,900,900,0.9,0.495907411,0.010373116,0.495907411,0.9
"Silene","Silene vulgaris","North","Terrestrial","Latitudinal","Centroid",0.579095658,NA,0.495907411,"km/year",8.10059,0.342417157992962,"OCCUR","TWO","MEDIUM","YES","MODELED",594,1978,17.38802996,"phanero",19,"A19_P2",17871,27214,"Silene vulgaris","Silene vulgaris","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","gbif","GBIF:9172281",1986,2003,18,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","seed dispersal (model)","Soons & Ozinga 2005","99th_percentile_dispersal_distance_(m)",0.13,"99thPercentileDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.00013,0.00013,365,1,0.00013,0.13,0.13,0.00013,0.495907411,0.579095658,0.495907411,0.00013
"Silene","Silene dioica","North","Terrestrial","Latitudinal","Centroid",0.081261522,NA,0.495907411,"km/year",8.10059,0.342417157992962,"OCCUR","TWO","MEDIUM","YES","MODELED",594,1978,17.38802996,"phanero",19,"A19_P2",17872,27216,"Silene dioica","Silene dioica","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","gbif","GBIF:5384795",1986,2003,18,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","seed dispersal (model)","Soons & Ozinga 2005","99th_percentile_dispersal_distance_(m)",0.5,"99thPercentileDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",5e-04,5e-04,365,1,5e-04,0.5,0.5,5e-04,0.495907411,0.081261522,0.495907411,5e-04
"Luzula","Luzula campestris","North","Terrestrial","Latitudinal","Centroid",0.272799344,NA,0.495907411,"km/year",8.10059,0.342417157992962,"OCCUR","TWO","MEDIUM","YES","MODELED",594,1978,17.38802996,"phanero",19,"A19_P2",17879,16786,"Luzula campestris","Luzula campestris","Plantae","Tracheophyta","Liliopsida","Poales","Juncaceae","gbif","GBIF:2700828",1986,2003,18,"Plantae","Tracheophyta","Liliopsida","Poales","Juncaceae","seed dispersal (model)","Soons & Ozinga 2005","99th_percentile_dispersal_distance_(m)",0.07,"99thPercentileDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",7e-05,7e-05,365,1,7e-05,0.07,0.07,7e-05,0.495907411,0.272799344,0.495907411,7e-05
"Inula","Inula conyza","North","Terrestrial","Latitudinal","Centroid",0.885750594,NA,0.495907411,"km/year",8.10059,0.342417157992962,"OCCUR","TWO","MEDIUM","YES","MODELED",594,1978,17.38802996,"phanero",19,"A19_P2",17893,27601,"Inula conyza","Pentanema squarrosum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:10998833",1986,2003,18,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","seed dispersal (model)","Soons & Ozinga 2005","99th_percentile_dispersal_distance_(m)",15.63,"99thPercentileDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.01563,0.01563,365,1,0.01563,15.63,15.63,0.01563,0.495907411,0.885750594,0.495907411,0.01563
"Bellis","Bellis perennis","North","Terrestrial","Latitudinal","Centroid",0.025513407,NA,0.495907411,"km/year",8.10059,0.342417157992962,"OCCUR","TWO","MEDIUM","YES","MODELED",594,1978,17.38802996,"phanero",19,"A19_P2",17903,22143,"Bellis perennis","Bellis perennis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3117424",1986,2003,18,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","seed dispersal (model)","Soons & Ozinga 2005","99th_percentile_dispersal_distance_(m)",0.09,"99thPercentileDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",9e-05,9e-05,365,1,9e-05,0.09,0.09,9e-05,0.495907411,0.025513407,0.495907411,9e-05
"Rumex","Rumex obtusifolius","North","Terrestrial","Latitudinal","Centroid",0.165550625,NA,0.495907411,"km/year",8.10059,0.342417157992962,"OCCUR","TWO","MEDIUM","YES","MODELED",594,1978,17.38802996,"phanero",19,"A19_P2",17919,19242,"Rumex obtusifolius","Rumex obtusifolius","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","gbif","GBIF:2889011",1986,2003,18,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","seed dispersal (model)","Matlack 1987","Maximum_recorded_dispersal_distance_(m)",2.48,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.00248,0.00248,365,1,0.00248,2.48,2.48,0.00248,0.495907411,0.165550625,0.495907411,0.00248
"Arabis","Arabis hirsuta","North","Terrestrial","Latitudinal","Centroid",0.126881314,NA,0.495907411,"km/year",8.10059,0.342417157992962,"OCCUR","TWO","MEDIUM","YES","MODELED",594,1978,17.38802996,"phanero",19,"A19_P2",17923,19610,"Arabis hirsuta","Arabis hirsuta","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","gbif","GBIF:9202524",1986,2003,18,"Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","seed dispersal (model)","Soons & Ozinga 2005","99th_percentile_dispersal_distance_(m)",0.47,"99thPercentileDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.00047,0.00047,365,1,0.00047,0.47,0.47,0.00047,0.495907411,0.126881314,0.495907411,0.00047
"Potentilla","Potentilla erecta","North","Terrestrial","Latitudinal","Centroid",1.16450478,NA,0.495907411,"km/year",8.10059,0.342417157992962,"OCCUR","TWO","MEDIUM","YES","MODELED",594,1978,17.38802996,"phanero",19,"A19_P2",17933,21080,"Potentilla erecta","Potentilla erecta","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","gbif","GBIF:5365576",1986,2003,18,"Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","seed dispersal (model)","Soons & Ozinga 2005","99th_percentile_dispersal_distance_(m)",0.19,"99thPercentileDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.00019,0.00019,365,1,0.00019,0.19,0.19,0.00019,0.495907411,1.16450478,0.495907411,0.00019
"Sonchus","Sonchus oleraceus","North","Terrestrial","Latitudinal","Centroid",0.171314995,NA,0.495907411,"km/year",8.10059,0.342417157992962,"OCCUR","TWO","MEDIUM","YES","MODELED",594,1978,17.38802996,"phanero",19,"A19_P2",17934,19621,"Sonchus oleraceus","Sonchus oleraceus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:8228544",1986,2003,18,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","seed dispersal (model)","Soons & Ozinga 2005","99th_percentile_dispersal_distance_(m)",13.28,"99thPercentileDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.01328,0.01328,42,1,0.01328,13.28,13.28,0.01328,0.495907411,0.171314995,0.495907411,0.01328
"Arenaria","Arenaria serpyllifolia","North","Terrestrial","Latitudinal","Centroid",0.099866005,NA,0.495907411,"km/year",8.10059,0.342417157992962,"OCCUR","TWO","MEDIUM","YES","MODELED",594,1978,17.38802996,"phanero",19,"A19_P2",17939,18654,"Arenaria serpyllifolia","Arenaria serpyllifolia","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","gbif","GBIF:8089871",1986,2003,18,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","seed dispersal (model)","Soons & Ozinga 2005","99th_percentile_dispersal_distance_(m)",0.13,"99thPercentileDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.00013,0.00013,365,1,0.00013,0.13,0.13,0.00013,0.495907411,0.099866005,0.495907411,0.00013
"Rumex","Rumex crispus","North","Terrestrial","Latitudinal","Centroid",0.113322471,NA,0.495907411,"km/year",8.10059,0.342417157992962,"OCCUR","TWO","MEDIUM","YES","MODELED",594,1978,17.38802996,"phanero",19,"A19_P2",17945,18618,"Rumex crispus","Rumex crispus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","gbif","GBIF:8195144",1986,2003,18,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","seed dispersal (model)","Soons & Ozinga 2005","99th_percentile_dispersal_distance_(m)",0.98,"99thPercentileDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.00098,0.00098,365,1,0.00098,0.98,0.98,0.00098,0.495907411,0.113322471,0.495907411,0.00098
