"reported_name","reported_name_fixed","scientificName","scientificName_checked","kingdom","phylum","class","order","family","db","db_code","ObservationTypeSpecific","Source","Field","DispersalDistance","Code","Unit","Database","Sex","group","type","ObservationTypeGeneral","DispersalDistanceKm"
"Abies alba","Abies alba","Abies alba","Abies alba","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:2685484","seed dispersal (field)","Bouget & Davy de Virville 1926 in Müller-Schneider 1983 in Vittoz & Engler 2007","Maximum_recorded_dispersal_distance_(m)",7000,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",7
"Acer pseudoplatanus","Acer pseudoplatanus","Acer pseudoplatanus","Acer pseudoplatanus","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif","GBIF:3189870","seed dispersal (field)","Braun-Blanquet 1913 in Müller-Schneider 1986 in Vittoz & Engler 2007","Maximum_recorded_dispersal_distance_(m)",5000,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",5
"Achillea erba-rotta subsp. moschata","Achillea erba-rotta","Achillea erba-rotta","Achillea moschata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:9536147","seed dispersal (model)","Stöcklin & Bäumler 1996","Maximum_recorded_dispersal_distance_(m)",1,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.001
"Achillea nana","Achillea nana","Achillea nana","Achillea nana","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:8714852","seed dispersal (model)","Stöcklin & Bäumler 1996","Maximum_recorded_dispersal_distance_(m)",4,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.004
"Adenostyles leucophylla","Adenostyles leucophylla","Adenostyles leucophylla","Adenostyles leucophylla","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3133716","seed dispersal (model)","Stöcklin & Bäumler 1996","Maximum_recorded_dispersal_distance_(m)",85,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.085
"Agrostis rupestris","Agrostis rupestris","Agrostis rupestris","Agrostis rupestris","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:2706525","seed dispersal (model)","Stöcklin & Bäumler 1996","Maximum_recorded_dispersal_distance_(m)",1,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.001
"Allium ursinum","Allium ursinum","Allium ursinum","Allium ursinum","Plantae","Tracheophyta","Liliopsida","Asparagales","Amaryllidaceae","gbif","GBIF:2857601","seed dispersal (field)","Müller-Schneider 1971 in Vittoz & Engler 2007","Maximum_recorded_dispersal_distance_(m)",4.61,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.00461
"Alnus viridis","Alnus viridis","Alnus alnobetula","Alnus alnobetula","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","gbif","GBIF:8956987","seed dispersal (model)","Stöcklin & Bäumler 1996","Maximum_recorded_dispersal_distance_(m)",70,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.07
"Arabis alpina","Arabis alpina","Arabis alpina","Arabis alpina","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","gbif","GBIF:5375020","seed dispersal (model)","Stöcklin & Bäumler 1996","Maximum_recorded_dispersal_distance_(m)",1,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.001
"Bromus tectorum","Bromus tectorum","Bromus tectorum","Bromus tectorum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:2703746","seed dispersal (field)","Mack 1986 in Malcolm et al. 2002 in Vittoz & Engler 2007","Maximum_recorded_dispersal_distance_(m)",6300,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",6.3
"Cardamine amara","Cardamine amara","Cardamine amara","Cardamine amara","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","gbif","GBIF:3046044","seed dispersal (field)","Schneider 1935 in Vittoz & Engler 2007","Maximum_recorded_dispersal_distance_(m)",1.4,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.0014
"Cardamine impatiens","Cardamine impatiens","Cardamine impatiens","Cardamine impatiens","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","gbif","GBIF:3046187","seed dispersal (field)","Schneider 1935 in Vittoz & Engler 2007","Maximum_recorded_dispersal_distance_(m)",2,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.002
"Cardamine pratensis","Cardamine pratensis","Cardamine pratensis","Cardamine pratensis","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","gbif","GBIF:7972010","seed dispersal (field)","Schneider 1935 in Vittoz & Engler 2007","Maximum_recorded_dispersal_distance_(m)",2.4,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.0024
"Cardamine resedifolia","Cardamine resedifolia","Cardamine resedifolia","Cardamine resedifolia","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","gbif","GBIF:3045872","seed dispersal (field)","Schneider 1935 in Vittoz & Engler 2007","Maximum_recorded_dispersal_distance_(m)",1.04,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.00104
"Cerastium arvense","Cerastium arvense","Cerastium arvense","Cerastium arvense","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","gbif","GBIF:3085433","seed dispersal (model)","Stöcklin & Bäumler 1996","Maximum_recorded_dispersal_distance_(m)",1,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.001
"Cerastium pedunculatum","Cerastium pedunculatum","Cerastium pedunculatum","Cerastium pedunculatum","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","gbif","GBIF:8293072","seed dispersal (model)","Stöcklin & Bäumler 1996","Maximum_recorded_dispersal_distance_(m)",1,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.001
"Chelidonium majus","Chelidonium majus","Chelidonium majus","Chelidonium majus","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","gbif","GBIF:5334186","seed dispersal (field)","Senander 1906 in Bonn & Poschold 1998 in Vittoz & Engler 2007","Maximum_recorded_dispersal_distance_(m)",80,"MaxDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.08
