"reported_name","reported_name_fixed","scientificName","scientificName_checked","kingdom","phylum","class","order","family","db","db_code","ObservationTypeSpecific","Source","Field","DispersalDistance","Code","Unit","Database","Sex","group","type","ObservationTypeGeneral","DispersalDistanceKm"
"Quercus ilex","Quercus ilex","Quercus ilex","Quercus ilex","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","gbif","GBIF:2879098","seed dispersal (field)","Pons & Pausas 2007","Median_dispersal_distance_(m)",49.15,"MedianDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Median","seed dispersal",0.04915
"Quercus suber","Quercus suber","Quercus suber","Quercus suber","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","gbif","GBIF:2879411","seed dispersal (field)","Pons & Pausas 2007","Median_dispersal_distance_(m)",49.15,"MedianDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Median","seed dispersal",0.04915
"Aegopodium podagraria","Aegopodium podagraria","Aegopodium podagraria","Aegopodium podagraria","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","gbif","GBIF:3034620","seed dispersal (model)","Jongejans & Telenius 2001","Median_dispersal_distance_(m)",0.58,"MedianDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Median","seed dispersal",0.00058
"Aethusa cynapium","Aethusa cynapium","Aethusa cynapium","Aethusa cynapium","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","gbif","GBIF:5371825","seed dispersal (model)","Jongejans & Telenius 2001","Median_dispersal_distance_(m)",0.72,"MedianDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Median","seed dispersal",0.00072
"Angelica sylvestris","Angelica sylvestris","Angelica sylvestris","Angelica sylvestris","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","gbif","GBIF:5371818","seed dispersal (model)","Jongejans & Telenius 2001","Median_dispersal_distance_(m)",2.29,"MedianDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Median","seed dispersal",0.00229
"Calestania palustris","Calestania palustris","Thysselinum palustre","Thysselinum palustre","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","gbif","GBIF:3634395","seed dispersal (model)","Jongejans & Telenius 2001","Median_dispersal_distance_(m)",1.31,"MedianDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Median","seed dispersal",0.00131
"Heracleum sphondylium","Heracleum sphondylium","Heracleum sphondylium","Heracleum sphondylium","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","gbif","GBIF:3034830","seed dispersal (model)","Jongejans & Telenius 2001","Median_dispersal_distance_(m)",3.12,"MedianDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Median","seed dispersal",0.00312
"Laserpitium latifolium","Laserpitium latifolium","Laserpitium latifolium","Laserpitium latifolium","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","gbif","GBIF:6026401","seed dispersal (model)","Jongejans & Telenius 2001","Median_dispersal_distance_(m)",1.9,"MedianDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Median","seed dispersal",0.0019
"Myrrhis odorata","Myrrhis odorata","Myrrhis odorata","Myrrhis odorata","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","gbif","GBIF:3034681","seed dispersal (model)","Jongejans & Telenius 2001","Median_dispersal_distance_(m)",0.65,"MedianDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Median","seed dispersal",0.00065
"Oxalis acetosella","Oxalis acetosella","Oxalis acetosella","Oxalis acetosella","Plantae","Tracheophyta","Magnoliopsida","Oxalidales","Oxalidaceae","gbif","GBIF:8211958","seed dispersal (field)","Berg 2000","Median_dispersal_distance_(m)",2.06,"MedianDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Median","seed dispersal",0.00206
"Pastinaca sativa","Pastinaca sativa","Pastinaca sativa","Pastinaca sativa","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","gbif","GBIF:8262702","seed dispersal (model)","Jongejans & Telenius 2001","Median_dispersal_distance_(m)",3.05,"MedianDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Median","seed dispersal",0.00305
"Selinum carvifolia","Selinum carvifolia","Selinum carvifolia","Selinum carvifolia","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","gbif","GBIF:5371781","seed dispersal (model)","Jongejans & Telenius 2001","Median_dispersal_distance_(m)",0.79,"MedianDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Median","seed dispersal",0.00079
"Amphicarpaea bracteata","Amphicarpaea bracteata","Amphicarpaea bracteata","Amphicarpaea bracteata","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:2960161","seed dispersal (field)","Trapp 1988","Median_dispersal_distance_(m)",1.43,"MedianDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Median","seed dispersal",0.00143
"Juglans nigra","Juglans nigra","Juglans nigra","Juglans nigra","Plantae","Tracheophyta","Magnoliopsida","Fagales","Juglandaceae","gbif","GBIF:3054357","seed dispersal (field)","Stapanian & Smith 1986","Median_dispersal_distance_(m)",11.6,"MedianDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Median","seed dispersal",0.0116
"Parmena spectabilis","Parmena spectabilis","Rubus spectabilis","Rubus spectabilis","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","gbif","GBIF:2993761","seed dispersal (field)","Hickey et al. 1999","Median_dispersal_distance_(m)",494,"MedianDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Median","seed dispersal",0.494
"Parthenocissus quinquefolia","Parthenocissus quinquefolia","Parthenocissus quinquefolia","Parthenocissus quinquefolia","Plantae","Tracheophyta","Magnoliopsida","Vitales","Vitaceae","gbif","GBIF:3039194","seed dispersal (field)","Hoppes 1988","Median_dispersal_distance_(m)",9,"MedianDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Median","seed dispersal",0.009
"Quercus macrocarpa","Quercus macrocarpa","Quercus macrocarpa","Quercus macrocarpa","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","gbif","GBIF:2878213","seed dispersal (field)","Stapanian & Smith 1986","Median_dispersal_distance_(m)",10.3,"MedianDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Median","seed dispersal",0.0103
"Quercus muehlenbergii","Quercus muehlenbergii","Quercus muehlenbergii","Quercus muehlenbergii","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","gbif","GBIF:2879947","seed dispersal (field)","Stapanian & Smith 1986","Median_dispersal_distance_(m)",6.4,"MedianDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Median","seed dispersal",0.0064
"Trillium grandiflorum","Trillium grandiflorum","Trillium grandiflorum","Trillium grandiflorum","Plantae","Tracheophyta","Liliopsida","Liliales","Melanthiaceae","gbif","GBIF:2742283","seed dispersal (field)","Vellend et al. 2003","Median_dispersal_distance_(m)",700,"MedianDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Median","seed dispersal",0.7
"Amphicarpaea bracteata","Amphicarpaea bracteata","Amphicarpaea bracteata","Amphicarpaea bracteata","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:2960161","seed dispersal (field)","Trapp 1988","Mode_dispersal_distance_(m)",0.75,"ModeDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Mode","seed dispersal",0.00075
"Carex pilulifera","Carex pilulifera","Carex pilulifera","Carex pilulifera","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","gbif","GBIF:2726614","seed dispersal (field)","Kjellsson 1985","Mode_dispersal_distance_(m)",0.35,"ModeDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Mode","seed dispersal",0.00035
"Anthoxanthum odoratum","Anthoxanthum odoratum","Anthoxanthum odoratum","Anthoxanthum odoratum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:2705975","seed dispersal (field)","Antonovics & Ellstrand 1985 in Willson 1993","Mode_dispersal_distance_(m)",0.3,"ModeDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Mode","seed dispersal",3e-04
"Geranium maculatum","Geranium maculatum","Geranium maculatum","Geranium maculatum","Plantae","Tracheophyta","Magnoliopsida","Geraniales","Geraniaceae","gbif","GBIF:7808016","seed dispersal (model)","Willson & Agren unpublished in Willson 1993","Mode_dispersal_distance_(m)",1.4,"ModeDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Mode","seed dispersal",0.0014
"Mercurialis annua","Mercurialis annua","Mercurialis annua","Mercurialis annua","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","gbif","GBIF:3062975","seed dispersal (field)","Lisci & Pacini 1997 in Ness et al. 2004","Mode_dispersal_distance_(m)",3.4,"ModeDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Mode","seed dispersal",0.0034
"Rhamnus alaternus","Rhamnus alaternus","Rhamnus alaternus","Rhamnus alaternus","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rhamnaceae","gbif","GBIF:6371424","seed dispersal (field)","Gómez et al. 2003","Mode_dispersal_distance_(m)",1,"ModeDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Mode","seed dispersal",0.001
"Helianthus annuus","Helianthus annuus","Helianthus annuus","Helianthus annuus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:9206251","seed dispersal (field)","Müller-Schneider 1949 in Vittoz & Engler 2007","Mode_dispersal_distance_(m)",20,"ModeDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Mode","seed dispersal",0.02
"Cardamine hirsuta","Cardamine hirsuta","Cardamine hirsuta","Cardamine hirsuta","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","gbif","GBIF:3046258","seed dispersal (field)","Salisbury 1961 in Willson 1993","Mode_dispersal_distance_(m)",0.3,"ModeDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Mode","seed dispersal",3e-04
"Papaver dubium","Papaver dubium","Papaver dubium","Papaver dubium","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","gbif","GBIF:2888464","seed dispersal (field)","Salisbury 1942 in Willson 1993","Mode_dispersal_distance_(m)",0.9,"ModeDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Mode","seed dispersal",9e-04
"Tussilago farfara","Tussilago farfara","Tussilago farfara","Tussilago farfara","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3149879","seed dispersal (field)","Bakker 1961 in Willson 1993","Mode_dispersal_distance_(m)",10,"ModeDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Mode","seed dispersal",0.01
"Amphicarpaea bracteata","Amphicarpaea bracteata","Amphicarpaea bracteata","Amphicarpaea bracteata","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:2960161","seed dispersal (field)","Trapp 1988","Mode_dispersal_distance_(m)",0.25,"ModeDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Mode","seed dispersal",0.00025
"Euphorbia esula","Euphorbia esula","Euphorbia esula","Euphorbia esula","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","gbif","GBIF:8203538","seed dispersal (field)","Pemberton 1988","Mode_dispersal_distance_(m)",2.5,"ModeDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Mode","seed dispersal",0.0025
"Juglans nigra","Juglans nigra","Juglans nigra","Juglans nigra","Plantae","Tracheophyta","Magnoliopsida","Fagales","Juglandaceae","gbif","GBIF:3054357","seed dispersal (field)","Stapanian & Smith 1986","Mode_dispersal_distance_(m)",38.1,"ModeDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Mode","seed dispersal",0.0381
"Parthenocissus quinquefolia","Parthenocissus quinquefolia","Parthenocissus quinquefolia","Parthenocissus quinquefolia","Plantae","Tracheophyta","Magnoliopsida","Vitales","Vitaceae","gbif","GBIF:3039194","seed dispersal (field)","Hoppes 1988","Mode_dispersal_distance_(m)",3,"ModeDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Mode","seed dispersal",0.003
"Phytolacca americana","Phytolacca americana","Phytolacca americana","Phytolacca americana","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Phytolaccaceae","gbif","GBIF:3084015","seed dispersal (field)","Hoppes 1988","Mode_dispersal_distance_(m)",0.5,"ModeDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Mode","seed dispersal",5e-04
"Tsuga heterophylla","Tsuga heterophylla","Tsuga heterophylla","Tsuga heterophylla","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:2687210","seed dispersal (field)","Gashwiler 1969 in Hughes et al. 1994","Mode_dispersal_distance_(m)",30,"ModeDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Mode","seed dispersal",0.03
"Quercus ilex","Quercus ilex","Quercus ilex","Quercus ilex","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","gbif","GBIF:2879098","seed dispersal (field)","Pons & Pausas 2007","90th_percentile_dispersal_distance_(m)",149.6,"90thPercentileDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.1496
"Quercus suber","Quercus suber","Quercus suber","Quercus suber","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","gbif","GBIF:2879411","seed dispersal (field)","Pons & Pausas 2007","90th_percentile_dispersal_distance_(m)",149.6,"90thPercentileDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.1496
"Calluna vulgaris","Calluna vulgaris","Calluna vulgaris","Calluna vulgaris","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","gbif","GBIF:2882482","seed dispersal (field)","Bullock & Clarke 2000","90th_percentile_dispersal_distance_(m)",0.8,"90thPercentileDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",8e-04
"Erica cinerea","Erica cinerea","Erica cinerea","Erica cinerea","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","gbif","GBIF:5333411","seed dispersal (field)","Bullock & Clarke 2000","90th_percentile_dispersal_distance_(m)",0.8,"90thPercentileDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",8e-04
"Mimulus guttatus","Mimulus guttatus","Mimulus guttatus","Erythranthe guttata","Plantae",NA,"Magnoliopsida","Lamiales","Phrymaceae","itis","ITIS:33236","seed dispersal (field)","Vickery et al. 1986","90th_percentile_dispersal_distance_(m)",1,"90thPercentileDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.001
"Daucus carota","Daucus carota","Daucus carota","Daucus carota","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","gbif","GBIF:3034742","seed dispersal (model)","Soons & Ozinga 2005","99th_percentile_dispersal_distance_(m)",0.93,"99thPercentileDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.00093
"Acer rubrum","Acer rubrum","Acer rubrum","Acer rubrum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif","GBIF:3189883","seed dispersal (field)","Higgins et al. 2003","99th_percentile_dispersal_distance_(m)",314.3,"99thPercentileDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.3143
"Achillea millefolium","Achillea millefolium","Achillea millefolium","Achillea millefolium","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3120060","seed dispersal (model)","Soons & Ozinga 2005","99th_percentile_dispersal_distance_(m)",0.39,"99thPercentileDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.00039
"Achillea ptarmica","Achillea ptarmica","Achillea ptarmica","Achillea ptarmica","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3120333","seed dispersal (model)","Soons & Ozinga 2005","99th_percentile_dispersal_distance_(m)",0.68,"99thPercentileDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.00068
"Allium oleraceum","Allium oleraceum","Allium oleraceum","Allium oleraceum","Plantae","Tracheophyta","Liliopsida","Asparagales","Amaryllidaceae","gbif","GBIF:2857071","seed dispersal (model)","Soons & Ozinga 2005","99th_percentile_dispersal_distance_(m)",0.28,"99thPercentileDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.00028
"Allium vineale","Allium vineale","Allium vineale","Allium vineale","Plantae","Tracheophyta","Liliopsida","Asparagales","Amaryllidaceae","gbif","GBIF:7792960","seed dispersal (model)","Soons & Ozinga 2005","99th_percentile_dispersal_distance_(m)",0.24,"99thPercentileDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.00024
"Anagallis minima","Anagallis minima","Lysimachia minima","Anagallis minima","Plantae","Tracheophyta","Magnoliopsida","Ericales","Primulaceae","gbif","GBIF:7939955","seed dispersal (model)","Soons & Ozinga 2005","99th_percentile_dispersal_distance_(m)",0.02,"99thPercentileDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",2e-05
"Aquilegia vulgaris","Aquilegia vulgaris","Aquilegia vulgaris","Aquilegia vulgaris","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","gbif","GBIF:3033191","seed dispersal (model)","Soons & Ozinga 2005","99th_percentile_dispersal_distance_(m)",0.41,"99thPercentileDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.00041
"Arabidopsis thaliana","Arabidopsis thaliana","Arabidopsis thaliana","Arabidopsis thaliana","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","gbif","GBIF:3052436","seed dispersal (model)","Soons & Ozinga 2005","99th_percentile_dispersal_distance_(m)",0.25,"99thPercentileDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.00025
"Arabis hirsuta subsp. hirsuta","Arabis hirsuta","Arabis hirsuta","Arabis hirsuta","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","gbif","GBIF:9202524","seed dispersal (model)","Soons & Ozinga 2005","99th_percentile_dispersal_distance_(m)",0.47,"99thPercentileDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.00047
"Arenaria serpyllifolia","Arenaria serpyllifolia","Arenaria serpyllifolia","Arenaria serpyllifolia","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","gbif","GBIF:8089871","seed dispersal (model)","Soons & Ozinga 2005","99th_percentile_dispersal_distance_(m)",0.13,"99thPercentileDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.00013
"Armeria maritima","Armeria maritima","Armeria maritima","Armeria maritima","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Plumbaginaceae","gbif","GBIF:8930531","seed dispersal (model)","Soons & Ozinga 2005","99th_percentile_dispersal_distance_(m)",0.28,"99thPercentileDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.00028
"Arnica montana","Arnica montana","Arnica montana","Arnica montana","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:5405976","seed dispersal (model)","Soons & Ozinga 2005","99th_percentile_dispersal_distance_(m)",0.93,"99thPercentileDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.00093
"Artemisia vulgaris","Artemisia vulgaris","Artemisia vulgaris","Artemisia vulgaris","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3120946","seed dispersal (model)","Soons & Ozinga 2005","99th_percentile_dispersal_distance_(m)",2.43,"99thPercentileDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.00243
"Atriplex patula","Atriplex patula","Atriplex patula","Atriplex patula","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","gbif","GBIF:3083728","seed dispersal (model)","Soons & Ozinga 2005","99th_percentile_dispersal_distance_(m)",0.22,"99thPercentileDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.00022
"Atriplex prostrata","Atriplex prostrata","Atriplex prostrata","Atriplex prostrata","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","gbif","GBIF:3083786","seed dispersal (model)","Soons & Ozinga 2005","99th_percentile_dispersal_distance_(m)",0.73,"99thPercentileDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.00073
"Barbarea vulgaris","Barbarea vulgaris","Barbarea vulgaris","Barbarea vulgaris","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","gbif","GBIF:5708780","seed dispersal (model)","Soons & Ozinga 2005","99th_percentile_dispersal_distance_(m)",0.28,"99thPercentileDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.00028
"Bellis perennis","Bellis perennis","Bellis perennis","Bellis perennis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3117424","seed dispersal (model)","Soons & Ozinga 2005","99th_percentile_dispersal_distance_(m)",0.09,"99thPercentileDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",9e-05
"Brassica nigra","Brassica nigra","Brassica nigra","Brassica nigra","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","gbif","GBIF:3042658","seed dispersal (model)","Soons & Ozinga 2005","99th_percentile_dispersal_distance_(m)",0.36,"99thPercentileDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.00036
"Brassica oleracea","Brassica oleracea","Brassica oleracea","Brassica oleracea","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","gbif","GBIF:3042845","seed dispersal (model)","Soons & Ozinga 2005","99th_percentile_dispersal_distance_(m)",0.21,"99thPercentileDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.00021
"Brassica rapa","Brassica rapa","Brassica rapa","Brassica rapa","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","gbif","GBIF:7903057","seed dispersal (model)","Soons & Ozinga 2005","99th_percentile_dispersal_distance_(m)",0.29,"99thPercentileDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.00029
"Campanula rapunculoides","Campanula rapunculoides","Campanula rapunculoides","Campanula rapunculoides","Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","gbif","GBIF:5410436","seed dispersal (model)","Soons & Ozinga 2005","99th_percentile_dispersal_distance_(m)",0.77,"99thPercentileDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.00077
"Campanula rotundifolia","Campanula rotundifolia","Campanula rotundifolia","Campanula rotundifolia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","gbif","GBIF:5410907","seed dispersal (model)","Soons & Ozinga 2005","99th_percentile_dispersal_distance_(m)",0.35,"99thPercentileDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.00035
"Campanula trachelium","Campanula trachelium","Campanula trachelium","Campanula trachelium","Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","gbif","GBIF:5412014","seed dispersal (model)","Soons & Ozinga 2005","99th_percentile_dispersal_distance_(m)",1.45,"99thPercentileDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.00145
"Carduus crispus","Carduus crispus","Carduus crispus","Carduus crispus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3114649","seed dispersal (model)","Soons & Ozinga 2005","99th_percentile_dispersal_distance_(m)",17.25,"99thPercentileDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.01725
"Carex echinata","Carex echinata","Carex echinata","Carex echinata","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","gbif","GBIF:2726894","seed dispersal (model)","Soons & Ozinga 2005","99th_percentile_dispersal_distance_(m)",0.16,"99thPercentileDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.00016
"Carex remota","Carex remota","Carex remota","Carex remota","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","gbif","GBIF:2727294","seed dispersal (model)","Soons & Ozinga 2005","99th_percentile_dispersal_distance_(m)",0.62,"99thPercentileDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.00062
"Carlina vulgaris","Carlina vulgaris","Carlina vulgaris","Carlina vulgaris","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3105380","seed dispersal (model)","Soons & Ozinga 2005","99th_percentile_dispersal_distance_(m)",1.67,"99thPercentileDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.00167
"Centaurea cyanus","Centaurea cyanus","Centaurea cyanus","Centaurea cyanus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3089561","seed dispersal (model)","Soons & Ozinga 2005","99th_percentile_dispersal_distance_(m)",0.16,"99thPercentileDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.00016
"Centaurea scabiosa","Centaurea scabiosa","Centaurea scabiosa","Centaurea scabiosa","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:8087525","seed dispersal (model)","Soons & Ozinga 2005","99th_percentile_dispersal_distance_(m)",1.95,"99thPercentileDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.00195
"Cephalanthera damasonium","Cephalanthera damasonium","Cephalanthera damasonium","Cephalanthera damasonium","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","gbif","GBIF:2795952","seed dispersal (model)","Soons & Ozinga 2005","99th_percentile_dispersal_distance_(m)",14.67,"99thPercentileDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.01467
"Cerastium fontanum subsp. vulgare","Cerastium fontanum","Cerastium fontanum","Cerastium fontanum","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","gbif","GBIF:3085458","seed dispersal (model)","Soons & Ozinga 2005","99th_percentile_dispersal_distance_(m)",0.16,"99thPercentileDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.00016
"Cerastium semidecandrum","Cerastium semidecandrum","Cerastium semidecandrum","Cerastium semidecandrum","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","gbif","GBIF:3085434","seed dispersal (model)","Soons & Ozinga 2005","99th_percentile_dispersal_distance_(m)",0.11,"99thPercentileDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.00011
"Cichorium intybus","Cichorium intybus","Cichorium intybus","Cichorium intybus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:5392252","seed dispersal (model)","Soons & Ozinga 2005","99th_percentile_dispersal_distance_(m)",0.96,"99thPercentileDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.00096
"Cirsium arvense","Cirsium arvense","Cirsium arvense","Cirsium arvense","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3113414","seed dispersal (model)","Soons & Ozinga 2005","99th_percentile_dispersal_distance_(m)",53.37,"99thPercentileDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.05337
"Cirsium dissectum","Cirsium dissectum","Cirsium dissectum","Cirsium dissectum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3113784","seed dispersal (model)","Soons & Ozinga 2005","99th_percentile_dispersal_distance_(m)",9.25,"99thPercentileDispersalDistance","m","Tamme et al. 2014",NA,"Plants","Max","seed dispersal",0.00925
