Bombina bombina,1,3.17,2.97,3.07,0.87,38.89,40.00,39.44,36.60,36.80,39.44,1,0,0,17.00,16.33,16.67,52.33,51.67,52.00,14.33,14.00,14.17,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,DD,DD,DD,1.00,2.00,1.00,0,1,0,0,0,1,0,0,15.00,300,1.20,0.32,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,DD,1,0,0,1,0,1,1,1,0,1,0,0,60.00,1,1,0,1,1,0,0,1,0,1,1,0,DD,DD,DD,1,0,DD,170.00,DD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730,1,0,0,1,1,1,1,1,0,1,1,3799904.93,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0
Bombina pachypus,DD,DD,DD,DD,DD,45.75,45.25,45.50,DD,DD,45.50,1,0,0,16.00,15.00,15.50,52.50,49.00,50.75,16.00,15.00,15.50,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,3.00,DD,DD,DD,DD,DD,1,0,0,DD,300,1.20,0.32,DD,0,0,0,0,1,0,0,1,0,0,DD,0,0,0,0,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,1,1,1,0,DD,DD,DD,DD,DD,DD,DD,1,1,0,0,1,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,250.00,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,1,0,0,0,0,0,1,1,0,0,0,101449.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Bombina variegata,1,6.56,6.77,6.32,DD,45.08,44.34,44.71,DD,DD,44.71,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,1,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0.80,0.04,0.13,DD,DD,1.50,0,1,0,0,0,0,1,0,13.90,170,2.00,0.01,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,DD,1,0,0,1,0,1,1,1,0,1,0,0,DD,1,1,0,1,1,0,0,1,0,1,1,1,DD,4000.00,DD,1,1,192.73,3800.00,6.00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,2100,1,0,0,0,0,0,1,1,0,1,0,1392652.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0
Bufo bufo,1,41.50,164.75,76.54,DD,66.11,88.46,77.28,62.73,83.17,77.28,1,0,0,34.67,46.40,40.53,95.30,138.30,112.65,27.00,39.20,33.10,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0.60,0.10,DD,3.00,4.00,3.00,1,1,0,0,0,0,0,1,11.75,10000,2.20,DD,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0.21,1,0,0,0,1,1,1,1,0,1,0,0,50.00,0,1,1,1,1,1,1,0,0,1,1,0,180.00,DD,DD,1,0,15.00,4000.00,55.00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2500,1,0,0,1,1,1,1,1,0,1,1,14487863.56,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0
Bufo mauritanicus,DD,DD,DD,DD,DD,132.00,150.00,141.00,DD,DD,141.00,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,1,0,0,0,1,1,0,1,0,1,DD,DD,0,1,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,12.00,10000,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,0,0,0,0,0,0,DD,DD,DD,DD,DD,DD,DD,1,1,0,0,0,0,DD,DD,DD,DD,DD,DD,1,1,1,0,DD,DD,DD,DD,DD,DD,DD,1,1,0,0,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,DD,2600,0,0,0,0,0,0,0,1,0,0,0,754569.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0
Calotriton arnoldi,DD,DD,DD,DD,DD,58.95,58.45,58.70,104.60,104.60,103.95,0,1,0,DD,DD,DD,DD,DD,18.27,DD,DD,DD,0,1,0,0,0,0,0,1,0,0,DD,DD,0,1,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,20,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,1,1,0,0,0,0,DD,1,0,0,0,0,1,0,1,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,600,1200,0,0,0,0,0,0,0,1,0,0,0,127.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0
Calotriton asper,1,7.10,6.13,6.62,1.80,64.97,61.67,63.32,112.93,121.01,116.70,0,1,0,DD,DD,DD,18.29,16.51,16.50,DD,DD,DD,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,DD,DD,DD,3.00,4.00,3.00,DD,DD,0,0,0,1,0,0,53.38,30,5.00,DD,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,DD,1,0,0,0,0,1,0,1,0,0,0,0,DD,1,DD,0,1,0,0,0,1,0,0,1,0,DD,DD,DD,1,0,50.00,DD,DD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,175,2500,1,0,0,1,0,0,0,1,0,0,0,30087.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0
Chioglossa lusitanica,1,DD,DD,2.00,DD,45.09,45.94,45.51,156.00,164.00,159.00,0,0,1,DD,DD,DD,12.62,12.60,14.04,DD,DD,DD,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,DD,DD,DD,DD,DD,4.00,DD,DD,0,0,0,0,1,0,70.00,20,5.00,DD,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,DD,1,0,0,0,1,1,0,1,0,DD,DD,DD,DD,DD,1,0,0,0,0,1,0,0,1,1,0,25.00,700.00,DD,1,0,DD,700.00,DD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1200,0,0,0,1,0,0,0,1,0,0,0,59341.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0
Discoglossus galganoi,1,21.80,15.20,18.50,DD,54.85,49.20,52.03,50.50,46.50,52.03,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,DD,DD,DD,5.00,4.00,4.00,1,0,0,0,0,0,1,0,10.00,1500,2.00,DD,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,DD,0,1,0,0,1,1,1,1,1,1,0,0,DD,0,0,0,0,1,1,1,1,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,0,0,0,1,0,0,0,1,0,0,0,321622.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0
Discoglossus jeanneae,DD,DD,DD,DD,DD,39.50,40.70,40.10,DD,DD,40.10,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,1,0,0,0,1,1,0,1,0,1,DD,DD,0,0,1,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,0,1,0,DD,1500,DD,DD,DD,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,DD,0,0,0,0,1,0,1,1,1,0,0,0,DD,0,0,0,0,1,1,1,1,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DD,DD,0,0,0,1,0,0,0,1,0,0,0,197868.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0
Discoglossus montalentii,1,DD,DD,DD,DD,DD,DD,60.00,DD,DD,60.00,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,DD,DD,DD,DD,DD,DD,DD,DD,0,0,0,0,1,0,DD,1000,1.50,DD,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,DD,DD,DD,DD,DD,DD,DD,1,1,0,0,0,0,DD,0,0,0,0,1,1,1,1,0,DD,DD,DD,DD,DD,DD,DD,DD,1,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,300,1900,0,0,0,0,0,0,0,1,0,0,0,4506.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
