Species,Home range,Movement event,Dispersal active or passive,Sex biased dispersal,Walker,Jumper,Runner,Climber,Swimmer,Crawler,Dispersal stage juvenile,Dispersal stage adult,Dispersal stade during breeding season,Mean dispersal distance,Maximum dispersal distance,Minimal dispersal distance,Migration stage adult,Migration stage during breeding season,Mean migration distance,Maximum migration distance,Minimal migration distance
Proteus anguinus,DD,1,DD,0,0,0,0,0,1,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD
Pseudepidalea viridis,DD,1,1,DD,0,1,0,1,0,0,1,1,0,DD,DD,DD,0,1,DD,10000,DD
Rana arvalis,100,1,1,0,0,1,0,0,0,0,1,1,0,DD,DD,DD,1,0,8.5,1001,436
Rana dalmatina,90,0,1,0,0,1,0,0,1,0,0,1,0,DD,DD,DD,1,0,194.2,1700,26
Rana graeca,DD,0,DD,DD,0,1,0,0,1,0,DD,DD,DD,DD,6,DD,DD,DD,115.6,520,25
Rana iberica,DD,DD,DD,DD,0,1,0,0,1,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,460,DD
Rana italica,DD,DD,DD,DD,0,1,0,0,1,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD
Rana latastei,DD,DD,DD,DD,0,1,0,0,1,0,DD,DD,DD,DD,DD,DD,1,0,DD,1000,DD
Rana pyrenaica,DD,DD,DD,DD,0,1,0,0,1,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD
Rana temporaria,119.5,0,1,1,1,1,0,0,1,0,1,1,0,DD,DD,DD,1,0,31,2214,10
Salamandra algira,DD,DD,DD,DD,1,0,0,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD
Salamandra atra,DD,0,1,0,DD,DD,DD,DD,DD,DD,0,1,0,9.3,30,DD,DD,DD,DD,DD,DD
Salamandra corsica,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD
Salamandra lanzai,49.1,DD,1,0,DD,DD,DD,DD,DD,DD,0,1,0,19.7,21,DD,DD,DD,DD,DD,DD
Salamandra salamandra,61.5,0,1,0,1,0,0,0,0,0,1,1,0,DD,DD,DD,1,0,66.5,30,DD
Salamandrina perspicillata,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,500,DD
Salamandrina terdigitata,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,500,DD
Speleomantes ambrosii,DD,DD,DD,0,0,0,0,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD
Speleomantes flavus,DD,DD,DD,0,0,0,0,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD
Speleomantes imperialis,DD,DD,DD,0,0,0,0,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD
Speleomantes italicus,DD,DD,DD,0,0,0,0,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD
Speleomantes sarrabusensis,DD,DD,DD,DD,0,0,0,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD
Speleomantes strinatii,DD,DD,DD,DD,0,0,0,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD
Speleomantes supramontis,DD,DD,DD,DD,0,0,0,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD
Triturus carnifex,DD,1,1,1,1,0,0,0,1,0,1,1,0,DD,DD,DD,1,0,115,299,13
Triturus cristatus,DD,1,1,0,1,0,0,0,1,0,1,1,0,254,860,DD,1,0,DD,1290,105
Triturus dobrogicus,DD,DD,DD,DD,1,0,0,0,1,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD
Triturus karelinii,DD,DD,DD,0,1,0,0,0,1,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD
Triturus marmoratus,DD,DD,DD,0,1,0,0,0,1,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,146,DD
Triturus pygmaeus,DD,0,DD,DD,1,0,0,0,1,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD
Xenopus laevis,DD,1,DD,DD,0,0,0,0,1,0,DD,DD,DD,DD,DD,DD,1,1,DD,2000,100
