"ID","res","baseline_min_mat","baseline_1Q_mat","baseline_median_mat","baseline_mean_mat","baseline_3Q_mat","baseline_max_mat","baseline_sd_mat","trend_min_mat","trend_1Q_mat","trend_median_mat","trend_mean_mat","trend_3Q_mat","trend_max_mat","trend_sd_mat","Vel_min_mat","Vel_1Q_mat","Vel_median_mat","Vel_mean_mat","Vel_3Q_mat","Vel_max_mat","Vel_sd_mat","VelLat_min_mat","VelLat_1Q_mat","VelLat_median_mat","VelLat_mean_mat","VelLat_3Q_mat","VelLat_max_mat","VelLat_sd_mat","baseline_min_map","baseline_1Q_map","baseline_median_map","baseline_mean_map","baseline_3Q_map","baseline_max_map","baseline_sd_map","trend_min_map","trend_1Q_map","trend_median_map","trend_mean_map","trend_3Q_map","trend_max_map","trend_sd_map","Vel_min_map","Vel_1Q_map","Vel_median_map","Vel_mean_map","Vel_3Q_map","Vel_max_map","Vel_sd_map","VelLat_min_map","VelLat_1Q_map","VelLat_median_map","VelLat_mean_map","VelLat_3Q_map","VelLat_max_map","VelLat_sd_map","gVelEle_min_mat","gVelEle_1Q_mat","gVelEle_median_mat","gVelEle_mean_mat","gVelEle_3Q_mat","gVelEle_max_mat","gVelEle_sd_mat","baseline_min_sst","baseline_1Q_sst","baseline_median_sst","baseline_mean_sst","baseline_3Q_sst","baseline_max_sst","baseline_sd_sst","trend_min_sst","trend_1Q_sst","trend_median_sst","trend_mean_sst","trend_3Q_sst","trend_max_sst","trend_sd_sst","Vel_min_sst","Vel_1Q_sst","Vel_median_sst","Vel_mean_sst","Vel_3Q_sst","Vel_max_sst","Vel_sd_sst","VelLat_min_sst","VelLat_1Q_sst","VelLat_median_sst","VelLat_mean_sst","VelLat_3Q_sst","VelLat_max_sst","VelLat_sd_sst"
"A117_P3","25km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5459566,6.9180081,7.7434661,7.6656477,8.4473343,9.6196012,0.951095,-0.0204275,-0.0076111,0.0004432,0.0004747,0.0074845,0.0218287,0.0096638,-4.2777519,-1.7835517,0.135195,0.3538453,2.0307268,6.6473341,2.7881251,-6.6305666,-0.6241993,0.2032186,0.314306,1.5539002,6.5954194,2.0285181
"A117_P3","50km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3782539,6.9256582,7.8511157,7.7302359,8.4823313,9.4518518,0.8911183,-0.0192911,-0.0043787,0.0028156,0.0020999,0.0090458,0.0215061,0.0094623,-3.5118597,-1.095372,0.7582023,1.1031459,2.9560199,8.3499527,3.1033332,-7.4766564,-0.5644846,0.2558992,0.4972096,1.8332123,7.909368,2.1315147
"A117_P4","110km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.8028755,24.2682667,25.1186638,24.940233,25.7211342,26.1300201,0.9029477,0.0138909,0.0181763,0.019237,0.0197441,0.0211111,0.0255651,0.0027152,1.4029586,2.0151224,2.780462,3.1310327,4.0252652,6.2186513,1.4236592,1.2695798,1.8537471,2.197741,2.8634893,3.8861003,6.1094537,1.4686596
"A117_P4","25km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.7723389,23.8155212,24.7922249,24.6087801,25.4517746,25.7884007,0.8773287,0.0114633,0.0155561,0.0187365,0.0184415,0.0207358,0.0267727,0.0034522,0.9226978,1.3683951,1.8947126,2.6422971,3.4614315,6.5324798,1.7161643,0.4353538,1.2442788,1.8462017,2.5235119,3.3190801,6.4999633,1.6891321
"A117_P4","50km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.2774677,23.8020415,24.5890427,24.5176302,25.1581659,25.5983887,0.7158032,0.0128027,0.0160976,0.0183527,0.0182753,0.0202199,0.0241199,0.0028861,1.1769823,1.4876899,1.7760628,1.9312153,2.2185689,3.5859535,0.6001857,1.1724294,1.4641045,1.7523198,1.9000966,2.1664571,3.5695219,0.5984342
"A117_P5","110km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1012812,11.3221083,14.8388538,15.279818,18.9630766,24.0056534,4.5150974,-0.0133857,0.0036863,0.0103774,0.0117569,0.0187976,0.054625,0.0124996,-0.8005218,0.1427511,0.5070238,0.4501917,0.7897987,1.3581289,0.4750347,0.0847172,0.3149653,0.5226012,0.5539855,0.7327997,1.3252589,0.2914842
"A117_P5","25km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7910013,10.7833302,13.5629754,14.4711084,17.4028397,23.5133228,4.1252939,-0.0240459,-9.22e-05,0.0108742,0.0111379,0.0242998,0.0476476,0.016446,-1.7108333,-0.0191536,0.4655307,0.2999979,0.766128,1.588739,0.798241,0.0111266,0.2726898,0.5076794,0.6143539,0.9112448,1.6915599,0.4113872
"A117_P5","50km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5600052,10.7416358,13.0828438,13.8589889,16.3322029,22.6972637,3.5488293,-0.0181776,-0.0024921,0.0099758,0.0111993,0.0270255,0.0394015,0.0155284,-1.5304573,-0.1691072,0.4995474,0.299862,0.6458533,1.6325816,0.7536071,0.1113393,0.3239593,0.5494959,0.6380421,0.8340612,1.6324515,0.387799
"A117_P6","110km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.9665451,11.8351135,12.5356565,12.5038068,13.2883668,14.6499844,1.1236399,-0.0200967,-0.0052446,0.0042959,0.0019601,0.009192,0.022947,0.0101311,-2.0365965,-0.6839671,0.5441871,0.8903416,2.0975903,6.3418789,2.0737068,-4.4665246,0.1342955,0.5267842,0.6112891,1.4656315,2.9598508,1.1305052
"A117_P6","25km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.9024696,11.723423,12.1949911,12.1553948,12.6306095,13.8573208,0.6667254,-0.0240628,-0.0123257,-0.0026784,-0.0025207,0.0077571,0.016358,0.0111482,-3.462348,-1.2336586,-0.255624,-0.0356915,1.0669146,3.8868136,1.8625754,-1.5857698,0.0036255,0.3639436,0.6190474,1.030925,3.7889764,0.9309053
